"Date","Close"
"2013-12-31","46.30"
"2013-12-30","46.29"
"2013-12-27","45.97"
"2013-12-26","46.16"
"2013-12-24","46.53"
"2013-12-23","46.14"
"2013-12-20","46.58"
"2013-12-19","46.12"
"2013-12-18","46.08"
"2013-12-17","45.63"
"2013-12-16","45.96"
"2013-12-13","45.68"
"2013-12-12","45.45"
"2013-12-11","45.23"
"2013-12-10","45.49"
"2013-12-09","46.22"
"2013-12-06","45.89"
"2013-12-05","45.40"
"2013-12-04","46.03"
"2013-12-03","46.02"
"2013-12-02","46.11"
"2013-11-29","46.21"
"2013-11-27","45.83"
"2013-11-26","45.41"
"2013-11-25","45.53"
"2013-11-22","46.00"
"2013-11-21","47.31"
"2013-11-20","47.52"
"2013-11-19","48.38"
"2013-11-18","48.89"
"2013-11-15","49.17"
"2013-11-14","48.59"
"2013-11-13","48.07"
"2013-11-12","48.23"
"2013-11-11","48.98"
"2013-11-08","49.05"
"2013-11-07","49.47"
"2013-11-06","49.62"
"2013-11-05","49.26"
"2013-11-04","49.57"
"2013-11-01","49.47"
"2013-10-31","49.03"
"2013-10-30","48.95"
"2013-10-29","49.11"
"2013-10-28","49.22"
"2013-10-25","49.41"
"2013-10-24","48.76"
"2013-10-23","48.68"
"2013-10-22","48.97"
"2013-10-21","48.31"
"2013-10-18","48.38"
"2013-10-17","48.01"
"2013-10-16","47.18"
"2013-10-15","46.80"
"2013-10-14","47.43"
"2013-10-11","47.68"
"2013-10-10","47.71"
"2013-10-09","47.15"
"2013-10-08","46.51"
"2013-10-07","46.02"
"2013-10-04","46.35"
"2013-10-03","45.82"
"2013-10-02","46.11"
"2013-10-01","46.06"
"2013-09-30","46.06"
"2013-09-27","45.81"
"2013-09-26","45.90"
"2013-09-25","46.61"
"2013-09-24","47.00"
"2013-09-23","47.05"
"2013-09-20","46.02"
"2013-09-19","46.17"
"2013-09-18","46.71"
"2013-09-17","45.23"
"2013-09-16","44.98"
"2013-09-13","44.94"
"2013-09-12","44.79"
"2013-09-11","44.84"
"2013-09-10","45.63"
"2013-09-09","45.47"
"2013-09-06","45.04"
"2013-09-05","44.36"
"2013-09-04","44.94"
"2013-09-03","45.18"
"2013-08-30","45.89"
"2013-08-29","45.91"
"2013-08-28","46.36"
"2013-08-27","46.08"
"2013-08-26","46.10"
"2013-08-23","46.48"
"2013-08-22","46.19"
"2013-08-21","46.19"
"2013-08-20","46.74"
"2013-08-19","46.59"
"2013-08-16","46.98"
"2013-08-15","47.22"
"2013-08-14","48.16"
"2013-08-13","48.23"
"2013-08-12","48.44"
"2013-08-09","49.08"
"2013-08-08","49.37"
"2013-08-07","48.99"
"2013-08-06","48.45"
"2013-08-05","48.75"
"2013-08-02","49.37"
"2013-08-01","49.90"
"2013-07-31","49.85"
"2013-07-30","49.93"
"2013-07-29","49.78"
"2013-07-26","49.09"
"2013-07-25","48.70"
"2013-07-24","49.25"
"2013-07-23","49.70"
"2013-07-22","49.72"
"2013-07-19","49.71"
"2013-07-18","49.50"
"2013-07-17","49.03"
"2013-07-16","49.09"
"2013-07-15","49.26"
"2013-07-12","48.47"
"2013-07-11","48.50"
"2013-07-10","47.75"
"2013-07-09","47.13"
"2013-07-08","46.89"
"2013-07-05","46.06"
"2013-07-03","46.61"
"2013-07-02","46.80"
"2013-07-01","47.08"
"2013-06-28","48.16"
"2013-06-27","47.52"
"2013-06-26","47.27"
"2013-06-25","46.59"
"2013-06-24","46.18"
"2013-06-21","46.06"
"2013-06-20","45.00"
"2013-06-19","46.49"
"2013-06-18","47.71"
"2013-06-17","47.44"
"2013-06-14","47.15"
"2013-06-13","46.75"
"2013-06-12","46.32"
"2013-06-11","46.80"
"2013-06-10","47.06"
"2013-06-07","47.61"
"2013-06-06","46.36"
"2013-06-05","45.77"
"2013-06-04","46.27"
"2013-06-03","45.97"
"2013-05-31","45.94"
"2013-05-30","46.27"
"2013-05-29","46.21"
"2013-05-28","47.42"
"2013-05-24","47.71"
"2013-05-23","48.26"
"2013-05-22","48.62"
"2013-05-21","48.66"
"2013-05-20","48.47"
"2013-05-17","48.80"
"2013-05-16","48.70"
"2013-05-15","49.48"
"2013-05-14","49.39"
"2013-05-13","49.84"
"2013-05-10","50.01"
"2013-05-09","49.79"
"2013-05-08","51.15"
"2013-05-07","51.94"
"2013-05-06","51.53"
"2013-05-03","52.24"
"2013-05-02","52.53"
"2013-05-01","52.45"
"2013-04-30","53.80"
"2013-04-29","53.98"
"2013-04-26","53.35"
"2013-04-25","53.17"
"2013-04-24","53.15"
"2013-04-23","52.71"
"2013-04-22","52.36"
"2013-04-19","52.47"
"2013-04-18","51.64"
"2013-04-17","51.61"
"2013-04-16","51.82"
"2013-04-15","51.50"
"2013-04-12","51.95"
"2013-04-11","51.37"
"2013-04-10","50.82"
"2013-04-09","50.58"
"2013-04-08","50.97"
"2013-04-05","50.88"
"2013-04-04","50.01"
"2013-04-03","50.24"
"2013-04-02","50.80"
"2013-04-01","50.48"
"2013-03-28","50.32"
"2013-03-27","50.39"
"2013-03-26","50.49"
"2013-03-25","50.73"
"2013-03-22","50.41"
"2013-03-21","50.38"
"2013-03-20","50.80"
"2013-03-19","50.74"
"2013-03-18","50.50"
"2013-03-15","50.94"
"2013-03-14","51.20"
"2013-03-13","51.00"
"2013-03-12","50.71"
"2013-03-11","50.68"
"2013-03-08","50.72"
"2013-03-07","50.17"
"2013-03-06","50.19"
"2013-03-05","49.99"
"2013-03-04","49.34"
"2013-03-01","48.48"
"2013-02-28","48.03"
"2013-02-27","47.24"
"2013-02-26","46.12"
"2013-02-25","45.95"
"2013-02-22","46.86"
"2013-02-21","46.41"
"2013-02-20","46.58"
"2013-02-19","47.04"
"2013-02-15","46.68"
"2013-02-14","46.18"
"2013-02-13","47.64"
"2013-02-12","48.00"
"2013-02-11","47.98"
"2013-02-08","47.84"
"2013-02-07","47.71"
"2013-02-06","47.99"
"2013-02-05","47.99"
"2013-02-04","47.62"
"2013-02-01","48.19"
"2013-01-31","48.19"
"2013-01-30","47.64"
"2013-01-29","47.21"
"2013-01-28","46.77"
"2013-01-25","47.03"
"2013-01-24","46.69"
"2013-01-23","46.58"
"2013-01-22","46.85"
"2013-01-18","46.55"
"2013-01-17","46.30"
"2013-01-16","46.13"
"2013-01-15","46.40"
"2013-01-14","46.07"
"2013-01-11","45.80"
"2013-01-10","45.78"
"2013-01-09","45.82"
"2013-01-08","46.08"
"2013-01-07","46.15"
"2013-01-04","47.00"
"2013-01-03","46.34"
"2013-01-02","46.01"
"2012-12-31","45.19"
"2012-12-28","44.77"
"2012-12-27","44.98"
"2012-12-26","44.89"
"2012-12-24","45.48"
"2012-12-21","45.82"
"2012-12-20","46.05"
"2012-12-19","45.54"
"2012-12-18","45.72"
"2012-12-17","44.99"
"2012-12-14","44.81"
"2012-12-13","44.49"
"2012-12-12","44.80"
"2012-12-11","44.79"
"2012-12-10","44.66"
"2012-12-07","44.98"
"2012-12-06","44.95"
"2012-12-05","44.98"
"2012-12-04","44.45"
"2012-12-03","45.14"
"2012-11-30","45.48"
"2012-11-29","45.05"
"2012-11-28","44.47"
"2012-11-27","44.49"
"2012-11-26","44.43"
"2012-11-23","43.49"
"2012-11-21","43.82"
"2012-11-20","44.07"
"2012-11-19","44.13"
"2012-11-16","44.46"
"2012-11-15","43.79"
"2012-11-14","44.13"
"2012-11-13","44.14"
"2012-11-12","43.91"
"2012-11-09","44.17"
"2012-11-08","44.39"
"2012-11-07","44.94"
"2012-11-06","45.68"
"2012-11-05","46.02"
"2012-11-02","46.69"
"2012-11-01","46.71"
"2012-10-31","46.92"
"2012-10-26","46.57"
"2012-10-25","46.74"
"2012-10-24","46.49"
"2012-10-23","46.80"
"2012-10-22","47.48"
"2012-10-19","47.40"
"2012-10-18","47.96"
"2012-10-17","47.66"
"2012-10-16","47.29"
"2012-10-15","47.05"
"2012-10-12","46.59"
"2012-10-11","46.74"
"2012-10-10","46.77"
"2012-10-09","46.90"
"2012-10-08","47.06"
"2012-10-05","47.25"
"2012-10-04","47.10"
"2012-10-03","46.60"
"2012-10-02","46.00"
"2012-10-01","45.96"
"2012-09-28","45.69"
"2012-09-27","45.46"
"2012-09-26","45.49"
"2012-09-25","45.81"
"2012-09-24","45.98"
"2012-09-21","45.39"
"2012-09-20","45.21"
"2012-09-19","45.20"
"2012-09-18","45.16"
"2012-09-17","44.74"
"2012-09-14","45.17"
"2012-09-13","45.10"
"2012-09-12","44.47"
"2012-09-11","44.43"
"2012-09-10","44.34"
"2012-09-07","44.31"
"2012-09-06","44.38"
"2012-09-05","43.99"
"2012-09-04","43.97"
"2012-08-31","43.79"
"2012-08-30","43.81"
"2012-08-29","43.71"
"2012-08-28","43.30"
"2012-08-27","43.59"
"2012-08-24","43.87"
"2012-08-23","43.60"
"2012-08-22","44.08"
"2012-08-21","44.25"
"2012-08-20","44.83"
"2012-08-17","44.76"
"2012-08-16","45.07"
"2012-08-15","45.32"
"2012-08-14","45.28"
"2012-08-13","44.78"
"2012-08-10","44.98"
"2012-08-09","44.85"
"2012-08-08","44.61"
"2012-08-07","44.56"
"2012-08-06","45.25"
"2012-08-03","45.69"
"2012-08-02","45.01"
"2012-08-01","44.92"
"2012-07-31","46.18"
"2012-07-30","46.72"
"2012-07-27","46.36"
"2012-07-26","45.67"
"2012-07-25","45.14"
"2012-07-24","45.33"
"2012-07-23","45.64"
"2012-07-20","46.01"
"2012-07-19","45.80"
"2012-07-18","45.65"
"2012-07-17","45.67"
"2012-07-16","45.61"
"2012-07-13","46.41"
"2012-07-12","46.27"
"2012-07-11","46.39"
"2012-07-10","46.08"
"2012-07-09","45.85"
"2012-07-06","45.65"
"2012-07-05","45.70"
"2012-07-03","46.29"
"2012-07-02","46.56"
"2012-06-29","46.20"
"2012-06-28","46.02"
"2012-06-27","45.87"
"2012-06-26","45.43"
"2012-06-25","44.67"
"2012-06-22","44.59"
"2012-06-21","44.85"
"2012-06-20","45.46"
"2012-06-19","45.90"
"2012-06-18","46.15"
"2012-06-15","46.14"
"2012-06-14","46.06"
"2012-06-13","45.92"
"2012-06-12","46.09"
"2012-06-11","46.00"
"2012-06-08","46.04"
"2012-06-07","45.64"
"2012-06-06","45.63"
"2012-06-05","45.13"
"2012-06-04","44.94"
"2012-06-01","44.37"
"2012-05-31","44.96"
"2012-05-30","44.69"
"2012-05-29","45.14"
"2012-05-25","45.00"
"2012-05-24","44.85"
"2012-05-23","44.68"
"2012-05-22","44.89"
"2012-05-21","44.46"
"2012-05-18","43.82"
"2012-05-17","43.90"
"2012-05-16","44.18"
"2012-05-15","44.10"
"2012-05-14","44.31"
"2012-05-11","44.39"
"2012-05-10","44.11"
"2012-05-09","43.96"
"2012-05-08","43.43"
"2012-05-07","43.57"
"2012-05-04","43.76"
"2012-05-03","43.72"
"2012-05-02","43.67"
"2012-05-01","44.27"
"2012-04-30","44.01"
"2012-04-27","43.81"
"2012-04-26","43.65"
"2012-04-25","43.67"
"2012-04-24","43.10"
