"Date","Close"
"2013-12-31","75.32"
"2013-12-30","75.04"
"2013-12-27","74.45"
"2013-12-26","74.64"
"2013-12-24","74.62"
"2013-12-23","74.76"
"2013-12-20","74.35"
"2013-12-19","73.91"
"2013-12-18","74.00"
"2013-12-17","72.75"
"2013-12-16","73.16"
"2013-12-13","72.64"
"2013-12-12","73.07"
"2013-12-11","73.82"
"2013-12-10","73.60"
"2013-12-09","73.89"
"2013-12-06","73.71"
"2013-12-05","72.73"
"2013-12-04","73.10"
"2013-12-03","74.49"
"2013-12-02","74.88"
"2013-11-29","74.96"
"2013-11-27","75.25"
"2013-11-26","75.07"
"2013-11-25","74.32"
"2013-11-22","75.01"
"2013-11-21","74.01"
"2013-11-20","73.30"
"2013-11-19","72.56"
"2013-11-18","72.86"
"2013-11-15","73.67"
"2013-11-14","73.44"
"2013-11-13","73.03"
"2013-11-12","70.68"
"2013-11-11","70.90"
"2013-11-08","70.96"
"2013-11-07","70.32"
"2013-11-06","71.25"
"2013-11-05","70.75"
"2013-11-04","70.14"
"2013-11-01","69.94"
"2013-10-31","70.96"
"2013-10-30","71.38"
"2013-10-29","72.81"
"2013-10-28","71.56"
"2013-10-25","71.51"
"2013-10-24","71.39"
"2013-10-23","71.27"
"2013-10-22","71.93"
"2013-10-21","71.07"
"2013-10-18","72.05"
"2013-10-17","71.71"
"2013-10-16","70.99"
"2013-10-15","70.50"
"2013-10-14","71.65"
"2013-10-11","71.01"
"2013-10-10","70.63"
"2013-10-09","68.77"
"2013-10-08","68.71"
"2013-10-07","69.29"
"2013-10-04","69.98"
"2013-10-03","69.44"
"2013-10-02","70.41"
"2013-10-01","70.50"
"2013-09-30","69.90"
"2013-09-27","70.42"
"2013-09-26","70.74"
"2013-09-25","71.14"
"2013-09-24","71.51"
"2013-09-23","70.76"
"2013-09-20","71.75"
"2013-09-19","72.43"
"2013-09-18","72.17"
"2013-09-17","71.33"
"2013-09-16","71.11"
"2013-09-13","70.80"
"2013-09-12","70.33"
"2013-09-11","69.69"
"2013-09-10","68.97"
"2013-09-09","69.49"
"2013-09-06","67.58"
"2013-09-05","67.37"
"2013-09-04","67.31"
"2013-09-03","66.26"
"2013-08-30","65.36"
"2013-08-29","65.37"
"2013-08-28","65.38"
"2013-08-27","65.64"
"2013-08-26","67.27"
"2013-08-23","68.15"
"2013-08-22","67.27"
"2013-08-21","66.32"
"2013-08-20","66.86"
"2013-08-19","66.75"
"2013-08-16","67.25"
"2013-08-15","67.36"
"2013-08-14","65.13"
"2013-08-13","66.45"
"2013-08-12","66.58"
"2013-08-09","66.59"
"2013-08-08","66.00"
"2013-08-07","66.64"
"2013-08-06","67.43"
"2013-08-05","67.28"
"2013-08-02","66.89"
"2013-08-01","66.79"
"2013-07-31","65.65"
"2013-07-30","65.60"
"2013-07-29","66.00"
"2013-07-26","66.20"
"2013-07-25","65.29"
"2013-07-24","64.71"
"2013-07-23","64.95"
"2013-07-22","66.67"
"2013-07-19","67.57"
"2013-07-18","66.74"
"2013-07-17","66.33"
"2013-07-16","66.78"
"2013-07-15","67.44"
"2013-07-12","68.46"
"2013-07-11","68.06"
"2013-07-10","67.03"
"2013-07-09","66.59"
"2013-07-08","67.92"
"2013-07-05","67.93"
"2013-07-03","67.25"
"2013-07-02","67.45"
"2013-07-01","66.94"
"2013-06-28","65.77"
"2013-06-27","66.47"
"2013-06-26","65.64"
"2013-06-25","64.74"
"2013-06-24","64.74"
"2013-06-21","65.79"
"2013-06-20","65.51"
"2013-06-19","68.38"
"2013-06-18","69.72"
"2013-06-17","70.20"
"2013-06-14","68.41"
"2013-06-13","68.05"
"2013-06-12","67.42"
"2013-06-11","67.75"
"2013-06-10","67.60"
"2013-06-07","68.12"
"2013-06-06","65.97"
"2013-06-05","66.48"
"2013-06-04","67.47"
"2013-06-03","67.50"
"2013-05-31","67.78"
"2013-05-30","69.58"
"2013-05-29","69.21"
"2013-05-28","71.05"
"2013-05-24","70.95"
"2013-05-23","70.33"
"2013-05-22","70.14"
"2013-05-21","71.12"
"2013-05-20","71.46"
"2013-05-17","70.85"
"2013-05-16","70.78"
"2013-05-15","71.63"
"2013-05-14","71.80"
"2013-05-13","71.02"
"2013-05-10","71.05"
"2013-05-09","69.27"
"2013-05-08","70.01"
"2013-05-07","70.31"
"2013-05-06","70.00"
"2013-05-03","71.23"
"2013-05-02","70.60"
"2013-05-01","68.79"
"2013-04-30","69.35"
"2013-04-29","68.92"
"2013-04-26","68.88"
"2013-04-25","68.93"
"2013-04-24","68.82"
"2013-04-23","70.38"
"2013-04-22","69.59"
"2013-04-19","69.67"
"2013-04-18","67.21"
"2013-04-17","66.71"
"2013-04-16","67.89"
"2013-04-15","67.40"
"2013-04-12","68.24"
"2013-04-11","67.56"
"2013-04-10","65.49"
