"Date","Close"
"2013-12-31","80.70"
"2013-12-30","79.90"
"2013-12-27","79.06"
"2013-12-26","78.97"
"2013-12-24","78.22"
"2013-12-23","77.05"
"2013-12-20","75.93"
"2013-12-19","75.01"
"2013-12-18","74.64"
"2013-12-17","74.03"
"2013-12-16","73.43"
"2013-12-13","72.67"
"2013-12-12","73.86"
"2013-12-11","74.55"
"2013-12-10","75.31"
"2013-12-09","75.36"
"2013-12-06","76.21"
"2013-12-05","74.31"
"2013-12-04","74.58"
"2013-12-03","75.43"
"2013-12-02","76.46"
"2013-11-29","77.03"
"2013-11-27","76.64"
"2013-11-26","75.45"
"2013-11-25","75.89"
"2013-11-22","76.43"
"2013-11-21","76.45"
"2013-11-20","75.87"
"2013-11-19","76.67"
"2013-11-18","77.86"
"2013-11-15","78.71"
"2013-11-14","79.24"
"2013-11-13","79.72"
"2013-11-12","79.07"
"2013-11-11","79.01"
"2013-11-08","79.11"
"2013-11-07","76.81"
"2013-11-06","77.92"
"2013-11-05","77.73"
"2013-11-04","77.69"
"2013-11-01","78.22"
"2013-10-31","78.79"
"2013-10-30","78.39"
"2013-10-29","78.44"
"2013-10-28","76.26"
"2013-10-25","77.94"
"2013-10-24","82.18"
"2013-10-23","82.60"
"2013-10-22","82.55"
"2013-10-21","81.22"
"2013-10-18","81.61"
"2013-10-17","81.46"
"2013-10-16","80.28"
"2013-10-15","79.33"
"2013-10-14","78.31"
"2013-10-11","77.98"
"2013-10-10","77.88"
"2013-10-09","76.40"
"2013-10-08","75.97"
"2013-10-07","77.75"
"2013-10-04","80.01"
"2013-10-03","78.04"
"2013-10-02","78.83"
"2013-10-01","79.43"
"2013-09-30","77.90"
"2013-09-27","77.70"
"2013-09-26","78.22"
"2013-09-25","76.74"
"2013-09-24","77.16"
"2013-09-23","77.55"
"2013-09-20","78.53"
"2013-09-19","79.20"
"2013-09-18","78.78"
"2013-09-17","77.37"
"2013-09-16","76.30"
"2013-09-13","76.50"
"2013-09-12","77.66"
"2013-09-11","78.42"
"2013-09-10","77.75"
"2013-09-09","77.29"
"2013-09-06","76.88"
"2013-09-05","76.79"
"2013-09-04","76.88"
"2013-09-03","76.85"
"2013-08-30","76.00"
"2013-08-29","76.45"
"2013-08-28","75.25"
"2013-08-27","75.88"
"2013-08-26","78.27"
"2013-08-23","79.67"
"2013-08-22","79.45"
"2013-08-21","78.34"
"2013-08-20","78.48"
"2013-08-19","77.98"
"2013-08-16","77.85"
"2013-08-15","78.31"
"2013-08-14","80.06"
"2013-08-13","80.63"
"2013-08-12","79.29"
"2013-08-09","80.07"
"2013-08-08","80.47"
"2013-08-07","80.94"
"2013-08-06","80.92"
"2013-08-05","82.49"
"2013-08-02","82.41"
"2013-08-01","82.30"
"2013-07-31","80.43"
"2013-07-30","79.75"
"2013-07-29","75.03"
"2013-07-26","74.16"
"2013-07-25","75.47"
"2013-07-24","75.04"
"2013-07-23","75.81"
"2013-07-22","75.61"
"2013-07-19","75.71"
"2013-07-18","74.87"
"2013-07-17","75.28"
"2013-07-16","73.59"
"2013-07-15","74.20"
"2013-07-12","73.96"
"2013-07-11","73.97"
"2013-07-10","73.00"
"2013-07-09","73.43"
"2013-07-08","72.71"
"2013-07-05","72.01"
"2013-07-03","71.03"
"2013-07-02","70.71"
"2013-07-01","71.38"
"2013-06-28","70.01"
"2013-06-27","72.02"
"2013-06-26","72.08"
"2013-06-25","70.33"
"2013-06-24","70.00"
"2013-06-21","70.79"
"2013-06-20","70.46"
"2013-06-19","72.33"
"2013-06-18","73.25"
"2013-06-17","72.26"
"2013-06-14","71.02"
"2013-06-13","71.36"
"2013-06-12","68.72"
"2013-06-11","69.40"
"2013-06-10","70.55"
