"Date","Close"
"2013-12-31","89.78"
"2013-12-30","89.78"
"2013-12-27","90.22"
"2013-12-26","90.29"
"2013-12-24","90.32"
"2013-12-23","89.54"
"2013-12-20","88.73"
"2013-12-19","87.27"
"2013-12-18","84.64"
"2013-12-17","85.84"
"2013-12-16","87.16"
"2013-12-13","87.60"
"2013-12-12","87.16"
"2013-12-11","86.44"
"2013-12-10","88.10"
"2013-12-09","87.67"
"2013-12-06","85.67"
"2013-12-05","86.02"
"2013-12-04","83.52"
"2013-12-03","83.39"
"2013-12-02","84.61"
"2013-11-29","85.11"
"2013-11-27","85.75"
"2013-11-26","86.81"
"2013-11-25","87.53"
"2013-11-22","87.65"
"2013-11-21","87.67"
"2013-11-20","84.98"
"2013-11-19","84.07"
"2013-11-18","84.05"
"2013-11-15","85.11"
"2013-11-14","85.22"
"2013-11-13","84.84"
"2013-11-12","84.52"
"2013-11-11","83.30"
"2013-11-08","83.38"
"2013-11-07","81.04"
"2013-11-06","83.00"
"2013-11-05","84.48"
"2013-11-04","86.10"
"2013-11-01","85.49"
"2013-10-31","85.61"
"2013-10-30","86.37"
"2013-10-29","87.42"
"2013-10-28","87.48"
"2013-10-25","87.80"
"2013-10-24","86.96"
"2013-10-23","88.02"
"2013-10-22","88.74"
"2013-10-21","89.28"
"2013-10-18","89.62"
"2013-10-17","89.56"
"2013-10-16","90.76"
"2013-10-15","88.94"
"2013-10-14","89.75"
"2013-10-11","88.95"
"2013-10-10","88.82"
"2013-10-09","86.77"
"2013-10-08","85.23"
"2013-10-07","86.00"
"2013-10-04","87.57"
"2013-10-03","86.35"
"2013-10-02","86.99"
"2013-10-01","88.87"
"2013-09-30","88.72"
"2013-09-27","90.37"
"2013-09-26","91.41"
"2013-09-25","89.80"
"2013-09-24","90.36"
"2013-09-23","91.30"
"2013-09-20","91.25"
"2013-09-19","92.56"
"2013-09-18","92.25"
"2013-09-17","90.00"
"2013-09-16","88.97"
"2013-09-13","88.12"
"2013-09-12","87.22"
"2013-09-11","87.28"
"2013-09-10","85.75"
"2013-09-09","86.11"
"2013-09-06","84.74"
"2013-09-05","85.13"
"2013-09-04","85.83"
"2013-09-03","86.84"
"2013-08-30","85.72"
"2013-08-29","85.65"
"2013-08-28","86.51"
"2013-08-27","84.47"
"2013-08-26","85.32"
"2013-08-23","85.30"
"2013-08-22","85.61"
"2013-08-21","83.12"
"2013-08-20","83.66"
"2013-08-19","82.81"
"2013-08-16","83.63"
"2013-08-15","84.04"
"2013-08-14","84.17"
"2013-08-13","84.23"
"2013-08-12","83.56"
"2013-08-09","84.63"
"2013-08-08","84.90"
"2013-08-07","83.92"
"2013-08-06","85.35"
"2013-08-05","86.20"
"2013-08-02","86.87"
"2013-08-01","87.22"
"2013-07-31","86.50"
"2013-07-30","85.72"
"2013-07-29","84.52"
"2013-07-26","85.25"
"2013-07-25","85.52"
"2013-07-24","81.49"
"2013-07-23","82.27"
"2013-07-22","82.52"
"2013-07-19","83.52"
"2013-07-18","84.26"
"2013-07-17","81.77"
"2013-07-16","81.10"
