"Date","Close"
"2013-12-31","70.24"
"2013-12-30","70.19"
"2013-12-27","70.60"
"2013-12-26","70.13"
"2013-12-24","69.52"
"2013-12-23","69.98"
"2013-12-20","68.96"
"2013-12-19","67.89"
"2013-12-18","67.98"
"2013-12-17","66.89"
"2013-12-16","67.41"
"2013-12-13","66.62"
"2013-12-12","66.71"
"2013-12-11","67.24"
"2013-12-10","67.73"
"2013-12-09","67.16"
"2013-12-06","66.95"
"2013-12-05","66.77"
"2013-12-04","67.18"
"2013-12-03","66.65"
"2013-12-02","67.03"
"2013-11-29","67.35"
"2013-11-27","67.50"
"2013-11-26","67.26"
"2013-11-25","66.64"
"2013-11-22","66.39"
"2013-11-21","65.89"
"2013-11-20","65.18"
"2013-11-19","64.89"
"2013-11-18","64.99"
"2013-11-15","65.34"
"2013-11-14","66.44"
"2013-11-13","65.93"
"2013-11-12","64.66"
"2013-11-11","64.82"
"2013-11-08","64.20"
"2013-11-07","64.08"
"2013-11-06","64.86"
"2013-11-05","63.46"
"2013-11-04","62.25"
"2013-11-01","62.37"
"2013-10-31","62.52"
"2013-10-30","62.32"
"2013-10-29","61.88"
"2013-10-28","61.91"
"2013-10-25","60.88"
"2013-10-24","63.74"
"2013-10-23","63.85"
"2013-10-22","64.38"
"2013-10-21","64.29"
"2013-10-18","63.76"
"2013-10-17","64.18"
"2013-10-16","63.94"
"2013-10-15","63.42"
"2013-10-14","63.07"
"2013-10-11","63.06"
"2013-10-10","62.54"
"2013-10-09","61.55"
"2013-10-08","61.80"
"2013-10-07","62.60"
"2013-10-04","62.53"
"2013-10-03","61.63"
"2013-10-02","62.41"
"2013-10-01","62.63"
"2013-09-30","61.80"
"2013-09-27","61.93"
"2013-09-26","62.54"
"2013-09-25","62.63"
"2013-09-24","60.94"
"2013-09-23","62.28"
"2013-09-20","62.05"
"2013-09-19","61.94"
"2013-09-18","62.89"
"2013-09-17","65.95"
"2013-09-16","65.77"
"2013-09-13","65.73"
"2013-09-12","65.63"
"2013-09-11","66.10"
"2013-09-10","65.61"
"2013-09-09","64.77"
"2013-09-06","65.52"
