"Date","Close"
"2013-12-31","57.18"
"2013-12-30","56.61"
"2013-12-27","56.59"
"2013-12-26","55.94"
"2013-12-24","56.08"
"2013-12-23","54.83"
"2013-12-20","54.98"
"2013-12-19","55.51"
"2013-12-18","56.07"
"2013-12-17","58.02"
"2013-12-16","58.65"
"2013-12-13","57.65"
"2013-12-12","58.08"
"2013-12-11","57.91"
"2013-12-10","59.26"
"2013-12-09","59.78"
"2013-12-06","59.05"
"2013-12-05","59.04"
"2013-12-04","60.19"
"2013-12-03","59.31"
"2013-12-02","59.24"
"2013-11-29","59.08"
"2013-11-27","59.72"
"2013-11-26","59.92"
"2013-11-25","59.69"
"2013-11-22","61.09"
"2013-11-21","61.06"
"2013-11-20","61.70"
"2013-11-19","61.42"
"2013-11-18","61.21"
"2013-11-15","61.88"
"2013-11-14","61.83"
"2013-11-13","62.05"
"2013-11-12","61.33"
"2013-11-11","61.98"
"2013-11-08","61.48"
"2013-11-07","59.95"
"2013-11-06","59.55"
"2013-11-05","57.07"
"2013-11-04","57.44"
"2013-11-01","57.39"
"2013-10-31","57.65"
"2013-10-30","58.06"
"2013-10-29","58.19"
"2013-10-28","57.86"
"2013-10-25","57.02"
"2013-10-24","55.39"
"2013-10-23","55.30"
"2013-10-22","56.03"
"2013-10-21","55.11"
"2013-10-18","55.04"
"2013-10-17","55.00"
"2013-10-16","54.81"
"2013-10-15","54.76"
"2013-10-14","55.12"
"2013-10-11","54.77"
"2013-10-10","55.18"
"2013-10-09","54.08"
"2013-10-08","54.00"
"2013-10-07","54.62"
"2013-10-04","55.32"
"2013-10-03","54.71"
"2013-10-02","55.01"
"2013-10-01","54.22"
"2013-09-30","53.75"
"2013-09-27","54.50"
"2013-09-26","55.25"
"2013-09-25","55.01"
"2013-09-24","54.72"
"2013-09-23","54.54"
"2013-09-20","54.76"
"2013-09-19","55.53"
"2013-09-18","56.47"
"2013-09-17","56.27"
"2013-09-16","55.71"
"2013-09-13","55.48"
"2013-09-12","56.71"
"2013-09-11","57.15"
"2013-09-10","57.05"
"2013-09-09","56.73"
"2013-09-06","56.20"
"2013-09-05","55.63"
"2013-09-04","54.46"
"2013-09-03","54.47"
"2013-08-30","55.56"
"2013-08-29","55.67"
"2013-08-28","56.20"
"2013-08-27","56.76"
"2013-08-26","57.21"
"2013-08-23","57.33"
"2013-08-22","56.76"
"2013-08-21","55.16"
"2013-08-20","55.61"
"2013-08-19","55.70"
"2013-08-16","56.01"
"2013-08-15","57.06"
"2013-08-14","57.25"
"2013-08-13","58.30"
"2013-08-12","58.40"
"2013-08-09","58.85"
"2013-08-08","59.05"
"2013-08-07","58.67"
"2013-08-06","57.46"
"2013-08-05","57.80"
"2013-08-02","58.45"
"2013-08-01","58.37"
"2013-07-31","57.34"
"2013-07-30","57.67"
"2013-07-29","58.42"
"2013-07-26","58.85"
"2013-07-25","59.96"
"2013-07-24","60.05"
"2013-07-23","60.87"
"2013-07-22","61.16"
"2013-07-19","61.23"
"2013-07-18","60.67"
"2013-07-17","59.64"
"2013-07-16","58.69"
"2013-07-15","59.88"
"2013-07-12","60.25"
"2013-07-11","59.61"
"2013-07-10","59.34"
"2013-07-09","59.32"
"2013-07-08","58.00"
"2013-07-05","57.83"
"2013-07-03","56.77"
"2013-07-02","57.21"
"2013-07-01","57.99"
"2013-06-28","58.12"
"2013-06-27","58.31"
"2013-06-26","57.77"
"2013-06-25","56.76"
"2013-06-24","56.08"
"2013-06-21","57.35"
"2013-06-20","57.07"
"2013-06-19","58.51"
"2013-06-18","59.48"
"2013-06-17","59.20"
"2013-06-14","58.08"
"2013-06-13","58.94"
"2013-06-12","57.52"
"2013-06-11","58.89"
"2013-06-10","60.06"
"2013-06-07","60.26"
"2013-06-06","59.88"
"2013-06-05","60.41"
"2013-06-04","60.59"
"2013-06-03","60.51"
"2013-05-31","60.17"
"2013-05-30","61.84"
"2013-05-29","62.09"
"2013-05-28","62.63"
"2013-05-24","61.64"
"2013-05-23","62.13"
"2013-05-22","62.35"
"2013-05-21","63.37"
"2013-05-20","64.02"
"2013-05-17","62.15"
"2013-05-16","61.76"
"2013-05-15","61.61"
"2013-05-14","61.45"
"2013-05-13","60.90"
"2013-05-10","60.74"
"2013-05-09","61.24"
"2013-05-08","62.06"
"2013-05-07","62.00"
"2013-05-06","61.42"
"2013-05-03","60.15"
"2013-05-02","58.29"
"2013-05-01","57.61"
"2013-04-30","57.68"
"2013-04-29","56.37"
"2013-04-26","55.41"
"2013-04-25","55.46"
"2013-04-24","55.46"
"2013-04-23","54.65"
"2013-04-22","53.99"
"2013-04-19","53.39"
"2013-04-18","53.33"
"2013-04-17","51.73"
"2013-04-16","53.75"
"2013-04-15","53.78"
"2013-04-12","56.98"
"2013-04-11","58.48"
"2013-04-10","58.77"
"2013-04-09","58.91"
"2013-04-08","58.72"
"2013-04-05","57.93"
"2013-04-04","57.79"
"2013-04-03","56.96"
"2013-04-02","57.82"
"2013-04-01","58.63"
"2013-03-28","60.00"
"2013-03-27","60.01"
"2013-03-26","59.72"
"2013-03-25","58.59"
"2013-03-22","58.52"
"2013-03-21","58.16"
"2013-03-20","58.07"
"2013-03-19","57.08"
"2013-03-18","58.67"
"2013-03-15","59.49"
"2013-03-14","60.00"
"2013-03-13","58.84"
"2013-03-12","57.77"
"2013-03-11","57.69"
"2013-03-08","57.70"
"2013-03-07","57.43"
"2013-03-06","58.00"
"2013-03-05","58.35"
"2013-03-04","58.32"
"2013-03-01","59.71"
"2013-02-28","60.14"
"2013-02-27","60.22"
"2013-02-26","59.20"
"2013-02-25","58.35"
"2013-02-22","61.49"
"2013-02-21","62.23"
"2013-02-20","63.25"
"2013-02-19","65.45"
"2013-02-15","64.35"
"2013-02-14","65.32"
"2013-02-13","64.16"
"2013-02-12","63.80"
"2013-02-11","63.08"
"2013-02-08","63.72"
"2013-02-07","62.86"
"2013-02-06","62.81"
"2013-02-05","63.84"
"2013-02-04","63.91"
"2013-02-01","64.37"
"2013-01-31","63.57"
"2013-01-30","64.50"
"2013-01-29","64.01"
"2013-01-28","62.72"
"2013-01-25","62.11"
"2013-01-24","61.57"
"2013-01-23","62.42"
"2013-01-22","61.80"
"2013-01-18","61.82"
"2013-01-17","61.32"
"2013-01-16","60.67"
"2013-01-15","60.68"
"2013-01-14","60.99"
"2013-01-11","60.88"
"2013-01-10","61.50"
"2013-01-09","61.69"
"2013-01-08","61.78"
"2013-01-07","62.50"
"2013-01-04","62.73"
"2013-01-03","60.67"
"2013-01-02","61.79"
"2012-12-31","59.28"
"2012-12-28","57.61"
"2012-12-27","58.37"
"2012-12-26","58.91"
"2012-12-24","59.20"
"2012-12-21","59.68"
"2012-12-20","60.33"
"2012-12-19","59.42"
"2012-12-18","59.44"
"2012-12-17","57.95"
"2012-12-14","57.38"
"2012-12-13","57.00"
"2012-12-12","57.90"
"2012-12-11","58.45"
"2012-12-10","58.18"
"2012-12-07","57.94"
"2012-12-06","58.10"
"2012-12-05","58.96"
"2012-12-04","58.54"
"2012-12-03","58.39"
"2012-11-30","58.23"
"2012-11-29","57.06"
"2012-11-28","56.93"
"2012-11-27","57.22"
"2012-11-26","57.56"
"2012-11-23","57.26"
"2012-11-21","56.42"
"2012-11-20","55.24"
