"Date","Close"
"2013-12-31","76.12"
"2013-12-30","76.01"
"2013-12-27","76.75"
"2013-12-26","76.58"
"2013-12-24","75.73"
"2013-12-23","75.44"
"2013-12-20","75.72"
"2013-12-19","74.48"
"2013-12-18","75.00"
"2013-12-17","73.45"
"2013-12-16","72.87"
"2013-12-13","70.97"
"2013-12-12","70.57"
"2013-12-11","70.96"
"2013-12-10","72.09"
"2013-12-09","72.30"
"2013-12-06","72.42"
"2013-12-05","71.32"
"2013-12-04","70.30"
"2013-12-03","71.16"
"2013-12-02","71.89"
"2013-11-29","72.66"
"2013-11-27","72.85"
"2013-11-26","72.83"
"2013-11-25","72.77"
"2013-11-22","73.00"
"2013-11-21","72.54"
"2013-11-20","70.89"
"2013-11-19","71.29"
"2013-11-18","72.07"
"2013-11-15","72.30"
"2013-11-14","72.30"
"2013-11-13","72.45"
"2013-11-12","71.90"
"2013-11-11","70.99"
"2013-11-08","70.60"
"2013-11-07","68.92"
"2013-11-06","70.21"
"2013-11-05","70.06"
"2013-11-04","70.62"
"2013-11-01","70.67"
"2013-10-31","70.56"
"2013-10-30","71.29"
"2013-10-29","71.31"
"2013-10-28","70.55"
"2013-10-25","71.64"
"2013-10-24","68.50"
"2013-10-23","67.77"
"2013-10-22","69.02"
"2013-10-21","68.38"
"2013-10-18","68.73"
"2013-10-17","67.33"
"2013-10-16","66.79"
"2013-10-15","66.94"
"2013-10-14","68.95"
"2013-10-11","69.30"
"2013-10-10","67.92"
"2013-10-09","65.65"
"2013-10-08","65.90"
"2013-10-07","67.21"
"2013-10-04","69.05"
"2013-10-03","68.23"
"2013-10-02","69.26"
"2013-10-01","68.99"
"2013-09-30","68.84"
"2013-09-27","69.69"
"2013-09-26","70.51"
"2013-09-25","70.40"
"2013-09-24","70.43"
"2013-09-23","69.49"
"2013-09-20","70.57"
"2013-09-19","70.79"
"2013-09-18","69.74"
"2013-09-17","68.22"
"2013-09-16","68.53"
"2013-09-13","67.33"
"2013-09-12","67.17"
"2013-09-11","68.00"
"2013-09-10","67.88"
"2013-09-09","66.75"
"2013-09-06","65.63"
"2013-09-05","65.44"
"2013-09-04","64.99"
"2013-09-03","63.08"
"2013-08-30","63.32"
"2013-08-29","63.99"
"2013-08-28","63.81"
"2013-08-27","64.04"
"2013-08-26","65.98"
"2013-08-23","66.89"
"2013-08-22","67.00"
"2013-08-21","65.47"
"2013-08-20","65.12"
"2013-08-19","64.83"
"2013-08-16","65.44"
"2013-08-15","65.24"
"2013-08-14","66.79"
"2013-08-13","66.94"
"2013-08-12","66.47"
"2013-08-09","65.62"
"2013-08-08","65.35"
"2013-08-07","64.55"
"2013-08-06","65.50"
"2013-08-05","66.33"
"2013-08-02","66.06"
"2013-08-01","69.93"
"2013-07-31","68.95"
"2013-07-30","68.30"
"2013-07-29","67.62"
"2013-07-26","68.03"
"2013-07-25","68.02"
"2013-07-24","68.08"
"2013-07-23","68.95"
"2013-07-22","68.12"
"2013-07-19","68.28"
"2013-07-18","67.64"
"2013-07-17","66.92"
"2013-07-16","66.50"
"2013-07-15","68.19"
"2013-07-12","68.34"
"2013-07-11","68.21"
"2013-07-10","67.39"
"2013-07-09","68.11"
"2013-07-08","67.96"
"2013-07-05","67.72"
"2013-07-03","66.22"
"2013-07-02","66.04"
"2013-07-01","66.48"
"2013-06-28","65.81"
"2013-06-27","65.22"
"2013-06-26","63.94"
"2013-06-25","63.15"
"2013-06-24","62.19"
"2013-06-21","63.96"
"2013-06-20","63.57"
"2013-06-19","64.70"
"2013-06-18","65.84"
"2013-06-17","64.74"
"2013-06-14","64.58"
"2013-06-13","64.83"
"2013-06-12","63.52"
"2013-06-11","64.56"
"2013-06-10","65.64"
"2013-06-07","65.62"
"2013-06-06","64.40"
"2013-06-05","64.08"
"2013-06-04","65.59"
"2013-06-03","66.22"
"2013-05-31","66.06"
"2013-05-30","67.77"
"2013-05-29","67.24"
"2013-05-28","68.67"
"2013-05-24","68.23"
"2013-05-23","68.24"
"2013-05-22","68.88"
"2013-05-21","68.69"
"2013-05-20","68.07"
"2013-05-17","66.86"
"2013-05-16","65.70"
"2013-05-15","65.68"
"2013-05-14","65.09"
"2013-05-13","64.23"
"2013-05-10","64.93"
"2013-05-09","64.74"
"2013-05-08","64.56"
"2013-05-07","63.46"
"2013-05-06","62.07"
"2013-05-03","61.65"
"2013-05-02","59.45"
"2013-05-01","59.27"
"2013-04-30","61.41"
"2013-04-29","60.28"
"2013-04-26","58.65"
"2013-04-25","58.69"
"2013-04-24","58.62"
"2013-04-23","58.16"
"2013-04-22","56.89"
"2013-04-19","56.96"
"2013-04-18","55.80"
"2013-04-17","57.35"
"2013-04-16","59.05"
"2013-04-15","57.22"
"2013-04-12","60.30"
"2013-04-11","61.69"
"2013-04-10","61.12"
"2013-04-09","60.47"
"2013-04-08","60.33"
"2013-04-05","59.32"
"2013-04-04","59.53"
"2013-04-03","59.25"
"2013-04-02","60.93"
"2013-04-01","61.18"
"2013-03-28","61.25"
"2013-03-27","60.74"
"2013-03-26","61.16"
"2013-03-25","61.98"
"2013-03-22","63.27"
"2013-03-21","62.62"
"2013-03-20","62.68"
"2013-03-19","61.39"
"2013-03-18","61.83"
"2013-03-15","62.57"
"2013-03-14","63.17"
"2013-03-13","63.42"
"2013-03-12","62.84"
"2013-03-11","63.39"
"2013-03-08","63.35"
"2013-03-07","62.02"
"2013-03-06","62.62"
"2013-03-05","62.15"
"2013-03-04","62.12"
"2013-03-01","62.66"
"2013-02-28","61.97"
"2013-02-27","61.69"
"2013-02-26","59.56"
"2013-02-25","59.27"
"2013-02-22","59.75"
"2013-02-21","59.45"
"2013-02-20","60.74"
"2013-02-19","61.49"
"2013-02-15","60.87"
"2013-02-14","61.24"
"2013-02-13","61.04"
"2013-02-12","60.21"
"2013-02-11","59.67"
"2013-02-08","58.92"
"2013-02-07","58.88"
"2013-02-06","59.65"
"2013-02-05","59.37"
"2013-02-04","56.58"
"2013-02-01","57.52"
"2013-01-31","56.95"
"2013-01-30","56.95"
"2013-01-29","57.54"
"2013-01-28","57.25"
"2013-01-25","57.52"
"2013-01-24","57.31"
"2013-01-23","56.56"
"2013-01-22","56.98"
"2013-01-18","56.67"
"2013-01-17","56.42"
"2013-01-16","55.10"
"2013-01-15","55.59"
"2013-01-14","55.33"
"2013-01-11","55.75"
"2013-01-10","55.93"
"2013-01-09","55.77"
"2013-01-08","55.02"
"2013-01-07","55.75"
"2013-01-04","56.75"
"2013-01-03","56.37"
"2013-01-02","56.45"
"2012-12-31","54.18"
"2012-12-28","53.09"
"2012-12-27","53.63"
"2012-12-26","53.84"
"2012-12-24","53.47"
"2012-12-21","53.84"
"2012-12-20","54.66"
"2012-12-19","54.12"
"2012-12-18","53.88"
"2012-12-17","52.45"
"2012-12-14","52.57"
"2012-12-13","51.68"
"2012-12-12","52.04"
"2012-12-11","52.45"
"2012-12-10","52.34"
"2012-12-07","52.47"
"2012-12-06","51.40"
"2012-12-05","51.18"
"2012-12-04","51.28"
"2012-12-03","51.15"
"2012-11-30","52.16"
"2012-11-29","51.99"
"2012-11-28","52.03"
"2012-11-27","51.05"
"2012-11-26","51.17"
"2012-11-23","51.58"
"2012-11-21","50.73"
"2012-11-20","50.72"
"2012-11-19","50.25"
"2012-11-16","48.94"
"2012-11-15","48.26"
"2012-11-14","48.45"
"2012-11-13","49.47"
"2012-11-12","49.55"
"2012-11-09","49.05"
"2012-11-08","48.88"
"2012-11-07","49.55"
"2012-11-06","50.42"
"2012-11-05","50.49"
"2012-11-02","49.20"
"2012-11-01","49.59"
"2012-10-31","47.22"
"2012-10-26","45.12"
"2012-10-25","45.42"
"2012-10-24","44.99"
"2012-10-23","45.55"
"2012-10-22","46.10"
"2012-10-19","45.81"
"2012-10-18","46.51"
"2012-10-17","46.74"
"2012-10-16","46.00"
"2012-10-15","45.20"
"2012-10-12","44.97"
"2012-10-11","44.65"
"2012-10-10","44.86"
"2012-10-09","46.29"
"2012-10-08","46.81"
"2012-10-05","47.28"
"2012-10-04","46.66"
"2012-10-03","46.64"
"2012-10-02","46.64"
"2012-10-01","47.14"
"2012-09-28","47.27"
"2012-09-27","47.10"
"2012-09-26","46.28"
"2012-09-25","46.23"
"2012-09-24","47.73"
"2012-09-21","48.13"
"2012-09-20","47.97"
"2012-09-19","48.52"
"2012-09-18","47.65"
"2012-09-17","47.26"
"2012-09-14","47.23"
"2012-09-13","47.82"
"2012-09-12","47.66"
"2012-09-11","47.62"
"2012-09-10","47.12"
"2012-09-07","47.43"
"2012-09-06","46.10"
"2012-09-05","43.98"
"2012-09-04","44.22"
"2012-08-31","44.72"
"2012-08-30","44.50"
"2012-08-29","45.31"
"2012-08-28","45.64"
"2012-08-27","46.17"
