"Date","Close"
"2013-12-31","63.27"
"2013-12-30","63.32"
"2013-12-27","62.83"
"2013-12-26","62.37"
"2013-12-24","62.73"
"2013-12-23","62.54"
"2013-12-20","62.49"
"2013-12-19","61.56"
"2013-12-18","62.21"
"2013-12-17","61.65"
"2013-12-16","61.89"
"2013-12-13","61.20"
"2013-12-12","61.22"
"2013-12-11","60.85"
"2013-12-10","61.30"
"2013-12-09","62.40"
"2013-12-06","63.01"
"2013-12-05","62.24"
"2013-12-04","62.16"
"2013-12-03","61.97"
"2013-12-02","62.28"
"2013-11-29","61.89"
"2013-11-27","61.75"
"2013-11-26","62.00"
"2013-11-25","62.52"
"2013-11-22","62.53"
"2013-11-21","62.88"
"2013-11-20","62.83"
"2013-11-19","63.28"
"2013-11-18","63.55"
"2013-11-15","63.67"
"2013-11-14","63.43"
"2013-11-13","62.79"
"2013-11-12","63.01"
"2013-11-11","63.22"
"2013-11-08","64.42"
"2013-11-07","64.40"
"2013-11-06","64.90"
"2013-11-05","64.01"
"2013-11-04","64.97"
"2013-11-01","65.14"
"2013-10-31","64.72"
"2013-10-30","65.46"
"2013-10-29","66.06"
"2013-10-28","68.11"
"2013-10-25","68.27"
"2013-10-24","68.10"
"2013-10-23","68.13"
"2013-10-22","67.53"
"2013-10-21","66.14"
"2013-10-18","66.35"
"2013-10-17","66.59"
"2013-10-16","65.02"
"2013-10-15","63.67"
"2013-10-14","64.86"
"2013-10-11","65.30"
"2013-10-10","65.11"
"2013-10-09","64.21"
"2013-10-08","63.55"
"2013-10-07","63.45"
"2013-10-04","63.48"
"2013-10-03","63.51"
"2013-10-02","64.03"
"2013-10-01","63.68"
"2013-09-30","63.19"
"2013-09-27","63.32"
"2013-09-26","63.62"
"2013-09-25","63.63"
"2013-09-24","63.98"
"2013-09-23","64.44"
"2013-09-20","63.63"
"2013-09-19","65.02"
"2013-09-18","65.67"
"2013-09-17","63.80"
"2013-09-16","63.77"
"2013-09-13","63.09"
"2013-09-12","62.29"
"2013-09-11","62.87"
"2013-09-10","63.27"
"2013-09-09","63.03"
"2013-09-06","62.92"
"2013-09-05","62.04"
"2013-09-04","62.15"
"2013-09-03","62.54"
"2013-08-30","63.23"
"2013-08-29","63.02"
"2013-08-28","62.31"
"2013-08-27","62.56"
"2013-08-26","63.07"
"2013-08-23","63.94"
"2013-08-22","63.34"
"2013-08-21","62.95"
"2013-08-20","63.99"
"2013-08-19","63.54"
"2013-08-16","64.59"
"2013-08-15","65.76"
"2013-08-14","66.23"
"2013-08-13","65.71"
"2013-08-12","66.14"
"2013-08-09","66.90"
"2013-08-08","69.16"
"2013-08-07","68.77"
"2013-08-06","66.86"
"2013-08-05","67.53"
"2013-08-02","68.19"
"2013-08-01","67.89"
"2013-07-31","67.50"
"2013-07-30","69.60"
"2013-07-29","70.53"
"2013-07-26","70.13"
"2013-07-25","70.09"
"2013-07-24","70.42"
"2013-07-23","72.33"
"2013-07-22","72.35"
"2013-07-19","71.91"
"2013-07-18","71.77"
"2013-07-17","70.64"
"2013-07-16","71.02"
"2013-07-15","71.60"
"2013-07-12","70.89"
"2013-07-11","71.31"
"2013-07-10","69.70"
"2013-07-09","69.14"
"2013-07-08","68.95"
"2013-07-05","68.06"
"2013-07-03","69.29"
"2013-07-02","69.35"
"2013-07-01","69.34"
"2013-06-28","69.68"
"2013-06-27","70.05"
"2013-06-26","70.28"
"2013-06-25","69.16"
"2013-06-24","68.11"
"2013-06-21","68.13"
"2013-06-20","66.37"
"2013-06-19","68.25"
"2013-06-18","69.17"
"2013-06-17","68.62"
"2013-06-14","68.47"
"2013-06-13","68.88"
"2013-06-12","67.71"
"2013-06-11","68.66"
"2013-06-10","69.57"
"2013-06-07","68.19"
"2013-06-06","68.01"
"2013-06-05","67.39"
"2013-06-04","68.24"
"2013-06-03","69.71"
"2013-05-31","68.88"
"2013-05-30","69.10"
"2013-05-29","68.59"
"2013-05-28","69.50"
"2013-05-24","68.94"
"2013-05-23","68.92"
"2013-05-22","69.07"
"2013-05-21","70.30"
"2013-05-20","70.60"
"2013-05-17","71.14"
"2013-05-16","69.67"
"2013-05-15","69.61"
"2013-05-14","68.08"
"2013-05-13","67.29"
"2013-05-10","67.49"
"2013-05-09","67.00"
"2013-05-08","68.05"
"2013-05-07","68.77"
"2013-05-06","69.13"
"2013-05-03","71.10"
"2013-05-02","71.57"
"2013-05-01","71.39"
"2013-04-30","71.23"
"2013-04-29","70.86"
"2013-04-26","69.11"
"2013-04-25","68.62"
"2013-04-24","70.12"
"2013-04-23","69.50"
"2013-04-22","69.69"
"2013-04-19","69.71"
"2013-04-18","70.29"
"2013-04-17","69.20"
"2013-04-16","69.53"
"2013-04-15","68.65"
"2013-04-12","69.70"
"2013-04-11","69.05"
"2013-04-10","68.26"
"2013-04-09","67.65"
"2013-04-08","67.86"
"2013-04-05","67.28"
"2013-04-04","66.52"
"2013-04-03","65.00"
"2013-04-02","64.03"
"2013-04-01","63.39"
"2013-03-28","63.24"
"2013-03-27","62.94"
"2013-03-26","62.69"
"2013-03-25","61.67"
"2013-03-22","62.38"
"2013-03-21","62.92"
"2013-03-20","63.97"
"2013-03-19","64.02"
"2013-03-18","64.46"
"2013-03-15","65.23"
"2013-03-14","63.64"
"2013-03-13","63.68"
"2013-03-12","63.47"
"2013-03-11","63.52"
"2013-03-08","63.43"
"2013-03-07","63.52"
"2013-03-06","63.65"
"2013-03-05","63.58"
"2013-03-04","62.95"
"2013-03-01","62.12"
"2013-02-28","62.26"
"2013-02-27","62.02"
"2013-02-26","61.54"
"2013-02-25","61.58"
"2013-02-22","62.05"
"2013-02-21","61.52"
"2013-02-20","61.55"
"2013-02-19","61.78"
"2013-02-15","61.45"
"2013-02-14","61.80"
"2013-02-13","63.66"
"2013-02-12","63.93"
"2013-02-11","64.62"
"2013-02-08","64.47"
"2013-02-07","64.96"
"2013-02-06","64.88"
"2013-02-05","64.98"
"2013-02-04","64.10"
"2013-02-01","64.84"
"2013-01-31","64.60"
"2013-01-30","64.59"
"2013-01-29","65.05"
"2013-01-28","64.45"
"2013-01-25","64.59"
"2013-01-24","63.84"
"2013-01-23","63.91"
