"Date","Close"
"2013-12-31","44.25"
"2013-12-30","44.15"
"2013-12-27","44.16"
"2013-12-26","43.63"
"2013-12-24","43.47"
"2013-12-23","43.58"
"2013-12-20","43.55"
"2013-12-19","42.96"
"2013-12-18","43.10"
"2013-12-17","42.70"
"2013-12-16","42.80"
"2013-12-13","43.02"
"2013-12-12","42.63"
"2013-12-11","42.50"
"2013-12-10","42.81"
"2013-12-09","43.41"
"2013-12-06","43.44"
"2013-12-05","43.18"
"2013-12-04","43.31"
"2013-12-03","43.27"
"2013-12-02","43.43"
"2013-11-29","43.44"
"2013-11-27","43.52"
"2013-11-26","43.45"
"2013-11-25","43.77"
"2013-11-22","43.62"
"2013-11-21","43.79"
"2013-11-20","43.43"
"2013-11-19","43.35"
"2013-11-18","43.31"
"2013-11-15","43.33"
"2013-11-14","43.23"
"2013-11-13","43.10"
"2013-11-12","42.61"
"2013-11-11","42.52"
"2013-11-08","42.42"
"2013-11-07","42.17"
"2013-11-06","42.61"
"2013-11-05","43.41"
"2013-11-04","46.29"
"2013-11-01","45.40"
"2013-10-31","45.29"
"2013-10-30","46.34"
"2013-10-29","46.64"
"2013-10-28","46.63"
"2013-10-25","45.88"
"2013-10-24","46.30"
"2013-10-23","44.14"
"2013-10-22","44.54"
"2013-10-21","44.35"
"2013-10-18","43.91"
"2013-10-17","43.14"
"2013-10-16","43.41"
"2013-10-15","43.16"
"2013-10-14","43.58"
"2013-10-11","43.45"
"2013-10-10","43.12"
"2013-10-09","42.41"
"2013-10-08","42.06"
"2013-10-07","42.90"
"2013-10-04","43.03"
"2013-10-03","43.02"
"2013-10-02","44.06"
"2013-10-01","44.51"
"2013-09-30","44.06"
"2013-09-27","44.14"
"2013-09-26","44.32"
"2013-09-25","44.18"
"2013-09-24","44.70"
"2013-09-23","44.57"
"2013-09-20","44.81"
"2013-09-19","44.93"
"2013-09-18","45.23"
"2013-09-17","43.89"
"2013-09-16","44.64"
"2013-09-13","44.28"
"2013-09-12","44.34"
"2013-09-11","44.74"
"2013-09-10","44.29"
"2013-09-09","43.62"
"2013-09-06","42.90"
"2013-09-05","42.14"
