"Date","Close"
"2013-12-31","69.66"
"2013-12-30","68.84"
"2013-12-27","68.76"
"2013-12-26","69.03"
"2013-12-24","68.50"
"2013-12-23","68.68"
"2013-12-20","67.61"
"2013-12-19","66.80"
"2013-12-18","67.55"
"2013-12-17","66.39"
"2013-12-16","65.88"
"2013-12-13","62.73"
"2013-12-12","62.54"
"2013-12-11","62.31"
"2013-12-10","63.20"
"2013-12-09","63.50"
"2013-12-06","63.48"
"2013-12-05","63.58"
"2013-12-04","62.84"
"2013-12-03","62.56"
"2013-12-02","62.61"
"2013-11-29","63.69"
"2013-11-27","63.30"
"2013-11-26","62.33"
"2013-11-25","61.39"
"2013-11-22","62.05"
"2013-11-21","62.59"
"2013-11-20","61.11"
"2013-11-19","60.70"
"2013-11-18","61.05"
"2013-11-15","61.19"
"2013-11-14","61.04"
"2013-11-13","61.72"
"2013-11-12","62.02"
"2013-11-11","61.25"
"2013-11-08","59.88"
"2013-11-07","58.91"
"2013-11-06","59.81"
"2013-11-05","59.58"
"2013-11-04","60.24"
"2013-11-01","60.11"
"2013-10-31","58.97"
"2013-10-30","49.96"
"2013-10-29","50.68"
"2013-10-28","49.93"
"2013-10-25","50.45"
"2013-10-24","50.50"
"2013-10-23","49.20"
"2013-10-22","48.91"
"2013-10-21","48.19"
"2013-10-18","48.43"
"2013-10-17","48.21"
"2013-10-16","47.90"
"2013-10-15","47.89"
"2013-10-14","48.51"
"2013-10-11","51.73"
"2013-10-10","51.39"
"2013-10-09","49.99"
"2013-10-08","50.63"
"2013-10-07","51.77"
"2013-10-04","51.67"
"2013-10-03","52.15"
"2013-10-02","53.46"
"2013-10-01","52.86"
"2013-09-30","51.81"
"2013-09-27","52.21"
"2013-09-26","52.02"
"2013-09-25","51.59"
"2013-09-24","52.19"
"2013-09-23","51.86"
"2013-09-20","52.82"
"2013-09-19","53.12"
"2013-09-18","53.47"
"2013-09-17","52.26"
"2013-09-16","52.42"
"2013-09-13","51.19"
"2013-09-12","51.18"
"2013-09-11","52.09"
"2013-09-10","51.84"
"2013-09-09","50.64"
"2013-09-06","49.68"
"2013-09-05","48.18"
"2013-09-04","48.91"
"2013-09-03","47.27"
"2013-08-30","46.76"
"2013-08-29","47.09"
"2013-08-28","47.00"
"2013-08-27","46.96"
"2013-08-26","47.20"
"2013-08-23","48.84"
"2013-08-22","46.47"
"2013-08-21","45.70"
"2013-08-20","47.60"
"2013-08-19","46.84"
"2013-08-16","47.39"
"2013-08-15","47.77"
"2013-08-14","48.79"
"2013-08-13","49.38"
"2013-08-12","49.67"
"2013-08-09","50.68"
"2013-08-08","50.90"
"2013-08-07","50.80"
"2013-08-06","50.97"
"2013-08-05","49.69"
"2013-08-02","48.17"
"2013-08-01","47.20"
"2013-07-31","47.13"
"2013-07-30","47.49"
"2013-07-29","46.03"
"2013-07-26","47.20"
"2013-07-25","65.00"
"2013-07-24","63.78"
"2013-07-23","63.78"
"2013-07-22","63.95"
"2013-07-19","64.43"
"2013-07-18","65.52"
"2013-07-17","65.10"
"2013-07-16","64.50"
"2013-07-15","64.34"
"2013-07-12","63.75"
"2013-07-11","63.08"
"2013-07-10","63.22"
"2013-07-09","63.02"
"2013-07-08","62.40"
"2013-07-05","62.88"
"2013-07-03","61.68"
"2013-07-02","61.69"
"2013-07-01","62.11"
"2013-06-28","60.15"
"2013-06-27","59.92"
"2013-06-26","57.91"
"2013-06-25","57.12"
"2013-06-24","56.99"
"2013-06-21","58.83"
"2013-06-20","59.70"
"2013-06-19","60.49"
"2013-06-18","60.64"
"2013-06-17","59.13"
"2013-06-14","58.01"
"2013-06-13","58.15"
"2013-06-12","56.37"
"2013-06-11","55.84"
"2013-06-10","56.74"
"2013-06-07","55.84"
"2013-06-06","55.60"
"2013-06-05","54.96"
"2013-06-04","56.13"
"2013-06-03","57.51"
"2013-05-31","57.51"
"2013-05-30","57.49"
"2013-05-29","57.46"
