"Date","Close"
"2013-12-31","47.51"
"2013-12-30","47.66"
"2013-12-27","47.39"
"2013-12-26","47.13"
"2013-12-24","46.30"
"2013-12-23","46.14"
"2013-12-20","45.62"
"2013-12-19","48.01"
"2013-12-18","48.02"
"2013-12-17","47.10"
"2013-12-16","47.01"
"2013-12-13","46.24"
"2013-12-12","46.41"
"2013-12-11","47.05"
"2013-12-10","47.79"
"2013-12-09","47.50"
"2013-12-06","47.45"
"2013-12-05","46.57"
"2013-12-04","46.75"
"2013-12-03","47.32"
"2013-12-02","47.11"
"2013-11-29","46.53"
"2013-11-27","46.42"
"2013-11-26","46.58"
"2013-11-25","46.75"
"2013-11-22","47.36"
"2013-11-21","47.11"
"2013-11-20","46.14"
"2013-11-19","46.45"
"2013-11-18","46.89"
"2013-11-15","46.96"
"2013-11-14","46.60"
"2013-11-13","46.49"
"2013-11-12","47.00"
"2013-11-11","46.83"
"2013-11-08","47.13"
"2013-11-07","46.49"
"2013-11-06","48.27"
"2013-11-05","49.15"
"2013-11-04","51.89"
"2013-11-01","49.39"
"2013-10-31","49.83"
"2013-10-30","50.49"
"2013-10-29","50.88"
"2013-10-28","50.50"
"2013-10-25","50.63"
"2013-10-24","49.24"
"2013-10-23","48.88"
"2013-10-22","49.90"
"2013-10-21","49.12"
"2013-10-18","49.20"
"2013-10-17","48.90"
"2013-10-16","48.73"
"2013-10-15","47.93"
"2013-10-14","48.10"
"2013-10-11","47.31"
"2013-10-10","47.92"
"2013-10-09","46.85"
"2013-10-08","49.98"
"2013-10-07","50.45"
"2013-10-04","51.26"
"2013-10-03","50.99"
"2013-10-02","51.51"
"2013-10-01","51.36"
"2013-09-30","50.27"
"2013-09-27","50.00"
"2013-09-26","49.87"
"2013-09-25","49.60"
"2013-09-24","49.93"
"2013-09-23","49.79"
"2013-09-20","50.16"
"2013-09-19","50.98"
"2013-09-18","50.85"
"2013-09-17","50.24"
"2013-09-16","50.28"
"2013-09-13","50.08"
"2013-09-12","50.15"
"2013-09-11","50.25"
"2013-09-10","50.26"
"2013-09-09","49.07"
"2013-09-06","47.89"
"2013-09-05","48.60"
"2013-09-04","45.84"
"2013-09-03","45.00"
"2013-08-30","43.99"
"2013-08-29","44.46"
"2013-08-28","44.04"
"2013-08-27","44.02"
"2013-08-26","44.89"
"2013-08-23","45.17"
"2013-08-22","45.24"
"2013-08-21","44.60"
"2013-08-20","44.82"
"2013-08-19","44.18"
"2013-08-16","44.80"
"2013-08-15","45.20"
"2013-08-14","46.43"
"2013-08-13","46.93"
"2013-08-12","46.78"
"2013-08-09","47.53"
"2013-08-08","47.52"
"2013-08-07","47.75"
"2013-08-06","49.03"
"2013-08-05","49.28"
"2013-08-02","50.24"
"2013-08-01","50.12"
"2013-07-31","49.03"
"2013-07-30","48.34"
"2013-07-29","47.07"
"2013-07-26","46.68"
"2013-07-25","46.25"
"2013-07-24","45.45"
"2013-07-23","46.64"
"2013-07-22","46.90"
"2013-07-19","46.81"
"2013-07-18","47.18"
"2013-07-17","47.00"
"2013-07-16","47.08"
"2013-07-15","46.98"
"2013-07-12","47.13"
"2013-07-11","46.56"
"2013-07-10","45.77"
"2013-07-09","47.10"
"2013-07-08","45.97"
"2013-07-05","45.81"
"2013-07-03","45.29"
"2013-07-02","45.82"
"2013-07-01","45.84"
"2013-06-28","45.79"
"2013-06-27","46.90"
"2013-06-26","46.10"
"2013-06-25","45.49"
"2013-06-24","45.18"
"2013-06-21","45.07"
"2013-06-20","44.95"
"2013-06-19","46.32"
"2013-06-18","46.90"
"2013-06-17","47.20"
"2013-06-14","47.69"
"2013-06-13","48.56"
"2013-06-12","47.71"
"2013-06-11","48.48"
"2013-06-10","48.52"
"2013-06-07","48.41"
"2013-06-06","47.63"
"2013-06-05","47.70"
"2013-06-04","50.92"
"2013-06-03","51.98"
"2013-05-31","52.18"
"2013-05-30","51.70"
"2013-05-29","51.91"
"2013-05-28","52.10"
"2013-05-24","51.91"
"2013-05-23","51.87"
"2013-05-22","51.10"
"2013-05-21","51.74"
"2013-05-20","50.80"
"2013-05-17","51.11"
"2013-05-16","50.85"
"2013-05-15","52.00"
"2013-05-14","51.87"
"2013-05-13","50.94"
"2013-05-10","50.78"
"2013-05-09","48.72"
