"Date","Close"
"2013-12-31","37.74"
"2013-12-30","37.67"
"2013-12-27","37.50"
"2013-12-26","36.96"
"2013-12-24","36.30"
"2013-12-23","35.73"
"2013-12-20","35.69"
"2013-12-19","35.19"
"2013-12-18","35.18"
"2013-12-17","34.90"
"2013-12-16","34.60"
"2013-12-13","34.34"
"2013-12-12","34.29"
"2013-12-11","34.45"
"2013-12-10","34.89"
"2013-12-09","34.63"
"2013-12-06","34.25"
"2013-12-05","34.28"
"2013-12-04","34.54"
"2013-12-03","34.22"
"2013-12-02","34.26"
"2013-11-29","34.69"
"2013-11-27","34.68"
"2013-11-26","35.32"
"2013-11-25","35.79"
"2013-11-22","36.10"
"2013-11-21","36.17"
"2013-11-20","36.18"
"2013-11-19","36.40"
"2013-11-18","36.49"
"2013-11-15","36.83"
"2013-11-14","36.34"
"2013-11-13","36.33"
"2013-11-12","35.90"
"2013-11-11","36.46"
"2013-11-08","36.58"
"2013-11-07","35.93"
"2013-11-06","37.08"
"2013-11-05","37.19"
"2013-11-04","37.40"
"2013-11-01","36.78"
"2013-10-31","36.76"
"2013-10-30","37.28"
"2013-10-29","37.68"
"2013-10-28","37.27"
"2013-10-25","37.44"
"2013-10-24","37.41"
"2013-10-23","36.63"
"2013-10-22","36.36"
"2013-10-21","35.04"
"2013-10-18","34.89"
"2013-10-17","34.71"
"2013-10-16","34.13"
"2013-10-15","34.04"
"2013-10-14","33.87"
"2013-10-11","33.44"
"2013-10-10","33.23"
"2013-10-09","32.88"
"2013-10-08","32.90"
"2013-10-07","33.45"
"2013-10-04","33.78"
"2013-10-03","33.01"
"2013-10-02","33.51"
"2013-10-01","32.92"
"2013-09-30","33.08"
"2013-09-27","33.42"
"2013-09-26","33.87"
"2013-09-25","33.83"
"2013-09-24","33.74"
"2013-09-23","33.76"
"2013-09-20","33.87"
"2013-09-19","34.60"
"2013-09-18","34.55"
"2013-09-17","33.53"
"2013-09-16","33.25"
"2013-09-13","33.04"
"2013-09-12","33.15"
"2013-09-11","32.83"
"2013-09-10","31.93"
"2013-09-09","31.84"
"2013-09-06","31.18"
"2013-09-05","30.76"
"2013-09-04","31.10"
"2013-09-03","31.12"
"2013-08-30","30.22"
"2013-08-29","30.42"
"2013-08-28","30.48"
"2013-08-27","30.60"
"2013-08-26","31.51"
"2013-08-23","31.79"
"2013-08-22","31.35"
"2013-08-21","30.36"
"2013-08-20","30.98"
"2013-08-19","30.93"
"2013-08-16","31.54"
"2013-08-15","31.92"
"2013-08-14","31.59"
"2013-08-13","31.16"
"2013-08-12","31.85"
"2013-08-09","31.61"
"2013-08-08","30.80"
"2013-08-07","29.43"
"2013-08-06","29.16"
"2013-08-05","29.02"
"2013-08-02","29.20"
"2013-08-01","29.10"
"2013-07-31","28.28"
"2013-07-30","28.21"
"2013-07-29","28.56"
"2013-07-26","28.93"
"2013-07-25","28.84"
"2013-07-24","28.88"
"2013-07-23","29.99"
"2013-07-22","29.15"
"2013-07-19","28.56"
"2013-07-18","28.17"
"2013-07-17","28.11"
"2013-07-16","28.26"
"2013-07-15","28.13"
"2013-07-12","28.05"
"2013-07-11","28.53"
"2013-07-10","27.60"
"2013-07-09","27.64"
"2013-07-08","27.46"
"2013-07-05","27.34"
"2013-07-03","27.68"
"2013-07-02","27.74"
"2013-07-01","28.27"
"2013-06-28","27.61"
"2013-06-27","27.30"
"2013-06-26","26.85"
"2013-06-25","27.26"
"2013-06-24","26.82"
"2013-06-21","28.16"
"2013-06-20","27.72"
"2013-06-19","29.19"
"2013-06-18","29.52"
"2013-06-17","29.66"
"2013-06-14","29.57"
"2013-06-13","29.71"
"2013-06-12","29.59"
"2013-06-11","30.32"
"2013-06-10","30.88"
"2013-06-07","30.92"
"2013-06-06","31.03"
"2013-06-05","30.32"
"2013-06-04","30.85"
"2013-06-03","31.47"
"2013-05-31","31.05"
"2013-05-30","31.85"
"2013-05-29","31.06"
"2013-05-28","30.89"
"2013-05-24","30.40"
"2013-05-23","30.93"
"2013-05-22","31.66"
"2013-05-21","31.98"
"2013-05-20","32.88"
"2013-05-17","32.68"
"2013-05-16","32.04"
"2013-05-15","31.76"
"2013-05-14","31.57"
"2013-05-13","31.96"
"2013-05-10","32.55"
"2013-05-09","32.62"
"2013-05-08","32.39"
"2013-05-07","31.55"
"2013-05-06","31.43"
"2013-05-03","31.13"
"2013-05-02","30.34"
"2013-05-01","30.36"
"2013-04-30","30.43"
"2013-04-29","29.90"
"2013-04-26","29.42"
"2013-04-25","29.86"
"2013-04-24","29.78"
"2013-04-23","28.52"
"2013-04-22","28.56"
"2013-04-19","28.24"
"2013-04-18","28.05"
"2013-04-17","28.00"
"2013-04-16","29.25"
"2013-04-15","29.27"
"2013-04-12","31.92"
"2013-04-11","32.79"
"2013-04-10","33.69"
"2013-04-09","33.76"
"2013-04-08","32.42"
"2013-04-05","32.10"
"2013-04-04","31.70"
"2013-04-03","31.55"
"2013-04-02","31.92"
