"Date","Close"
"2013-12-31","64.97"
"2013-12-30","65.44"
"2013-12-27","64.99"
"2013-12-26","64.95"
"2013-12-24","65.55"
"2013-12-23","65.33"
"2013-12-20","64.49"
"2013-12-19","63.58"
"2013-12-18","63.94"
"2013-12-17","63.67"
"2013-12-16","63.68"
"2013-12-13","63.96"
"2013-12-12","64.20"
"2013-12-11","64.66"
"2013-12-10","65.36"
"2013-12-09","65.69"
"2013-12-06","65.98"
"2013-12-05","67.60"
"2013-12-04","69.14"
"2013-12-03","69.14"
"2013-12-02","69.32"
"2013-11-29","69.77"
"2013-11-27","70.14"
"2013-11-26","70.53"
"2013-11-25","70.83"
"2013-11-22","70.54"
"2013-11-21","70.22"
"2013-11-20","69.99"
"2013-11-19","70.39"
"2013-11-18","70.06"
"2013-11-15","70.02"
"2013-11-14","69.93"
"2013-11-13","69.63"
"2013-11-12","68.70"
"2013-11-11","68.54"
"2013-11-08","67.50"
"2013-11-07","67.60"
"2013-11-06","68.66"
"2013-11-05","69.09"
"2013-11-04","69.76"
"2013-11-01","69.55"
"2013-10-31","68.88"
"2013-10-30","69.24"
"2013-10-29","69.33"
"2013-10-28","69.25"
"2013-10-25","69.58"
"2013-10-24","69.21"
"2013-10-23","69.89"
"2013-10-22","69.80"
"2013-10-21","69.80"
"2013-10-18","69.56"
"2013-10-17","70.97"
"2013-10-16","69.41"
"2013-10-15","68.92"
"2013-10-14","69.63"
"2013-10-11","69.71"
"2013-10-10","69.60"
"2013-10-09","68.71"
"2013-10-08","69.45"
"2013-10-07","70.63"
"2013-10-04","72.55"
"2013-10-03","72.34"
"2013-10-02","72.95"
"2013-10-01","72.41"
"2013-09-30","72.02"
"2013-09-27","72.58"
"2013-09-26","73.10"
"2013-09-25","72.57"
"2013-09-24","73.84"
"2013-09-23","74.03"
"2013-09-20","73.34"
"2013-09-19","74.70"
"2013-09-18","74.46"
"2013-09-17","72.74"
"2013-09-16","72.68"
"2013-09-13","72.10"
"2013-09-12","71.75"
"2013-09-11","72.61"
"2013-09-10","72.52"
"2013-09-09","72.01"
"2013-09-06","70.78"
"2013-09-05","71.18"
"2013-09-04","70.29"
"2013-09-03","69.53"
"2013-08-30","71.19"
"2013-08-29","71.50"
"2013-08-28","71.51"
"2013-08-27","71.54"
"2013-08-26","72.49"
"2013-08-23","72.28"
"2013-08-22","72.57"
"2013-08-21","71.88"
"2013-08-20","71.14"
"2013-08-19","70.76"
"2013-08-16","71.25"
"2013-08-15","71.30"
"2013-08-14","72.42"
"2013-08-13","71.87"
"2013-08-12","71.76"
"2013-08-09","71.47"
"2013-08-08","71.27"
"2013-08-07","70.33"
"2013-08-06","70.46"
"2013-08-05","70.34"
"2013-08-02","70.56"
"2013-08-01","71.00"
"2013-07-31","68.76"
"2013-07-30","68.87"
"2013-07-29","68.50"
"2013-07-26","68.52"
"2013-07-25","68.05"
"2013-07-24","68.11"
"2013-07-23","68.04"
"2013-07-22","67.69"
"2013-07-19","67.70"
"2013-07-18","68.54"
"2013-07-17","68.54"
"2013-07-16","68.08"
"2013-07-15","68.43"
"2013-07-12","68.40"
"2013-07-11","69.97"
"2013-07-10","68.50"
"2013-07-09","63.95"
"2013-07-08","64.26"
"2013-07-05","63.82"
"2013-07-03","63.32"
"2013-07-02","63.32"
"2013-07-01","63.34"
"2013-06-28","62.31"
"2013-06-27","61.64"
"2013-06-26","60.06"
"2013-06-25","60.42"
"2013-06-24","61.24"
"2013-06-21","62.08"
"2013-06-20","61.64"
"2013-06-19","63.20"
"2013-06-18","64.08"
"2013-06-17","63.57"
"2013-06-14","63.23"
"2013-06-13","62.71"
"2013-06-12","62.04"
"2013-06-11","63.23"
"2013-06-10","62.55"
"2013-06-07","62.01"
"2013-06-06","61.57"
"2013-06-05","59.94"
"2013-06-04","60.17"
"2013-06-03","61.54"
"2013-05-31","61.15"
"2013-05-30","62.29"
"2013-05-29","62.92"
"2013-05-28","63.63"
"2013-05-24","63.65"
"2013-05-23","64.33"
"2013-05-22","64.02"
"2013-05-21","64.02"
"2013-05-20","63.56"
"2013-05-17","64.30"
"2013-05-16","64.46"
"2013-05-15","65.49"
"2013-05-14","63.54"
"2013-05-13","62.64"
"2013-05-10","63.08"
"2013-05-09","62.91"
"2013-05-08","63.50"
"2013-05-07","62.34"
"2013-05-06","62.36"
"2013-05-03","62.37"
"2013-05-02","61.39"
"2013-05-01","60.78"
"2013-04-30","61.37"
"2013-04-29","62.04"
"2013-04-26","62.94"
"2013-04-25","63.14"
"2013-04-24","63.37"
"2013-04-23","63.56"
"2013-04-22","62.41"
"2013-04-19","62.59"
"2013-04-18","61.66"
"2013-04-17","61.40"
"2013-04-16","61.59"
"2013-04-15","60.63"
"2013-04-12","61.05"
"2013-04-11","59.78"
"2013-04-10","60.44"
"2013-04-09","59.80"
"2013-04-08","59.39"
"2013-04-05","59.40"
"2013-04-04","59.50"
"2013-04-03","57.72"
"2013-04-02","58.40"
"2013-04-01","58.90"
"2013-03-28","59.05"
"2013-03-27","59.51"
"2013-03-26","60.66"
"2013-03-25","60.23"
"2013-03-22","61.37"
"2013-03-21","59.85"
"2013-03-20","60.36"
"2013-03-19","58.14"
"2013-03-18","58.94"
"2013-03-15","59.42"
"2013-03-14","59.48"
"2013-03-13","59.12"
"2013-03-12","58.58"
"2013-03-11","58.49"
"2013-03-08","58.78"
"2013-03-07","58.35"
"2013-03-06","58.61"
"2013-03-05","58.90"
"2013-03-04","58.94"
"2013-03-01","58.69"
"2013-02-28","57.55"
"2013-02-27","57.68"
"2013-02-26","56.29"
"2013-02-25","55.99"
"2013-02-22","56.68"
"2013-02-21","56.30"
"2013-02-20","54.87"
"2013-02-19","55.03"
"2013-02-15","55.94"
"2013-02-14","56.61"
"2013-02-13","55.49"
"2013-02-12","56.35"
"2013-02-11","56.87"
"2013-02-08","57.35"
"2013-02-07","55.98"
"2013-02-06","56.16"
"2013-02-05","56.56"
"2013-02-04","56.55"
"2013-02-01","56.09"
"2013-01-31","56.70"
"2013-01-30","57.01"
"2013-01-29","57.66"
"2013-01-28","58.16"
"2013-01-25","58.55"
"2013-01-24","58.84"
"2013-01-23","58.11"
"2013-01-22","58.42"
"2013-01-18","58.37"
"2013-01-17","58.04"
"2013-01-16","58.35"
"2013-01-15","57.55"
"2013-01-14","56.61"
"2013-01-11","56.44"
"2013-01-10","57.06"
"2013-01-09","56.57"
"2013-01-08","57.32"
"2013-01-07","57.20"
"2013-01-04","56.65"
"2013-01-03","55.74"
"2013-01-02","64.04"
"2012-12-31","63.41"
"2012-12-28","62.70"
"2012-12-27","62.49"
"2012-12-26","62.60"
"2012-12-24","62.83"
"2012-12-21","63.04"
"2012-12-20","63.74"
"2012-12-19","64.34"
"2012-12-18","65.73"
"2012-12-17","66.10"
"2012-12-14","65.86"
"2012-12-13","65.91"
"2012-12-12","66.48"
"2012-12-11","64.68"
"2012-12-10","70.58"
"2012-12-07","71.00"
"2012-12-06","70.06"
"2012-12-05","69.80"
"2012-12-04","70.71"
"2012-12-03","70.65"
"2012-11-30","71.20"
"2012-11-29","70.43"
"2012-11-28","69.01"
"2012-11-27","68.94"
"2012-11-26","69.42"
"2012-11-23","70.10"
"2012-11-21","68.83"
"2012-11-20","68.89"
"2012-11-19","69.36"
"2012-11-16","66.54"
"2012-11-15","65.89"
"2012-11-14","65.68"
"2012-11-13","65.82"
"2012-11-12","66.40"
"2012-11-09","66.50"
"2012-11-08","66.03"
"2012-11-07","66.36"
"2012-11-06","66.34"
"2012-11-05","65.31"
"2012-11-02","65.93"
"2012-11-01","66.17"
