"Date","Close"
"2013-12-31","143.77"
"2013-12-30","143.05"
"2013-12-27","143.43"
"2013-12-26","143.30"
"2013-12-24","142.00"
"2013-12-23","142.19"
"2013-12-20","142.71"
"2013-12-19","139.69"
"2013-12-18","139.72"
"2013-12-17","139.09"
"2013-12-16","139.85"
"2013-12-13","137.90"
"2013-12-12","136.34"
"2013-12-11","136.51"
"2013-12-10","138.49"
"2013-12-09","139.81"
"2013-12-06","139.39"
"2013-12-05","138.22"
"2013-12-04","138.71"
"2013-12-03","138.04"
"2013-12-02","140.21"
"2013-11-29","138.70"
"2013-11-27","139.86"
"2013-11-26","137.81"
"2013-11-25","137.22"
"2013-11-22","137.07"
"2013-11-21","138.38"
"2013-11-20","134.58"
"2013-11-19","134.00"
"2013-11-18","137.14"
"2013-11-15","138.65"
"2013-11-14","136.44"
"2013-11-13","135.29"
"2013-11-12","134.63"
"2013-11-11","132.52"
"2013-11-08","132.57"
"2013-11-07","130.55"
"2013-11-06","132.77"
"2013-11-05","136.23"
"2013-11-04","135.12"
"2013-11-01","134.65"
"2013-10-31","131.00"
"2013-10-30","132.81"
"2013-10-29","133.14"
"2013-10-28","132.53"
"2013-10-25","132.06"
"2013-10-24","131.57"
"2013-10-23","129.82"
"2013-10-22","129.69"
"2013-10-21","127.41"
"2013-10-18","126.44"
"2013-10-17","125.19"
"2013-10-16","123.26"
"2013-10-15","120.08"
"2013-10-14","115.37"
"2013-10-11","115.87"
"2013-10-10","115.06"
"2013-10-09","112.58"
"2013-10-08","112.08"
"2013-10-07","113.69"
"2013-10-04","114.73"
"2013-10-03","113.55"
"2013-10-02","115.28"
"2013-10-01","115.26"
"2013-09-30","114.11"
"2013-09-27","113.77"
"2013-09-26","113.56"
"2013-09-25","113.57"
"2013-09-24","114.72"
"2013-09-23","114.91"
"2013-09-20","116.83"
"2013-09-19","116.83"
"2013-09-18","116.25"
"2013-09-17","110.68"
"2013-09-16","109.57"
"2013-09-13","107.24"
"2013-09-12","108.39"
"2013-09-11","110.25"
"2013-09-10","110.59"
"2013-09-09","109.10"
"2013-09-06","108.16"
"2013-09-05","109.05"
"2013-09-04","107.61"
"2013-09-03","107.60"
"2013-08-30","107.36"
"2013-08-29","108.58"
