"Date","Close"
"2013-12-31","59.05"
"2013-12-30","58.72"
"2013-12-27","58.61"
"2013-12-26","58.88"
"2013-12-24","58.37"
"2013-12-23","58.39"
"2013-12-20","57.83"
"2013-12-19","57.27"
"2013-12-18","57.47"
"2013-12-17","56.61"
"2013-12-16","113.38"
"2013-12-13","111.84"
"2013-12-12","111.98"
"2013-12-11","110.39"
"2013-12-10","111.13"
"2013-12-09","111.12"
"2013-12-06","111.16"
"2013-12-05","108.28"
"2013-12-04","109.11"
"2013-12-03","110.10"
"2013-12-02","111.00"
"2013-11-29","109.89"
"2013-11-27","110.75"
"2013-11-26","110.26"
"2013-11-25","109.50"
"2013-11-22","110.11"
"2013-11-21","109.98"
"2013-11-20","108.30"
"2013-11-19","109.04"
"2013-11-18","109.49"
"2013-11-15","108.61"
"2013-11-14","107.20"
"2013-11-13","107.19"
"2013-11-12","105.63"
"2013-11-11","105.38"
"2013-11-08","105.62"
"2013-11-07","103.86"
"2013-11-06","105.31"
"2013-11-05","104.69"
"2013-11-04","105.10"
"2013-11-01","104.85"
"2013-10-31","104.73"
"2013-10-30","105.19"
"2013-10-29","106.64"
"2013-10-28","106.66"
"2013-10-25","106.30"
"2013-10-24","105.60"
"2013-10-23","105.36"
"2013-10-22","106.23"
"2013-10-21","105.37"
"2013-10-18","104.62"
"2013-10-17","104.23"
"2013-10-16","103.71"
"2013-10-15","101.94"
"2013-10-14","102.37"
"2013-10-11","101.73"
"2013-10-10","100.42"
"2013-10-09","98.36"
"2013-10-08","98.54"
"2013-10-07","99.42"
"2013-10-04","101.00"
"2013-10-03","100.32"
"2013-10-02","101.79"
"2013-10-01","102.54"
"2013-09-30","101.05"
"2013-09-27","101.09"
"2013-09-26","100.94"
"2013-09-25","101.42"
"2013-09-24","101.81"
"2013-09-23","100.90"
"2013-09-20","101.84"
"2013-09-19","101.94"
"2013-09-18","102.95"
"2013-09-17","101.91"
"2013-09-16","101.24"
"2013-09-13","100.37"
"2013-09-12","100.15"
"2013-09-11","101.05"
"2013-09-10","99.98"
"2013-09-09","99.52"
"2013-09-06","98.57"
"2013-09-05","97.70"
"2013-09-04","97.70"
"2013-09-03","96.54"
"2013-08-30","96.27"
"2013-08-29","96.36"
"2013-08-28","96.22"
"2013-08-27","96.50"
"2013-08-26","98.81"
"2013-08-23","99.47"
"2013-08-22","99.11"
"2013-08-21","98.30"
"2013-08-20","99.17"
"2013-08-19","98.82"
"2013-08-16","99.35"
"2013-08-15","99.23"
"2013-08-14","101.00"
"2013-08-13","101.54"
"2013-08-12","101.47"
"2013-08-09","101.12"
"2013-08-08","101.15"
"2013-08-07","100.96"
"2013-08-06","100.79"
"2013-08-05","100.35"
"2013-08-02","98.18"
"2013-08-01","96.88"
"2013-07-31","96.24"
"2013-07-30","92.51"
"2013-07-29","92.40"
"2013-07-26","92.79"
"2013-07-25","92.71"
"2013-07-24","92.01"
"2013-07-23","91.88"
"2013-07-22","92.15"
"2013-07-19","91.78"
"2013-07-18","91.61"
"2013-07-17","90.96"
"2013-07-16","91.03"
"2013-07-15","91.24"
"2013-07-12","91.06"
"2013-07-11","91.14"
"2013-07-10","90.29"
"2013-07-09","89.47"
"2013-07-08","89.45"
"2013-07-05","88.96"
"2013-07-03","87.92"
"2013-07-02","86.85"
"2013-07-01","87.29"
"2013-06-28","87.41"
"2013-06-27","88.06"
"2013-06-26","86.74"
"2013-06-25","86.42"
"2013-06-24","85.45"
"2013-06-21","86.50"
"2013-06-20","86.03"
"2013-06-19","88.16"
"2013-06-18","88.64"
"2013-06-17","87.89"
"2013-06-14","86.98"
"2013-06-13","87.89"
"2013-06-12","85.93"
"2013-06-11","86.66"
"2013-06-10","86.42"
"2013-06-07","86.52"
"2013-06-06","85.48"
"2013-06-05","85.21"
"2013-06-04","86.31"
"2013-06-03","87.21"
"2013-05-31","87.16"
"2013-05-30","88.50"
"2013-05-29","87.79"
"2013-05-28","89.39"
"2013-05-24","88.09"
"2013-05-23","88.80"
"2013-05-22","89.35"
"2013-05-21","90.00"
"2013-05-20","90.20"
"2013-05-17","90.59"
"2013-05-16","88.95"
"2013-05-15","90.26"
"2013-05-14","89.80"
"2013-05-13","89.39"
"2013-05-10","89.52"
"2013-05-09","88.99"
"2013-05-08","88.73"
"2013-05-07","88.00"
"2013-05-06","86.52"
"2013-05-03","86.80"
"2013-05-02","86.30"
"2013-05-01","86.93"
"2013-04-30","91.11"
"2013-04-29","90.84"
"2013-04-26","90.13"
"2013-04-25","90.17"
"2013-04-24","89.33"
"2013-04-23","88.27"
"2013-04-22","87.67"
"2013-04-19","87.32"
"2013-04-18","86.00"
"2013-04-17","86.74"
"2013-04-16","87.48"
"2013-04-15","85.71"
"2013-04-12","87.83"
"2013-04-11","88.39"
"2013-04-10","88.35"
"2013-04-09","86.23"
"2013-04-08","85.66"
"2013-04-05","84.84"
"2013-04-04","86.24"
"2013-04-03","85.83"
"2013-04-02","87.05"
"2013-04-01","87.01"
"2013-03-28","87.86"
"2013-03-27","86.32"
"2013-03-26","86.52"
"2013-03-25","85.71"
"2013-03-22","86.09"
"2013-03-21","85.31"
"2013-03-20","85.76"
"2013-03-19","85.08"
"2013-03-18","85.02"
"2013-03-15","85.45"
"2013-03-14","85.29"
"2013-03-13","84.87"
"2013-03-12","84.70"
"2013-03-11","84.69"
"2013-03-08","84.71"
"2013-03-07","84.07"
"2013-03-06","83.96"
"2013-03-05","84.59"
"2013-03-04","82.82"
"2013-03-01","81.50"
"2013-02-28","82.24"
"2013-02-27","81.34"
"2013-02-26","80.76"
"2013-02-25","79.59"
"2013-02-22","80.24"
"2013-02-21","79.50"
"2013-02-20","80.69"
"2013-02-19","81.02"
"2013-02-15","80.87"
"2013-02-14","80.16"
"2013-02-13","80.55"
"2013-02-12","80.54"
"2013-02-11","80.84"
"2013-02-08","80.48"
"2013-02-07","79.96"
"2013-02-06","80.32"
"2013-02-05","80.81"
"2013-02-04","80.09"
"2013-02-01","81.35"
"2013-01-31","80.31"
"2013-01-30","80.92"
"2013-01-29","80.94"
"2013-01-28","80.78"
"2013-01-25","80.85"
"2013-01-24","80.40"
"2013-01-23","81.23"
"2013-01-22","81.73"
"2013-01-18","81.24"
"2013-01-17","81.08"
"2013-01-16","80.47"
"2013-01-15","80.47"
"2013-01-14","82.90"
"2013-01-11","82.98"
"2013-01-10","83.20"
"2013-01-09","82.84"
"2013-01-08","81.60"
"2013-01-07","81.21"
"2013-01-04","80.70"
"2013-01-03","80.67"
"2013-01-02","81.28"
"2012-12-31","79.03"
"2012-12-28","78.52"
"2012-12-27","79.13"
"2012-12-26","78.94"
"2012-12-24","79.74"
"2012-12-21","79.70"
"2012-12-20","80.22"
"2012-12-19","79.69"
"2012-12-18","81.11"
"2012-12-17","80.50"
"2012-12-14","79.67"
"2012-12-13","79.93"
"2012-12-12","80.24"
"2012-12-11","80.67"
"2012-12-10","80.11"
"2012-12-07","79.81"
"2012-12-06","79.89"
"2012-12-05","79.71"
"2012-12-04","77.68"
"2012-12-03","76.90"
"2012-11-30","76.99"
"2012-11-29","76.13"
"2012-11-28","75.59"
"2012-11-27","75.13"
"2012-11-26","75.38"
"2012-11-23","75.43"
"2012-11-21","74.66"
"2012-11-20","74.29"
"2012-11-19","73.62"
"2012-11-16","73.55"
"2012-11-15","72.59"
"2012-11-14","72.58"
"2012-11-13","73.83"
"2012-11-12","73.96"
"2012-11-09","73.91"
"2012-11-08","73.70"
"2012-11-07","74.42"
"2012-11-06","75.51"
"2012-11-05","74.82"
"2012-11-02","75.24"
"2012-11-01","75.39"
"2012-10-31","74.86"
"2012-10-26","75.25"
"2012-10-25","75.13"
"2012-10-24","74.81"
"2012-10-23","75.04"
"2012-10-22","75.56"
"2012-10-19","75.31"
"2012-10-18","75.86"
"2012-10-17","75.75"
"2012-10-16","75.77"
"2012-10-15","75.21"
"2012-10-12","73.76"
"2012-10-11","73.50"
"2012-10-10","72.84"
"2012-10-09","73.67"
"2012-10-08","74.63"
"2012-10-05","74.21"
"2012-10-04","74.59"
"2012-10-03","74.17"
"2012-10-02","73.82"
"2012-10-01","74.11"
"2012-09-28","74.03"
"2012-09-27","73.73"
"2012-09-26","73.07"
"2012-09-25","72.93"
"2012-09-24","73.98"
"2012-09-21","74.19"
"2012-09-20","73.44"
"2012-09-19","72.69"
"2012-09-18","72.06"
"2012-09-17","71.84"
"2012-09-14","71.79"
"2012-09-13","72.15"
"2012-09-12","71.95"
"2012-09-11","72.38"
"2012-09-10","72.40"
"2012-09-07","72.81"
"2012-09-06","72.76"
"2012-09-05","71.44"
"2012-09-04","71.47"
"2012-08-31","71.31"
"2012-08-30","70.84"
"2012-08-29","71.17"
"2012-08-28","70.05"
"2012-08-27","70.61"
"2012-08-24","70.87"
"2012-08-23","70.47"
"2012-08-22","70.38"
"2012-08-21","70.81"
"2012-08-20","70.75"
"2012-08-17","71.41"
"2012-08-16","71.49"
"2012-08-15","71.16"
"2012-08-14","70.77"
"2012-08-13","70.81"
"2012-08-10","69.88"
"2012-08-09","70.03"
"2012-08-08","70.16"
"2012-08-07","69.42"
"2012-08-06","69.59"
"2012-08-03","69.62"
"2012-08-02","68.19"
"2012-08-01","69.65"
"2012-07-31","70.13"
"2012-07-30","72.25"
"2012-07-27","72.38"
"2012-07-26","70.80"
"2012-07-25","68.97"
"2012-07-24","69.20"
"2012-07-23","69.67"
"2012-07-20","71.10"
"2012-07-19","71.52"
"2012-07-18","71.95"
"2012-07-17","71.19"
"2012-07-16","71.07"
"2012-07-13","70.95"
"2012-07-12","70.48"
"2012-07-11","70.96"
"2012-07-10","70.52"
"2012-07-09","72.08"
"2012-07-06","72.08"
"2012-07-05","72.79"
"2012-07-03","72.86"
"2012-07-02","72.60"
"2012-06-29","72.22"
"2012-06-28","69.81"
"2012-06-27","70.43"
"2012-06-26","69.19"
"2012-06-25","68.86"
"2012-06-22","69.68"
"2012-06-21","68.87"
"2012-06-20","70.92"
"2012-06-19","70.81"
"2012-06-18","70.36"
"2012-06-15","70.87"
"2012-06-14","69.73"
"2012-06-13","68.46"
"2012-06-12","69.10"
"2012-06-11","68.45"
"2012-06-08","69.10"
"2012-06-07","68.47"
"2012-06-06","68.47"
"2012-06-05","67.13"
"2012-06-04","66.41"
"2012-06-01","65.58"
"2012-05-31","67.43"
"2012-05-30","66.70"
"2012-05-29","67.62"
"2012-05-25","67.17"
"2012-05-24","66.96"
"2012-05-23","66.70"
"2012-05-22","66.23"
"2012-05-21","65.98"
"2012-05-18","64.61"
"2012-05-17","65.33"
"2012-05-16","65.96"
"2012-05-15","66.18"
"2012-05-14","66.04"
"2012-05-11","66.56"
"2012-05-10","66.47"
"2012-05-09","66.28"
"2012-05-08","66.54"
"2012-05-07","67.06"
"2012-05-04","67.51"
"2012-05-03","69.07"
"2012-05-02","69.83"
"2012-05-01","70.75"
"2012-04-30","70.29"
"2012-04-27","70.67"
"2012-04-26","70.07"
"2012-04-25","69.32"
"2012-04-24","69.05"
"2012-04-23","69.00"
"2012-04-20","68.92"
"2012-04-19","68.73"
"2012-04-18","69.22"
"2012-04-17","70.03"
"2012-04-16","68.74"
"2012-04-13","68.50"
"2012-04-12","69.11"
