"Date","Close"
"2013-12-31","21.03"
"2013-12-30","20.92"
"2013-12-27","20.92"
"2013-12-26","21.04"
"2013-12-24","20.98"
"2013-12-23","20.95"
"2013-12-20","20.81"
"2013-12-19","20.67"
"2013-12-18","20.45"
"2013-12-17","20.15"
"2013-12-16","20.35"
"2013-12-13","20.09"
"2013-12-12","20.25"
"2013-12-11","20.16"
"2013-12-10","20.31"
"2013-12-09","20.24"
"2013-12-06","20.34"
"2013-12-05","19.82"
"2013-12-04","19.88"
"2013-12-03","19.99"
"2013-12-02","20.20"
"2013-11-29","20.32"
"2013-11-27","20.45"
"2013-11-26","20.34"
"2013-11-25","20.57"
"2013-11-22","20.58"
"2013-11-21","20.34"
"2013-11-20","19.92"
"2013-11-19","19.91"
"2013-11-18","20.00"
"2013-11-15","19.94"
"2013-11-14","20.02"
"2013-11-13","19.91"
"2013-11-12","19.56"
"2013-11-11","19.77"
"2013-11-08","20.01"
"2013-11-07","19.08"
"2013-11-06","19.13"
"2013-11-05","19.14"
"2013-11-04","18.84"
"2013-11-01","18.99"
"2013-10-31","19.04"
"2013-10-30","19.24"
"2013-10-29","19.21"
"2013-10-28","19.18"
"2013-10-25","19.08"
"2013-10-24","19.12"
"2013-10-23","19.23"
"2013-10-22","19.34"
"2013-10-21","19.22"
"2013-10-18","19.28"
"2013-10-17","18.97"
"2013-10-16","18.40"
"2013-10-15","18.13"
"2013-10-14","18.31"
"2013-10-11","18.20"
"2013-10-10","18.14"
"2013-10-09","17.76"
"2013-10-08","17.50"
"2013-10-07","17.77"
"2013-10-04","18.19"
"2013-10-03","18.00"
"2013-10-02","18.05"
"2013-10-01","18.26"
"2013-09-30","18.05"
"2013-09-27","18.08"
"2013-09-26","18.08"
"2013-09-25","18.29"
"2013-09-24","18.04"
"2013-09-23","18.15"
"2013-09-20","18.39"
"2013-09-19","18.53"
"2013-09-18","18.62"
"2013-09-17","18.55"
"2013-09-16","18.49"
"2013-09-13","18.38"
"2013-09-12","18.49"
"2013-09-11","18.58"
"2013-09-10","18.50"
"2013-09-09","18.38"
"2013-09-06","18.47"
"2013-09-05","18.53"
"2013-09-04","18.36"
"2013-09-03","18.31"
"2013-08-30","18.29"
"2013-08-29","18.39"
"2013-08-28","18.35"
"2013-08-27","18.43"
"2013-08-26","18.99"
"2013-08-23","19.20"
"2013-08-22","19.18"
"2013-08-21","18.93"
"2013-08-20","19.06"
"2013-08-19","19.01"
"2013-08-16","19.16"
"2013-08-15","19.04"
"2013-08-14","19.14"
"2013-08-13","19.09"
"2013-08-12","19.27"
"2013-08-09","19.30"
"2013-08-08","19.23"
"2013-08-07","19.22"
"2013-08-06","19.36"
"2013-08-05","19.58"
"2013-08-02","19.69"
"2013-08-01","19.60"
"2013-07-31","19.24"
"2013-07-30","19.26"
"2013-07-29","19.21"
"2013-07-26","19.37"
"2013-07-25","19.37"
"2013-07-24","19.59"
"2013-07-23","19.42"
"2013-07-22","19.34"
"2013-07-19","19.02"
"2013-07-18","18.95"
"2013-07-17","18.99"
"2013-07-16","18.86"
"2013-07-15","18.99"
"2013-07-12","18.98"
"2013-07-11","18.81"
"2013-07-10","18.79"
"2013-07-09","18.80"
"2013-07-08","18.58"
"2013-07-05","18.67"
"2013-07-03","18.37"
"2013-07-02","18.48"
"2013-07-01","18.28"
"2013-06-28","18.05"
"2013-06-27","18.10"
"2013-06-26","17.93"
"2013-06-25","17.88"
"2013-06-24","17.46"
"2013-06-21","17.70"
"2013-06-20","17.78"
"2013-06-19","18.10"
"2013-06-18","18.40"
"2013-06-17","18.29"
"2013-06-14","18.31"
"2013-06-13","18.45"
"2013-06-12","18.32"
"2013-06-11","18.34"
"2013-06-10","18.60"
"2013-06-07","18.42"
"2013-06-06","18.07"
"2013-06-05","17.71"
"2013-06-04","17.92"
"2013-06-03","18.20"
"2013-05-31","18.20"
"2013-05-30","18.53"
"2013-05-29","18.47"
"2013-05-28","18.43"
"2013-05-24","18.25"
"2013-05-23","18.10"
"2013-05-22","18.00"
"2013-05-21","18.30"
"2013-05-20","18.39"
"2013-05-17","18.25"
"2013-05-16","18.02"
"2013-05-15","18.08"
"2013-05-14","17.91"
"2013-05-13","17.70"
"2013-05-10","17.71"
"2013-05-09","17.57"
"2013-05-08","17.62"
"2013-05-07","17.51"
"2013-05-06","17.30"
"2013-05-03","17.10"
"2013-05-02","16.86"
"2013-05-01","16.75"
"2013-04-30","17.03"
"2013-04-29","16.83"
"2013-04-26","16.76"
"2013-04-25","16.83"
"2013-04-24","16.72"
"2013-04-23","16.47"
"2013-04-22","16.25"
"2013-04-19","16.40"
"2013-04-18","15.92"
"2013-04-17","15.80"
"2013-04-16","16.15"
"2013-04-15","16.08"
"2013-04-12","16.49"
"2013-04-11","16.86"
"2013-04-10","16.63"
"2013-04-09","16.39"
"2013-04-08","16.22"
"2013-04-05","16.02"
"2013-04-04","15.95"
"2013-04-03","15.99"
"2013-04-02","16.16"
"2013-04-01","16.14"
"2013-03-28","16.31"
"2013-03-27","16.37"
"2013-03-26","16.41"
"2013-03-25","16.35"
"2013-03-22","16.29"
"2013-03-21","16.37"
"2013-03-20","16.52"
"2013-03-19","16.51"
"2013-03-18","16.48"
"2013-03-15","16.61"
"2013-03-14","16.37"
"2013-03-13","16.39"
"2013-03-12","16.25"
"2013-03-11","16.35"
"2013-03-08","16.34"
"2013-03-07","16.23"
"2013-03-06","16.03"
"2013-03-05","16.02"
"2013-03-04","16.02"
"2013-03-01","15.83"
"2013-02-28","15.84"
"2013-02-27","15.72"
"2013-02-26","15.56"
"2013-02-25","15.53"
"2013-02-22","15.80"
"2013-02-21","15.60"
"2013-02-20","15.83"
"2013-02-19","15.96"
"2013-02-15","16.05"
"2013-02-14","16.13"
"2013-02-13","16.11"
"2013-02-12","16.56"
"2013-02-11","16.50"
"2013-02-08","16.61"
"2013-02-07","16.47"
"2013-02-06","16.59"
"2013-02-05","16.51"
"2013-02-04","16.20"
"2013-02-01","16.49"
"2013-01-31","16.29"
"2013-01-30","16.33"
"2013-01-29","16.27"
"2013-01-28","16.18"
"2013-01-25","16.37"
"2013-01-24","16.39"
"2013-01-23","16.37"
"2013-01-22","16.50"
"2013-01-18","16.38"
"2013-01-17","16.29"
"2013-01-16","15.55"
"2013-01-15","15.41"
"2013-01-14","15.35"
"2013-01-11","15.47"
"2013-01-10","15.70"
"2013-01-09","15.41"
"2013-01-08","15.44"
"2013-01-07","15.58"
"2013-01-04","15.69"
"2013-01-03","15.63"
"2013-01-02","15.77"
"2012-12-31","15.20"
"2012-12-28","14.99"
"2012-12-27","15.08"
"2012-12-26","15.14"
"2012-12-24","15.04"
"2012-12-21","15.12"
"2012-12-20","15.14"
"2012-12-19","14.95"
"2012-12-18","15.08"
"2012-12-17","14.67"
"2012-12-14","14.36"
"2012-12-13","14.51"
"2012-12-12","14.62"
"2012-12-11","14.53"
"2012-12-10","14.56"
"2012-12-07","14.54"
"2012-12-06","14.34"
"2012-12-05","14.36"
"2012-12-04","14.14"
"2012-12-03","14.41"
"2012-11-30","14.64"
"2012-11-29","14.66"
"2012-11-28","14.67"
"2012-11-27","14.55"
"2012-11-26","14.73"
"2012-11-23","14.89"
"2012-11-21","14.58"
"2012-11-20","14.60"
"2012-11-19","14.48"
"2012-11-16","14.10"
"2012-11-15","14.00"
"2012-11-14","13.81"
"2012-11-13","14.00"
"2012-11-12","14.23"
"2012-11-09","14.16"
"2012-11-08","14.04"
"2012-11-07","14.12"
"2012-11-06","14.59"
"2012-11-05","14.32"
"2012-11-02","14.38"
"2012-11-01","14.56"
"2012-10-31","14.53"
"2012-10-26","14.49"
"2012-10-25","14.64"
"2012-10-24","14.57"
"2012-10-23","14.69"
"2012-10-22","15.04"
"2012-10-19","15.02"
"2012-10-18","15.12"
"2012-10-17","15.13"
"2012-10-16","15.00"
"2012-10-15","15.37"
"2012-10-12","15.27"
"2012-10-11","15.89"
"2012-10-10","15.82"
"2012-10-09","15.86"
"2012-10-08","15.98"
"2012-10-05","15.99"
"2012-10-04","15.99"
"2012-10-03","15.71"
"2012-10-02","15.46"
"2012-10-01","15.49"
"2012-09-28","15.51"
"2012-09-27","15.49"
"2012-09-26","15.36"
"2012-09-25","15.56"
"2012-09-24","15.67"
"2012-09-21","15.58"
"2012-09-20","15.59"
"2012-09-19","15.60"
"2012-09-18","15.65"
"2012-09-17","15.74"
"2012-09-14","15.78"
"2012-09-13","15.61"
"2012-09-12","15.27"
"2012-09-11","15.18"
"2012-09-10","15.20"
"2012-09-07","15.31"
"2012-09-06","15.06"
"2012-09-05","14.92"
"2012-09-04","15.05"
"2012-08-31","15.14"
"2012-08-30","15.08"
"2012-08-29","15.12"
"2012-08-28","14.93"
"2012-08-27","14.91"
"2012-08-24","14.81"
"2012-08-23","14.63"
"2012-08-22","14.81"
"2012-08-21","14.39"
"2012-08-20","14.37"
"2012-08-17","14.40"
"2012-08-16","14.33"
"2012-08-15","14.29"
"2012-08-14","14.25"
"2012-08-13","14.32"
"2012-08-10","14.29"
"2012-08-09","14.32"
"2012-08-08","14.30"
"2012-08-07","14.23"
"2012-08-06","13.98"
"2012-08-03","14.07"
"2012-08-02","13.67"
"2012-08-01","13.79"
"2012-07-31","13.82"
"2012-07-30","14.02"
"2012-07-27","14.24"
"2012-07-26","14.14"
"2012-07-25","13.75"
"2012-07-24","13.69"
"2012-07-23","13.51"
"2012-07-20","13.64"
"2012-07-19","13.80"
"2012-07-18","13.77"
"2012-07-17","13.92"
"2012-07-16","13.65"
"2012-07-13","13.69"
"2012-07-12","13.34"
"2012-07-11","13.41"
"2012-07-10","13.11"
"2012-07-09","13.31"
"2012-07-06","13.38"
"2012-07-05","13.42"
"2012-07-03","13.50"
"2012-07-02","13.50"
"2012-06-29","13.40"
"2012-06-28","13.02"
"2012-06-27","12.98"
"2012-06-26","12.87"
"2012-06-25","12.72"
"2012-06-22","13.27"
"2012-06-21","13.04"
"2012-06-20","13.12"
"2012-06-19","13.13"
"2012-06-18","12.95"
"2012-06-15","13.18"
"2012-06-14","13.04"
"2012-06-13","12.78"
"2012-06-12","12.86"
"2012-06-11","12.71"
"2012-06-08","12.93"
"2012-06-07","12.74"
"2012-06-06","12.67"
"2012-06-05","12.23"
"2012-06-04","12.09"
"2012-06-01","12.52"
"2012-05-31","13.35"
"2012-05-30","13.23"
"2012-05-29","13.52"
"2012-05-25","13.52"
"2012-05-24","13.57"
"2012-05-23","13.59"
"2012-05-22","13.45"
"2012-05-21","13.38"
"2012-05-18","13.35"
"2012-05-17","13.29"
"2012-05-16","13.55"
"2012-05-15","13.58"
"2012-05-14","13.76"
"2012-05-11","14.07"
"2012-05-10","14.19"
"2012-05-09","13.99"
"2012-05-08","14.21"
"2012-05-07","14.39"
"2012-05-04","13.99"
"2012-05-03","14.45"
"2012-05-02","14.40"
"2012-05-01","14.40"
"2012-04-30","14.23"
"2012-04-27","14.39"
"2012-04-26","14.37"
"2012-04-25","14.31"
"2012-04-24","13.95"
"2012-04-23","13.81"
"2012-04-20","13.95"
"2012-04-19","13.73"
"2012-04-18","14.16"
"2012-04-17","14.36"
"2012-04-16","14.11"
"2012-04-13","14.02"
"2012-04-12","14.48"
"2012-04-11","14.26"
"2012-04-10","13.90"
"2012-04-09","14.31"
"2012-04-05","14.62"
"2012-04-04","14.48"
"2012-04-03","14.58"
"2012-04-02","14.44"
"2012-03-30","14.05"
"2012-03-29","14.03"
"2012-03-28","14.10"
"2012-03-27","14.00"
"2012-03-26","14.30"
"2012-03-23","14.14"
"2012-03-22","14.09"
"2012-03-21","14.24"
"2012-03-20","14.50"
"2012-03-19","14.50"
"2012-03-16","14.33"
"2012-03-15","14.47"
"2012-03-14","14.28"
"2012-03-13","14.16"
"2012-03-12","13.58"
"2012-03-09","13.76"
"2012-03-08","13.48"
"2012-03-07","13.30"
"2012-03-06","12.94"
"2012-03-05","13.31"
"2012-03-02","13.61"
"2012-03-01","13.72"
"2012-02-29","13.61"
"2012-02-28","13.62"
"2012-02-27","13.58"
"2012-02-24","13.60"
"2012-02-23","13.81"
"2012-02-22","13.59"
"2012-02-21","13.91"
"2012-02-17","13.80"
"2012-02-16","13.63"
"2012-02-15","13.36"
"2012-02-14","13.30"
"2012-02-13","13.50"
"2012-02-10","13.35"
"2012-02-09","13.52"
"2012-02-08","13.61"
"2012-02-07","13.53"
"2012-02-06","13.49"
"2012-02-03","13.59"
"2012-02-02","13.23"
"2012-02-01","13.14"
"2012-01-31","13.01"
"2012-01-30","12.99"
"2012-01-27","13.23"
"2012-01-26","13.08"
"2012-01-25","13.49"
"2012-01-24","13.43"
"2012-01-23","13.40"
"2012-01-20","13.17"
"2012-01-19","13.56"
"2012-01-18","13.75"
"2012-01-17","13.74"
"2012-01-13","14.03"
"2012-01-12","13.83"
"2012-01-11","13.75"
"2012-01-10","13.85"
"2012-01-09","13.42"
"2012-01-06","13.49"
"2012-01-05","13.47"
"2012-01-04","13.09"
"2012-01-03","13.08"
"2011-12-30","12.72"
"2011-12-29","12.91"
"2011-12-28","12.58"
"2011-12-27","12.75"
"2011-12-23","12.84"
"2011-12-22","12.92"
"2011-12-21","12.49"
"2011-12-20","12.19"
"2011-12-19","11.84"
"2011-12-16","12.07"
"2011-12-15","11.97"
"2011-12-14","11.80"
"2011-12-13","11.91"
"2011-12-12","12.23"
"2011-12-09","12.51"
"2011-12-08","11.97"
"2011-12-07","12.39"
"2011-12-06","12.32"
"2011-12-05","12.56"
"2011-12-02","12.12"
"2011-12-01","11.95"
"2011-11-30","12.09"
"2011-11-29","11.22"
"2011-11-28","11.36"
"2011-11-25","10.97"
"2011-11-23","10.94"
"2011-11-22","11.35"
"2011-11-21","11.52"
"2011-11-18","11.89"
"2011-11-17","11.81"
"2011-11-16","11.98"
"2011-11-15","11.96"
"2011-11-14","11.87"
"2011-11-11","12.18"
"2011-11-10","12.01"
"2011-11-09","11.73"
"2011-11-08","12.49"
"2011-11-07","12.25"
"2011-11-04","12.01"
"2011-11-03","12.01"
"2011-11-02","11.83"
"2011-11-01","11.39"
"2011-10-31","12.01"
"2011-10-28","12.31"
"2011-10-27","12.49"
"2011-10-26","12.00"
"2011-10-25","11.69"
"2011-10-24","12.01"
"2011-10-21","11.66"
"2011-10-20","11.63"
"2011-10-19","10.66"
"2011-10-18","11.21"
"2011-10-17","10.62"
"2011-10-14","11.34"
"2011-10-13","11.23"
"2011-10-12","11.51"
"2011-10-11","10.91"
"2011-10-10","10.97"
"2011-10-07","10.58"
"2011-10-06","11.11"
"2011-10-05","10.63"
"2011-10-04","10.64"
"2011-10-03","9.80"
"2011-09-30","10.10"
"2011-09-29","10.46"
"2011-09-28","10.09"
"2011-09-27","10.45"
"2011-09-26","10.52"
"2011-09-23","9.84"
"2011-09-22","9.60"
"2011-09-21","9.77"
"2011-09-20","10.38"
"2011-09-19","10.47"
"2011-09-16","10.67"
"2011-09-15","10.70"
"2011-09-14","10.51"
"2011-09-13","10.35"
"2011-09-12","9.93"
"2011-09-09","9.81"
"2011-09-08","10.12"
"2011-09-07","10.45"
"2011-09-06","9.75"
"2011-09-02","9.62"
"2011-09-01","10.18"
"2011-08-31","10.62"
"2011-08-30","10.46"
"2011-08-29","10.51"
"2011-08-26","10.05"
"2011-08-25","9.74"
"2011-08-24","10.10"
"2011-08-23","9.76"
"2011-08-22","9.25"
"2011-08-19","9.28"
"2011-08-18","9.60"
"2011-08-17","10.25"
"2011-08-16","10.09"
"2011-08-15","10.15"
"2011-08-12","9.55"
"2011-08-11","9.86"
"2011-08-10","9.42"
"2011-08-09","10.55"
"2011-08-08","9.98"
"2011-08-05","11.26"
"2011-08-04","11.36"
"2011-08-03","12.13"
"2011-08-02","11.91"
"2011-08-01","12.52"
"2011-07-29","12.65"
"2011-07-28","12.67"
"2011-07-27","12.70"
"2011-07-26","12.92"
"2011-07-25","13.00"
"2011-07-22","12.81"
"2011-07-21","12.76"
"2011-07-20","12.33"
"2011-07-19","12.20"
"2011-07-18","11.99"
"2011-07-15","12.05"
"2011-07-14","12.02"
"2011-07-13","12.17"
"2011-07-12","12.02"
"2011-07-11","12.17"
"2011-07-08","12.56"
"2011-07-07","12.90"
"2011-07-06","12.65"
"2011-07-05","12.91"
"2011-07-01","12.97"
"2011-06-30","12.75"
"2011-06-29","12.71"
"2011-06-28","12.42"
"2011-06-27","12.28"
"2011-06-24","12.18"
"2011-06-23","12.09"
"2011-06-22","12.41"
"2011-06-21","12.67"
"2011-06-20","12.55"
"2011-06-17","12.55"
"2011-06-16","12.28"
"2011-06-15","12.32"
"2011-06-14","12.47"
"2011-06-13","12.28"
"2011-06-10","12.25"
"2011-06-09","12.33"
"2011-06-08","12.29"
"2011-06-07","12.30"
"2011-06-06","12.14"
"2011-06-03","12.39"
"2011-06-02","12.37"
"2011-06-01","12.34"
"2011-05-31","13.06"
"2011-05-27","12.93"
"2011-05-26","12.73"
"2011-05-25","12.61"
"2011-05-24","12.48"
"2011-05-23","12.39"
"2011-05-20","12.72"
"2011-05-19","13.00"
"2011-05-18","12.90"
"2011-05-17","12.79"
"2011-05-16","12.47"
"2011-05-13","12.49"
"2011-05-12","12.71"
"2011-05-11","12.82"
"2011-05-10","12.98"
"2011-05-09","12.80"
"2011-05-06","12.99"
"2011-05-05","12.82"
"2011-05-04","13.15"
"2011-05-03","13.40"
"2011-05-02","13.05"
"2011-04-29","13.27"
"2011-04-28","13.43"
"2011-04-27","13.32"
"2011-04-26","13.04"
"2011-04-25","12.92"
"2011-04-21","13.16"
"2011-04-20","13.32"
"2011-04-19","13.36"
"2011-04-18","13.53"
"2011-04-15","13.80"
"2011-04-14","13.65"
"2011-04-13","13.60"
"2011-04-12","13.66"
"2011-04-11","13.73"
"2011-04-08","13.70"
"2011-04-07","13.87"
"2011-04-06","14.07"
"2011-04-05","13.89"
"2011-04-04","13.97"
"2011-04-01","13.99"
"2011-03-31","13.89"
"2011-03-30","13.81"
"2011-03-29","13.93"
"2011-03-28","13.78"
"2011-03-25","13.85"
"2011-03-24","13.78"
"2011-03-23","13.80"
"2011-03-22","13.85"
"2011-03-21","14.02"
"2011-03-18","14.03"
"2011-03-17","13.81"
"2011-03-16","13.40"
"2011-03-15","13.57"
"2011-03-14","13.90"
"2011-03-11","13.89"
"2011-03-10","13.69"
"2011-03-09","13.87"
"2011-03-08","13.70"
"2011-03-07","13.60"
"2011-03-04","13.90"
"2011-03-03","14.09"
"2011-03-02","13.87"
"2011-03-01","13.95"
"2011-02-28","14.60"
"2011-02-25","14.60"
"2011-02-24","14.30"
"2011-02-23","14.45"
"2011-02-22","14.50"
"2011-02-18","14.99"
"2011-02-17","15.09"
"2011-02-16","15.38"
"2011-02-15","15.45"
"2011-02-14","15.51"
"2011-02-11","15.46"
"2011-02-10","15.18"
"2011-02-09","15.07"
"2011-02-08","15.39"
"2011-02-07","15.36"
"2011-02-04","15.39"
"2011-02-03","15.40"
"2011-02-02","15.46"
"2011-02-01","15.52"
"2011-01-31","14.87"
"2011-01-28","14.64"
"2011-01-27","14.79"
"2011-01-26","14.57"
"2011-01-25","14.43"
"2011-01-24","14.34"
"2011-01-21","14.60"
"2011-01-20","14.22"
"2011-01-19","14.61"
"2011-01-18","14.86"
"2011-01-14","14.95"
"2011-01-13","14.62"
"2011-01-12","14.76"
"2011-01-11","14.55"
"2011-01-10","14.43"
"2011-01-07","14.68"
"2011-01-06","14.62"
"2011-01-05","14.96"
"2011-01-04","14.73"
"2011-01-03","14.78"
"2010-12-31","14.68"
"2010-12-30","14.64"
