"Date","Close"
"2013-12-31","30.10"
"2013-12-30","29.75"
"2013-12-27","29.76"
"2013-12-26","29.67"
"2013-12-24","29.48"
"2013-12-23","29.57"
"2013-12-20","29.14"
"2013-12-19","28.67"
"2013-12-18","28.77"
"2013-12-17","28.72"
"2013-12-16","28.46"
"2013-12-13","28.70"
"2013-12-12","28.78"
"2013-12-11","28.59"
"2013-12-10","29.04"
"2013-12-09","28.98"
"2013-12-06","29.38"
"2013-12-05","29.04"
"2013-12-04","29.41"
"2013-12-03","29.57"
"2013-12-02","29.35"
"2013-11-29","29.67"
"2013-11-27","29.77"
"2013-11-26","29.86"
"2013-11-25","29.72"
"2013-11-22","29.74"
"2013-11-21","29.60"
"2013-11-20","29.08"
"2013-11-19","29.17"
"2013-11-18","29.39"
"2013-11-15","29.53"
"2013-11-14","29.51"
"2013-11-13","29.52"
"2013-11-12","29.04"
"2013-11-11","29.27"
"2013-11-08","29.06"
"2013-11-07","28.22"
"2013-11-06","28.36"
"2013-11-05","28.58"
"2013-11-04","28.48"
"2013-11-01","28.38"
"2013-10-31","28.48"
"2013-10-30","28.53"
"2013-10-29","28.59"
"2013-10-28","28.17"
"2013-10-25","28.54"
"2013-10-24","28.66"
"2013-10-23","28.78"
"2013-10-22","29.03"
"2013-10-21","28.90"
"2013-10-18","29.43"
"2013-10-17","28.99"
"2013-10-16","28.37"
"2013-10-15","28.59"
"2013-10-14","33.17"
"2013-10-11","32.67"
"2013-10-10","32.20"
"2013-10-09","31.66"
"2013-10-08","31.79"
"2013-10-07","32.12"
"2013-10-04","32.41"
"2013-10-03","32.36"
"2013-10-02","31.70"
"2013-10-01","31.66"
"2013-09-30","31.40"
"2013-09-27","31.32"
"2013-09-26","31.48"
"2013-09-25","31.18"
"2013-09-24","31.58"
"2013-09-23","31.17"
"2013-09-20","31.59"
"2013-09-19","32.15"
"2013-09-18","31.91"
"2013-09-17","31.86"
"2013-09-16","31.89"
"2013-09-13","31.85"
"2013-09-12","31.88"
"2013-09-11","32.31"
"2013-09-10","32.39"
"2013-09-09","32.02"
"2013-09-06","31.69"
"2013-09-05","31.92"
"2013-09-04","31.91"
"2013-09-03","31.32"
"2013-08-30","31.28"
"2013-08-29","31.77"
"2013-08-28","31.51"
"2013-08-27","31.33"
"2013-08-26","32.35"
"2013-08-23","32.31"
"2013-08-22","32.94"
"2013-08-21","32.21"
"2013-08-20","32.09"
"2013-08-19","31.96"
"2013-08-16","32.20"
"2013-08-15","32.19"
"2013-08-14","32.91"
"2013-08-13","33.20"
"2013-08-12","33.18"
"2013-08-09","32.99"
"2013-08-08","32.65"
"2013-08-07","32.88"
"2013-08-06","33.04"
"2013-08-05","33.16"
"2013-08-02","33.75"
"2013-08-01","32.82"
"2013-07-31","32.47"
"2013-07-30","32.11"
"2013-07-29","31.89"
"2013-07-26","32.44"
"2013-07-25","31.91"
"2013-07-24","29.09"
"2013-07-23","29.00"
"2013-07-22","29.08"
"2013-07-19","28.97"
"2013-07-18","29.04"
"2013-07-17","29.15"
"2013-07-16","29.04"
"2013-07-15","29.36"
"2013-07-12","29.19"
"2013-07-11","29.12"
"2013-07-10","28.89"
"2013-07-09","28.78"
"2013-07-08","28.48"
"2013-07-05","27.91"
"2013-07-03","27.47"
"2013-07-02","27.25"
"2013-07-01","27.36"
"2013-06-28","26.97"
"2013-06-27","26.79"
"2013-06-26","26.17"
"2013-06-25","25.74"
"2013-06-24","25.46"
"2013-06-21","25.73"
"2013-06-20","25.58"
"2013-06-19","26.25"
"2013-06-18","26.49"
"2013-06-17","24.95"
"2013-06-14","24.44"
"2013-06-13","24.14"
"2013-06-12","23.71"
"2013-06-11","24.09"
"2013-06-10","24.36"
"2013-06-07","24.40"
"2013-06-06","24.14"
"2013-06-05","23.96"
"2013-06-04","24.11"
"2013-06-03","24.01"
"2013-05-31","24.36"
"2013-05-30","24.51"
"2013-05-29","24.50"
"2013-05-28","24.67"
"2013-05-24","24.15"
"2013-05-23","24.24"
"2013-05-22","24.26"
"2013-05-21","24.51"
"2013-05-20","24.76"
"2013-05-17","24.84"
"2013-05-16","24.73"
"2013-05-15","24.79"
"2013-05-14","24.67"
"2013-05-13","24.55"
"2013-05-10","24.84"
"2013-05-09","24.67"
"2013-05-08","24.71"
"2013-05-07","24.71"
"2013-05-06","24.47"
"2013-05-03","24.45"
"2013-05-02","24.20"
"2013-05-01","24.10"
"2013-04-30","24.31"
"2013-04-29","24.15"
"2013-04-26","23.75"
"2013-04-25","24.46"
"2013-04-24","24.17"
"2013-04-23","24.13"
"2013-04-22","23.96"
"2013-04-19","23.53"
"2013-04-18","23.73"
"2013-04-17","24.04"
"2013-04-16","24.63"
"2013-04-15","24.78"
"2013-04-12","25.62"
"2013-04-11","26.01"
"2013-04-10","26.00"
"2013-04-09","25.68"
"2013-04-08","25.64"
"2013-04-05","25.58"
"2013-04-04","25.90"
"2013-04-03","25.73"
"2013-04-02","25.74"
"2013-04-01","25.80"
"2013-03-28","26.01"
"2013-03-27","25.74"
"2013-03-26","25.77"
"2013-03-25","25.62"
"2013-03-22","25.81"
"2013-03-21","25.90"
"2013-03-20","26.04"
"2013-03-19","25.98"
"2013-03-18","25.90"
"2013-03-15","26.00"
"2013-03-14","26.19"
"2013-03-13","26.29"
"2013-03-12","26.44"
"2013-03-11","26.50"
"2013-03-08","26.92"
"2013-03-07","26.66"
"2013-03-06","26.37"
"2013-03-05","26.33"
"2013-03-04","26.07"
"2013-03-01","26.21"
"2013-02-28","26.33"
"2013-02-27","26.45"
"2013-02-26","26.16"
"2013-02-25","25.96"
"2013-02-22","26.44"
"2013-02-21","25.94"
"2013-02-20","26.66"
"2013-02-19","26.97"
"2013-02-15","26.74"
"2013-02-14","26.70"
"2013-02-13","27.00"
"2013-02-12","26.69"
"2013-02-11","26.48"
"2013-02-08","26.50"
"2013-02-07","26.03"
"2013-02-06","23.68"
"2013-02-05","23.83"
"2013-02-04","23.31"
"2013-02-01","23.62"
"2013-01-31","23.77"
"2013-01-30","24.26"
"2013-01-29","24.28"
"2013-01-28","24.18"
"2013-01-25","24.19"
"2013-01-24","24.13"
"2013-01-23","23.86"
"2013-01-22","24.10"
"2013-01-18","23.84"
"2013-01-17","23.47"
"2013-01-16","23.39"
"2013-01-15","23.57"
"2013-01-14","23.08"
"2013-01-11","23.12"
"2013-01-10","23.30"
"2013-01-09","23.42"
"2013-01-08","23.34"
"2013-01-07","23.52"
"2013-01-04","23.62"
"2013-01-03","23.86"
"2013-01-02","23.46"
"2012-12-31","22.32"
"2012-12-28","22.09"
"2012-12-27","22.20"
"2012-12-26","22.07"
"2012-12-24","21.85"
"2012-12-21","21.90"
"2012-12-20","21.90"
"2012-12-19","21.56"
"2012-12-18","21.34"
"2012-12-17","20.43"
"2012-12-14","20.36"
"2012-12-13","20.46"
"2012-12-12","20.45"
"2012-12-11","20.50"
"2012-12-10","20.35"
"2012-12-07","19.96"
"2012-12-06","20.02"
"2012-12-05","19.87"
"2012-12-04","19.86"
"2012-12-03","19.84"
"2012-11-30","20.40"
"2012-11-29","20.32"
"2012-11-28","20.29"
"2012-11-27","20.04"
"2012-11-26","19.87"
"2012-11-23","20.03"
"2012-11-21","19.69"
"2012-11-20","19.70"
"2012-11-19","19.72"
"2012-11-16","19.08"
"2012-11-15","19.10"
"2012-11-14","18.97"
"2012-11-13","19.29"
"2012-11-12","19.37"
"2012-11-09","19.36"
"2012-11-08","19.16"
"2012-11-07","19.39"
"2012-11-06","19.94"
"2012-11-05","19.35"
"2012-11-02","19.33"
"2012-11-01","19.59"
"2012-10-31","19.43"
"2012-10-26","19.53"
"2012-10-25","19.65"
"2012-10-24","19.05"
"2012-10-23","19.09"
"2012-10-22","19.20"
"2012-10-19","19.37"
"2012-10-18","19.57"
"2012-10-17","19.64"
"2012-10-16","19.68"
"2012-10-15","19.50"
"2012-10-12","19.58"
"2012-10-11","19.67"
"2012-10-10","19.59"
"2012-10-09","19.69"
"2012-10-08","20.16"
"2012-10-05","20.45"
"2012-10-04","20.35"
"2012-10-03","20.25"
"2012-10-02","20.33"
"2012-10-01","20.08"
"2012-09-28","19.98"
"2012-09-27","20.19"
"2012-09-26","20.09"
"2012-09-25","20.39"
"2012-09-24","20.98"
"2012-09-21","21.04"
"2012-09-20","21.10"
"2012-09-19","20.96"
"2012-09-18","20.89"
"2012-09-17","20.96"
"2012-09-14","21.08"
"2012-09-13","20.87"
"2012-09-12","20.65"
"2012-09-11","20.47"
"2012-09-10","20.38"
"2012-09-07","20.61"
"2012-09-06","20.45"
"2012-09-05","19.87"
"2012-09-04","19.80"
"2012-08-31","19.80"
"2012-08-30","19.72"
"2012-08-29","19.72"
"2012-08-28","19.52"
"2012-08-27","19.66"
"2012-08-24","19.86"
"2012-08-23","19.89"
"2012-08-22","20.13"
"2012-08-21","20.54"
"2012-08-20","20.60"
"2012-08-17","20.74"
"2012-08-16","20.82"
"2012-08-15","20.84"
"2012-08-14","20.75"
"2012-08-13","20.79"
"2012-08-10","21.08"
"2012-08-09","21.05"
"2012-08-08","21.05"
"2012-08-07","21.17"
"2012-08-06","20.86"
"2012-08-03","20.79"
"2012-08-02","20.38"
"2012-08-01","20.70"
"2012-07-31","20.45"
"2012-07-30","20.48"
"2012-07-27","20.85"
"2012-07-26","20.78"
"2012-07-25","19.27"
"2012-07-24","19.10"
"2012-07-23","19.18"
"2012-07-20","19.13"
"2012-07-19","19.47"
"2012-07-18","19.15"
"2012-07-17","18.51"
"2012-07-16","18.33"
"2012-07-13","18.77"
"2012-07-12","18.59"
"2012-07-11","18.84"
"2012-07-10","18.87"
"2012-07-09","19.16"
"2012-07-06","19.42"
"2012-07-05","19.76"
"2012-07-03","19.71"
"2012-07-02","19.41"
"2012-06-29","19.50"
"2012-06-28","19.09"
"2012-06-27","19.19"
"2012-06-26","19.06"
"2012-06-25","19.24"
"2012-06-22","19.58"
"2012-06-21","19.48"
