"Date","Close"
"2013-12-31","80.29"
"2013-12-30","79.88"
"2013-12-27","79.76"
"2013-12-26","79.98"
"2013-12-24","79.27"
"2013-12-23","79.02"
"2013-12-20","79.37"
"2013-12-19","78.83"
"2013-12-18","77.94"
"2013-12-17","75.80"
"2013-12-16","75.94"
"2013-12-13","74.79"
"2013-12-12","74.84"
"2013-12-11","75.59"
"2013-12-10","77.65"
"2013-12-09","76.86"
"2013-12-06","77.41"
"2013-12-05","76.16"
"2013-12-04","76.82"
"2013-12-03","77.26"
"2013-12-02","77.92"
"2013-11-29","77.81"
"2013-11-27","78.17"
"2013-11-26","78.87"
"2013-11-25","78.29"
"2013-11-22","78.63"
"2013-11-21","78.00"
"2013-11-20","76.22"
"2013-11-19","77.04"
"2013-11-18","78.04"
"2013-11-15","79.36"
"2013-11-14","79.35"
"2013-11-13","79.08"
"2013-11-12","77.48"
"2013-11-11","77.85"
"2013-11-08","77.92"
"2013-11-07","75.67"
"2013-11-06","76.66"
"2013-11-05","76.21"
"2013-11-04","75.81"
"2013-11-01","74.90"
"2013-10-31","74.22"
"2013-10-30","76.01"
"2013-10-29","76.88"
"2013-10-28","76.57"
"2013-10-25","76.31"
"2013-10-24","76.88"
"2013-10-23","76.47"
"2013-10-22","77.05"
"2013-10-21","76.70"
"2013-10-18","77.19"
"2013-10-17","75.55"
"2013-10-16","74.15"
"2013-10-15","72.75"
"2013-10-14","73.74"
"2013-10-11","72.98"
"2013-10-10","71.74"
"2013-10-09","69.60"
"2013-10-08","69.69"
"2013-10-07","71.29"
"2013-10-04","71.87"
"2013-10-03","71.89"
"2013-10-02","73.20"
"2013-10-01","71.93"
"2013-09-30","70.96"
"2013-09-27","71.05"
"2013-09-26","72.03"
"2013-09-25","71.90"
"2013-09-24","71.33"
"2013-09-23","70.92"
"2013-09-20","72.01"
"2013-09-19","71.45"
"2013-09-18","69.91"
"2013-09-17","68.04"
"2013-09-16","67.86"
"2013-09-13","67.21"
"2013-09-12","67.72"
"2013-09-11","67.15"
"2013-09-10","66.72"
"2013-09-09","65.89"
"2013-09-06","64.58"
"2013-09-05","65.00"
"2013-09-04","64.13"
"2013-09-03","63.54"
"2013-08-30","63.43"
"2013-08-29","63.90"
"2013-08-28","64.31"
"2013-08-27","64.73"
"2013-08-26","66.48"
"2013-08-23","66.08"
"2013-08-22","66.28"
"2013-08-21","65.25"
"2013-08-20","65.05"
"2013-08-19","65.06"
"2013-08-16","66.19"
"2013-08-15","65.95"
"2013-08-14","66.43"
"2013-08-13","65.81"
"2013-08-12","65.55"
"2013-08-09","65.98"
"2013-08-08","66.04"
"2013-08-07","65.21"
"2013-08-06","65.55"
"2013-08-05","66.70"
"2013-08-02","66.53"
"2013-08-01","65.04"
"2013-07-31","62.56"
"2013-07-30","60.73"
"2013-07-29","60.30"
"2013-07-26","61.60"
"2013-07-25","62.10"
"2013-07-24","62.29"
"2013-07-23","62.95"
"2013-07-22","63.01"
"2013-07-19","62.84"
"2013-07-18","62.27"
"2013-07-17","61.27"
"2013-07-16","61.17"
"2013-07-15","61.84"
"2013-07-12","61.49"
"2013-07-11","61.24"
"2013-07-10","59.29"
"2013-07-09","59.01"
"2013-07-08","57.75"
"2013-07-05","58.59"
"2013-07-03","58.27"
"2013-07-02","58.30"
"2013-07-01","59.02"
"2013-06-28","59.31"
"2013-06-27","59.73"
"2013-06-26","58.86"
"2013-06-25","59.14"
"2013-06-24","58.61"
"2013-06-21","60.17"
"2013-06-20","60.01"
"2013-06-19","62.23"
"2013-06-18","63.28"
"2013-06-17","62.31"
"2013-06-14","61.00"
"2013-06-13","61.14"
"2013-06-12","60.21"
"2013-06-11","61.57"
"2013-06-10","63.08"
"2013-06-07","62.86"
"2013-06-06","62.20"
"2013-06-05","61.58"
"2013-06-04","62.67"
"2013-06-03","63.10"
"2013-05-31","63.21"
"2013-05-30","63.89"
"2013-05-29","63.40"
"2013-05-28","64.26"
"2013-05-24","63.68"
"2013-05-23","64.93"
"2013-05-22","65.00"
"2013-05-21","65.99"
"2013-05-20","66.28"
"2013-05-17","64.57"
"2013-05-16","62.00"
"2013-05-15","62.29"
"2013-05-14","61.84"
"2013-05-13","60.58"
"2013-05-10","61.91"
"2013-05-09","61.67"
"2013-05-08","61.79"
"2013-05-07","60.43"
"2013-05-06","60.09"
"2013-05-03","59.80"
"2013-05-02","57.45"
"2013-05-01","56.15"
"2013-04-30","56.98"
"2013-04-29","56.45"
"2013-04-26","56.38"
"2013-04-25","56.63"
"2013-04-24","56.32"
"2013-04-23","54.38"
"2013-04-22","55.27"
"2013-04-19","54.16"
"2013-04-18","54.33"
"2013-04-17","55.27"
"2013-04-16","56.64"
"2013-04-15","55.30"
"2013-04-12","60.22"
"2013-04-11","62.92"
"2013-04-10","62.57"
"2013-04-09","62.68"
"2013-04-08","62.45"
"2013-04-05","62.03"
"2013-04-04","61.82"
"2013-04-03","61.91"
"2013-04-02","64.28"
"2013-04-01","65.44"
"2013-03-28","66.33"
"2013-03-27","65.25"
"2013-03-26","65.49"
"2013-03-25","64.30"
"2013-03-22","64.94"
"2013-03-21","63.63"
"2013-03-20","64.03"
"2013-03-19","63.50"
"2013-03-18","63.55"
"2013-03-15","64.48"
"2013-03-14","64.79"
"2013-03-13","63.78"
"2013-03-12","63.83"
"2013-03-11","63.96"
"2013-03-08","64.31"
"2013-03-07","63.41"
"2013-03-06","62.75"
"2013-03-05","61.63"
"2013-03-04","60.03"
"2013-03-01","60.51"
"2013-02-28","61.90"
"2013-02-27","62.53"
"2013-02-26","61.36"
"2013-02-25","61.45"
"2013-02-22","64.05"
"2013-02-21","63.53"
"2013-02-20","64.34"
"2013-02-19","66.28"
"2013-02-15","64.51"
"2013-02-14","64.57"
"2013-02-13","64.05"
"2013-02-12","63.57"
"2013-02-11","63.43"
"2013-02-08","63.71"
"2013-02-07","64.70"
"2013-02-06","65.25"
"2013-02-05","65.54"
"2013-02-04","65.11"
"2013-02-01","65.83"
"2013-01-31","64.83"
"2013-01-30","65.01"
"2013-01-29","65.98"
"2013-01-28","65.78"
"2013-01-25","66.06"
"2013-01-24","64.61"
"2013-01-23","63.69"
"2013-01-22","64.01"
"2013-01-18","63.31"
"2013-01-17","63.10"
"2013-01-16","62.75"
"2013-01-15","62.59"
"2013-01-14","62.07"
"2013-01-11","62.17"
"2013-01-10","62.63"
"2013-01-09","60.73"
"2013-01-08","59.98"
"2013-01-07","60.31"
"2013-01-04","60.53"
"2013-01-03","60.37"
"2013-01-02","61.00"
"2012-12-31","58.74"
"2012-12-28","57.23"
"2012-12-27","58.20"
"2012-12-26","58.01"
"2012-12-24","58.53"
"2012-12-21","59.15"
"2012-12-20","59.53"
"2012-12-19","58.79"
"2012-12-18","59.35"
"2012-12-17","57.84"
"2012-12-14","57.09"
"2012-12-13","56.99"
"2012-12-12","57.52"
"2012-12-11","58.36"
"2012-12-10","57.52"
"2012-12-07","56.32"
"2012-12-06","55.17"
"2012-12-05","53.50"
"2012-12-04","53.69"
"2012-12-03","52.98"
