"Date","Close"
"2013-12-31","60.03"
"2013-12-30","60.19"
"2013-12-27","59.60"
"2013-12-26","59.15"
"2013-12-24","58.60"
"2013-12-23","58.17"
"2013-12-20","57.32"
"2013-12-19","56.93"
"2013-12-18","56.98"
"2013-12-17","55.63"
"2013-12-16","55.33"
"2013-12-13","55.46"
"2013-12-12","54.99"
"2013-12-11","55.25"
"2013-12-10","55.32"
"2013-12-09","56.44"
"2013-12-06","56.91"
"2013-12-05","55.75"
"2013-12-04","56.27"
"2013-12-03","56.44"
"2013-12-02","56.32"
"2013-11-29","51.31"
"2013-11-27","51.03"
"2013-11-26","51.60"
"2013-11-25","51.19"
"2013-11-22","51.58"
"2013-11-21","51.18"
"2013-11-20","51.42"
"2013-11-19","51.32"
"2013-11-18","51.44"
"2013-11-15","51.66"
"2013-11-14","51.19"
"2013-11-13","50.44"
"2013-11-12","49.28"
"2013-11-11","48.96"
"2013-11-08","48.00"
"2013-11-07","47.31"
"2013-11-06","47.41"
"2013-11-05","46.91"
"2013-11-04","46.99"
"2013-11-01","47.15"
"2013-10-31","47.03"
"2013-10-30","46.81"
"2013-10-29","47.23"
"2013-10-28","46.87"
"2013-10-25","47.34"
"2013-10-24","47.25"
"2013-10-23","46.57"
"2013-10-22","46.54"
"2013-10-21","44.31"
"2013-10-18","44.44"
"2013-10-17","44.72"
"2013-10-16","44.15"
"2013-10-15","43.03"
"2013-10-14","43.40"
"2013-10-11","43.30"
"2013-10-10","43.02"
"2013-10-09","42.69"
"2013-10-08","42.65"
"2013-10-07","42.87"
"2013-10-04","43.27"
"2013-10-03","42.90"
"2013-10-02","43.11"
"2013-10-01","43.28"
"2013-09-30","42.79"
"2013-09-27","43.17"
"2013-09-26","43.30"
"2013-09-25","43.12"
"2013-09-24","43.32"
"2013-09-23","43.69"
"2013-09-20","44.27"
"2013-09-19","44.41"
"2013-09-18","44.78"
"2013-09-17","44.60"
"2013-09-16","44.66"
"2013-09-13","44.12"
"2013-09-12","44.26"
"2013-09-11","44.33"
"2013-09-10","43.56"
"2013-09-09","43.42"
"2013-09-06","43.21"
"2013-09-05","43.34"
"2013-09-04","43.40"
"2013-09-03","42.82"
"2013-08-30","42.53"
"2013-08-29","42.75"
"2013-08-28","42.51"
"2013-08-27","42.26"
"2013-08-26","42.96"
"2013-08-23","42.80"
"2013-08-22","42.99"
"2013-08-21","42.77"
"2013-08-20","42.46"
"2013-08-19","42.25"
"2013-08-16","42.43"
"2013-08-15","42.61"
"2013-08-14","43.28"
"2013-08-13","43.34"
"2013-08-12","43.45"
"2013-08-09","43.81"
"2013-08-08","44.36"
"2013-08-07","44.17"
"2013-08-06","44.34"
"2013-08-05","44.54"
"2013-08-02","44.71"
"2013-08-01","44.66"
"2013-07-31","43.56"
"2013-07-30","43.77"
"2013-07-29","43.58"
"2013-07-26","44.41"
"2013-07-25","43.99"
"2013-07-24","44.19"
"2013-07-23","44.25"
"2013-07-22","43.75"
"2013-07-19","43.76"
"2013-07-18","43.49"
"2013-07-17","43.35"
"2013-07-16","43.37"
"2013-07-15","43.98"
"2013-07-12","43.92"
"2013-07-11","43.79"
"2013-07-10","43.35"
"2013-07-09","42.60"
"2013-07-08","42.49"
"2013-07-05","42.39"
"2013-07-03","41.83"
"2013-07-02","41.71"
"2013-07-01","41.72"
"2013-06-28","41.00"
"2013-06-27","40.95"
"2013-06-26","40.69"
"2013-06-25","40.65"
"2013-06-24","40.46"
"2013-06-21","40.83"
"2013-06-20","40.19"
"2013-06-19","41.84"
"2013-06-18","41.57"
"2013-06-17","41.28"
"2013-06-14","41.08"
"2013-06-13","40.65"
"2013-06-12","39.72"
"2013-06-11","39.83"
"2013-06-10","41.03"
"2013-06-07","40.45"
"2013-06-06","40.33"
"2013-06-05","39.95"
"2013-06-04","40.09"
"2013-06-03","40.13"
"2013-05-31","39.75"
"2013-05-30","40.21"
"2013-05-29","39.91"
"2013-05-28","40.41"
"2013-05-24","39.23"
"2013-05-23","39.53"
"2013-05-22","37.51"
"2013-05-21","37.92"
"2013-05-20","37.98"
"2013-05-17","38.53"
"2013-05-16","38.70"
"2013-05-15","39.02"
"2013-05-14","38.69"
"2013-05-13","38.16"
"2013-05-10","38.26"
"2013-05-09","37.96"
"2013-05-08","37.70"
"2013-05-07","36.97"
"2013-05-06","37.20"
"2013-05-03","37.57"
"2013-05-02","37.10"
"2013-05-01","37.03"
"2013-04-30","37.41"
"2013-04-29","37.21"
"2013-04-26","37.03"
"2013-04-25","36.95"
"2013-04-24","36.99"
"2013-04-23","36.85"
"2013-04-22","36.14"
"2013-04-19","35.91"
"2013-04-18","35.44"
"2013-04-17","35.59"
"2013-04-16","35.68"
"2013-04-15","36.11"
"2013-04-12","37.99"
"2013-04-11","38.31"
"2013-04-10","38.07"
"2013-04-09","37.34"
"2013-04-08","37.49"
"2013-04-05","37.52"
"2013-04-04","37.66"
"2013-04-03","37.44"
"2013-04-02","37.75"
"2013-04-01","37.86"
"2013-03-28","38.04"
"2013-03-27","37.49"
"2013-03-26","37.71"
"2013-03-25","37.44"
"2013-03-22","37.78"
"2013-03-21","37.93"
"2013-03-20","38.01"
"2013-03-19","37.60"
"2013-03-18","37.61"
"2013-03-15","38.04"
"2013-03-14","37.93"
"2013-03-13","37.67"
"2013-03-12","38.04"
"2013-03-11","38.15"
"2013-03-08","37.90"
"2013-03-07","37.38"
"2013-03-06","37.29"
"2013-03-05","37.48"
"2013-03-04","37.21"
"2013-03-01","36.76"
"2013-02-28","36.80"
"2013-02-27","37.06"
"2013-02-26","36.57"
"2013-02-25","36.40"
"2013-02-22","36.67"
"2013-02-21","36.36"
"2013-02-20","36.41"
"2013-02-19","36.34"
"2013-02-15","36.00"
"2013-02-14","35.73"
"2013-02-13","35.80"
"2013-02-12","35.74"
"2013-02-11","35.48"
"2013-02-08","35.51"
"2013-02-07","35.48"
"2013-02-06","35.72"
"2013-02-05","35.95"
"2013-02-04","35.88"
"2013-02-01","36.48"
"2013-01-31","36.30"
"2013-01-30","36.28"
"2013-01-29","36.41"
"2013-01-28","36.50"
"2013-01-25","36.79"
"2013-01-24","36.76"
"2013-01-23","36.83"
"2013-01-22","36.96"
"2013-01-18","36.77"
"2013-01-17","37.02"
"2013-01-16","36.57"
"2013-01-15","37.85"
"2013-01-14","37.59"
"2013-01-11","38.11"
"2013-01-10","37.30"
"2013-01-09","36.92"
"2013-01-08","36.67"
"2013-01-07","37.07"
"2013-01-04","37.07"
"2013-01-03","36.28"
"2013-01-02","35.82"
"2012-12-31","35.32"
"2012-12-28","34.84"
"2012-12-27","34.82"
"2012-12-26","35.14"
"2012-12-24","35.20"
"2012-12-21","35.19"
"2012-12-20","35.63"
"2012-12-19","35.54"
"2012-12-18","36.00"
"2012-12-17","35.85"
"2012-12-14","35.70"
"2012-12-13","35.90"
"2012-12-12","36.31"
"2012-12-11","36.82"
"2012-12-10","36.69"
"2012-12-07","35.72"
"2012-12-06","35.74"
"2012-12-05","36.12"
"2012-12-04","35.44"
"2012-12-03","35.35"
"2012-11-30","35.46"
"2012-11-29","34.58"
"2012-11-28","33.79"
"2012-11-27","33.52"
"2012-11-26","33.49"
"2012-11-23","33.32"
"2012-11-21","32.89"
"2012-11-20","32.81"
"2012-11-19","32.46"
"2012-11-16","32.32"
"2012-11-15","32.23"
"2012-11-14","32.07"
"2012-11-13","32.42"
"2012-11-12","32.60"
"2012-11-09","33.15"
"2012-11-08","32.96"
"2012-11-07","33.34"
"2012-11-06","34.03"
"2012-11-05","34.02"
"2012-11-02","34.14"
"2012-11-01","34.35"
"2012-10-31","33.71"
"2012-10-26","34.17"
"2012-10-25","34.62"
"2012-10-24","34.21"
"2012-10-23","34.32"
"2012-10-22","34.62"
"2012-10-19","34.90"
"2012-10-18","35.32"
"2012-10-17","35.30"
"2012-10-16","35.43"
"2012-10-15","36.60"
"2012-10-12","36.28"
"2012-10-11","36.52"
"2012-10-10","36.40"
"2012-10-09","36.60"
"2012-10-08","37.37"
"2012-10-05","37.42"
"2012-10-04","37.40"
"2012-10-03","36.61"
"2012-10-02","36.05"
"2012-10-01","36.00"
"2012-09-28","35.61"
"2012-09-27","35.55"
"2012-09-26","35.91"
"2012-09-25","36.10"
"2012-09-24","36.49"
"2012-09-21","35.69"
"2012-09-20","35.35"
"2012-09-19","34.90"
"2012-09-18","35.36"
"2012-09-17","35.26"
"2012-09-14","34.87"
"2012-09-13","35.16"
"2012-09-12","34.65"
"2012-09-11","34.67"
"2012-09-10","34.82"
"2012-09-07","35.37"
"2012-09-06","35.67"
"2012-09-05","34.92"
"2012-09-04","35.06"
"2012-08-31","34.69"
"2012-08-30","35.04"
"2012-08-29","34.66"
"2012-08-28","34.74"
"2012-08-27","34.69"
"2012-08-24","34.68"
"2012-08-23","34.62"
"2012-08-22","34.53"
"2012-08-21","34.42"
"2012-08-20","34.25"
"2012-08-17","34.21"
"2012-08-16","33.96"
"2012-08-15","33.88"
"2012-08-14","33.98"
"2012-08-13","33.95"
"2012-08-10","33.76"
"2012-08-09","33.47"
"2012-08-08","33.40"
"2012-08-07","33.63"
"2012-08-06","33.59"
"2012-08-03","33.54"
"2012-08-02","32.64"
"2012-08-01","32.97"
"2012-07-31","33.55"
"2012-07-30","33.83"
"2012-07-27","34.04"
"2012-07-26","33.51"
"2012-07-25","33.43"
"2012-07-24","33.71"
"2012-07-23","34.28"
"2012-07-20","34.90"
"2012-07-19","35.41"
"2012-07-18","35.77"
"2012-07-17","35.82"
"2012-07-16","35.18"
"2012-07-13","35.36"
"2012-07-12","35.32"
"2012-07-11","35.31"
"2012-07-10","35.71"
"2012-07-09","35.93"
"2012-07-06","35.48"
"2012-07-05","35.57"
"2012-07-03","36.13"
"2012-07-02","35.79"
"2012-06-29","34.99"
"2012-06-28","34.12"
"2012-06-27","34.05"
"2012-06-26","33.22"
"2012-06-25","33.41"
"2012-06-22","34.09"
"2012-06-21","33.84"
"2012-06-20","34.57"
"2012-06-19","34.67"
"2012-06-18","34.71"
"2012-06-15","34.45"
"2012-06-14","34.89"
"2012-06-13","34.56"
"2012-06-12","34.54"
"2012-06-11","34.43"
"2012-06-08","35.69"
"2012-06-07","35.03"
"2012-06-06","35.29"
"2012-06-05","34.67"
"2012-06-04","34.49"
"2012-06-01","34.29"
"2012-05-31","35.00"
"2012-05-30","33.66"
"2012-05-29","33.61"
"2012-05-25","33.38"
"2012-05-24","33.33"
"2012-05-23","32.93"
"2012-05-22","33.62"
"2012-05-21","33.69"
"2012-05-18","33.20"
"2012-05-17","33.61"
"2012-05-16","33.87"
"2012-05-15","33.59"
"2012-05-14","34.03"
"2012-05-11","34.24"
"2012-05-10","33.99"
"2012-05-09","33.95"
"2012-05-08","34.07"
"2012-05-07","34.13"
"2012-05-04","33.93"
"2012-05-03","34.26"
"2012-05-02","34.48"
"2012-05-01","34.64"
"2012-04-30","34.83"
"2012-04-27","34.92"
"2012-04-26","34.65"
"2012-04-25","34.05"
"2012-04-24","33.54"
"2012-04-23","33.45"
"2012-04-20","33.87"
"2012-04-19","33.86"
"2012-04-18","34.31"
"2012-04-17","34.97"
"2012-04-16","33.64"
"2012-04-13","33.45"
"2012-04-12","33.73"
"2012-04-11","33.54"
"2012-04-10","33.33"
"2012-04-09","33.94"
"2012-04-05","34.61"
"2012-04-04","34.64"
"2012-04-03","34.75"
"2012-04-02","34.59"
"2012-03-30","34.69"
"2012-03-29","34.63"
"2012-03-28","34.62"
"2012-03-27","34.73"
"2012-03-26","34.79"
"2012-03-23","34.16"
"2012-03-22","33.96"
"2012-03-21","33.34"
"2012-03-20","33.44"
"2012-03-19","33.58"
"2012-03-16","33.55"
"2012-03-15","33.81"
"2012-03-14","33.69"
"2012-03-13","33.70"
"2012-03-12","33.24"
"2012-03-09","33.45"
"2012-03-08","32.86"
"2012-03-07","32.64"
"2012-03-06","32.25"
"2012-03-05","32.58"
"2012-03-02","32.47"
"2012-03-01","32.67"
"2012-02-29","32.52"
"2012-02-28","32.70"
"2012-02-27","32.34"
"2012-02-24","32.29"
"2012-02-23","32.21"
"2012-02-22","31.84"
"2012-02-21","32.00"
"2012-02-17","32.03"
"2012-02-16","31.89"
"2012-02-15","31.40"
"2012-02-14","31.63"
"2012-02-13","31.54"
"2012-02-10","31.54"
"2012-02-09","31.53"
"2012-02-08","31.66"
"2012-02-07","31.82"
"2012-02-06","31.94"
"2012-02-03","31.85"
"2012-02-02","31.62"
"2012-02-01","31.78"
"2012-01-31","31.78"
"2012-01-30","31.64"
"2012-01-27","31.78"
"2012-01-26","31.65"
"2012-01-25","31.80"
"2012-01-24","32.11"
"2012-01-23","32.14"
"2012-01-20","32.17"
"2012-01-19","32.23"
"2012-01-18","32.20"
"2012-01-17","32.08"
"2012-01-13","30.90"
"2012-01-12","31.34"
"2012-01-11","31.17"
"2012-01-10","31.06"
"2012-01-09","30.81"
"2012-01-06","30.60"
"2012-01-05","30.53"
"2012-01-04","30.43"
"2012-01-03","30.65"
"2011-12-30","30.26"
"2011-12-29","30.28"
"2011-12-28","30.13"
"2011-12-27","30.44"
"2011-12-23","30.45"
"2011-12-22","30.12"
"2011-12-21","29.75"
"2011-12-20","29.49"
"2011-12-19","28.78"
"2011-12-16","29.03"
"2011-12-15","28.83"
"2011-12-14","28.55"
"2011-12-13","28.99"
"2011-12-12","29.27"
"2011-12-09","29.66"
"2011-12-08","29.62"
"2011-12-07","30.21"
"2011-12-06","30.05"
"2011-12-05","29.87"
"2011-12-02","29.89"
"2011-12-01","29.91"
"2011-11-30","29.96"
"2011-11-29","29.02"
"2011-11-28","29.15"
"2011-11-25","28.63"
"2011-11-23","28.77"
"2011-11-22","29.23"
"2011-11-21","29.01"
"2011-11-18","29.28"
"2011-11-17","29.36"
"2011-11-16","29.76"
"2011-11-15","30.25"
"2011-11-14","30.28"
"2011-11-11","30.52"
"2011-11-10","30.06"
"2011-11-09","30.05"
"2011-11-08","30.85"
"2011-11-07","30.58"
"2011-11-04","30.49"
"2011-11-03","30.82"
"2011-11-02","30.55"
"2011-11-01","30.47"
"2011-10-31","31.30"
"2011-10-28","31.78"
"2011-10-27","31.66"
"2011-10-26","30.82"
"2011-10-25","30.85"
"2011-10-24","31.62"
"2011-10-21","31.25"
"2011-10-20","30.90"
"2011-10-19","31.08"
"2011-10-18","31.47"
"2011-10-17","32.13"
"2011-10-14","32.56"
"2011-10-13","32.27"
"2011-10-12","32.24"
"2011-10-11","32.25"
"2011-10-10","32.26"
"2011-10-07","31.75"
"2011-10-06","31.88"
"2011-10-05","31.18"
"2011-10-04","30.02"
"2011-10-03","29.74"
"2011-09-30","30.79"
"2011-09-29","31.07"
"2011-09-28","30.84"
"2011-09-27","31.24"
"2011-09-26","31.29"
"2011-09-23","30.87"
"2011-09-22","30.71"
"2011-09-21","31.41"
"2011-09-20","32.38"
"2011-09-19","32.45"
"2011-09-16","33.18"
"2011-09-15","33.03"
"2011-09-14","32.83"
"2011-09-13","32.71"
"2011-09-12","32.57"
"2011-09-09","32.75"
"2011-09-08","33.85"
"2011-09-07","34.10"
"2011-09-06","33.15"
"2011-09-02","33.10"
"2011-09-01","33.85"
"2011-08-31","34.24"
"2011-08-30","34.15"
"2011-08-29","33.93"
"2011-08-26","33.31"
"2011-08-25","33.14"
"2011-08-24","33.69"
"2011-08-23","33.43"
"2011-08-22","32.79"
"2011-08-19","32.83"
"2011-08-18","33.18"
"2011-08-17","34.45"
"2011-08-16","35.31"
"2011-08-15","34.49"
"2011-08-12","34.25"
"2011-08-11","34.09"
"2011-08-10","33.24"
"2011-08-09","34.77"
"2011-08-08","33.12"
"2011-08-05","33.72"
"2011-08-04","34.80"
"2011-08-03","36.00"
"2011-08-02","35.98"
"2011-08-01","36.66"
"2011-07-29","37.06"
"2011-07-28","37.13"
"2011-07-27","37.37"
"2011-07-26","38.05"
"2011-07-25","38.23"
"2011-07-22","38.53"
"2011-07-21","38.74"
"2011-07-20","38.53"
"2011-07-19","38.42"
"2011-07-18","37.95"
"2011-07-15","38.46"
"2011-07-14","38.79"
"2011-07-13","39.02"
"2011-07-12","38.61"
"2011-07-11","38.70"
"2011-07-08","39.37"
"2011-07-07","39.92"
"2011-07-06","39.02"
"2011-07-05","39.61"
"2011-07-01","40.17"
"2011-06-30","39.34"
"2011-06-29","39.70"
"2011-06-28","39.71"
"2011-06-27","39.30"
"2011-06-24","39.33"
"2011-06-23","39.89"
"2011-06-22","39.98"
"2011-06-21","40.15"
"2011-06-20","39.49"
"2011-06-17","38.68"
"2011-06-16","38.53"
"2011-06-15","38.58"
"2011-06-14","38.92"
"2011-06-13","38.57"
"2011-06-10","37.95"
"2011-06-09","37.86"
"2011-06-08","37.06"
"2011-06-07","37.00"
"2011-06-06","36.31"
"2011-06-03","36.90"
"2011-06-02","35.57"
"2011-06-01","35.50"
"2011-05-31","36.02"
"2011-05-27","35.78"
"2011-05-26","35.51"
"2011-05-25","35.32"
"2011-05-24","34.96"
"2011-05-23","34.84"
"2011-05-20","35.37"
"2011-05-19","35.28"
"2011-05-18","35.15"
"2011-05-17","34.47"
"2011-05-16","34.45"
"2011-05-13","34.23"
"2011-05-12","34.32"
"2011-05-11","33.62"
"2011-05-10","34.04"
"2011-05-09","34.26"
"2011-05-06","34.26"
"2011-05-05","34.20"
"2011-05-04","34.37"
"2011-05-03","34.37"
"2011-05-02","34.74"
"2011-04-29","33.16"
"2011-04-28","33.31"
"2011-04-27","33.21"
"2011-04-26","32.94"
"2011-04-25","32.27"
"2011-04-21","32.55"
"2011-04-20","33.38"
"2011-04-19","34.04"
"2011-04-18","33.22"
"2011-04-15","33.94"
"2011-04-14","33.75"
"2011-04-13","33.89"
"2011-04-12","33.90"
"2011-04-11","34.22"
"2011-04-08","32.85"
"2011-04-07","33.03"
"2011-04-06","33.22"
"2011-04-05","33.03"
"2011-04-04","32.86"
"2011-04-01","32.80"
"2011-03-31","32.30"
"2011-03-30","32.48"
"2011-03-29","31.13"
"2011-03-28","30.93"
"2011-03-25","31.39"
"2011-03-24","31.31"
"2011-03-23","31.06"
"2011-03-22","30.82"
"2011-03-21","31.11"
"2011-03-18","30.60"
"2011-03-17","30.65"
"2011-03-16","30.32"
"2011-03-15","30.79"
"2011-03-14","31.58"
"2011-03-11","31.93"
"2011-03-10","31.93"
"2011-03-09","32.56"
"2011-03-08","32.50"
"2011-03-07","32.25"
"2011-03-04","32.47"
"2011-03-03","32.75"
"2011-03-02","32.03"
"2011-03-01","32.02"
"2011-02-28","32.40"
"2011-02-25","31.88"
"2011-02-24","31.93"
"2011-02-23","32.00"
"2011-02-22","32.90"
"2011-02-18","34.33"
"2011-02-17","34.26"
"2011-02-16","34.27"
"2011-02-15","34.01"
"2011-02-14","33.71"
"2011-02-11","33.62"
"2011-02-10","33.56"
"2011-02-09","33.41"
"2011-02-08","33.25"
"2011-02-07","33.50"
"2011-02-04","33.25"
"2011-02-03","33.10"
"2011-02-02","32.62"
"2011-02-01","32.81"
"2011-01-31","32.26"
"2011-01-28","31.99"
"2011-01-27","32.44"
