"Date","Close"
"2013-12-31","54.64"
"2013-12-30","55.60"
"2013-12-27","55.26"
"2013-12-26","55.68"
"2013-12-24","55.29"
"2013-12-23","55.76"
"2013-12-20","55.87"
"2013-12-19","56.76"
"2013-12-18","55.42"
"2013-12-17","55.51"
"2013-12-16","54.70"
"2013-12-13","53.79"
"2013-12-12","54.39"
"2013-12-11","54.20"
"2013-12-10","56.49"
"2013-12-09","56.07"
"2013-12-06","58.01"
"2013-12-05","59.78"
"2013-12-04","60.80"
"2013-12-03","59.62"
"2013-12-02","59.81"
"2013-11-29","59.82"
"2013-11-27","60.53"
"2013-11-26","59.37"
"2013-11-25","59.94"
"2013-11-22","60.35"
"2013-11-21","61.98"
"2013-11-20","60.88"
"2013-11-19","60.42"
"2013-11-18","62.87"
"2013-11-15","64.19"
"2013-11-14","64.28"
"2013-11-13","64.20"
"2013-11-12","61.72"
"2013-11-11","63.14"
"2013-11-08","60.50"
"2013-11-07","58.13"
"2013-11-06","61.15"
"2013-11-05","62.12"
"2013-11-04","61.83"
"2013-11-01","59.14"
"2013-10-31","50.31"
"2013-10-30","51.40"
"2013-10-29","52.37"
"2013-10-28","51.48"
"2013-10-25","52.80"
"2013-10-24","54.22"
"2013-10-23","53.08"
"2013-10-22","54.50"
"2013-10-21","53.88"
"2013-10-18","49.97"
"2013-10-17","45.97"
"2013-10-16","45.76"
"2013-10-15","43.75"
"2013-10-14","44.36"
"2013-10-11","43.31"
"2013-10-10","42.33"
"2013-10-09","41.60"
"2013-10-08","42.29"
"2013-10-07","43.74"
"2013-10-04","43.97"
"2013-10-03","43.08"
"2013-10-02","42.98"
"2013-10-01","42.14"
"2013-09-30","40.21"
"2013-09-27","40.71"
"2013-09-26","40.45"
"2013-09-25","40.39"
"2013-09-24","39.04"
"2013-09-23","38.78"
"2013-09-20","39.02"
"2013-09-19","39.83"
"2013-09-18","39.50"
"2013-09-17","38.51"
"2013-09-16","38.48"
"2013-09-13","38.22"
"2013-09-12","38.34"
"2013-09-11","39.60"
"2013-09-10","39.73"
"2013-09-09","38.24"
"2013-09-06","37.45"
"2013-09-05","38.36"
"2013-09-04","36.47"
"2013-09-03","36.87"
"2013-08-30","36.72"
"2013-08-29","37.52"
"2013-08-28","36.92"
"2013-08-27","36.84"
"2013-08-26","38.78"
"2013-08-23","38.97"
"2013-08-22","39.02"
"2013-08-21","38.55"
"2013-08-20","38.52"
"2013-08-19","37.09"
"2013-08-16","38.16"
"2013-08-15","37.63"
