"Date","Close"
"2013-12-31","52.21"
"2013-12-30","51.54"
"2013-12-27","51.90"
"2013-12-26","52.27"
"2013-12-24","52.21"
"2013-12-23","51.64"
"2013-12-20","52.30"
"2013-12-19","51.92"
"2013-12-18","52.76"
"2013-12-17","53.16"
"2013-12-16","53.10"
"2013-12-13","51.56"
"2013-12-12","51.01"
"2013-12-11","50.56"
"2013-12-10","50.15"
"2013-12-09","50.98"
"2013-12-06","50.72"
"2013-12-05","50.21"
"2013-12-04","49.29"
"2013-12-03","48.50"
"2013-12-02","48.21"
"2013-11-29","48.10"
"2013-11-27","47.78"
"2013-11-26","48.00"
"2013-11-25","48.20"
"2013-11-22","49.04"
"2013-11-21","49.45"
"2013-11-20","48.83"
"2013-11-19","48.54"
"2013-11-18","48.58"
"2013-11-15","49.54"
"2013-11-14","49.57"
"2013-11-13","49.14"
"2013-11-12","48.93"
"2013-11-11","49.74"
"2013-11-08","49.75"
"2013-11-07","49.44"
"2013-11-06","50.26"
"2013-11-05","50.07"
"2013-11-04","50.57"
"2013-11-01","50.41"
"2013-10-31","50.55"
"2013-10-30","50.90"
"2013-10-29","51.51"
"2013-10-28","51.81"
"2013-10-25","51.13"
"2013-10-24","51.89"
"2013-10-23","52.80"
"2013-10-22","57.77"
"2013-10-21","58.03"
"2013-10-18","59.34"
"2013-10-17","58.25"
"2013-10-16","59.03"
"2013-10-15","57.85"
"2013-10-14","58.10"
"2013-10-11","57.35"
"2013-10-10","57.10"
"2013-10-09","55.82"
"2013-10-08","56.09"
"2013-10-07","56.53"
"2013-10-04","57.11"
"2013-10-03","56.34"
"2013-10-02","56.99"
"2013-10-01","56.21"
"2013-09-30","55.42"
"2013-09-27","55.33"
"2013-09-26","55.29"
"2013-09-25","55.40"
"2013-09-24","55.17"
"2013-09-23","55.52"
"2013-09-20","56.37"
"2013-09-19","57.15"
"2013-09-18","57.49"
"2013-09-17","56.22"
"2013-09-16","55.56"
"2013-09-13","54.40"
"2013-09-12","55.16"
"2013-09-11","55.53"
"2013-09-10","55.11"
"2013-09-09","55.14"
"2013-09-06","54.71"
"2013-09-05","55.08"
"2013-09-04","54.91"
"2013-09-03","54.29"
"2013-08-30","53.63"
"2013-08-29","53.79"
"2013-08-28","54.73"
"2013-08-27","54.30"
"2013-08-26","54.74"
"2013-08-23","55.11"
"2013-08-22","54.72"
"2013-08-21","52.65"
"2013-08-20","52.97"
"2013-08-19","52.38"
"2013-08-16","53.25"
"2013-08-15","53.22"
"2013-08-14","53.80"
"2013-08-13","54.36"
"2013-08-12","54.07"
"2013-08-09","53.93"
"2013-08-08","53.93"
"2013-08-07","53.57"
"2013-08-06","53.63"
"2013-08-05","54.64"
"2013-08-02","55.11"
"2013-08-01","54.92"
"2013-07-31","53.30"
"2013-07-30","53.47"
"2013-07-29","53.40"
"2013-07-26","54.55"
"2013-07-25","55.64"
"2013-07-24","56.11"
"2013-07-23","57.10"
"2013-07-22","57.37"
"2013-07-19","57.82"
"2013-07-18","57.18"
"2013-07-17","56.67"
"2013-07-16","56.62"
"2013-07-15","57.77"
"2013-07-12","58.35"
"2013-07-11","57.52"
"2013-07-10","58.01"
"2013-07-09","58.16"
"2013-07-08","56.81"
"2013-07-05","56.34"
"2013-07-03","55.85"
"2013-07-02","56.41"
"2013-07-01","55.82"
"2013-06-28","55.68"
"2013-06-27","56.29"
