"Date","Close"
"2013-12-31","4.65"
"2013-12-30","4.70"
"2013-12-27","4.70"
"2013-12-26","4.70"
"2013-12-24","4.70"
"2013-12-23","4.69"
"2013-12-20","4.69"
"2013-12-19","4.73"
"2013-12-18","4.70"
"2013-12-17","4.78"
"2013-12-16","4.40"
"2013-12-13","4.44"
"2013-12-12","4.45"
"2013-12-11","4.53"
"2013-12-10","4.61"
"2013-12-09","4.57"
"2013-12-06","4.56"
"2013-12-05","4.43"
"2013-12-04","4.64"
"2013-12-03","4.65"
"2013-12-02","4.62"
"2013-11-29","4.68"
"2013-11-27","4.69"
"2013-11-26","4.64"
"2013-11-25","4.67"
"2013-11-22","4.70"
"2013-11-21","4.80"
"2013-11-20","4.84"
"2013-11-19","4.98"
"2013-11-18","4.90"
"2013-11-15","4.90"
"2013-11-14","4.82"
"2013-11-13","4.78"
"2013-11-12","4.70"
"2013-11-11","4.72"
"2013-11-08","4.69"
"2013-11-07","4.64"
"2013-11-06","4.72"
"2013-11-05","4.48"
"2013-11-04","4.46"
"2013-11-01","4.45"
"2013-10-31","4.41"
"2013-10-30","4.43"
"2013-10-29","4.49"
"2013-10-28","4.49"
"2013-10-25","4.48"
"2013-10-24","4.42"
"2013-10-23","4.42"
"2013-10-22","4.48"
"2013-10-21","4.46"
"2013-10-18","4.47"
"2013-10-17","4.44"
"2013-10-16","4.41"
"2013-10-15","4.37"
"2013-10-14","4.38"
"2013-10-11","4.41"
"2013-10-10","4.31"
"2013-10-09","4.22"
"2013-10-08","4.22"
"2013-10-07","4.28"
"2013-10-04","4.28"
"2013-10-03","4.23"
"2013-10-02","4.29"
"2013-10-01","4.25"
"2013-09-30","4.18"
"2013-09-27","4.29"
"2013-09-26","4.30"
"2013-09-25","4.29"
"2013-09-24","4.32"
"2013-09-23","4.28"
"2013-09-20","4.18"
"2013-09-19","4.31"
"2013-09-18","4.37"
"2013-09-17","4.34"
"2013-09-16","4.32"
"2013-09-13","4.35"
"2013-09-12","4.39"
"2013-09-11","4.35"
"2013-09-10","4.33"
"2013-09-09","4.33"
"2013-09-06","4.28"
"2013-09-05","4.36"
"2013-09-04","4.45"
"2013-09-03","4.38"
"2013-08-30","4.33"
"2013-08-29","4.46"
"2013-08-28","4.43"
"2013-08-27","4.47"
"2013-08-26","4.55"
"2013-08-23","4.55"
"2013-08-22","4.50"
"2013-08-21","4.54"
"2013-08-20","4.47"
"2013-08-19","4.47"
"2013-08-16","4.61"
"2013-08-15","4.68"
"2013-08-14","4.71"
"2013-08-13","4.74"
"2013-08-12","4.65"
"2013-08-09","4.55"
"2013-08-08","4.59"
"2013-08-07","4.61"
"2013-08-06","4.56"
"2013-08-05","4.56"
"2013-08-02","4.49"
"2013-08-01","4.40"
"2013-07-31","4.36"
"2013-07-30","4.32"
"2013-07-29","4.29"
"2013-07-26","4.27"
"2013-07-25","4.26"
"2013-07-24","4.28"
"2013-07-23","4.25"
"2013-07-22","4.30"
"2013-07-19","4.27"
"2013-07-18","4.20"
"2013-07-17","4.14"
"2013-07-16","4.10"
"2013-07-15","4.08"
"2013-07-12","4.03"
"2013-07-11","4.04"
"2013-07-10","4.02"
"2013-07-09","3.99"
"2013-07-08","4.04"
"2013-07-05","3.98"
"2013-07-03","3.96"
"2013-07-02","3.98"
"2013-07-01","4.02"
"2013-06-28","4.05"
"2013-06-27","4.00"
"2013-06-26","3.93"
"2013-06-25","3.99"
"2013-06-24","3.80"
"2013-06-21","3.92"
"2013-06-20","3.89"
"2013-06-19","4.01"
"2013-06-18","4.04"
"2013-06-17","4.08"
"2013-06-14","4.22"
"2013-06-13","4.24"
"2013-06-12","4.15"
"2013-06-11","4.04"
"2013-06-10","4.14"
"2013-06-07","4.16"
"2013-06-06","4.12"
"2013-06-05","4.05"
"2013-06-04","4.16"
"2013-06-03","4.16"
"2013-05-31","4.15"
"2013-05-30","4.27"
"2013-05-29","4.25"
"2013-05-28","4.30"
"2013-05-24","4.40"
"2013-05-23","4.39"
"2013-05-22","4.26"
"2013-05-21","4.35"
"2013-05-20","4.32"
"2013-05-17","4.42"
"2013-05-16","4.40"
"2013-05-15","4.36"
"2013-05-14","4.29"
"2013-05-13","4.12"
"2013-05-10","4.25"
"2013-05-09","4.13"
"2013-05-08","4.18"
"2013-05-07","3.97"
"2013-05-06","4.09"
"2013-05-03","4.03"
"2013-05-02","4.02"
"2013-05-01","4.12"
"2013-04-30","4.16"
"2013-04-29","4.14"
"2013-04-26","4.08"
"2013-04-25","4.10"
"2013-04-24","4.04"
"2013-04-23","4.05"
"2013-04-22","4.05"
"2013-04-19","4.03"
"2013-04-18","3.98"
"2013-04-17","4.00"
"2013-04-16","4.10"
"2013-04-15","4.08"
"2013-04-12","4.22"
"2013-04-11","4.23"
"2013-04-10","4.23"
"2013-04-09","4.19"
"2013-04-08","4.08"
"2013-04-05","4.12"
"2013-04-04","4.11"
"2013-04-03","4.00"
"2013-04-02","3.93"
"2013-04-01","3.90"
"2013-03-28","3.99"
"2013-03-27","3.82"
"2013-03-26","3.93"
"2013-03-25","3.87"
"2013-03-22","3.98"
"2013-03-21","3.97"
"2013-03-20","3.93"
"2013-03-19","3.97"
"2013-03-18","4.06"
"2013-03-15","4.09"
"2013-03-14","4.10"
"2013-03-13","4.16"
"2013-03-12","4.13"
"2013-03-11","4.06"
"2013-03-08","4.07"
"2013-03-07","4.09"
"2013-03-06","4.04"
"2013-03-05","4.10"
"2013-03-04","4.20"
"2013-03-01","4.19"
"2013-02-28","4.14"
"2013-02-27","4.12"
"2013-02-26","4.07"
"2013-02-25","4.04"
"2013-02-22","4.09"
"2013-02-21","4.02"
"2013-02-20","4.02"
"2013-02-19","4.17"
"2013-02-15","4.10"
"2013-02-14","4.24"
"2013-02-13","4.50"
"2013-02-12","4.65"
"2013-02-11","4.57"
"2013-02-08","4.66"
"2013-02-07","4.56"
"2013-02-06","4.51"
"2013-02-05","4.53"
"2013-02-04","4.47"
"2013-02-01","4.40"
"2013-01-31","4.57"
"2013-01-30","4.48"
"2013-01-29","4.57"
"2013-01-28","4.51"
"2013-01-25","4.46"
"2013-01-24","4.48"
"2013-01-23","4.55"
"2013-01-22","4.58"
"2013-01-18","4.48"
"2013-01-17","4.40"
"2013-01-16","4.37"
"2013-01-15","4.41"
"2013-01-14","4.39"
"2013-01-11","4.35"
"2013-01-10","4.34"
"2013-01-09","4.35"
"2013-01-08","4.33"
"2013-01-07","4.46"
"2013-01-04","4.36"
"2013-01-03","4.37"
"2013-01-02","4.36"
"2012-12-31","4.28"
"2012-12-28","4.19"
"2012-12-27","4.19"
"2012-12-26","4.17"
"2012-12-24","4.24"
"2012-12-21","4.28"
"2012-12-20","4.43"
"2012-12-19","4.48"
"2012-12-18","4.63"
"2012-12-17","4.62"
"2012-12-14","4.60"
"2012-12-13","4.71"
"2012-12-12","4.83"
"2012-12-11","4.77"
"2012-12-10","4.71"
"2012-12-07","4.71"
"2012-12-06","4.68"
"2012-12-05","4.73"
"2012-12-04","4.79"
"2012-12-03","4.80"
"2012-11-30","4.81"
"2012-11-29","4.74"
"2012-11-28","4.70"
"2012-11-27","4.59"
"2012-11-26","4.54"
"2012-11-23","4.49"
"2012-11-21","4.42"
"2012-11-20","4.40"
"2012-11-19","4.41"
"2012-11-16","4.29"
"2012-11-15","4.35"
"2012-11-14","4.37"
"2012-11-13","4.37"
"2012-11-12","4.41"
"2012-11-09","4.35"
"2012-11-08","4.35"
"2012-11-07","4.49"
"2012-11-06","4.55"
"2012-11-05","4.64"
"2012-11-02","4.51"
"2012-11-01","4.71"
"2012-10-31","4.73"
"2012-10-26","4.74"
"2012-10-25","4.78"
"2012-10-24","4.66"
"2012-10-23","4.58"
"2012-10-22","4.66"
"2012-10-19","4.76"
"2012-10-18","4.88"
"2012-10-17","4.84"
"2012-10-16","4.84"
"2012-10-15","4.81"
"2012-10-12","4.81"
"2012-10-11","4.86"
"2012-10-10","4.90"
"2012-10-09","4.76"
"2012-10-08","4.78"
"2012-10-05","4.77"
"2012-10-04","4.76"
"2012-10-03","4.55"
"2012-10-02","4.72"
"2012-10-01","4.82"
"2012-09-28","4.92"
"2012-09-27","4.92"
"2012-09-26","4.94"
"2012-09-25","4.90"
"2012-09-24","4.94"
"2012-09-21","4.98"
"2012-09-20","4.79"
"2012-09-19","4.67"
"2012-09-18","4.69"
"2012-09-17","4.66"
"2012-09-14","4.65"
"2012-09-13","4.79"
"2012-09-12","4.85"
"2012-09-11","4.76"
"2012-09-10","4.63"
"2012-09-07","4.55"
"2012-09-06","4.65"
"2012-09-05","4.56"
"2012-09-04","4.66"
"2012-08-31","4.62"
"2012-08-30","4.74"
"2012-08-29","4.66"
"2012-08-28","4.61"
"2012-08-27","4.65"
"2012-08-24","4.63"
"2012-08-23","4.56"
"2012-08-22","4.62"
"2012-08-21","4.64"
"2012-08-20","4.65"
"2012-08-17","4.63"
"2012-08-16","4.66"
"2012-08-15","4.75"
"2012-08-14","4.78"
"2012-08-13","4.82"
"2012-08-10","4.75"
"2012-08-09","4.71"
"2012-08-08","4.55"
"2012-08-07","4.50"
"2012-08-06","4.45"
"2012-08-03","4.40"
"2012-08-02","4.41"
"2012-08-01","4.34"
"2012-07-31","3.92"
"2012-07-30","3.71"
"2012-07-27","3.72"
"2012-07-26","3.63"
"2012-07-25","3.59"
"2012-07-24","3.61"
"2012-07-23","3.67"
"2012-07-20","3.74"
"2012-07-19","3.72"
"2012-07-18","3.87"
"2012-07-17","3.92"
"2012-07-16","3.92"
"2012-07-13","3.93"
"2012-07-12","3.98"
"2012-07-11","4.03"
"2012-07-10","3.96"
"2012-07-09","3.98"
"2012-07-06","4.01"
"2012-07-05","4.01"
"2012-07-03","3.99"
"2012-07-02","3.96"
"2012-06-29","3.83"
"2012-06-28","3.79"
"2012-06-27","3.76"
"2012-06-26","3.76"
"2012-06-25","3.92"
"2012-06-22","4.02"
"2012-06-21","3.92"
"2012-06-20","3.88"
"2012-06-19","3.88"
"2012-06-18","3.87"
"2012-06-15","3.93"
"2012-06-14","3.72"
"2012-06-13","3.74"
"2012-06-12","3.67"
"2012-06-11","3.54"
"2012-06-08","3.45"
"2012-06-07","3.33"
"2012-06-06","3.34"
"2012-06-05","3.55"
"2012-06-04","3.53"
"2012-06-01","3.52"
"2012-05-31","3.74"
"2012-05-30","3.58"
"2012-05-29","3.51"
"2012-05-25","3.50"
"2012-05-24","3.43"
"2012-05-23","3.50"
"2012-05-22","3.32"
"2012-05-21","3.37"
"2012-05-18","3.22"
"2012-05-17","3.37"
"2012-05-16","3.26"
"2012-05-15","3.26"
"2012-05-14","3.33"
"2012-05-11","3.47"
"2012-05-10","3.50"
"2012-05-09","3.35"
"2012-05-08","3.26"
"2012-05-07","3.61"
"2012-05-04","3.89"
"2012-05-03","3.94"
"2012-05-02","4.02"
"2012-05-01","4.04"
"2012-04-30","4.03"
"2012-04-27","4.06"
"2012-04-26","4.09"
"2012-04-25","4.13"
"2012-04-24","4.12"
"2012-04-23","4.18"
"2012-04-20","4.13"
"2012-04-19","4.13"
"2012-04-18","4.19"
"2012-04-17","4.25"
"2012-04-16","4.17"
"2012-04-13","4.12"
"2012-04-12","4.20"
"2012-04-11","4.11"
"2012-04-10","4.11"
"2012-04-09","4.12"
"2012-04-05","4.31"
"2012-04-04","4.37"
"2012-04-03","4.29"
"2012-04-02","4.27"
"2012-03-30","4.17"
"2012-03-29","4.08"
"2012-03-28","4.02"
"2012-03-27","4.09"
"2012-03-26","4.17"
"2012-03-23","4.19"
"2012-03-22","4.27"
"2012-03-21","4.33"
"2012-03-20","4.27"
"2012-03-19","4.23"
"2012-03-16","4.33"
"2012-03-15","4.27"
"2012-03-14","4.32"
"2012-03-13","4.41"
"2012-03-12","4.36"
"2012-03-09","4.42"
"2012-03-08","4.37"
"2012-03-07","4.35"
"2012-03-06","4.38"
"2012-03-05","4.41"
"2012-03-02","4.55"
"2012-03-01","4.50"
"2012-02-29","4.58"
"2012-02-28","4.62"
"2012-02-27","4.62"
"2012-02-24","4.64"
"2012-02-23","4.57"
"2012-02-22","4.59"
"2012-02-21","4.63"
"2012-02-17","4.78"
"2012-02-16","4.46"
"2012-02-15","4.31"
"2012-02-14","4.06"
"2012-02-13","4.14"
"2012-02-10","4.04"
"2012-02-09","4.14"
"2012-02-08","4.26"
"2012-02-07","4.30"
"2012-02-06","4.34"
"2012-02-03","4.51"
"2012-02-02","4.36"
"2012-02-01","4.24"
"2012-01-31","4.28"
"2012-01-30","4.23"
"2012-01-27","4.31"
"2012-01-26","4.47"
"2012-01-25","4.75"
"2012-01-24","4.75"
"2012-01-23","4.85"
"2012-01-20","4.87"
"2012-01-19","4.87"
"2012-01-18","4.95"
"2012-01-17","5.09"
"2012-01-13","5.10"
"2012-01-12","5.03"
"2012-01-11","5.04"
"2012-01-10","5.05"
"2012-01-09","5.05"
"2012-01-06","5.11"
"2012-01-05","5.02"
"2012-01-04","5.15"
"2012-01-03","5.33"
