"Date","Close"
"2013-12-31","28.03"
"2013-12-30","27.89"
"2013-12-27","27.83"
"2013-12-26","27.83"
"2013-12-24","27.61"
"2013-12-23","27.40"
"2013-12-20","27.36"
"2013-12-19","27.32"
"2013-12-18","27.41"
"2013-12-17","27.03"
"2013-12-16","26.98"
"2013-12-13","26.84"
"2013-12-12","26.54"
"2013-12-11","26.58"
"2013-12-10","27.14"
"2013-12-09","27.19"
"2013-12-06","26.94"
"2013-12-05","26.45"
"2013-12-04","26.64"
"2013-12-03","26.56"
"2013-12-02","26.66"
"2013-11-29","26.66"
"2013-11-27","26.83"
"2013-11-26","26.78"
"2013-11-25","26.73"
"2013-11-22","27.08"
"2013-11-21","26.91"
"2013-11-20","26.96"
"2013-11-19","27.03"
"2013-11-18","27.22"
"2013-11-15","27.20"
"2013-11-14","26.99"
"2013-11-13","27.15"
"2013-11-12","27.05"
"2013-11-11","27.01"
"2013-11-08","27.05"
"2013-11-07","26.60"
"2013-11-06","26.90"
"2013-11-05","26.42"
"2013-11-04","26.43"
"2013-11-01","26.54"
"2013-10-31","26.14"
"2013-10-30","26.37"
"2013-10-29","26.21"
"2013-10-28","26.09"
"2013-10-25","25.88"
"2013-10-24","25.94"
"2013-10-23","25.70"
"2013-10-22","26.02"
"2013-10-21","26.14"
"2013-10-18","25.55"
"2013-10-17","24.68"
"2013-10-16","24.36"
"2013-10-15","24.19"
"2013-10-14","24.38"
"2013-10-11","24.40"
"2013-10-10","24.25"
"2013-10-09","23.57"
"2013-10-08","23.67"
"2013-10-07","23.94"
"2013-10-04","24.05"
"2013-10-03","24.10"
"2013-10-02","24.33"
"2013-10-01","24.17"
"2013-09-30","23.89"
"2013-09-27","24.05"
"2013-09-26","24.25"
"2013-09-25","24.23"
"2013-09-24","24.32"
"2013-09-23","24.28"
"2013-09-20","24.01"
"2013-09-19","24.46"
"2013-09-18","24.86"
"2013-09-17","24.45"
"2013-09-16","24.14"
"2013-09-13","23.78"
"2013-09-12","23.85"
"2013-09-11","24.09"
"2013-09-10","23.87"
"2013-09-09","23.39"
"2013-09-06","23.16"
"2013-09-05","23.16"
"2013-09-04","23.17"
"2013-09-03","23.06"
"2013-08-30","23.14"
"2013-08-29","23.11"
"2013-08-28","23.20"
"2013-08-27","23.18"
"2013-08-26","23.61"
"2013-08-23","23.78"
"2013-08-22","23.78"
"2013-08-21","23.61"
"2013-08-20","23.72"
"2013-08-19","23.85"
"2013-08-16","23.95"
"2013-08-15","24.00"
"2013-08-14","24.07"
"2013-08-13","24.20"
"2013-08-12","24.27"
"2013-08-09","24.25"
"2013-08-08","24.33"
"2013-08-07","24.34"
"2013-08-06","24.31"
"2013-08-05","24.52"
"2013-08-02","24.70"
"2013-08-01","24.62"
"2013-07-31","24.37"
"2013-07-30","24.48"
"2013-07-29","24.49"
"2013-07-26","24.65"
"2013-07-25","24.69"
"2013-07-24","24.62"
"2013-07-23","24.71"
"2013-07-22","24.86"
"2013-07-19","24.72"
"2013-07-18","23.63"
"2013-07-17","23.54"
"2013-07-16","23.43"
"2013-07-15","23.63"
"2013-07-12","23.76"
"2013-07-11","23.94"
"2013-07-10","23.54"
"2013-07-09","23.62"
"2013-07-08","23.32"
"2013-07-05","23.24"
"2013-07-03","22.91"
"2013-07-02","22.90"
"2013-07-01","23.34"
"2013-06-28","23.19"
"2013-06-27","23.32"
"2013-06-26","23.25"
"2013-06-25","23.11"
"2013-06-24","22.93"
"2013-06-21","23.36"
"2013-06-20","23.25"
"2013-06-19","23.98"
"2013-06-18","24.33"
"2013-06-17","23.77"
"2013-06-14","23.52"
"2013-06-13","23.68"
"2013-06-12","23.50"
"2013-06-11","23.58"
"2013-06-10","23.78"
"2013-06-07","23.86"
"2013-06-06","23.38"
"2013-06-05","23.32"
"2013-06-04","23.66"
"2013-06-03","23.64"
"2013-05-31","23.32"
"2013-05-30","23.60"
"2013-05-29","23.64"
"2013-05-28","23.60"
"2013-05-24","23.53"
"2013-05-23","23.66"
"2013-05-22","23.86"
"2013-05-21","23.66"
"2013-05-20","23.57"
"2013-05-17","23.46"
"2013-05-16","23.27"
"2013-05-15","23.24"
"2013-05-14","23.01"
"2013-05-13","22.85"
"2013-05-10","22.90"
"2013-05-09","22.78"
"2013-05-08","23.01"
"2013-05-07","22.68"
"2013-05-06","22.58"
"2013-05-03","22.57"
"2013-05-02","22.32"
"2013-05-01","22.15"
"2013-04-30","22.29"
"2013-04-29","22.27"
"2013-04-26","22.21"
"2013-04-25","21.95"
"2013-04-24","21.96"
"2013-04-23","21.50"
"2013-04-22","21.35"
"2013-04-19","21.75"
"2013-04-18","22.67"
"2013-04-17","22.76"
"2013-04-16","23.10"
"2013-04-15","22.81"
"2013-04-12","23.46"
