"Date","Close"
"2013-12-31","663.32"
"2013-12-30","662.12"
"2013-12-27","658.27"
"2013-12-26","656.52"
"2013-12-24","652.97"
"2013-12-23","652.00"
"2013-12-20","643.55"
"2013-12-19","633.70"
"2013-12-18","639.62"
"2013-12-17","627.37"
"2013-12-16","625.25"
"2013-12-13","616.43"
"2013-12-12","610.60"
"2013-12-11","609.01"
"2013-12-10","620.39"
"2013-12-09","607.48"
"2013-12-06","625.95"
"2013-12-05","622.53"
"2013-12-04","622.45"
"2013-12-03","637.19"
"2013-12-02","656.80"
"2013-11-29","656.80"
"2013-11-27","660.34"
"2013-11-26","657.04"
"2013-11-25","653.51"
"2013-11-22","658.20"
"2013-11-21","658.80"
"2013-11-20","647.85"
"2013-11-19","644.14"
"2013-11-18","644.75"
"2013-11-15","654.59"
"2013-11-14","648.00"
"2013-11-13","660.94"
"2013-11-12","656.69"
"2013-11-11","655.81"
"2013-11-08","662.78"
"2013-11-07","653.81"
"2013-11-06","643.72"
"2013-11-05","640.30"
"2013-11-04","631.60"
"2013-11-01","639.06"
"2013-10-31","643.32"
"2013-10-30","649.10"
"2013-10-29","671.00"
"2013-10-28","651.56"
"2013-10-25","662.02"
"2013-10-24","649.23"
"2013-10-23","643.00"
"2013-10-22","652.90"
"2013-10-21","651.62"
"2013-10-18","647.20"
"2013-10-17","647.00"
"2013-10-16","647.10"
"2013-10-15","639.12"
"2013-10-14","628.41"
"2013-10-11","618.61"
"2013-10-10","610.00"
"2013-10-09","604.31"
"2013-10-08","600.90"
"2013-10-07","610.35"
"2013-10-04","615.52"
"2013-10-03","616.58"
"2013-10-02","633.21"
"2013-10-01","628.54"
"2013-09-30","611.35"
"2013-09-27","610.99"
"2013-09-26","603.38"
"2013-09-25","593.50"
"2013-09-24","590.56"
"2013-09-23","590.12"
"2013-09-20","580.35"
"2013-09-19","574.05"
"2013-09-18","573.26"
"2013-09-17","576.02"
"2013-09-16","579.12"
"2013-09-13","579.40"
"2013-09-12","579.66"
"2013-09-11","583.69"
"2013-09-10","578.20"
"2013-09-09","573.98"
"2013-09-06","575.03"
"2013-09-05","577.60"
"2013-09-04","573.35"
"2013-09-03","573.87"
"2013-08-30","564.00"
"2013-08-29","569.48"
"2013-08-28","568.75"
"2013-08-27","571.90"
"2013-08-26","578.31"
"2013-08-23","579.31"
"2013-08-22","575.78"
"2013-08-21","565.73"
"2013-08-20","573.46"
"2013-08-19","566.01"
"2013-08-16","569.77"
"2013-08-15","574.94"
"2013-08-14","583.73"
"2013-08-13","584.99"
"2013-08-12","585.00"
"2013-08-09","584.97"
"2013-08-08","590.00"
"2013-08-07","587.58"
"2013-08-06","593.00"
"2013-08-05","568.70"
"2013-08-02","559.95"
"2013-08-01","549.05"
"2013-07-31","537.36"
"2013-07-30","535.70"
"2013-07-29","536.53"
"2013-07-26","537.51"
"2013-07-25","536.20"
"2013-07-24","533.44"
"2013-07-23","521.32"
"2013-07-22","516.70"
"2013-07-19","518.16"
"2013-07-18","515.50"
"2013-07-17","516.06"
"2013-07-16","516.85"
"2013-07-15","518.44"
"2013-07-12","515.33"
"2013-07-11","508.05"
"2013-07-10","500.38"
"2013-07-09","497.60"
"2013-07-08","494.35"
"2013-07-05","498.00"
"2013-07-03","494.59"
"2013-07-02","495.68"
"2013-07-01","491.18"
"2013-06-28","483.77"
"2013-06-27","486.14"
"2013-06-26","484.14"
"2013-06-25","483.30"
"2013-06-24","477.93"
"2013-06-21","478.82"
"2013-06-20","478.07"
"2013-06-19","487.00"
"2013-06-18","491.66"
"2013-06-17","487.52"
"2013-06-14","484.38"
"2013-06-13","484.45"
"2013-06-12","471.14"
"2013-06-11","466.98"
"2013-06-10","463.41"
"2013-06-07","462.49"
"2013-06-06","457.13"
"2013-06-05","459.42"
"2013-06-04","468.31"
"2013-06-03","467.03"
"2013-05-31","467.23"
"2013-05-30","476.59"
"2013-05-29","479.35"
"2013-05-28","482.45"
"2013-05-24","473.76"
"2013-05-23","471.80"
"2013-05-22","468.50"
"2013-05-21","469.38"
"2013-05-20","468.75"
"2013-05-17","466.81"
"2013-05-16","453.89"
"2013-05-15","456.43"
"2013-05-14","451.65"
"2013-05-13","452.34"
"2013-05-10","452.89"
"2013-05-09","446.80"
"2013-05-08","449.50"
"2013-05-07","450.44"
"2013-05-06","450.00"
"2013-05-03","448.55"
"2013-05-02","452.51"
"2013-05-01","442.80"
"2013-04-30","443.34"
"2013-04-29","444.25"
"2013-04-26","446.37"
"2013-04-25","446.24"
"2013-04-24","440.31"
"2013-04-23","437.36"
"2013-04-22","434.75"
"2013-04-19","435.36"
"2013-04-18","427.96"
"2013-04-17","430.12"
"2013-04-16","445.46"
"2013-04-15","435.69"
"2013-04-12","444.50"
"2013-04-11","449.84"
"2013-04-10","449.44"
"2013-04-09","440.31"
"2013-04-08","438.87"
"2013-04-05","433.30"
"2013-04-04","438.75"
"2013-04-03","436.56"
"2013-04-02","440.87"
"2013-04-01","446.10"
"2013-03-28","447.00"
"2013-03-27","449.16"
"2013-03-26","449.00"
"2013-03-25","455.58"
"2013-03-22","442.37"
"2013-03-21","441.06"
"2013-03-20","443.10"
"2013-03-19","441.34"
"2013-03-18","443.44"
"2013-03-15","444.70"
"2013-03-14","439.70"
"2013-03-13","438.26"
"2013-03-12","417.00"
"2013-03-11","413.01"
"2013-03-08","414.69"
"2013-03-07","414.39"
"2013-03-06","407.38"
"2013-03-05","409.59"
"2013-03-04","400.13"
"2013-03-01","395.83"
"2013-02-28","398.54"
"2013-02-27","402.98"
"2013-02-26","390.97"
"2013-02-25","394.88"
"2013-02-22","407.13"
"2013-02-21","412.40"
"2013-02-20","416.84"
"2013-02-19","418.85"
"2013-02-15","414.41"
"2013-02-14","409.06"
"2013-02-13","400.87"
"2013-02-12","401.61"
"2013-02-11","399.05"
"2013-02-08","398.68"
"2013-02-07","387.39"
"2013-02-06","389.19"
"2013-02-05","383.85"
"2013-02-04","383.01"
"2013-02-01","388.44"
"2013-01-31","385.68"
"2013-01-30","384.23"
"2013-01-29","384.73"
"2013-01-28","386.26"
"2013-01-25","387.10"
"2013-01-24","387.94"
"2013-01-23","383.27"
"2013-01-22","382.01"
"2013-01-18","380.17"
"2013-01-17","381.21"
"2013-01-16","379.78"
"2013-01-15","376.78"
"2013-01-14","375.32"
"2013-01-11","375.85"
"2013-01-10","372.42"
"2013-01-09","370.65"
"2013-01-08","371.40"
"2013-01-07","372.22"
"2013-01-04","375.79"
"2013-01-03","373.40"
"2013-01-02","370.00"
"2012-12-31","365.21"
"2012-12-28","361.89"
"2012-12-27","361.60"
"2012-12-26","360.00"
"2012-12-24","360.76"
"2012-12-21","361.51"
"2012-12-20","368.48"
"2012-12-19","367.35"
"2012-12-18","372.47"
"2012-12-17","368.61"
"2012-12-14","365.03"
"2012-12-13","369.95"
"2012-12-12","374.32"
"2012-12-11","376.65"
"2012-12-10","372.94"
"2012-12-07","372.13"
"2012-12-06","367.30"
"2012-12-05","364.30"
"2012-12-04","364.77"
"2012-12-03","363.44"
"2012-11-30","367.06"
"2012-11-29","356.43"
"2012-11-28","353.05"
"2012-11-27","346.87"
"2012-11-26","344.11"
"2012-11-23","352.50"
"2012-11-21","349.04"
"2012-11-20","343.97"
"2012-11-19","350.91"
"2012-11-16","342.75"
"2012-11-15","340.00"
"2012-11-14","335.00"
"2012-11-13","338.00"
"2012-11-12","337.92"
"2012-11-09","339.23"
"2012-11-08","339.44"
"2012-11-07","338.16"
"2012-11-06","345.40"
"2012-11-05","348.61"
"2012-11-02","356.50"
"2012-11-01","339.45"
"2012-10-31","333.51"
"2012-10-26","332.00"
"2012-10-25","331.98"
"2012-10-24","335.00"
"2012-10-23","337.42"
"2012-10-22","342.32"
"2012-10-19","345.75"
"2012-10-18","351.15"
"2012-10-17","352.98"
"2012-10-16","361.69"
"2012-10-15","359.48"
"2012-10-12","359.49"
"2012-10-11","358.60"
"2012-10-10","358.05"
"2012-10-09","359.65"
"2012-10-08","361.00"
"2012-10-05","366.06"
"2012-10-04","365.79"
"2012-10-03","361.44"
"2012-10-02","366.00"
"2012-10-01","364.39"
"2012-09-28","363.03"
"2012-09-27","358.55"
"2012-09-26","360.78"
"2012-09-25","360.34"
"2012-09-24","369.72"
"2012-09-21","369.25"
"2012-09-20","361.76"
"2012-09-19","363.17"
"2012-09-18","362.33"
"2012-09-17","362.98"
"2012-09-14","359.76"
"2012-09-13","354.10"
"2012-09-12","350.68"
"2012-09-11","349.61"
"2012-09-10","350.19"
"2012-09-07","348.44"
"2012-09-06","353.29"
"2012-09-05","348.60"
"2012-09-04","354.86"
"2012-08-31","352.50"
"2012-08-30","355.00"
"2012-08-29","349.99"
"2012-08-28","352.98"
"2012-08-27","349.24"
"2012-08-24","351.77"
"2012-08-23","350.16"
"2012-08-22","354.72"
"2012-08-21","355.05"
"2012-08-20","355.86"
"2012-08-17","349.02"
"2012-08-16","348.07"
"2012-08-15","346.69"
"2012-08-14","346.12"
"2012-08-13","347.10"
"2012-08-10","348.88"
"2012-08-09","348.26"
"2012-08-08","352.75"
"2012-08-07","344.31"
"2012-08-06","344.58"
"2012-08-03","330.29"
"2012-08-02","330.75"
"2012-08-01","336.50"
"2012-07-31","338.50"
"2012-07-30","340.49"
"2012-07-27","344.46"
"2012-07-26","338.55"
"2012-07-25","344.25"
"2012-07-24","343.84"
"2012-07-23","355.51"
"2012-07-20","361.54"
"2012-07-19","366.78"
"2012-07-18","363.88"
"2012-07-17","360.64"
"2012-07-16","356.51"
"2012-07-13","355.65"
"2012-07-12","353.00"
"2012-07-11","364.00"
"2012-07-10","364.03"
"2012-07-09","360.69"
"2012-07-06","368.50"
"2012-07-05","375.00"
"2012-07-03","380.19"
"2012-07-02","381.11"
"2012-06-29","373.82"
"2012-06-28","369.78"
"2012-06-27","365.38"
"2012-06-26","363.55"
"2012-06-25","362.90"
"2012-06-22","369.23"
"2012-06-21","366.31"
"2012-06-20","375.39"
"2012-06-19","376.92"
"2012-06-18","374.80"
"2012-06-15","374.35"
"2012-06-14","370.01"
"2012-06-13","364.91"
"2012-06-12","367.52"
"2012-06-11","363.51"
"2012-06-08","364.12"
"2012-06-07","360.70"
"2012-06-06","359.41"
"2012-06-05","351.24"
