"Date","Close"
"2013-12-31","75.10"
"2013-12-30","75.08"
"2013-12-27","74.45"
"2013-12-26","75.20"
"2013-12-24","74.96"
"2013-12-23","74.99"
"2013-12-20","74.66"
"2013-12-19","73.43"
"2013-12-18","73.59"
"2013-12-17","70.08"
"2013-12-16","71.42"
"2013-12-13","71.40"
"2013-12-12","70.27"
"2013-12-11","70.61"
"2013-12-10","72.81"
"2013-12-09","75.19"
"2013-12-06","73.99"
"2013-12-05","73.19"
"2013-12-04","72.47"
"2013-12-03","72.42"
"2013-12-02","74.52"
"2013-11-29","74.81"
"2013-11-27","74.63"
"2013-11-26","74.37"
"2013-11-25","74.60"
"2013-11-22","74.27"
"2013-11-21","71.63"
"2013-11-20","71.08"
"2013-11-19","69.66"
"2013-11-18","68.97"
"2013-11-15","69.89"
"2013-11-14","68.98"
"2013-11-13","68.50"
"2013-11-12","67.61"
"2013-11-11","67.51"
"2013-11-08","67.37"
"2013-11-07","65.63"
"2013-11-06","67.36"
"2013-11-05","69.54"
"2013-11-04","69.34"
"2013-11-01","70.97"
"2013-10-31","71.18"
"2013-10-30","72.67"
"2013-10-29","69.50"
"2013-10-28","68.73"
"2013-10-25","69.68"
"2013-10-24","69.83"
"2013-10-23","69.01"
"2013-10-22","68.09"
"2013-10-21","66.99"
"2013-10-18","68.21"
"2013-10-17","67.36"
"2013-10-16","65.65"
"2013-10-15","63.60"
"2013-10-14","63.87"
"2013-10-11","62.69"
"2013-10-10","62.74"
"2013-10-09","58.90"
"2013-10-08","59.38"
"2013-10-07","61.77"
"2013-10-04","63.04"
"2013-10-03","61.71"
"2013-10-02","62.40"
"2013-10-01","62.80"
"2013-09-30","62.87"
"2013-09-27","63.54"
"2013-09-26","62.80"
"2013-09-25","61.73"
"2013-09-24","62.74"
"2013-09-23","62.58"
"2013-09-20","63.86"
"2013-09-19","64.32"
"2013-09-18","64.28"
"2013-09-17","62.69"
"2013-09-16","63.02"
"2013-09-13","63.53"
"2013-09-12","63.19"
"2013-09-11","62.93"
"2013-09-10","62.86"
"2013-09-09","62.66"
"2013-09-06","61.12"
"2013-09-05","61.07"
"2013-09-04","61.11"
"2013-09-03","60.92"
"2013-08-30","60.27"
"2013-08-29","60.93"
"2013-08-28","60.44"
"2013-08-27","58.74"
"2013-08-26","60.42"
"2013-08-23","59.64"
"2013-08-22","59.93"
"2013-08-21","58.69"
"2013-08-20","58.00"
"2013-08-19","57.34"
"2013-08-16","56.91"
"2013-08-15","56.89"
"2013-08-14","58.17"
"2013-08-13","58.93"
"2013-08-12","58.90"
"2013-08-09","59.21"
"2013-08-08","59.30"
"2013-08-07","60.22"
"2013-08-06","59.98"
"2013-08-05","60.95"
"2013-08-02","61.75"
"2013-08-01","62.00"
"2013-07-31","61.40"
"2013-07-30","61.73"
"2013-07-29","62.02"
"2013-07-26","62.57"
"2013-07-25","60.86"
"2013-07-24","59.88"
"2013-07-23","59.12"
"2013-07-22","59.71"
"2013-07-19","60.10"
"2013-07-18","58.22"
"2013-07-17","57.75"
"2013-07-16","57.14"
"2013-07-15","57.66"
"2013-07-12","57.34"
"2013-07-11","55.85"
"2013-07-10","55.33"
"2013-07-09","54.38"
"2013-07-08","53.32"
"2013-07-05","53.32"
"2013-07-03","51.98"
"2013-07-02","52.23"
"2013-07-01","51.65"
"2013-06-28","51.27"
"2013-06-27","51.01"
"2013-06-26","51.31"
"2013-06-25","49.78"
"2013-06-24","48.93"
"2013-06-21","48.83"
"2013-06-20","49.35"
"2013-06-19","50.60"
"2013-06-18","51.94"
"2013-06-17","51.03"
"2013-06-14","52.23"
"2013-06-13","51.95"
"2013-06-12","51.17"
"2013-06-11","52.44"
"2013-06-10","52.44"
"2013-06-07","52.89"
"2013-06-06","51.35"
"2013-06-05","50.12"
"2013-06-04","52.32"
"2013-06-03","53.12"
"2013-05-31","54.48"
"2013-05-30","55.80"
"2013-05-29","55.63"
"2013-05-28","56.18"
"2013-05-24","55.81"
"2013-05-23","55.48"
"2013-05-22","55.93"
"2013-05-21","56.47"
"2013-05-20","55.74"
"2013-05-17","56.30"
"2013-05-16","54.96"
"2013-05-15","56.36"
"2013-05-14","56.25"
"2013-05-13","54.47"
"2013-05-10","52.88"
"2013-05-09","52.79"
"2013-05-08","52.38"
"2013-05-07","53.13"
"2013-05-06","54.43"
"2013-05-03","55.15"
"2013-05-02","52.18"
"2013-05-01","50.14"
"2013-04-30","50.64"
"2013-04-29","51.09"
"2013-04-26","51.38"
"2013-04-25","51.43"
"2013-04-24","50.57"
"2013-04-23","53.33"
"2013-04-22","54.05"
"2013-04-19","53.17"
"2013-04-18","50.86"
"2013-04-17","51.94"
"2013-04-16","52.01"
"2013-04-15","50.68"
"2013-04-12","51.93"
"2013-04-11","51.65"
"2013-04-10","49.73"
"2013-04-09","48.30"
"2013-04-08","47.20"
"2013-04-05","47.37"
"2013-04-04","47.74"
"2013-04-03","47.63"
"2013-04-02","48.20"
"2013-04-01","47.98"
"2013-03-28","48.94"
"2013-03-27","47.72"
"2013-03-26","45.76"
"2013-03-25","44.98"
"2013-03-22","45.51"
"2013-03-21","44.54"
"2013-03-20","44.52"
"2013-03-19","44.38"
"2013-03-18","44.80"
"2013-03-15","45.17"
"2013-03-14","45.88"
"2013-03-13","45.87"
"2013-03-12","46.18"
"2013-03-11","45.94"
"2013-03-08","45.43"
"2013-03-07","44.95"
"2013-03-06","45.40"
"2013-03-05","45.02"
"2013-03-04","43.87"
"2013-03-01","43.45"
"2013-02-28","42.72"
"2013-02-27","42.89"
"2013-02-26","42.25"
"2013-02-25","42.09"
"2013-02-22","42.45"
"2013-02-21","41.54"
"2013-02-20","41.88"
"2013-02-19","42.28"
"2013-02-15","41.60"
"2013-02-14","41.60"
"2013-02-13","41.40"
"2013-02-12","40.83"
"2013-02-11","40.40"
"2013-02-08","40.90"
