"Date","Close"
"2013-12-31","17.82"
"2013-12-30","17.78"
"2013-12-27","17.77"
"2013-12-26","17.73"
"2013-12-24","17.64"
"2013-12-23","17.56"
"2013-12-20","17.43"
"2013-12-19","17.42"
"2013-12-18","17.37"
"2013-12-17","17.22"
"2013-12-16","17.05"
"2013-12-13","16.88"
"2013-12-12","17.01"
"2013-12-11","16.94"
"2013-12-10","17.26"
"2013-12-09","17.02"
"2013-12-06","17.11"
"2013-12-05","16.63"
"2013-12-04","16.78"
"2013-12-03","16.78"
"2013-12-02","17.06"
"2013-11-29","17.08"
"2013-11-27","17.17"
"2013-11-26","17.08"
"2013-11-25","17.08"
"2013-11-22","17.26"
"2013-11-21","17.14"
"2013-11-20","16.84"
"2013-11-19","16.86"
"2013-11-18","16.78"
"2013-11-15","17.01"
"2013-11-14","16.79"
"2013-11-13","16.85"
"2013-11-12","16.73"
"2013-11-11","16.59"
"2013-11-08","16.58"
"2013-11-07","16.31"
"2013-11-06","16.55"
"2013-11-05","16.50"
"2013-11-04","17.26"
"2013-11-01","17.13"
"2013-10-31","17.09"
"2013-10-30","17.00"
"2013-10-29","17.51"
"2013-10-28","17.30"
"2013-10-25","17.35"
"2013-10-24","17.48"
"2013-10-23","17.52"
"2013-10-22","15.35"
"2013-10-21","15.09"
"2013-10-18","15.00"
"2013-10-17","14.83"
"2013-10-16","14.42"
"2013-10-15","14.27"
"2013-10-14","14.41"
"2013-10-11","14.45"
"2013-10-10","14.46"
"2013-10-09","14.01"
"2013-10-08","14.00"
"2013-10-07","14.48"
"2013-10-04","14.63"
"2013-10-03","14.30"
"2013-10-02","14.53"
"2013-10-01","14.74"
"2013-09-30","14.59"
"2013-09-27","14.73"
"2013-09-26","14.94"
"2013-09-25","14.92"
"2013-09-24","14.88"
"2013-09-23","14.82"
"2013-09-20","14.67"
"2013-09-19","14.87"
"2013-09-18","15.02"
"2013-09-17","14.65"
"2013-09-16","14.49"
"2013-09-13","14.64"
"2013-09-12","14.49"
"2013-09-11","14.89"
"2013-09-10","14.86"
"2013-09-09","14.63"
"2013-09-06","14.40"
"2013-09-05","14.45"
"2013-09-04","14.18"
"2013-09-03","13.92"
"2013-08-30","14.04"
"2013-08-29","14.18"
"2013-08-28","14.17"
"2013-08-27","14.22"
"2013-08-26","14.75"
"2013-08-23","14.77"
"2013-08-22","14.62"
"2013-08-21","14.55"
"2013-08-20","14.47"
"2013-08-19","14.72"
"2013-08-16","15.03"
"2013-08-15","14.91"
"2013-08-14","15.12"
"2013-08-13","15.21"
"2013-08-12","15.11"
"2013-08-09","15.09"
"2013-08-08","15.13"
"2013-08-07","15.03"
"2013-08-06","15.07"
"2013-08-05","15.34"
"2013-08-02","15.40"
"2013-08-01","15.45"
"2013-07-31","15.19"
"2013-07-30","15.19"
"2013-07-29","15.39"
"2013-07-26","15.25"
"2013-07-25","15.28"
"2013-07-24","15.14"
"2013-07-23","15.02"
"2013-07-22","14.99"
"2013-07-19","15.11"
"2013-07-18","14.79"
"2013-07-17","14.82"
"2013-07-16","15.02"
"2013-07-15","15.09"
"2013-07-12","15.03"
"2013-07-11","15.04"
"2013-07-10","14.80"
"2013-07-09","14.77"
"2013-07-08","14.55"
"2013-07-05","14.52"
"2013-07-03","14.28"
"2013-07-02","14.42"
"2013-07-01","14.45"
"2013-06-28","14.23"
"2013-06-27","14.30"
"2013-06-26","14.33"
"2013-06-25","14.21"
"2013-06-24","13.96"
"2013-06-21","14.26"
"2013-06-20","14.31"
