"Date","Close"
"2013-12-31","49.26"
"2013-12-30","49.27"
"2013-12-27","49.04"
"2013-12-26","50.36"
"2013-12-24","50.97"
"2013-12-23","50.52"
"2013-12-20","49.25"
"2013-12-19","49.87"
"2013-12-18","49.93"
"2013-12-17","48.98"
"2013-12-16","48.11"
"2013-12-13","47.29"
"2013-12-12","45.61"
"2013-12-11","45.21"
"2013-12-10","45.77"
"2013-12-09","45.58"
"2013-12-06","45.08"
"2013-12-05","45.13"
"2013-12-04","45.77"
"2013-12-03","45.95"
"2013-12-02","46.97"
"2013-11-29","48.25"
"2013-11-27","47.77"
"2013-11-26","48.26"
"2013-11-25","48.90"
"2013-11-22","49.86"
"2013-11-21","48.80"
"2013-11-20","52.44"
"2013-11-19","53.19"
"2013-11-18","55.04"
"2013-11-15","56.53"
"2013-11-14","57.43"
"2013-11-13","57.59"
"2013-11-12","56.96"
"2013-11-11","55.38"
"2013-11-08","55.48"
"2013-11-07","53.82"
"2013-11-06","56.05"
"2013-11-05","56.56"
"2013-11-04","55.30"
"2013-11-01","55.05"
"2013-10-31","54.82"
"2013-10-30","55.22"
"2013-10-29","55.45"
"2013-10-28","54.41"
"2013-10-25","54.88"
"2013-10-24","54.80"
"2013-10-23","54.47"
"2013-10-22","54.76"
"2013-10-21","54.65"
"2013-10-18","53.88"
"2013-10-17","52.67"
"2013-10-16","51.66"
"2013-10-15","51.30"
"2013-10-14","51.78"
"2013-10-11","51.56"
"2013-10-10","51.89"
"2013-10-09","50.02"
"2013-10-08","49.32"
"2013-10-07","49.58"
"2013-10-04","50.70"
"2013-10-03","49.82"
"2013-10-02","50.32"
"2013-10-01","51.21"
"2013-09-30","49.65"
"2013-09-27","49.65"
"2013-09-26","50.43"
"2013-09-25","50.80"
"2013-09-24","51.05"
"2013-09-23","49.81"
"2013-09-20","49.43"
"2013-09-19","51.84"
"2013-09-18","51.38"
"2013-09-17","52.62"
"2013-09-16","52.12"
"2013-09-13","52.45"
"2013-09-12","49.45"
"2013-09-11","49.56"
"2013-09-10","50.34"
"2013-09-09","50.10"
"2013-09-06","49.61"
"2013-09-05","51.20"
"2013-09-04","49.64"
"2013-09-03","49.97"
"2013-08-30","50.21"
"2013-08-29","50.66"
"2013-08-28","49.90"
"2013-08-27","49.37"
"2013-08-26","52.38"
"2013-08-23","51.62"
"2013-08-22","51.91"
"2013-08-21","47.62"
"2013-08-20","48.24"
"2013-08-19","47.70"
"2013-08-16","47.58"
"2013-08-15","47.69"
"2013-08-14","48.69"
"2013-08-13","49.24"
"2013-08-12","49.48"
"2013-08-09","48.97"
"2013-08-08","48.49"
"2013-08-07","47.88"
"2013-08-06","48.99"
"2013-08-05","50.29"
"2013-08-02","50.39"
"2013-08-01","49.98"
"2013-07-31","49.06"
"2013-07-30","46.91"
"2013-07-29","45.39"
"2013-07-26","45.80"
"2013-07-25","44.41"
"2013-07-24","43.24"
"2013-07-23","42.42"
"2013-07-22","43.02"
"2013-07-19","43.46"
"2013-07-18","43.63"
"2013-07-17","43.48"
"2013-07-16","43.84"
"2013-07-15","43.48"
"2013-07-12","43.17"
"2013-07-11","42.60"
"2013-07-10","42.42"
"2013-07-09","42.69"
"2013-07-08","42.63"
"2013-07-05","42.99"
"2013-07-03","42.38"
"2013-07-02","42.17"
"2013-07-01","42.21"
"2013-06-28","42.03"
"2013-06-27","40.87"
"2013-06-26","40.38"
"2013-06-25","40.06"
"2013-06-24","39.90"
"2013-06-21","40.78"
"2013-06-20","40.94"
"2013-06-19","38.53"
"2013-06-18","38.46"
"2013-06-17","38.50"
"2013-06-14","39.01"
"2013-06-13","37.53"
"2013-06-12","36.59"
"2013-06-11","37.72"
"2013-06-10","34.99"
"2013-06-07","36.75"
"2013-06-06","34.62"
"2013-06-05","34.86"
"2013-06-04","35.49"
"2013-06-03","34.40"
"2013-05-31","33.16"
"2013-05-30","33.50"
"2013-05-29","31.82"
"2013-05-28","31.72"
"2013-05-24","32.11"
"2013-05-23","36.01"
"2013-05-22","36.25"
"2013-05-21","36.78"
"2013-05-20","38.76"
"2013-05-17","39.76"
"2013-05-16","38.05"
"2013-05-15","38.99"
"2013-05-14","38.64"
"2013-05-13","38.27"
"2013-05-10","38.38"
