"Date","Close"
"2013-12-31","39.08"
"2013-12-30","39.02"
"2013-12-27","38.62"
"2013-12-26","38.97"
"2013-12-24","38.61"
"2013-12-23","38.57"
"2013-12-20","38.57"
"2013-12-19","38.29"
"2013-12-18","38.58"
"2013-12-17","38.25"
"2013-12-16","38.69"
"2013-12-13","38.49"
"2013-12-12","38.38"
"2013-12-11","38.32"
"2013-12-10","38.72"
"2013-12-09","39.59"
"2013-12-06","39.46"
"2013-12-05","40.24"
"2013-12-04","40.90"
"2013-12-03","41.11"
"2013-12-02","41.58"
"2013-11-29","40.97"
"2013-11-27","40.77"
"2013-11-26","41.18"
"2013-11-25","41.03"
"2013-11-22","41.31"
"2013-11-21","41.86"
"2013-11-20","41.24"
"2013-11-19","41.72"
"2013-11-18","41.94"
"2013-11-15","42.15"
"2013-11-14","42.05"
"2013-11-13","41.36"
"2013-11-12","40.87"
"2013-11-11","41.20"
"2013-11-08","41.43"
"2013-11-07","37.75"
"2013-11-06","38.02"
"2013-11-05","37.54"
"2013-11-04","37.23"
"2013-11-01","36.78"
"2013-10-31","36.99"
"2013-10-30","37.66"
"2013-10-29","37.64"
"2013-10-28","36.72"
"2013-10-25","36.66"
"2013-10-24","37.06"
"2013-10-23","36.93"
"2013-10-22","36.83"
"2013-10-21","36.93"
"2013-10-18","37.22"
"2013-10-17","36.98"
"2013-10-16","37.07"
"2013-10-15","36.79"
"2013-10-14","36.92"
"2013-10-11","36.83"
"2013-10-10","39.68"
"2013-10-09","39.48"
"2013-10-08","39.21"
"2013-10-07","39.71"
"2013-10-04","40.51"
"2013-10-03","40.26"
"2013-10-02","40.86"
"2013-10-01","40.40"
"2013-09-30","40.28"
"2013-09-27","40.67"
"2013-09-26","40.67"
"2013-09-25","40.50"
"2013-09-24","41.03"
"2013-09-23","41.19"
"2013-09-20","41.55"
"2013-09-19","42.08"
"2013-09-18","42.31"
"2013-09-17","42.09"
"2013-09-16","41.81"
"2013-09-13","41.64"
"2013-09-12","41.23"
"2013-09-11","41.48"
"2013-09-10","41.34"
"2013-09-09","41.14"
"2013-09-06","40.39"
"2013-09-05","40.65"
"2013-09-04","40.81"
"2013-09-03","40.72"
"2013-08-30","40.44"
"2013-08-29","40.71"
"2013-08-28","40.49"
"2013-08-27","40.49"
"2013-08-26","41.43"
"2013-08-23","41.97"
"2013-08-22","42.01"
"2013-08-21","42.68"
"2013-08-20","43.31"
"2013-08-19","42.59"
"2013-08-16","43.12"
"2013-08-15","43.51"
"2013-08-14","44.23"
"2013-08-13","44.69"
"2013-08-12","44.46"
"2013-08-09","44.10"
"2013-08-08","45.52"
"2013-08-07","44.90"
"2013-08-06","45.52"
"2013-08-05","46.28"
"2013-08-02","46.48"
"2013-08-01","46.32"
"2013-07-31","45.90"
"2013-07-30","46.11"
"2013-07-29","45.85"
"2013-07-26","45.48"
"2013-07-25","45.63"
"2013-07-24","44.81"
"2013-07-23","44.87"
"2013-07-22","45.07"
"2013-07-19","45.03"
"2013-07-18","45.09"
"2013-07-17","44.71"
"2013-07-16","44.67"
"2013-07-15","44.87"
"2013-07-12","45.10"
"2013-07-11","44.76"
"2013-07-10","44.10"
"2013-07-09","43.94"
"2013-07-08","43.65"
"2013-07-05","43.30"
"2013-07-03","42.89"
"2013-07-02","42.87"
"2013-07-01","42.80"
"2013-06-28","41.73"
"2013-06-27","41.95"
"2013-06-26","41.62"
"2013-06-25","41.06"
"2013-06-24","40.37"
"2013-06-21","41.32"
"2013-06-20","40.74"
"2013-06-19","41.74"
"2013-06-18","42.34"
"2013-06-17","41.78"
"2013-06-14","41.48"
"2013-06-13","41.39"
"2013-06-12","40.63"
"2013-06-11","41.04"
"2013-06-10","41.57"
"2013-06-07","42.09"
"2013-06-06","40.98"
"2013-06-05","40.25"
"2013-06-04","40.93"
"2013-06-03","40.55"
"2013-05-31","40.55"
"2013-05-30","39.99"
"2013-05-29","39.37"
"2013-05-28","40.52"
"2013-05-24","40.64"
"2013-05-23","41.36"
"2013-05-22","41.04"
"2013-05-21","41.67"
"2013-05-20","41.06"
"2013-05-17","40.96"
"2013-05-16","40.59"
"2013-05-15","41.02"
"2013-05-14","40.88"
"2013-05-13","40.29"
"2013-05-10","40.99"
"2013-05-09","38.81"
"2013-05-08","38.76"
"2013-05-07","39.04"
"2013-05-06","38.45"
"2013-05-03","38.81"
"2013-05-02","37.97"
"2013-05-01","37.57"
"2013-04-30","37.99"
"2013-04-29","37.51"
