"Date","Close"
"2013-12-31","50.75"
"2013-12-30","50.40"
"2013-12-27","51.08"
"2013-12-26","51.21"
"2013-12-24","50.68"
"2013-12-23","50.30"
"2013-12-20","50.54"
"2013-12-19","49.42"
"2013-12-18","49.91"
"2013-12-17","49.35"
"2013-12-16","50.13"
"2013-12-13","49.39"
"2013-12-12","49.59"
"2013-12-11","48.99"
"2013-12-10","49.43"
"2013-12-09","49.91"
"2013-12-06","50.56"
"2013-12-05","50.48"
"2013-12-04","50.62"
"2013-12-03","52.02"
"2013-12-02","52.01"
"2013-11-29","52.68"
"2013-11-27","52.42"
"2013-11-26","53.18"
"2013-11-25","52.70"
"2013-11-22","54.50"
"2013-11-21","54.20"
"2013-11-20","53.58"
"2013-11-19","53.76"
"2013-11-18","54.33"
"2013-11-15","56.23"
"2013-11-14","56.26"
"2013-11-13","55.54"
"2013-11-12","54.46"
"2013-11-11","55.30"
"2013-11-08","55.32"
"2013-11-07","53.90"
"2013-11-06","54.40"
"2013-11-05","53.13"
"2013-11-04","54.04"
"2013-11-01","53.23"
"2013-10-31","53.03"
"2013-10-30","53.26"
"2013-10-29","53.25"
"2013-10-28","52.03"
"2013-10-25","51.69"
"2013-10-24","51.10"
"2013-10-23","50.74"
"2013-10-22","51.78"
"2013-10-21","50.66"
"2013-10-18","52.47"
"2013-10-17","51.72"
"2013-10-16","51.97"
"2013-10-15","51.16"
"2013-10-14","51.35"
"2013-10-11","50.67"
"2013-10-10","50.00"
"2013-10-09","48.56"
"2013-10-08","48.66"
"2013-10-07","49.02"
"2013-10-04","49.06"
"2013-10-03","48.40"
"2013-10-02","49.09"
"2013-10-01","48.60"
"2013-09-30","48.15"
"2013-09-27","48.39"
"2013-09-26","48.71"
"2013-09-25","48.88"
"2013-09-24","48.75"
"2013-09-23","48.39"
"2013-09-20","49.34"
"2013-09-19","49.54"
"2013-09-18","49.75"
"2013-09-17","49.67"
"2013-09-16","49.82"
"2013-09-13","49.69"
"2013-09-12","49.20"
"2013-09-11","50.19"
"2013-09-10","50.32"
"2013-09-09","50.26"
"2013-09-06","49.54"
"2013-09-05","49.77"
"2013-09-04","49.08"
"2013-09-03","48.30"
"2013-08-30","48.00"
"2013-08-29","48.54"
"2013-08-28","48.90"
"2013-08-27","48.13"
"2013-08-26","48.44"
"2013-08-23","48.71"
"2013-08-22","47.82"
"2013-08-21","46.98"
"2013-08-20","47.35"
"2013-08-19","46.65"
"2013-08-16","46.95"
"2013-08-15","46.68"
"2013-08-14","46.82"
"2013-08-13","46.58"
"2013-08-12","46.02"
"2013-08-09","46.03"
"2013-08-08","46.14"
"2013-08-07","45.53"
"2013-08-06","45.85"
"2013-08-05","46.05"
"2013-08-02","46.30"
"2013-08-01","46.41"
