"Date","Close"
"2013-12-31","81.85"
"2013-12-30","81.70"
"2013-12-27","83.36"
"2013-12-26","84.50"
"2013-12-24","83.79"
"2013-12-23","83.65"
"2013-12-20","83.39"
"2013-12-19","83.03"
"2013-12-18","84.39"
"2013-12-17","83.04"
"2013-12-16","80.68"
"2013-12-13","78.97"
"2013-12-12","79.36"
"2013-12-11","80.29"
"2013-12-10","82.43"
"2013-12-09","80.99"
"2013-12-06","81.28"
"2013-12-05","81.19"
"2013-12-04","81.34"
"2013-12-03","79.58"
"2013-12-02","80.51"
"2013-11-29","81.04"
"2013-11-27","80.95"
"2013-11-26","81.05"
"2013-11-25","80.20"
"2013-11-22","81.35"
"2013-11-21","81.12"
"2013-11-20","79.55"
"2013-11-19","80.12"
"2013-11-18","80.70"
"2013-11-15","81.13"
"2013-11-14","81.03"
"2013-11-13","81.14"
"2013-11-12","79.70"
"2013-11-11","79.21"
"2013-11-08","77.78"
"2013-11-07","77.38"
"2013-11-06","80.36"
"2013-11-05","81.33"
"2013-11-04","81.20"
"2013-11-01","81.96"
"2013-10-31","81.02"
"2013-10-30","72.02"
"2013-10-29","74.13"
"2013-10-28","72.31"
"2013-10-25","72.63"
"2013-10-24","72.90"
"2013-10-23","71.76"
"2013-10-22","73.04"
"2013-10-21","71.59"
"2013-10-18","71.76"
"2013-10-17","72.01"
"2013-10-16","69.71"
"2013-10-15","67.41"
"2013-10-14","68.11"
"2013-10-11","67.79"
"2013-10-10","66.75"
"2013-10-09","65.74"
"2013-10-08","65.19"
"2013-10-07","67.78"
"2013-10-04","69.39"
"2013-10-03","67.85"
"2013-10-02","67.40"
"2013-10-01","67.23"
"2013-09-30","66.23"
"2013-09-27","66.20"
"2013-09-26","65.64"
"2013-09-25","65.66"
"2013-09-24","65.79"
"2013-09-23","64.65"
"2013-09-20","65.16"
"2013-09-19","66.71"
"2013-09-18","67.11"
"2013-09-17","66.92"
"2013-09-16","66.87"
"2013-09-13","66.46"
"2013-09-12","65.50"
"2013-09-11","66.37"
"2013-09-10","66.10"
"2013-09-09","65.46"
"2013-09-06","64.59"
"2013-09-05","65.15"
"2013-09-04","64.97"
"2013-09-03","64.54"
"2013-08-30","64.02"
"2013-08-29","65.30"
"2013-08-28","65.21"
"2013-08-27","65.36"
"2013-08-26","67.34"
"2013-08-23","68.42"
"2013-08-22","68.29"
"2013-08-21","67.37"
"2013-08-20","67.86"
"2013-08-19","67.34"
"2013-08-16","67.11"
"2013-08-15","67.99"
"2013-08-14","68.99"
"2013-08-13","70.70"
"2013-08-12","70.92"
"2013-08-09","68.79"
"2013-08-08","64.90"
"2013-08-07","58.62"
"2013-08-06","59.09"
"2013-08-05","59.54"
"2013-08-02","60.67"
"2013-08-01","60.45"
"2013-07-31","60.53"
"2013-07-30","59.15"
"2013-07-29","58.76"
"2013-07-26","58.72"
"2013-07-25","58.66"
"2013-07-24","57.83"
"2013-07-23","57.99"
"2013-07-22","57.17"
"2013-07-19","56.06"
"2013-07-18","55.85"
"2013-07-17","54.57"
