"Date","Close"
"2013-12-31","9.43"
"2013-12-30","9.39"
"2013-12-27","9.38"
"2013-12-26","9.36"
"2013-12-24","9.34"
"2013-12-23","9.26"
"2013-12-20","9.20"
"2013-12-19","9.14"
"2013-12-18","9.21"
"2013-12-17","9.16"
"2013-12-16","9.23"
"2013-12-13","9.16"
"2013-12-12","9.16"
"2013-12-11","9.16"
"2013-12-10","9.22"
"2013-12-09","9.29"
"2013-12-06","9.23"
"2013-12-05","9.08"
"2013-12-04","9.13"
"2013-12-03","9.19"
"2013-12-02","9.23"
"2013-11-29","9.34"
"2013-11-27","9.36"
"2013-11-26","9.34"
"2013-11-25","9.36"
"2013-11-22","9.30"
"2013-11-21","9.29"
"2013-11-20","9.17"
"2013-11-19","9.17"
"2013-11-18","9.15"
"2013-11-15","9.14"
"2013-11-14","9.09"
"2013-11-13","9.04"
"2013-11-12","8.91"
"2013-11-11","9.10"
"2013-11-08","9.18"
"2013-11-07","8.91"
"2013-11-06","8.99"
"2013-11-05","8.90"
"2013-11-04","8.93"
"2013-11-01","8.96"
"2013-10-31","8.98"
"2013-10-30","9.14"
"2013-10-29","9.03"
"2013-10-28","8.96"
"2013-10-25","8.99"
"2013-10-24","9.03"
"2013-10-23","9.07"
"2013-10-22","9.12"
"2013-10-21","9.19"
"2013-10-18","9.30"
"2013-10-17","9.15"
"2013-10-16","9.49"
"2013-10-15","9.29"
"2013-10-14","9.40"
"2013-10-11","9.34"
"2013-10-10","9.27"
"2013-10-09","9.04"
"2013-10-08","8.97"
"2013-10-07","8.99"
"2013-10-04","9.25"
"2013-10-03","9.06"
"2013-10-02","9.14"
"2013-10-01","9.17"
"2013-09-30","9.04"
"2013-09-27","9.12"
"2013-09-26","9.10"
"2013-09-25","9.03"
"2013-09-24","8.98"
"2013-09-23","8.98"
"2013-09-20","9.05"
"2013-09-19","9.15"
"2013-09-18","9.25"
"2013-09-17","9.18"
"2013-09-16","9.06"
"2013-09-13","9.03"
"2013-09-12","9.03"
"2013-09-11","9.12"
"2013-09-10","9.15"
"2013-09-09","9.15"
"2013-09-06","9.25"
"2013-09-05","9.35"
"2013-09-04","9.34"
"2013-09-03","9.24"
"2013-08-30","9.19"
"2013-08-29","9.19"
"2013-08-28","9.29"
"2013-08-27","9.23"
"2013-08-26","9.62"
"2013-08-23","9.62"
"2013-08-22","9.64"
"2013-08-21","9.42"
"2013-08-20","9.46"
"2013-08-19","9.41"
"2013-08-16","9.55"
"2013-08-15","9.50"
"2013-08-14","9.54"
"2013-08-13","9.56"
"2013-08-12","9.58"
"2013-08-09","9.60"
"2013-08-08","9.62"
"2013-08-07","9.58"
"2013-08-06","9.67"
"2013-08-05","9.72"
"2013-08-02","9.77"
"2013-08-01","9.74"
"2013-07-31","9.56"
"2013-07-30","9.55"
"2013-07-29","9.47"
"2013-07-26","9.58"
"2013-07-25","9.61"
"2013-07-24","9.68"
"2013-07-23","9.70"
"2013-07-22","9.74"
"2013-07-19","9.66"
"2013-07-18","9.77"
"2013-07-17","9.61"
"2013-07-16","9.67"
"2013-07-15","9.76"
"2013-07-12","9.73"
"2013-07-11","9.65"
"2013-07-10","9.70"
"2013-07-09","9.72"
"2013-07-08","9.66"
"2013-07-05","9.57"
"2013-07-03","9.35"
"2013-07-02","9.36"
"2013-07-01","9.29"
"2013-06-28","9.18"
"2013-06-27","9.16"
"2013-06-26","9.00"
"2013-06-25","8.81"
"2013-06-24","8.62"
"2013-06-21","8.64"
"2013-06-20","8.50"
"2013-06-19","8.48"
"2013-06-18","8.57"
