"Date","Close"
"2013-12-31","83.00"
"2013-12-30","82.61"
"2013-12-27","83.07"
"2013-12-26","82.60"
"2013-12-24","81.14"
"2013-12-23","80.22"
"2013-12-20","80.17"
"2013-12-19","80.54"
"2013-12-18","80.83"
"2013-12-17","79.51"
"2013-12-16","79.35"
"2013-12-13","78.95"
"2013-12-12","78.56"
"2013-12-11","78.94"
"2013-12-10","79.94"
"2013-12-09","80.51"
"2013-12-06","80.86"
"2013-12-05","81.47"
"2013-12-04","82.21"
"2013-12-03","81.15"
"2013-12-02","80.91"
"2013-11-29","81.13"
"2013-11-27","81.48"
"2013-11-26","83.61"
"2013-11-25","82.63"
"2013-11-22","83.33"
"2013-11-21","82.33"
"2013-11-20","81.31"
"2013-11-19","81.89"
"2013-11-18","81.91"
"2013-11-15","82.86"
"2013-11-14","81.70"
"2013-11-13","80.78"
"2013-11-12","79.94"
"2013-11-11","80.87"
"2013-11-08","80.30"
"2013-11-07","78.78"
"2013-11-06","81.00"
"2013-11-05","80.49"
"2013-11-04","81.73"
"2013-11-01","80.93"
"2013-10-31","81.20"
"2013-10-30","80.32"
"2013-10-29","83.50"
"2013-10-28","83.16"
"2013-10-25","83.20"
"2013-10-24","83.09"
"2013-10-23","81.92"
"2013-10-22","83.56"
"2013-10-21","84.00"
"2013-10-18","84.06"
"2013-10-17","82.39"
"2013-10-16","82.31"
"2013-10-15","80.81"
"2013-10-14","81.31"
"2013-10-11","81.10"
"2013-10-10","80.79"
"2013-10-09","78.53"
"2013-10-08","78.77"
"2013-10-07","79.54"
"2013-10-04","80.14"
"2013-10-03","79.89"
"2013-10-02","79.96"
"2013-10-01","78.69"
"2013-09-30","77.34"
"2013-09-27","78.33"
"2013-09-26","78.79"
"2013-09-25","78.72"
"2013-09-24","78.51"
"2013-09-23","78.53"
"2013-09-20","78.63"
"2013-09-19","79.64"
"2013-09-18","79.22"
"2013-09-17","77.79"
"2013-09-16","77.92"
"2013-09-13","77.72"
"2013-09-12","77.25"
"2013-09-11","78.10"
"2013-09-10","77.79"
"2013-09-09","78.33"
"2013-09-06","77.30"
"2013-09-05","76.53"
"2013-09-04","76.15"
"2013-09-03","75.99"
"2013-08-30","74.85"
"2013-08-29","75.82"
"2013-08-28","76.48"
"2013-08-27","75.45"
"2013-08-26","75.41"
"2013-08-23","75.66"
"2013-08-22","74.51"
"2013-08-21","73.03"
"2013-08-20","73.72"
"2013-08-19","73.29"
"2013-08-16","75.07"
"2013-08-15","75.23"
"2013-08-14","75.47"
"2013-08-13","75.21"
"2013-08-12","75.13"
"2013-08-09","74.89"
"2013-08-08","74.36"
"2013-08-07","73.56"
"2013-08-06","73.46"
"2013-08-05","75.08"
"2013-08-02","75.31"
"2013-08-01","76.04"
"2013-07-31","74.46"
"2013-07-30","73.19"
"2013-07-29","72.03"
"2013-07-26","73.20"
"2013-07-25","73.54"
"2013-07-24","72.63"
"2013-07-23","73.43"
"2013-07-22","73.27"
"2013-07-19","73.94"
"2013-07-18","72.16"
"2013-07-17","71.28"
"2013-07-16","70.74"
"2013-07-15","71.06"
"2013-07-12","71.17"
"2013-07-11","70.96"
"2013-07-10","68.73"
"2013-07-09","68.57"
"2013-07-08","68.53"
"2013-07-05","68.13"
"2013-07-03","67.20"
"2013-07-02","67.22"
"2013-07-01","66.71"
"2013-06-28","66.49"
"2013-06-27","67.05"
"2013-06-26","65.71"
"2013-06-25","63.65"
"2013-06-24","62.87"
"2013-06-21","64.02"
"2013-06-20","64.28"
"2013-06-19","66.38"
"2013-06-18","67.52"
"2013-06-17","67.51"
"2013-06-14","65.97"
"2013-06-13","66.85"
"2013-06-12","66.82"
"2013-06-11","67.29"
"2013-06-10","68.75"
"2013-06-07","69.18"
"2013-06-06","67.99"
"2013-06-05","66.76"
"2013-06-04","68.25"
"2013-06-03","68.79"
"2013-05-31","67.41"
"2013-05-30","68.74"
"2013-05-29","68.57"
"2013-05-28","68.52"
"2013-05-24","67.48"
"2013-05-23","68.04"
"2013-05-22","68.58"
"2013-05-21","69.61"
"2013-05-20","69.72"
"2013-05-17","69.68"
"2013-05-16","69.11"
"2013-05-15","70.60"
"2013-05-14","72.22"
"2013-05-13","69.39"
"2013-05-10","69.30"
"2013-05-09","70.96"
"2013-05-08","71.89"
"2013-05-07","72.26"
"2013-05-06","72.46"
"2013-05-03","73.00"
"2013-05-02","72.21"
"2013-05-01","70.71"
"2013-04-30","72.18"
"2013-04-29","72.20"
"2013-04-26","70.99"
"2013-04-25","71.16"
"2013-04-24","70.12"
"2013-04-23","68.21"
"2013-04-22","67.90"
"2013-04-19","66.78"
"2013-04-18","67.02"
"2013-04-17","66.91"
"2013-04-16","68.79"
"2013-04-15","67.97"
"2013-04-12","71.39"
"2013-04-11","72.66"
"2013-04-10","72.92"
"2013-04-09","73.30"
"2013-04-08","72.44"
"2013-04-05","71.69"
"2013-04-04","71.79"
"2013-04-03","72.06"
"2013-04-02","74.14"
"2013-04-01","73.54"
"2013-03-28","71.61"
"2013-03-27","72.03"
"2013-03-26","71.11"
"2013-03-25","70.44"
"2013-03-22","70.27"
"2013-03-21","69.27"
"2013-03-20","69.90"
"2013-03-19","70.00"
"2013-03-18","72.22"
"2013-03-15","72.51"
"2013-03-14","71.97"
"2013-03-13","71.69"
"2013-03-12","70.38"
"2013-03-11","69.89"
"2013-03-08","69.47"
"2013-03-07","69.04"
"2013-03-06","69.49"
"2013-03-05","69.82"
"2013-03-04","68.84"
"2013-03-01","66.54"
"2013-02-28","66.50"
"2013-02-27","65.68"
"2013-02-26","64.61"
"2013-02-25","63.74"
"2013-02-22","66.03"
"2013-02-21","64.40"
"2013-02-20","66.01"
"2013-02-19","68.21"
"2013-02-15","67.42"
"2013-02-14","68.35"
"2013-02-13","67.96"
"2013-02-12","66.98"
"2013-02-11","66.74"
"2013-02-08","67.37"
"2013-02-07","66.57"
"2013-02-06","66.65"
"2013-02-05","66.02"
"2013-02-04","67.49"
"2013-02-01","68.21"
"2013-01-31","67.16"
"2013-01-30","67.88"
"2013-01-29","68.11"
"2013-01-28","62.48"
"2013-01-25","58.90"
"2013-01-24","58.44"
"2013-01-23","57.83"
"2013-01-22","58.87"
"2013-01-18","57.66"
"2013-01-17","57.30"
"2013-01-16","57.03"
"2013-01-15","56.67"
"2013-01-14","56.42"
"2013-01-11","56.25"
"2013-01-10","56.61"
"2013-01-09","55.60"
"2013-01-08","55.41"
"2013-01-07","55.84"
"2013-01-04","55.02"
"2013-01-03","54.20"
"2013-01-02","53.71"
"2012-12-31","52.96"
"2012-12-28","51.28"
"2012-12-27","52.45"
"2012-12-26","52.32"
"2012-12-24","52.64"
"2012-12-21","53.39"
"2012-12-20","53.46"
"2012-12-19","53.04"
"2012-12-18","54.05"
"2012-12-17","52.25"
"2012-12-14","51.38"
"2012-12-13","51.84"
"2012-12-12","52.02"
"2012-12-11","50.57"
"2012-12-10","50.02"
"2012-12-07","49.69"
"2012-12-06","49.11"
"2012-12-05","49.47"
"2012-12-04","48.87"
"2012-12-03","49.57"
"2012-11-30","49.61"
"2012-11-29","50.50"
"2012-11-28","49.85"
"2012-11-27","49.38"
"2012-11-26","49.90"
"2012-11-23","51.12"
"2012-11-21","50.10"
"2012-11-20","49.55"
"2012-11-19","50.49"
"2012-11-16","48.91"
"2012-11-15","48.89"
"2012-11-14","49.53"
"2012-11-13","49.96"
"2012-11-12","50.57"
"2012-11-09","50.73"
"2012-11-08","52.20"
"2012-11-07","53.12"
"2012-11-06","55.52"
"2012-11-05","54.90"
"2012-11-02","53.39"
"2012-11-01","52.65"
"2012-10-31","52.26"
"2012-10-26","53.24"
"2012-10-25","53.90"
"2012-10-24","52.53"
"2012-10-23","52.37"
"2012-10-22","54.51"
"2012-10-19","54.28"
"2012-10-18","55.32"
"2012-10-17","55.62"
"2012-10-16","54.99"
"2012-10-15","52.94"
"2012-10-12","53.28"
"2012-10-11","53.33"
"2012-10-10","52.61"
"2012-10-09","53.73"
"2012-10-08","53.63"
"2012-10-05","53.56"
"2012-10-04","53.98"
"2012-10-03","52.64"
"2012-10-02","53.50"
"2012-10-01","53.95"
"2012-09-28","53.72"
"2012-09-27","53.77"
"2012-09-26","52.40"
"2012-09-25","53.60"
"2012-09-24","54.78"
"2012-09-21","55.64"
"2012-09-20","55.44"
"2012-09-19","55.10"
"2012-09-18","55.50"
"2012-09-17","55.49"
"2012-09-14","56.06"
"2012-09-13","55.60"
"2012-09-12","54.78"
"2012-09-11","54.59"
"2012-09-10","53.13"
"2012-09-07","52.90"
"2012-09-06","50.82"
"2012-09-05","49.31"
"2012-09-04","49.65"
"2012-08-31","50.53"
"2012-08-30","49.68"
"2012-08-29","50.54"
"2012-08-28","50.84"
"2012-08-27","49.87"
"2012-08-24","50.19"
"2012-08-23","49.78"
"2012-08-22","50.45"
"2012-08-21","50.47"
"2012-08-20","50.49"
"2012-08-17","49.31"
"2012-08-16","50.01"
"2012-08-15","49.23"
"2012-08-14","49.58"
"2012-08-13","49.09"
"2012-08-10","49.68"
"2012-08-09","49.59"
"2012-08-08","50.03"
"2012-08-07","49.42"
"2012-08-06","48.28"
"2012-08-03","47.71"
"2012-08-02","46.52"
"2012-08-01","47.80"
"2012-07-31","47.16"
"2012-07-30","48.18"
"2012-07-27","48.36"
"2012-07-26","47.56"
"2012-07-25","45.46"
"2012-07-24","43.93"
"2012-07-23","44.41"
"2012-07-20","45.40"
"2012-07-19","44.99"
"2012-07-18","44.90"
"2012-07-17","44.10"
"2012-07-16","43.50"
"2012-07-13","43.29"
"2012-07-12","42.60"
"2012-07-11","43.68"
"2012-07-10","42.30"
"2012-07-09","43.31"
"2012-07-06","43.32"
"2012-07-05","44.29"
"2012-07-03","45.30"
"2012-07-02","43.46"
"2012-06-29","43.45"
"2012-06-28","41.12"
"2012-06-27","41.00"
"2012-06-26","39.99"
"2012-06-25","39.95"
"2012-06-22","41.00"
"2012-06-21","40.97"
"2012-06-20","44.21"
"2012-06-19","44.33"
"2012-06-18","43.71"
"2012-06-15","44.80"
"2012-06-14","43.95"
"2012-06-13","43.13"
"2012-06-12","43.93"
"2012-06-11","43.98"
"2012-06-08","44.72"
"2012-06-07","44.76"
"2012-06-06","45.10"
"2012-06-05","43.01"
"2012-06-04","42.68"
"2012-06-01","42.65"
"2012-05-31","43.70"
"2012-05-30","45.38"
"2012-05-29","47.42"
"2012-05-25","46.69"
"2012-05-24","46.51"
"2012-05-23","46.63"
"2012-05-22","45.77"
"2012-05-21","46.04"
"2012-05-18","44.60"
"2012-05-17","45.15"
"2012-05-16","44.24"
"2012-05-15","45.32"
"2012-05-14","46.63"
"2012-05-11","47.95"
"2012-05-10","48.55"
"2012-05-09","48.65"
"2012-05-08","49.85"
"2012-05-07","50.34"
"2012-05-04","50.94"
"2012-05-03","52.40"
"2012-05-02","54.04"
"2012-05-01","54.03"
"2012-04-30","52.14"
"2012-04-27","51.54"
"2012-04-26","51.75"
"2012-04-25","51.18"
"2012-04-24","55.04"
"2012-04-23","54.12"
"2012-04-20","55.07"
"2012-04-19","55.25"
"2012-04-18","55.15"
"2012-04-17","55.57"
"2012-04-16","54.26"
"2012-04-13","55.28"
"2012-04-12","56.66"
"2012-04-11","55.47"
"2012-04-10","55.45"
"2012-04-09","56.74"
"2012-04-05","57.87"
"2012-04-04","58.58"
"2012-04-03","58.94"
"2012-04-02","59.55"
"2012-03-30","58.95"
"2012-03-29","58.43"
"2012-03-28","58.63"
"2012-03-27","59.67"
"2012-03-26","60.14"
"2012-03-23","59.86"
"2012-03-22","59.22"
"2012-03-21","61.22"
"2012-03-20","61.69"
"2012-03-19","63.27"
"2012-03-16","62.55"
"2012-03-15","61.49"
"2012-03-14","61.77"
"2012-03-13","63.01"
"2012-03-12","62.67"
"2012-03-09","63.04"
