"Date","Close"
"2013-12-31","36.23"
"2013-12-30","36.25"
"2013-12-27","36.33"
"2013-12-26","36.57"
"2013-12-24","36.62"
"2013-12-23","36.61"
"2013-12-20","36.07"
"2013-12-19","35.52"
"2013-12-18","35.53"
"2013-12-17","35.00"
"2013-12-16","35.06"
"2013-12-13","35.02"
"2013-12-12","35.10"
"2013-12-11","35.27"
"2013-12-10","36.07"
"2013-12-09","36.15"
"2013-12-06","35.94"
"2013-12-05","35.38"
"2013-12-04","35.59"
"2013-12-03","35.42"
"2013-12-02","35.75"
"2013-11-29","35.63"
"2013-11-27","36.05"
"2013-11-26","35.72"
"2013-11-25","35.86"
"2013-11-22","35.56"
"2013-11-21","35.40"
"2013-11-20","34.97"
"2013-11-19","34.73"
"2013-11-18","35.06"
"2013-11-15","35.44"
"2013-11-14","35.52"
"2013-11-13","34.94"
"2013-11-12","34.28"
"2013-11-11","34.56"
"2013-11-08","34.30"
"2013-11-07","33.04"
"2013-11-06","33.94"
"2013-11-05","33.69"
"2013-11-04","33.99"
"2013-11-01","33.65"
"2013-10-31","33.70"
"2013-10-30","34.19"
"2013-10-29","34.06"
"2013-10-28","33.90"
"2013-10-25","33.57"
"2013-10-24","33.48"
"2013-10-23","33.12"
"2013-10-22","33.71"
"2013-10-21","33.89"
"2013-10-18","34.00"
"2013-10-17","34.13"
"2013-10-16","33.62"
"2013-10-15","33.00"
"2013-10-14","33.18"
"2013-10-11","32.83"
"2013-10-10","32.69"
"2013-10-09","32.10"
"2013-10-08","30.68"
"2013-10-07","31.16"
"2013-10-04","31.57"
"2013-10-03","30.84"
"2013-10-02","31.06"
"2013-10-01","31.29"
"2013-09-30","31.12"
"2013-09-27","31.27"
"2013-09-26","31.54"
"2013-09-25","31.73"
"2013-09-24","31.42"
"2013-09-23","30.91"
"2013-09-20","31.02"
"2013-09-19","31.14"
"2013-09-18","31.95"
"2013-09-17","32.30"
"2013-09-16","31.88"
"2013-09-13","31.62"
"2013-09-12","31.53"
"2013-09-11","31.91"
"2013-09-10","31.75"
"2013-09-09","31.64"
"2013-09-06","30.87"
"2013-09-05","30.74"
"2013-09-04","30.56"
"2013-09-03","30.20"
"2013-08-30","29.60"
"2013-08-29","29.94"
"2013-08-28","29.77"
"2013-08-27","29.67"
"2013-08-26","30.55"
"2013-08-23","30.65"
"2013-08-22","30.67"
"2013-08-21","30.42"
"2013-08-20","30.55"
"2013-08-19","30.45"
"2013-08-16","30.84"
"2013-08-15","30.93"
"2013-08-14","31.26"
"2013-08-13","31.50"
"2013-08-12","31.04"
"2013-08-09","31.31"
"2013-08-08","31.31"
"2013-08-07","31.36"
"2013-08-06","31.62"
"2013-08-05","31.88"
"2013-08-02","32.03"
"2013-08-01","31.94"
"2013-07-31","30.86"
"2013-07-30","30.56"
"2013-07-29","30.78"
"2013-07-26","31.36"
"2013-07-25","31.41"
