"Date","Close"
"2013-12-31","91.37"
"2013-12-30","91.00"
"2013-12-27","91.14"
"2013-12-26","91.10"
"2013-12-24","90.45"
"2013-12-23","89.72"
"2013-12-20","89.55"
"2013-12-19","88.64"
"2013-12-18","88.45"
"2013-12-17","86.48"
"2013-12-16","87.37"
"2013-12-13","86.61"
"2013-12-12","86.29"
"2013-12-11","86.45"
"2013-12-10","87.84"
"2013-12-09","87.87"
"2013-12-06","88.32"
"2013-12-05","86.86"
"2013-12-04","86.83"
"2013-12-03","87.07"
"2013-12-02","88.14"
"2013-11-29","88.51"
"2013-11-27","88.87"
"2013-11-26","88.53"
"2013-11-25","88.59"
"2013-11-22","88.80"
"2013-11-21","87.94"
"2013-11-20","87.22"
"2013-11-19","87.86"
"2013-11-18","88.68"
"2013-11-15","88.62"
"2013-11-14","88.67"
"2013-11-13","87.51"
"2013-11-12","86.59"
"2013-11-11","87.42"
"2013-11-08","87.44"
"2013-11-07","85.46"
"2013-11-06","86.72"
"2013-11-05","86.34"
"2013-11-04","86.31"
"2013-11-01","86.91"
"2013-10-31","86.73"
"2013-10-30","86.72"
"2013-10-29","87.46"
"2013-10-28","87.33"
"2013-10-25","87.50"
"2013-10-24","87.28"
"2013-10-23","86.69"
"2013-10-22","86.16"
"2013-10-21","84.65"
"2013-10-18","84.58"
"2013-10-17","86.74"
"2013-10-16","85.75"
"2013-10-15","85.14"
"2013-10-14","85.98"
"2013-10-11","86.46"
"2013-10-10","85.09"
"2013-10-09","81.90"
"2013-10-08","81.82"
"2013-10-07","82.91"
"2013-10-04","82.24"
"2013-10-03","81.45"
"2013-10-02","82.84"
"2013-10-01","83.22"
"2013-09-30","83.04"
"2013-09-27","83.58"
"2013-09-26","84.05"
"2013-09-25","83.84"
"2013-09-24","84.25"
"2013-09-23","84.13"
"2013-09-20","85.48"
"2013-09-19","86.79"
"2013-09-18","86.65"
"2013-09-17","85.45"
"2013-09-16","85.10"
"2013-09-13","84.05"
"2013-09-12","83.78"
"2013-09-11","84.03"
"2013-09-10","84.13"
"2013-09-09","82.43"
"2013-09-06","81.66"
"2013-09-05","81.39"
"2013-09-04","80.96"
"2013-09-03","80.98"
"2013-08-30","79.57"
"2013-08-29","80.06"
"2013-08-28","79.45"
"2013-08-27","79.25"
"2013-08-26","81.05"
"2013-08-23","81.40"
"2013-08-22","80.77"
"2013-08-21","80.58"
"2013-08-20","81.72"
"2013-08-19","81.46"
"2013-08-16","81.96"
"2013-08-15","82.01"
"2013-08-14","83.35"
"2013-08-13","83.69"
"2013-08-12","83.43"
"2013-08-09","83.32"
"2013-08-08","83.51"
"2013-08-07","83.65"
"2013-08-06","84.16"
"2013-08-05","84.53"
"2013-08-02","84.68"
"2013-08-01","84.56"
"2013-07-31","82.98"
"2013-07-30","83.00"
"2013-07-29","82.76"
"2013-07-26","82.88"
"2013-07-25","82.85"
"2013-07-24","83.01"
"2013-07-23","83.27"
"2013-07-22","83.04"
"2013-07-19","83.57"
"2013-07-18","82.97"
"2013-07-17","82.44"
"2013-07-16","82.03"
"2013-07-15","82.30"
"2013-07-12","82.37"
"2013-07-11","82.57"
"2013-07-10","81.21"
"2013-07-09","81.39"
"2013-07-08","80.67"
"2013-07-05","80.06"
"2013-07-03","78.51"
"2013-07-02","77.88"
"2013-07-01","80.32"
"2013-06-28","79.34"
"2013-06-27","80.20"
"2013-06-26","79.75"
"2013-06-25","77.65"
"2013-06-24","76.65"
"2013-06-21","78.25"
"2013-06-20","77.67"
"2013-06-19","79.68"
"2013-06-18","80.85"
"2013-06-17","79.71"
"2013-06-14","78.18"
"2013-06-13","78.31"
"2013-06-12","77.32"
"2013-06-11","78.16"
"2013-06-10","78.68"
"2013-06-07","79.08"
"2013-06-06","77.66"
"2013-06-05","76.70"
"2013-06-04","77.74"
"2013-06-03","78.85"
"2013-05-31","78.46"
"2013-05-30","79.44"
"2013-05-29","78.80"
"2013-05-28","79.77"
"2013-05-24","79.29"
"2013-05-23","79.24"
"2013-05-22","79.59"
"2013-05-21","80.15"
