"Date","Close"
"2013-12-31","79.45"
"2013-12-30","79.19"
"2013-12-27","79.03"
"2013-12-26","79.31"
"2013-12-24","79.16"
"2013-12-23","78.70"
"2013-12-20","78.90"
"2013-12-19","77.76"
"2013-12-18","78.11"
"2013-12-17","75.77"
"2013-12-16","75.91"
"2013-12-13","74.20"
"2013-12-12","73.26"
"2013-12-11","72.22"
"2013-12-10","73.90"
"2013-12-09","74.31"
"2013-12-06","73.98"
"2013-12-05","72.87"
"2013-12-04","73.37"
"2013-12-03","74.15"
"2013-12-02","74.42"
"2013-11-29","74.48"
"2013-11-27","74.41"
"2013-11-26","74.27"
"2013-11-25","74.33"
"2013-11-22","74.00"
"2013-11-21","74.24"
"2013-11-20","73.62"
"2013-11-19","74.23"
"2013-11-18","74.65"
"2013-11-15","74.92"
"2013-11-14","74.72"
"2013-11-13","74.57"
"2013-11-12","74.11"
"2013-11-11","74.19"
"2013-11-08","74.44"
"2013-11-07","73.07"
"2013-11-06","74.76"
"2013-11-05","74.68"
"2013-11-04","74.85"
"2013-11-01","74.63"
"2013-10-31","73.62"
"2013-10-30","74.04"
"2013-10-29","74.38"
"2013-10-28","74.24"
"2013-10-25","74.56"
"2013-10-24","73.61"
"2013-10-23","70.45"
"2013-10-22","70.65"
"2013-10-21","70.46"
"2013-10-18","70.61"
"2013-10-17","69.13"
"2013-10-16","68.20"
"2013-10-15","67.18"
"2013-10-14","67.50"
"2013-10-11","67.49"
"2013-10-10","66.20"
"2013-10-09","65.04"
"2013-10-08","65.09"
"2013-10-07","65.98"
"2013-10-04","66.98"
"2013-10-03","66.24"
"2013-10-02","66.95"
"2013-10-01","66.78"
"2013-09-30","66.45"
"2013-09-27","66.99"
"2013-09-26","66.49"
"2013-09-25","66.36"
"2013-09-24","66.78"
"2013-09-23","67.18"
"2013-09-20","67.64"
"2013-09-19","68.81"
"2013-09-18","69.50"
"2013-09-17","68.55"
"2013-09-16","68.57"
"2013-09-13","68.08"
"2013-09-12","68.23"
"2013-09-11","68.76"
"2013-09-10","67.83"
"2013-09-09","66.63"
"2013-09-06","65.74"
"2013-09-05","65.89"
"2013-09-04","65.63"
"2013-09-03","64.22"
"2013-08-30","63.94"
"2013-08-29","63.97"
"2013-08-28","63.21"
"2013-08-27","63.10"
"2013-08-26","65.45"
"2013-08-23","65.67"
"2013-08-22","65.79"
"2013-08-21","64.53"
"2013-08-20","64.46"
"2013-08-19","63.98"
"2013-08-16","64.46"
"2013-08-15","65.20"
"2013-08-14","66.35"
"2013-08-13","65.99"
"2013-08-12","65.92"
"2013-08-09","66.65"
"2013-08-08","67.62"
"2013-08-07","67.20"
"2013-08-06","68.11"
"2013-08-05","68.37"
"2013-08-02","68.23"
"2013-08-01","68.05"
"2013-07-31","66.15"
"2013-07-30","66.34"
"2013-07-29","65.47"
"2013-07-26","65.94"
"2013-07-25","66.24"
"2013-07-24","63.32"
"2013-07-23","65.86"
"2013-07-22","66.10"
"2013-07-19","66.15"
"2013-07-18","66.88"
"2013-07-17","66.17"
"2013-07-16","66.46"
"2013-07-15","66.62"
"2013-07-12","66.75"
"2013-07-11","67.30"
"2013-07-10","66.73"
"2013-07-09","66.19"
"2013-07-08","65.13"
"2013-07-05","65.40"
"2013-07-03","62.95"
"2013-07-02","62.99"
"2013-07-01","63.77"
"2013-06-28","63.19"
"2013-06-27","63.77"
"2013-06-26","63.19"
"2013-06-25","62.83"
"2013-06-24","61.49"
"2013-06-21","62.49"
"2013-06-20","63.04"
"2013-06-19","65.80"
"2013-06-18","66.90"
"2013-06-17","66.63"
"2013-06-14","66.36"
"2013-06-13","66.94"
"2013-06-12","66.07"
"2013-06-11","66.87"
"2013-06-10","68.83"
"2013-06-07","69.17"
"2013-06-06","67.01"
"2013-06-05","65.77"
"2013-06-04","67.34"
"2013-06-03","69.00"
"2013-05-31","68.30"
"2013-05-30","68.93"
"2013-05-29","68.98"
"2013-05-28","69.78"
"2013-05-24","68.45"
"2013-05-23","68.46"
"2013-05-22","67.81"
"2013-05-21","68.35"
"2013-05-20","67.88"
"2013-05-17","67.49"
"2013-05-16","66.22"
"2013-05-15","66.93"
"2013-05-14","67.93"
"2013-05-13","67.28"
"2013-05-10","67.88"
"2013-05-09","66.72"
"2013-05-08","66.45"
"2013-05-07","66.40"
"2013-05-06","65.53"
"2013-05-03","65.21"
"2013-05-02","64.50"
"2013-05-01","64.13"
"2013-04-30","64.52"
"2013-04-29","62.46"
"2013-04-26","62.09"
"2013-04-25","62.60"
"2013-04-24","61.81"
"2013-04-23","61.99"
"2013-04-22","61.20"
"2013-04-19","61.23"
"2013-04-18","60.48"
"2013-04-17","61.19"
"2013-04-16","61.91"
"2013-04-15","60.66"
"2013-04-12","63.86"
"2013-04-11","63.68"
"2013-04-10","63.13"
"2013-04-09","62.40"
"2013-04-08","61.98"
"2013-04-05","60.14"
"2013-04-04","61.11"
"2013-04-03","60.73"
"2013-04-02","62.22"
"2013-04-01","62.90"
"2013-03-28","63.73"
"2013-03-27","62.49"
"2013-03-26","60.96"
"2013-03-25","60.40"
"2013-03-22","60.78"
"2013-03-21","61.02"
"2013-03-20","62.46"
"2013-03-19","62.24"
"2013-03-18","62.18"
"2013-03-15","63.32"
"2013-03-14","63.41"
"2013-03-13","62.96"
"2013-03-12","62.28"
"2013-03-11","62.94"
"2013-03-08","62.56"
"2013-03-07","60.40"
"2013-03-06","60.27"
"2013-03-05","60.47"
"2013-03-04","60.13"
"2013-03-01","60.51"
"2013-02-28","60.33"
"2013-02-27","60.09"
