"Date","Close"
"2013-12-31","41.28"
"2013-12-30","41.27"
"2013-12-27","41.21"
"2013-12-26","41.23"
"2013-12-24","41.29"
"2013-12-23","41.11"
"2013-12-20","41.27"
"2013-12-19","41.05"
"2013-12-18","41.25"
"2013-12-17","40.05"
"2013-12-16","40.10"
"2013-12-13","39.88"
"2013-12-12","40.25"
"2013-12-11","40.51"
"2013-12-10","41.49"
"2013-12-09","42.19"
"2013-12-06","41.57"
"2013-12-05","41.00"
"2013-12-04","40.21"
"2013-12-03","39.83"
"2013-12-02","40.09"
"2013-11-29","39.31"
"2013-11-27","39.43"
"2013-11-26","39.16"
"2013-11-25","39.08"
"2013-11-22","39.21"
"2013-11-21","38.96"
"2013-11-20","38.72"
"2013-11-19","38.59"
"2013-11-18","39.00"
"2013-11-15","39.50"
"2013-11-14","39.43"
"2013-11-13","39.33"
"2013-11-12","38.74"
"2013-11-11","38.53"
"2013-11-08","38.89"
"2013-11-07","39.21"
"2013-11-06","40.76"
"2013-11-05","40.00"
"2013-11-04","40.21"
"2013-11-01","40.21"
"2013-10-31","40.52"
"2013-10-30","40.43"
"2013-10-29","41.10"
"2013-10-28","41.27"
"2013-10-25","41.37"
"2013-10-24","41.16"
"2013-10-23","41.30"
"2013-10-22","41.60"
"2013-10-21","41.65"
"2013-10-18","41.62"
"2013-10-17","41.79"
"2013-10-16","41.54"
"2013-10-15","40.91"
"2013-10-14","41.20"
"2013-10-11","40.78"
"2013-10-10","40.07"
"2013-10-09","38.99"
"2013-10-08","38.65"
"2013-10-07","39.10"
"2013-10-04","39.54"
"2013-10-03","38.62"
"2013-10-02","39.42"
"2013-10-01","39.67"
"2013-09-30","39.22"
"2013-09-27","38.90"
"2013-09-26","39.16"
"2013-09-25","39.15"
"2013-09-24","40.22"
"2013-09-23","40.71"
"2013-09-20","41.17"
"2013-09-19","41.07"
"2013-09-18","40.92"
"2013-09-17","40.36"
"2013-09-16","40.26"
"2013-09-13","39.62"
"2013-09-12","39.46"
"2013-09-11","39.46"
"2013-09-10","39.80"
"2013-09-09","39.18"
"2013-09-06","38.88"
"2013-09-05","38.99"
"2013-09-04","38.68"
"2013-09-03","38.53"
"2013-08-30","39.03"
"2013-08-29","39.26"
"2013-08-28","39.06"
"2013-08-27","39.15"
"2013-08-26","40.29"
"2013-08-23","40.30"
"2013-08-22","40.18"
"2013-08-21","39.49"
"2013-08-20","39.87"
"2013-08-19","40.00"
"2013-08-16","40.20"
"2013-08-15","40.48"
"2013-08-14","40.27"
"2013-08-13","41.20"
"2013-08-12","41.54"
"2013-08-09","41.23"
"2013-08-08","41.26"
"2013-08-07","40.85"
"2013-08-06","41.17"
"2013-08-05","41.50"
"2013-08-02","41.61"
"2013-08-01","42.03"
"2013-07-31","40.70"
"2013-07-30","39.70"
"2013-07-29","39.30"
"2013-07-26","39.91"
"2013-07-25","39.83"
"2013-07-24","39.52"
"2013-07-23","39.49"
"2013-07-22","39.79"
"2013-07-19","39.78"
"2013-07-18","39.42"
"2013-07-17","39.45"
"2013-07-16","39.23"
"2013-07-15","39.56"
"2013-07-12","39.68"
"2013-07-11","39.61"
"2013-07-10","39.40"
"2013-07-09","39.44"
"2013-07-08","38.47"
"2013-07-05","38.98"
"2013-07-03","38.45"
"2013-07-02","38.61"
"2013-07-01","39.06"
"2013-06-28","38.31"
"2013-06-27","36.15"
"2013-06-26","35.27"
"2013-06-25","34.69"
"2013-06-24","34.57"
"2013-06-21","34.79"
"2013-06-20","34.50"
"2013-06-19","35.84"
"2013-06-18","36.59"
"2013-06-17","36.42"
"2013-06-14","36.24"
"2013-06-13","36.46"
"2013-06-12","35.25"
"2013-06-11","36.08"
"2013-06-10","36.39"
"2013-06-07","35.83"
"2013-06-06","35.03"
"2013-06-05","34.49"
"2013-06-04","34.45"
"2013-06-03","35.29"
"2013-05-31","34.68"
"2013-05-30","35.07"
"2013-05-29","34.69"
"2013-05-28","35.30"
"2013-05-24","35.08"
"2013-05-23","35.18"
"2013-05-22","35.40"
"2013-05-21","35.92"
"2013-05-20","36.03"
"2013-05-17","35.74"
"2013-05-16","35.72"
"2013-05-15","34.43"
"2013-05-14","34.25"
"2013-05-13","34.23"
"2013-05-10","34.62"
"2013-05-09","34.55"
"2013-05-08","33.60"
"2013-05-07","32.81"
"2013-05-06","32.66"
"2013-05-03","33.02"
"2013-05-02","31.96"
"2013-05-01","32.10"
"2013-04-30","33.12"
"2013-04-29","33.42"
"2013-04-26","32.66"
"2013-04-25","32.93"
"2013-04-24","31.72"
"2013-04-23","31.61"
"2013-04-22","30.99"
"2013-04-19","31.19"
"2013-04-18","31.16"
"2013-04-17","31.29"
"2013-04-16","31.57"
"2013-04-15","31.32"
"2013-04-12","31.61"
"2013-04-11","31.65"
"2013-04-10","30.83"
"2013-04-09","30.59"
"2013-04-08","30.57"
"2013-04-05","30.65"
"2013-04-04","30.59"
"2013-04-03","30.91"
"2013-04-02","31.73"
"2013-04-01","32.00"
"2013-03-28","32.83"
"2013-03-27","32.62"
"2013-03-26","32.66"
"2013-03-25","32.58"
"2013-03-22","32.62"
"2013-03-21","32.71"
"2013-03-20","32.67"
"2013-03-19","31.80"
"2013-03-18","31.58"
"2013-03-15","32.25"
"2013-03-14","31.74"
"2013-03-13","30.75"
"2013-03-12","31.00"
"2013-03-11","30.59"
"2013-03-08","30.11"
"2013-03-07","29.66"
"2013-03-06","29.74"
"2013-03-05","29.18"
"2013-03-04","29.77"
"2013-03-01","29.45"
"2013-02-28","29.43"
"2013-02-27","29.02"
"2013-02-26","28.96"
"2013-02-25","29.11"
"2013-02-22","29.73"
"2013-02-21","29.72"
"2013-02-20","29.91"
"2013-02-19","30.06"
"2013-02-15","29.13"
"2013-02-14","30.05"
"2013-02-13","32.65"
"2013-02-12","34.95"
"2013-02-11","35.32"
"2013-02-08","34.50"
"2013-02-07","34.24"
"2013-02-06","34.37"
"2013-02-05","34.19"
"2013-02-04","34.14"
"2013-02-01","34.55"
"2013-01-31","34.12"
"2013-01-30","34.34"
"2013-01-29","34.39"
"2013-01-28","34.40"
"2013-01-25","35.10"
"2013-01-24","35.00"
"2013-01-23","35.21"
"2013-01-22","35.99"
"2013-01-18","34.91"
"2013-01-17","34.87"
"2013-01-16","34.94"
"2013-01-15","34.74"
"2013-01-14","34.36"
"2013-01-11","34.13"
"2013-01-10","34.05"
"2013-01-09","34.07"
"2013-01-08","32.36"
"2013-01-07","32.52"
"2013-01-04","32.37"
"2013-01-03","32.26"
"2013-01-02","31.78"
"2012-12-31","31.24"
"2012-12-28","30.69"
"2012-12-27","31.16"
"2012-12-26","31.33"
"2012-12-24","31.96"
"2012-12-21","32.12"
"2012-12-20","32.30"
"2012-12-19","32.06"
"2012-12-18","32.13"
"2012-12-17","31.89"
"2012-12-14","31.84"
"2012-12-13","31.75"
"2012-12-12","31.80"
"2012-12-11","32.04"
"2012-12-10","32.03"
"2012-12-07","31.55"
"2012-12-06","31.29"
"2012-12-05","31.02"
"2012-12-04","30.94"
"2012-12-03","30.18"
"2012-11-30","29.80"
"2012-11-29","29.82"
"2012-11-28","29.65"
"2012-11-27","29.20"
"2012-11-26","29.10"
"2012-11-23","29.42"
"2012-11-21","29.24"
"2012-11-20","29.36"
"2012-11-19","29.58"
"2012-11-16","28.97"
"2012-11-15","28.89"
"2012-11-14","29.29"
"2012-11-13","29.60"
"2012-11-12","29.89"
"2012-11-09","29.95"
"2012-11-08","29.93"
"2012-11-07","31.37"
"2012-11-06","30.56"
"2012-11-05","30.50"
"2012-11-02","30.45"
"2012-11-01","30.98"
"2012-10-31","30.69"
"2012-10-26","30.96"
"2012-10-25","31.16"
"2012-10-24","30.79"
"2012-10-23","30.54"
"2012-10-22","31.40"
"2012-10-19","31.31"
"2012-10-18","32.09"
"2012-10-17","32.62"
"2012-10-16","32.41"
"2012-10-15","32.26"
"2012-10-12","32.27"
"2012-10-11","32.61"
"2012-10-10","32.55"
"2012-10-09","32.71"
"2012-10-08","33.37"
"2012-10-05","33.34"
"2012-10-04","33.50"
"2012-10-03","33.80"
"2012-10-02","33.65"
"2012-10-01","32.83"
"2012-09-28","32.82"
"2012-09-27","33.19"
"2012-09-26","33.43"
"2012-09-25","34.15"
"2012-09-24","34.24"
"2012-09-21","34.63"
"2012-09-20","35.00"
"2012-09-19","35.11"
"2012-09-18","35.30"
"2012-09-17","34.71"
"2012-09-14","34.67"
"2012-09-13","34.92"
"2012-09-12","34.37"
"2012-09-11","34.29"
"2012-09-10","34.17"
"2012-09-07","34.97"
"2012-09-06","34.42"
"2012-09-05","34.03"
"2012-09-04","33.99"
"2012-08-31","33.58"
"2012-08-30","33.52"
"2012-08-29","33.60"
"2012-08-28","33.36"
"2012-08-27","33.81"
"2012-08-24","33.74"
"2012-08-23","33.36"
"2012-08-22","33.81"
"2012-08-21","34.05"
"2012-08-20","34.11"
"2012-08-17","33.99"
"2012-08-16","33.85"
"2012-08-15","33.88"
"2012-08-14","33.82"
"2012-08-13","33.74"
"2012-08-10","34.15"
"2012-08-09","34.35"
"2012-08-08","34.59"
"2012-08-07","34.80"
"2012-08-06","34.60"
"2012-08-03","34.59"
"2012-08-02","35.28"
"2012-08-01","36.39"
"2012-07-31","34.75"
"2012-07-30","34.88"
"2012-07-27","35.08"
"2012-07-26","34.50"
"2012-07-25","34.02"
"2012-07-24","33.65"
"2012-07-23","34.35"
"2012-07-20","35.45"
"2012-07-19","36.64"
"2012-07-18","36.17"
"2012-07-17","34.52"
"2012-07-16","33.80"
"2012-07-13","34.11"
"2012-07-12","34.30"
"2012-07-11","34.62"
"2012-07-10","34.13"
"2012-07-09","34.04"
"2012-07-06","33.98"
"2012-07-05","34.49"
"2012-07-03","34.75"
"2012-07-02","34.94"
"2012-06-29","34.98"
"2012-06-28","34.14"
"2012-06-27","33.86"
"2012-06-26","33.23"
"2012-06-25","33.12"
"2012-06-22","34.02"
"2012-06-21","33.58"
"2012-06-20","34.49"
"2012-06-19","34.40"
"2012-06-18","33.72"
"2012-06-15","33.63"
"2012-06-14","32.36"
"2012-06-13","32.20"
"2012-06-12","32.31"
"2012-06-11","32.41"
"2012-06-08","32.79"
"2012-06-07","32.36"
"2012-06-06","32.47"
"2012-06-05","32.11"
"2012-06-04","32.00"
"2012-06-01","31.36"
"2012-05-31","31.26"
"2012-05-30","31.92"
"2012-05-29","32.60"
"2012-05-25","32.38"
"2012-05-24","31.98"
"2012-05-23","31.93"
"2012-05-22","32.77"
"2012-05-21","32.65"
"2012-05-18","31.87"
"2012-05-17","32.56"
"2012-05-16","32.85"
"2012-05-15","32.71"
"2012-05-14","32.74"
"2012-05-11","33.34"
"2012-05-10","33.77"
"2012-05-09","33.90"
"2012-05-08","34.10"
"2012-05-07","34.15"
"2012-05-04","33.88"
"2012-05-03","34.41"
"2012-05-02","35.57"
"2012-05-01","35.50"
"2012-04-30","35.12"
"2012-04-27","35.42"
"2012-04-26","35.12"
"2012-04-25","35.02"
"2012-04-24","34.54"
"2012-04-23","34.11"
"2012-04-20","34.43"
"2012-04-19","34.39"
