"Date","Close"
"2013-12-31","19.44"
"2013-12-30","19.32"
"2013-12-27","19.35"
"2013-12-26","19.42"
"2013-12-24","19.42"
"2013-12-23","19.29"
"2013-12-20","19.07"
"2013-12-19","18.87"
"2013-12-18","18.86"
"2013-12-17","18.41"
"2013-12-16","18.23"
"2013-12-13","18.07"
"2013-12-12","17.85"
"2013-12-11","18.11"
"2013-12-10","18.54"
"2013-12-09","18.55"
"2013-12-06","18.47"
"2013-12-05","18.20"
"2013-12-04","18.15"
"2013-12-03","17.99"
"2013-12-02","18.19"
"2013-11-29","18.41"
"2013-11-27","18.56"
"2013-11-26","18.43"
"2013-11-25","18.48"
"2013-11-22","18.58"
"2013-11-21","18.73"
"2013-11-20","18.43"
"2013-11-19","18.57"
"2013-11-18","18.85"
"2013-11-15","19.01"
"2013-11-14","18.81"
"2013-11-13","18.71"
"2013-11-12","18.45"
"2013-11-11","18.53"
"2013-11-08","18.60"
"2013-11-07","18.48"
"2013-11-06","18.91"
"2013-11-05","18.86"
"2013-11-04","19.06"
"2013-11-01","18.81"
"2013-10-31","18.55"
"2013-10-30","18.52"
"2013-10-29","18.63"
"2013-10-28","18.62"
"2013-10-25","18.78"
"2013-10-24","18.66"
"2013-10-23","18.36"
"2013-10-22","18.55"
"2013-10-21","18.64"
"2013-10-18","18.58"
"2013-10-17","18.46"
"2013-10-16","18.09"
"2013-10-15","17.66"
"2013-10-14","17.93"
"2013-10-11","17.91"
"2013-10-10","17.62"
"2013-10-09","17.09"
"2013-10-08","17.31"
"2013-10-07","17.59"
"2013-10-04","17.78"
"2013-10-03","17.65"
"2013-10-02","18.11"
"2013-10-01","17.90"
"2013-09-30","17.67"
"2013-09-27","17.82"
"2013-09-26","17.99"
"2013-09-25","18.00"
"2013-09-24","17.92"
"2013-09-23","18.07"
"2013-09-20","18.22"
"2013-09-19","18.63"
"2013-09-18","18.70"
"2013-09-17","18.30"
"2013-09-16","18.12"
"2013-09-13","18.06"
"2013-09-12","18.03"
"2013-09-11","18.23"
"2013-09-10","18.03"
"2013-09-09","17.80"
"2013-09-06","17.29"
"2013-09-05","17.10"
"2013-09-04","17.34"
"2013-09-03","17.04"
"2013-08-30","17.03"
"2013-08-29","17.24"
"2013-08-28","17.13"
"2013-08-27","17.07"
"2013-08-26","17.32"
"2013-08-23","17.42"
"2013-08-22","17.25"
"2013-08-21","16.91"
"2013-08-20","16.93"
"2013-08-19","16.41"
"2013-08-16","16.52"
"2013-08-15","17.01"
"2013-08-14","17.39"
"2013-08-13","17.49"
"2013-08-12","17.71"
"2013-08-09","17.70"
"2013-08-08","17.73"
"2013-08-07","17.67"
"2013-08-06","17.73"
"2013-08-05","18.07"
"2013-08-02","18.50"
"2013-08-01","18.16"
"2013-07-31","17.86"
"2013-07-30","18.02"
"2013-07-29","17.96"
"2013-07-26","18.12"
"2013-07-25","18.30"
"2013-07-24","18.04"
"2013-07-23","18.35"
"2013-07-22","18.68"
"2013-07-19","18.55"
"2013-07-18","18.35"
"2013-07-17","18.02"
"2013-07-16","18.07"
"2013-07-15","18.04"
"2013-07-12","17.99"
"2013-07-11","18.14"
"2013-07-10","17.79"
"2013-07-09","17.77"
"2013-07-08","17.58"
"2013-07-05","17.55"
"2013-07-03","16.99"
"2013-07-02","17.13"
"2013-07-01","16.92"
"2013-06-28","16.87"
"2013-06-27","16.87"
"2013-06-26","16.49"
"2013-06-25","16.50"
"2013-06-24","16.06"
"2013-06-21","16.18"
"2013-06-20","16.02"
"2013-06-19","16.63"
"2013-06-18","17.22"
"2013-06-17","17.17"
"2013-06-14","17.22"
"2013-06-13","17.02"
"2013-06-12","16.42"
"2013-06-11","16.86"
"2013-06-10","17.27"
"2013-06-07","17.42"
"2013-06-06","17.37"
"2013-06-05","17.00"
"2013-06-04","17.31"
"2013-06-03","17.71"
"2013-05-31","17.79"
"2013-05-30","17.97"
"2013-05-29","17.98"
"2013-05-28","18.30"
"2013-05-24","18.13"
"2013-05-23","17.94"
"2013-05-22","18.25"
"2013-05-21","18.51"
"2013-05-20","18.54"
"2013-05-17","18.77"
"2013-05-16","18.70"
"2013-05-15","18.68"
"2013-05-14","18.48"
"2013-05-13","18.48"
"2013-05-10","18.57"
"2013-05-09","18.35"
"2013-05-08","18.45"
"2013-05-07","18.57"
"2013-05-06","18.44"
"2013-05-03","18.35"
"2013-05-02","18.41"
"2013-05-01","18.23"
"2013-04-30","18.27"
"2013-04-29","17.85"
"2013-04-26","17.73"
"2013-04-25","17.88"
"2013-04-24","17.84"
"2013-04-23","18.01"
"2013-04-22","17.67"
"2013-04-19","17.57"
"2013-04-18","17.17"
"2013-04-17","17.31"
"2013-04-16","17.67"
"2013-04-15","17.19"
"2013-04-12","17.87"
"2013-04-11","17.97"
"2013-04-10","17.80"
"2013-04-09","17.59"
"2013-04-08","17.67"
"2013-04-05","17.45"
"2013-04-04","17.59"
"2013-04-03","17.18"
"2013-04-02","17.25"
"2013-04-01","17.42"
"2013-03-28","17.49"
"2013-03-27","17.29"
"2013-03-26","17.15"
"2013-03-25","16.99"
"2013-03-22","17.00"
"2013-03-21","16.76"
"2013-03-20","17.03"
"2013-03-19","17.01"
"2013-03-18","17.34"
"2013-03-15","17.73"
"2013-03-14","17.52"
"2013-03-13","17.32"
"2013-03-12","17.21"
"2013-03-11","17.27"
"2013-03-08","16.93"
"2013-03-07","16.54"
"2013-03-06","16.50"
"2013-03-05","16.61"
"2013-03-04","16.62"
"2013-03-01","16.61"
"2013-02-28","16.67"
"2013-02-27","16.70"
"2013-02-26","16.59"
"2013-02-25","16.50"
"2013-02-22","16.89"
"2013-02-21","16.43"
"2013-02-20","17.03"
"2013-02-19","17.28"
"2013-02-15","17.17"
"2013-02-14","17.15"
"2013-02-13","17.15"
"2013-02-12","17.18"
"2013-02-11","16.90"
"2013-02-08","16.81"
"2013-02-07","16.54"
"2013-02-06","16.52"
"2013-02-05","16.55"
"2013-02-04","16.41"
"2013-02-01","16.69"
"2013-01-31","16.79"
"2013-01-30","16.78"
"2013-01-29","17.16"
"2013-01-28","17.25"
"2013-01-25","17.19"
"2013-01-24","16.91"
"2013-01-23","16.88"
"2013-01-22","16.80"
"2013-01-18","16.71"
"2013-01-17","16.55"
"2013-01-16","16.64"
"2013-01-15","16.78"
"2013-01-14","16.64"
"2013-01-11","16.67"
"2013-01-10","16.90"
"2013-01-09","16.71"
"2013-01-08","16.75"
"2013-01-07","16.79"
"2013-01-04","16.68"
"2013-01-03","16.35"
"2013-01-02","16.14"
"2012-12-31","15.67"
"2012-12-28","15.38"
"2012-12-27","15.57"
"2012-12-26","15.64"
"2012-12-24","15.80"
"2012-12-21","15.80"
"2012-12-20","15.86"
"2012-12-19","15.56"
"2012-12-18","15.67"
"2012-12-17","15.32"
"2012-12-14","15.26"
"2012-12-13","15.16"
"2012-12-12","15.23"
"2012-12-11","15.27"
"2012-12-10","15.14"
"2012-12-07","15.09"
"2012-12-06","14.98"
"2012-12-05","14.63"
"2012-12-04","14.63"
"2012-12-03","14.53"
"2012-11-30","14.69"
"2012-11-29","14.69"
"2012-11-28","14.40"
"2012-11-27","14.49"
"2012-11-26","14.56"
"2012-11-23","14.68"
"2012-11-21","14.44"
"2012-11-20","14.47"
"2012-11-19","14.17"
"2012-11-16","13.78"
"2012-11-15","13.87"
"2012-11-14","14.00"
"2012-11-13","14.38"
"2012-11-12","14.25"
"2012-11-09","14.24"
"2012-11-08","14.21"
"2012-11-07","14.35"
"2012-11-06","14.68"
"2012-11-05","14.44"
"2012-11-02","14.64"
"2012-11-01","14.59"
"2012-10-31","14.46"
"2012-10-26","14.79"
"2012-10-25","14.95"
"2012-10-24","15.07"
"2012-10-23","15.19"
"2012-10-22","15.47"
"2012-10-19","15.55"
"2012-10-18","15.68"
"2012-10-17","15.69"
"2012-10-16","15.70"
"2012-10-15","15.77"
"2012-10-12","15.69"
"2012-10-11","15.85"
"2012-10-10","15.67"
"2012-10-09","15.53"
"2012-10-08","15.62"
"2012-10-05","15.72"
"2012-10-04","15.75"
"2012-10-03","15.67"
"2012-10-02","15.62"
"2012-10-01","15.76"
"2012-09-28","16.05"
"2012-09-27","16.12"
"2012-09-26","16.04"
"2012-09-25","16.14"
"2012-09-24","16.60"
"2012-09-21","16.64"
"2012-09-20","16.58"
"2012-09-19","16.97"
"2012-09-18","17.16"
"2012-09-17","17.21"
"2012-09-14","17.25"
"2012-09-13","16.99"
"2012-09-12","16.58"
"2012-09-11","16.50"
"2012-09-10","16.47"
"2012-09-07","16.30"
"2012-09-06","15.84"
"2012-09-05","15.16"
"2012-09-04","15.26"
"2012-08-31","15.30"
"2012-08-30","15.14"
"2012-08-29","15.25"
"2012-08-28","15.30"
"2012-08-27","15.22"
"2012-08-24","15.35"
"2012-08-23","15.23"
"2012-08-22","15.36"
"2012-08-21","15.42"
"2012-08-20","15.51"
"2012-08-17","15.56"
"2012-08-16","15.63"
"2012-08-15","15.39"
"2012-08-14","15.18"
"2012-08-13","15.27"
"2012-08-10","15.28"
"2012-08-09","15.21"
"2012-08-08","15.14"
"2012-08-07","15.19"
"2012-08-06","15.19"
"2012-08-03","15.04"
"2012-08-02","14.52"
"2012-08-01","14.64"
"2012-07-31","14.68"
"2012-07-30","14.62"
"2012-07-27","14.76"
"2012-07-26","14.41"
"2012-07-25","14.06"
"2012-07-24","14.19"
"2012-07-23","14.63"
"2012-07-20","15.04"
"2012-07-19","15.20"
"2012-07-18","15.39"
"2012-07-17","15.50"
"2012-07-16","15.38"
"2012-07-13","15.23"
"2012-07-12","15.01"
"2012-07-11","15.50"
"2012-07-10","15.47"
"2012-07-09","15.84"
"2012-07-06","16.00"
"2012-07-05","16.15"
"2012-07-03","16.18"
"2012-07-02","15.91"
"2012-06-29","15.82"
"2012-06-28","15.22"
"2012-06-27","15.14"
"2012-06-26","15.11"
"2012-06-25","14.98"
"2012-06-22","15.42"
"2012-06-21","15.46"
"2012-06-20","15.84"
"2012-06-19","15.90"
"2012-06-18","15.74"
"2012-06-15","15.58"
"2012-06-14","15.25"
"2012-06-13","14.97"
"2012-06-12","15.40"
"2012-06-11","15.04"
"2012-06-08","15.34"
"2012-06-07","15.22"
"2012-06-06","15.38"
"2012-06-05","14.73"
"2012-06-04","14.31"
"2012-06-01","14.43"
"2012-05-31","15.26"
"2012-05-30","15.16"
"2012-05-29","15.53"
"2012-05-25","15.15"
"2012-05-24","15.09"
"2012-05-23","15.13"
"2012-05-22","15.06"
"2012-05-21","14.88"
"2012-05-18","14.11"
"2012-05-17","14.49"
"2012-05-16","15.30"
"2012-05-15","15.55"
"2012-05-14","15.67"
"2012-05-11","16.13"
"2012-05-10","16.06"
"2012-05-09","15.97"
"2012-05-08","16.08"
"2012-05-07","16.20"
"2012-05-04","16.27"
"2012-05-03","16.50"
"2012-05-02","16.85"
"2012-05-01","17.06"
"2012-04-30","16.64"
"2012-04-27","16.79"
"2012-04-26","16.65"
"2012-04-25","16.61"
"2012-04-24","16.78"
"2012-04-23","16.37"
"2012-04-20","16.78"
"2012-04-19","16.60"
"2012-04-18","16.28"
"2012-04-17","16.49"
"2012-04-16","16.38"
"2012-04-13","16.31"
"2012-04-12","16.40"
"2012-04-11","16.01"
"2012-04-10","15.57"
"2012-04-09","15.90"
"2012-04-05","16.20"
"2012-04-04","16.25"
"2012-04-03","16.69"
"2012-04-02","16.54"
"2012-03-30","16.42"
"2012-03-29","16.02"
"2012-03-28","16.17"
"2012-03-27","16.54"
"2012-03-26","16.67"
"2012-03-23","16.20"
"2012-03-22","16.10"
"2012-03-21","16.33"
"2012-03-20","16.45"
"2012-03-19","16.50"
"2012-03-16","15.99"
"2012-03-15","15.90"
"2012-03-14","15.88"
