"Date","Close"
"2013-12-31","103.22"
"2013-12-30","102.48"
"2013-12-27","103.05"
"2013-12-26","103.53"
"2013-12-24","103.26"
"2013-12-23","103.07"
"2013-12-20","101.89"
"2013-12-19","101.69"
"2013-12-18","100.73"
"2013-12-17","99.07"
"2013-12-16","100.11"
"2013-12-13","99.91"
"2013-12-12","100.47"
"2013-12-11","101.93"
"2013-12-10","103.63"
"2013-12-09","104.42"
"2013-12-06","104.00"
"2013-12-05","101.91"
"2013-12-04","103.76"
"2013-12-03","104.76"
"2013-12-02","105.25"
"2013-11-29","103.99"
"2013-11-27","103.78"
"2013-11-26","103.89"
"2013-11-25","103.48"
"2013-11-22","101.25"
"2013-11-21","99.72"
"2013-11-20","100.28"
"2013-11-19","98.64"
"2013-11-18","98.64"
"2013-11-15","98.27"
"2013-11-14","97.46"
"2013-11-13","96.57"
"2013-11-12","96.38"
"2013-11-11","96.15"
"2013-11-08","95.19"
"2013-11-07","95.48"
"2013-11-06","95.87"
"2013-11-05","93.95"
"2013-11-04","94.13"
"2013-11-01","93.01"
"2013-10-31","92.15"
"2013-10-30","91.21"
"2013-10-29","91.65"
"2013-10-28","91.60"
"2013-10-25","91.54"
"2013-10-24","91.33"
"2013-10-23","91.87"
"2013-10-22","92.82"
"2013-10-21","91.50"
"2013-10-18","91.23"
"2013-10-17","93.85"
"2013-10-16","96.63"
"2013-10-15","94.82"
"2013-10-14","95.67"
"2013-10-11","95.65"
"2013-10-10","95.76"
"2013-10-09","93.21"
"2013-10-08","93.00"
"2013-10-07","94.71"
"2013-10-04","96.54"
"2013-10-03","94.38"
"2013-10-02","94.87"
"2013-10-01","95.35"
"2013-09-30","93.33"
"2013-09-27","93.88"
"2013-09-26","93.78"
"2013-09-25","94.74"
"2013-09-24","96.00"
"2013-09-23","95.29"
"2013-09-20","95.53"
"2013-09-19","94.71"
"2013-09-18","96.95"
"2013-09-17","99.60"
"2013-09-16","99.56"
"2013-09-13","98.24"
"2013-09-12","97.73"
"2013-09-11","97.97"
"2013-09-10","97.09"
"2013-09-09","95.44"
"2013-09-06","95.64"
"2013-09-05","96.26"
"2013-09-04","94.70"
"2013-09-03","94.35"
"2013-08-30","92.08"
"2013-08-29","93.19"
"2013-08-28","92.82"
"2013-08-27","92.70"
"2013-08-26","93.85"
"2013-08-23","94.33"
"2013-08-22","93.48"
"2013-08-21","91.51"
"2013-08-20","91.69"
"2013-08-19","91.71"
"2013-08-16","91.53"
"2013-08-15","91.39"
"2013-08-14","92.68"
"2013-08-13","93.37"
"2013-08-12","93.30"
"2013-08-09","93.39"
"2013-08-08","93.79"
"2013-08-07","91.85"
"2013-08-06","91.78"
"2013-08-05","91.25"
"2013-08-02","89.89"
"2013-08-01","91.31"
"2013-07-31","91.26"
"2013-07-30","89.26"
"2013-07-29","90.64"
"2013-07-26","89.74"
"2013-07-25","90.36"
"2013-07-24","91.57"
"2013-07-23","90.59"
"2013-07-22","89.99"
"2013-07-19","89.08"
"2013-07-18","88.34"
"2013-07-17","85.43"
"2013-07-16","85.16"
"2013-07-15","85.10"
"2013-07-12","85.53"
"2013-07-11","86.20"
"2013-07-10","84.93"
"2013-07-09","85.18"
"2013-07-08","84.27"
"2013-07-05","83.68"
"2013-07-03","83.05"
"2013-07-02","82.93"
"2013-07-01","85.19"
"2013-06-28","84.38"
"2013-06-27","85.17"
"2013-06-26","84.16"
"2013-06-25","84.41"
"2013-06-24","84.60"
"2013-06-21","84.91"
"2013-06-20","83.63"
"2013-06-19","84.16"
"2013-06-18","83.60"
"2013-06-17","82.24"
"2013-06-14","80.93"
"2013-06-13","81.46"
"2013-06-12","80.91"
"2013-06-11","81.39"
"2013-06-10","81.77"
"2013-06-07","81.02"
"2013-06-06","79.98"
"2013-06-05","79.20"
"2013-06-04","80.18"
"2013-06-03","80.63"
"2013-05-31","80.78"
"2013-05-30","83.03"
"2013-05-29","81.22"
"2013-05-28","80.55"
"2013-05-24","78.93"
"2013-05-23","79.84"
"2013-05-22","79.17"
"2013-05-21","79.52"
"2013-05-20","79.62"
"2013-05-17","80.45"
"2013-05-16","79.35"
"2013-05-15","79.50"
"2013-05-14","79.49"
"2013-05-13","79.77"
"2013-05-10","80.09"
"2013-05-09","78.06"
"2013-05-08","78.73"
"2013-05-07","76.88"
"2013-05-06","75.49"
"2013-05-03","73.93"
"2013-05-02","75.31"
"2013-05-01","77.56"
"2013-04-30","74.11"
"2013-04-29","73.12"
"2013-04-26","73.49"
"2013-04-25","73.05"
"2013-04-24","72.10"
"2013-04-23","72.88"
"2013-04-22","72.32"
"2013-04-19","73.05"
"2013-04-18","72.21"
"2013-04-17","74.55"
"2013-04-16","76.25"
"2013-04-15","75.94"
"2013-04-12","77.56"
"2013-04-11","78.82"
"2013-04-10","78.83"
"2013-04-09","78.03"
"2013-04-08","77.67"
"2013-04-05","78.27"
"2013-04-04","79.60"
"2013-04-03","79.81"
"2013-04-02","79.11"
"2013-04-01","75.02"
"2013-03-28","69.11"
"2013-03-27","68.72"
"2013-03-26","66.70"
"2013-03-25","66.70"
"2013-03-22","67.10"
"2013-03-21","68.36"
"2013-03-20","69.45"
"2013-03-19","70.27"
"2013-03-18","70.36"
"2013-03-15","69.79"
"2013-03-14","69.23"
"2013-03-13","68.84"
"2013-03-12","68.54"
"2013-03-11","68.33"
"2013-03-08","68.03"
"2013-03-07","67.39"
"2013-03-06","67.00"
"2013-03-05","67.44"
"2013-03-04","66.85"
"2013-03-01","67.88"
"2013-02-28","68.26"
"2013-02-27","69.21"
"2013-02-26","68.96"
"2013-02-25","69.66"
"2013-02-22","70.61"
"2013-02-21","72.65"
"2013-02-20","72.60"
"2013-02-19","73.01"
"2013-02-15","77.99"
"2013-02-14","77.83"
"2013-02-13","78.09"
"2013-02-12","79.20"
"2013-02-11","80.18"
"2013-02-08","81.35"
"2013-02-07","81.52"
"2013-02-06","81.24"
"2013-02-05","80.63"
"2013-02-04","78.86"
"2013-02-01","75.35"
"2013-01-31","74.36"
"2013-01-30","74.37"
"2013-01-29","74.52"
"2013-01-28","74.76"
"2013-01-25","74.93"
"2013-01-24","73.86"
"2013-01-23","72.58"
"2013-01-22","71.93"
"2013-01-18","71.40"
"2013-01-17","71.51"
"2013-01-16","70.76"
"2013-01-15","71.58"
"2013-01-14","70.24"
"2013-01-11","69.56"
"2013-01-10","69.24"
"2013-01-09","66.91"
"2013-01-08","66.01"
"2013-01-07","67.28"
"2013-01-04","67.47"
"2013-01-03","66.25"
"2013-01-02","68.44"
"2012-12-31","68.63"
"2012-12-28","67.51"
"2012-12-27","68.00"
"2012-12-26","68.40"
"2012-12-24","68.12"
"2012-12-21","68.39"
"2012-12-20","68.23"
"2012-12-19","67.81"
"2012-12-18","68.33"
"2012-12-17","66.80"
"2012-12-14","66.11"
"2012-12-13","66.87"
"2012-12-12","67.60"
"2012-12-11","67.81"
"2012-12-10","67.00"
"2012-12-07","66.65"
"2012-12-06","65.19"
"2012-12-05","65.06"
"2012-12-04","65.14"
"2012-12-03","65.06"
"2012-11-30","65.41"
"2012-11-29","65.73"
"2012-11-28","65.14"
"2012-11-27","64.39"
"2012-11-26","66.12"
"2012-11-23","66.69"
"2012-11-21","66.56"
"2012-11-20","66.66"
"2012-11-19","66.95"
"2012-11-16","65.50"
"2012-11-15","66.11"
"2012-11-14","66.62"
"2012-11-13","68.29"
"2012-11-12","69.16"
"2012-11-09","68.77"
"2012-11-08","69.13"
"2012-11-07","70.16"
"2012-11-06","76.16"
"2012-11-05","75.52"
"2012-11-02","75.21"
"2012-11-01","75.94"
"2012-10-31","74.27"
"2012-10-26","74.47"
"2012-10-25","75.55"
"2012-10-24","75.35"
"2012-10-23","74.70"
"2012-10-22","76.20"
"2012-10-19","74.98"
"2012-10-18","75.72"
"2012-10-17","74.81"
"2012-10-16","75.11"
"2012-10-15","74.73"
"2012-10-12","74.82"
"2012-10-11","75.33"
"2012-10-10","74.55"
"2012-10-09","74.79"
"2012-10-08","74.22"
"2012-10-05","74.05"
"2012-10-04","74.85"
"2012-10-03","74.08"
"2012-10-02","72.71"
"2012-10-01","71.32"
"2012-09-28","70.15"
"2012-09-27","70.40"
"2012-09-26","69.67"
"2012-09-25","70.77"
"2012-09-24","70.30"
"2012-09-21","70.28"
"2012-09-20","69.92"
"2012-09-19","69.81"
"2012-09-18","69.83"
"2012-09-17","70.63"
"2012-09-14","71.12"
"2012-09-13","69.41"
"2012-09-12","68.84"
"2012-09-11","70.10"
"2012-09-10","70.10"
"2012-09-07","72.23"
"2012-09-06","71.67"
"2012-09-05","70.42"
"2012-09-04","69.72"
"2012-08-31","70.08"
"2012-08-30","68.94"
"2012-08-29","70.73"
"2012-08-28","69.91"
"2012-08-27","70.02"
"2012-08-24","69.95"
"2012-08-23","69.23"
"2012-08-22","68.89"
"2012-08-21","68.24"
"2012-08-20","68.24"
"2012-08-17","67.80"
