"Date","Close"
"2013-12-31","85.98"
"2013-12-30","85.99"
"2013-12-27","85.94"
"2013-12-26","86.12"
"2013-12-24","86.07"
"2013-12-23","85.75"
"2013-12-20","85.64"
"2013-12-19","85.10"
"2013-12-18","85.54"
"2013-12-17","84.05"
"2013-12-16","84.19"
"2013-12-13","84.70"
"2013-12-12","84.94"
"2013-12-11","85.07"
"2013-12-10","85.96"
"2013-12-09","86.29"
"2013-12-06","86.31"
"2013-12-05","84.75"
"2013-12-04","85.25"
"2013-12-03","86.60"
"2013-12-02","87.87"
"2013-11-29","88.35"
"2013-11-27","88.42"
"2013-11-26","88.25"
"2013-11-25","88.05"
"2013-11-22","88.42"
"2013-11-21","88.33"
"2013-11-20","88.21"
"2013-11-19","88.60"
"2013-11-18","88.56"
"2013-11-15","88.58"
"2013-11-14","89.89"
"2013-11-13","88.82"
"2013-11-12","87.51"
"2013-11-11","87.24"
"2013-11-08","86.94"
"2013-11-07","85.13"
"2013-11-06","86.70"
"2013-11-05","84.22"
"2013-11-04","83.52"
"2013-11-01","82.87"
"2013-10-31","82.65"
"2013-10-30","83.03"
"2013-10-29","83.50"
"2013-10-28","82.72"
"2013-10-25","81.82"
"2013-10-24","82.51"
"2013-10-23","82.29"
"2013-10-22","82.53"
"2013-10-21","82.21"
"2013-10-18","82.34"
"2013-10-17","82.82"
"2013-10-16","81.11"
"2013-10-15","80.22"
"2013-10-14","81.32"
"2013-10-11","81.08"
"2013-10-10","81.15"
"2013-10-09","80.16"
"2013-10-08","79.97"
"2013-10-07","81.41"
"2013-10-04","82.97"
"2013-10-03","81.77"
"2013-10-02","82.12"
"2013-10-01","82.62"
"2013-09-30","82.30"
"2013-09-27","81.60"
"2013-09-26","81.95"
"2013-09-25","82.08"
"2013-09-24","82.64"
"2013-09-23","82.51"
"2013-09-20","83.13"
"2013-09-19","83.91"
"2013-09-18","84.19"
"2013-09-17","82.65"
"2013-09-16","82.91"
"2013-09-13","81.99"
"2013-09-12","80.87"
"2013-09-11","80.77"
"2013-09-10","80.28"
"2013-09-09","79.74"
"2013-09-06","78.81"
"2013-09-05","79.80"
"2013-09-04","80.34"
"2013-09-03","79.39"
"2013-08-30","79.01"
"2013-08-29","79.47"
"2013-08-28","79.62"
"2013-08-27","79.90"
"2013-08-26","81.56"
"2013-08-23","81.52"
"2013-08-22","81.74"
"2013-08-21","81.15"
"2013-08-20","82.10"
"2013-08-19","81.39"
"2013-08-16","82.20"
"2013-08-15","82.26"
"2013-08-14","83.04"
"2013-08-13","83.60"
"2013-08-12","83.58"
"2013-08-09","83.56"
"2013-08-08","84.12"
"2013-08-07","83.22"
"2013-08-06","83.23"
"2013-08-05","82.77"
"2013-08-02","81.68"
"2013-08-01","81.92"
"2013-07-31","80.68"
"2013-07-30","80.29"
"2013-07-29","79.93"
"2013-07-26","79.34"
"2013-07-25","79.70"
"2013-07-24","78.75"
"2013-07-23","78.97"
"2013-07-22","79.96"
"2013-07-19","79.90"
"2013-07-18","79.52"
"2013-07-17","79.30"
"2013-07-16","79.57"
"2013-07-15","79.95"
"2013-07-12","80.16"
"2013-07-11","80.40"
"2013-07-10","79.99"
"2013-07-09","79.58"
"2013-07-08","79.18"
"2013-07-05","78.87"
"2013-07-03","77.32"
"2013-07-02","77.72"
"2013-07-01","77.91"
"2013-06-28","75.16"
"2013-06-27","75.90"
"2013-06-26","75.76"
"2013-06-25","75.53"
"2013-06-24","74.93"
"2013-06-21","76.60"
"2013-06-20","76.47"
"2013-06-19","78.94"
"2013-06-18","79.95"
"2013-06-17","79.51"
"2013-06-14","78.47"
"2013-06-13","79.08"
"2013-06-12","78.22"
"2013-06-11","78.93"
"2013-06-10","79.74"
"2013-06-07","79.68"
"2013-06-06","78.65"
"2013-06-05","78.39"
"2013-06-04","80.22"
"2013-06-03","80.29"
"2013-05-31","80.29"
"2013-05-30","81.43"
"2013-05-29","81.61"
"2013-05-28","82.37"
"2013-05-24","81.98"
"2013-05-23","81.73"
"2013-05-22","81.44"
"2013-05-21","82.32"
"2013-05-20","82.13"
"2013-05-17","82.42"
"2013-05-16","81.19"
"2013-05-15","81.87"
"2013-05-14","81.44"
"2013-05-13","80.07"
"2013-05-10","80.17"
"2013-05-09","79.64"
"2013-05-08","79.72"
"2013-05-07","79.46"
"2013-05-06","78.19"
"2013-05-03","77.94"
"2013-05-02","76.81"
"2013-05-01","76.21"
"2013-04-30","77.19"
"2013-04-29","76.49"
"2013-04-26","75.89"
"2013-04-25","76.86"
"2013-04-24","76.83"
"2013-04-23","77.09"
"2013-04-22","76.10"
"2013-04-19","75.06"
"2013-04-18","73.85"
"2013-04-17","74.45"
"2013-04-16","75.15"
"2013-04-15","73.52"
"2013-04-12","75.48"
"2013-04-11","76.06"
"2013-04-10","75.29"
"2013-04-09","73.89"
"2013-04-08","73.95"
"2013-04-05","73.77"
"2013-04-04","74.61"
"2013-04-03","74.16"
"2013-04-02","75.30"
"2013-04-01","75.48"
"2013-03-28","76.67"
"2013-03-27","75.40"
"2013-03-26","75.74"
"2013-03-25","75.27"
"2013-03-22","75.44"
"2013-03-21","75.84"
"2013-03-20","76.86"
"2013-03-19","75.45"
"2013-03-18","75.65"
"2013-03-15","76.14"
"2013-03-14","75.85"
"2013-03-13","75.41"
"2013-03-12","74.79"
"2013-03-11","75.11"
"2013-03-08","73.99"
"2013-03-07","73.67"
"2013-03-06","73.79"
"2013-03-05","73.42"
"2013-03-04","73.34"
"2013-03-01","73.30"
"2013-02-28","72.98"
"2013-02-27","72.80"
"2013-02-26","71.63"
"2013-02-25","70.73"
"2013-02-22","72.46"
"2013-02-21","71.91"
"2013-02-20","72.44"
"2013-02-19","73.85"
"2013-02-15","73.88"
"2013-02-14","73.80"
"2013-02-13","74.17"
"2013-02-12","73.44"
"2013-02-11","73.33"
"2013-02-08","73.60"
"2013-02-07","72.66"
"2013-02-06","71.19"
"2013-02-05","71.17"
"2013-02-04","70.73"
"2013-02-01","71.32"
"2013-01-31","70.43"
"2013-01-30","70.84"
"2013-01-29","71.17"
"2013-01-28","70.51"
"2013-01-25","71.13"
"2013-01-24","70.77"
"2013-01-23","70.29"
"2013-01-22","70.81"
"2013-01-18","70.56"
"2013-01-17","70.08"
"2013-01-16","69.46"
"2013-01-15","69.44"
"2013-01-14","69.04"
"2013-01-11","68.63"
"2013-01-10","69.05"
"2013-01-09","68.64"
"2013-01-08","68.19"
"2013-01-07","68.14"
"2013-01-04","68.23"
"2013-01-03","68.10"
"2013-01-02","68.35"
"2012-12-31","66.54"
"2012-12-28","65.96"
"2012-12-27","67.06"
"2012-12-26","67.34"
"2012-12-24","67.30"
"2012-12-21","66.95"
"2012-12-20","67.41"
"2012-12-19","66.83"
"2012-12-18","67.06"
"2012-12-17","66.38"
"2012-12-14","65.69"
"2012-12-13","65.43"
"2012-12-12","65.46"
"2012-12-11","65.17"
"2012-12-10","65.38"
"2012-12-07","64.74"
"2012-12-06","64.69"
"2012-12-05","64.43"
"2012-12-04","64.63"
"2012-12-03","64.52"
"2012-11-30","65.03"
"2012-11-29","64.95"
"2012-11-28","64.57"
"2012-11-27","64.17"
"2012-11-26","64.20"
"2012-11-23","64.33"
"2012-11-21","63.71"
"2012-11-20","63.33"
"2012-11-19","63.27"
"2012-11-16","61.57"
"2012-11-15","61.76"
"2012-11-14","61.63"
"2012-11-13","62.16"
"2012-11-12","62.62"
"2012-11-09","62.59"
"2012-11-08","62.54"
"2012-11-07","63.34"
"2012-11-06","64.33"
"2012-11-05","65.32"
"2012-11-02","64.47"
"2012-11-01","65.27"
"2012-10-31","64.62"
"2012-10-26","63.94"
"2012-10-25","63.88"
"2012-10-24","63.29"
"2012-10-23","63.62"
"2012-10-22","64.29"
"2012-10-19","61.69"
"2012-10-18","62.76"
"2012-10-17","62.90"
"2012-10-16","62.23"
"2012-10-15","61.10"
"2012-10-12","60.54"
"2012-10-11","60.74"
"2012-10-10","60.45"
"2012-10-09","60.51"
"2012-10-08","60.75"
"2012-10-05","60.95"
"2012-10-04","60.60"
"2012-10-03","60.34"
"2012-10-02","60.43"
"2012-10-01","60.56"
"2012-09-28","59.58"
"2012-09-27","60.00"
"2012-09-26","59.57"
"2012-09-25","59.86"
"2012-09-24","60.14"
"2012-09-21","60.47"
"2012-09-20","60.60"
"2012-09-19","60.48"
"2012-09-18","60.16"
"2012-09-17","60.10"
"2012-09-14","60.25"
"2012-09-13","60.86"
"2012-09-12","60.34"
"2012-09-11","60.97"
"2012-09-10","61.13"
"2012-09-07","61.29"
"2012-09-06","61.12"
"2012-09-05","60.13"
"2012-09-04","60.02"
"2012-08-31","60.52"
"2012-08-30","60.28"
"2012-08-29","60.80"
"2012-08-28","60.83"
"2012-08-27","60.93"
"2012-08-24","61.04"
"2012-08-23","60.99"
"2012-08-22","61.57"
"2012-08-21","61.65"
"2012-08-20","62.11"
"2012-08-17","61.90"
"2012-08-16","62.26"
"2012-08-15","61.43"
"2012-08-14","61.11"
"2012-08-13","61.34"
"2012-08-10","61.43"
"2012-08-09","61.06"
"2012-08-08","62.01"
"2012-08-07","56.52"
"2012-08-06","55.83"
"2012-08-03","55.48"
"2012-08-02","55.08"
"2012-08-01","55.54"
"2012-07-31","55.74"
"2012-07-30","55.87"
"2012-07-27","55.43"
"2012-07-26","54.08"
"2012-07-25","53.86"
"2012-07-24","53.33"
"2012-07-23","53.95"
"2012-07-20","55.07"
"2012-07-19","55.41"
"2012-07-18","54.87"
"2012-07-17","54.79"
"2012-07-16","54.17"
"2012-07-13","54.58"
"2012-07-12","53.83"
"2012-07-11","54.02"
"2012-07-10","53.90"
"2012-07-09","54.39"
"2012-07-06","54.06"
"2012-07-05","55.00"
"2012-07-03","54.95"
"2012-07-02","54.34"
"2012-06-29","54.80"
"2012-06-28","54.56"
"2012-06-27","54.30"
"2012-06-26","54.31"
"2012-06-25","54.39"
"2012-06-22","55.65"
"2012-06-21","55.78"
"2012-06-20","56.99"
"2012-06-19","57.61"
"2012-06-18","56.66"
"2012-06-15","56.44"
"2012-06-14","55.78"
"2012-06-13","55.34"
"2012-06-12","56.41"
"2012-06-11","55.88"
"2012-06-08","56.49"
"2012-06-07","56.08"
"2012-06-06","55.82"
"2012-06-05","54.51"
"2012-06-04","54.31"
"2012-06-01","54.35"
"2012-05-31","56.38"
"2012-05-30","56.57"
"2012-05-29","57.78"
"2012-05-25","57.03"
"2012-05-24","57.34"
"2012-05-23","56.93"
"2012-05-22","57.09"
"2012-05-21","57.20"
"2012-05-18","55.40"
"2012-05-17","55.58"
"2012-05-16","57.09"
"2012-05-15","57.40"
"2012-05-14","57.59"
"2012-05-11","57.98"
"2012-05-10","58.32"
"2012-05-09","58.42"
"2012-05-08","58.67"
"2012-05-07","59.48"
"2012-05-04","58.88"
"2012-05-03","59.98"
"2012-05-02","60.36"
"2012-05-01","60.39"
"2012-04-30","60.21"
"2012-04-27","60.54"
"2012-04-26","60.13"
"2012-04-25","59.55"
"2012-04-24","59.13"
"2012-04-23","58.99"
"2012-04-20","59.44"
"2012-04-19","59.23"
"2012-04-18","59.14"
"2012-04-17","58.92"
"2012-04-16","58.32"
"2012-04-13","58.01"
"2012-04-12","58.53"
"2012-04-11","57.51"
"2012-04-10","56.79"
"2012-04-09","57.99"
"2012-04-05","58.59"
"2012-04-04","58.66"
"2012-04-03","59.27"
"2012-04-02","59.61"
"2012-03-30","58.60"
"2012-03-29","58.13"
"2012-03-28","58.47"
"2012-03-27","58.62"
"2012-03-26","57.90"
"2012-03-23","57.10"
"2012-03-22","56.64"
"2012-03-21","57.10"
"2012-03-20","56.95"
"2012-03-19","57.13"
"2012-03-16","57.24"
"2012-03-15","57.22"
"2012-03-14","56.57"
"2012-03-13","56.43"
"2012-03-12","56.04"
