"Date","Close"
"2013-12-31","18.16"
"2013-12-30","17.90"
"2013-12-27","17.66"
"2013-12-26","17.67"
"2013-12-24","17.81"
"2013-12-23","17.69"
"2013-12-20","17.44"
"2013-12-19","17.25"
"2013-12-18","17.37"
"2013-12-17","17.01"
"2013-12-16","17.14"
"2013-12-13","17.42"
"2013-12-12","17.26"
"2013-12-11","17.60"
"2013-12-10","17.76"
"2013-12-09","18.11"
"2013-12-06","17.87"
"2013-12-05","17.71"
"2013-12-04","17.78"
"2013-12-03","17.28"
"2013-12-02","17.33"
"2013-11-29","17.49"
"2013-11-27","17.39"
"2013-11-26","17.10"
"2013-11-25","17.16"
"2013-11-22","16.96"
"2013-11-21","17.22"
"2013-11-20","16.43"
"2013-11-19","16.69"
"2013-11-18","16.84"
"2013-11-15","17.84"
"2013-11-14","17.78"
"2013-11-13","17.96"
"2013-11-12","17.95"
"2013-11-11","17.91"
"2013-11-08","17.47"
"2013-11-07","17.18"
"2013-11-06","19.61"
"2013-11-05","18.78"
"2013-11-04","19.53"
"2013-11-01","18.65"
"2013-10-31","18.80"
"2013-10-30","19.38"
"2013-10-29","19.81"
"2013-10-28","19.38"
"2013-10-25","18.68"
"2013-10-24","18.29"
"2013-10-23","18.07"
"2013-10-22","18.49"
"2013-10-21","18.54"
"2013-10-18","18.62"
"2013-10-17","18.82"
"2013-10-16","18.71"
"2013-10-15","18.46"
"2013-10-14","18.43"
"2013-10-11","18.55"
"2013-10-10","18.59"
"2013-10-09","18.32"
"2013-10-08","18.18"
"2013-10-07","18.62"
"2013-10-04","19.02"
"2013-10-03","19.01"
"2013-10-02","19.15"
"2013-10-01","19.30"
"2013-09-30","18.93"
"2013-09-27","19.23"
"2013-09-26","20.67"
"2013-09-25","20.91"
"2013-09-24","20.87"
"2013-09-23","20.81"
"2013-09-20","21.01"
"2013-09-19","21.11"
"2013-09-18","20.87"
"2013-09-17","20.86"
"2013-09-16","20.96"
"2013-09-13","20.32"
"2013-09-12","19.97"
"2013-09-11","19.99"
"2013-09-10","20.03"
"2013-09-09","19.54"
"2013-09-06","19.36"
"2013-09-05","19.31"
"2013-09-04","19.07"
"2013-09-03","19.01"
"2013-08-30","18.89"
"2013-08-29","19.02"
"2013-08-28","18.75"
"2013-08-27","18.97"
"2013-08-26","19.60"
"2013-08-23","19.34"
"2013-08-22","19.38"
"2013-08-21","19.06"
"2013-08-20","19.24"
"2013-08-19","18.75"
"2013-08-16","18.67"
"2013-08-15","18.81"
