"Date","Close"
"2013-12-31","25.96"
"2013-12-30","25.85"
"2013-12-27","25.60"
"2013-12-26","25.70"
"2013-12-24","25.43"
"2013-12-23","25.32"
"2013-12-20","25.06"
"2013-12-19","25.14"
"2013-12-18","25.15"
"2013-12-17","24.66"
"2013-12-16","24.45"
"2013-12-13","24.29"
"2013-12-12","24.47"
"2013-12-11","24.42"
"2013-12-10","24.82"
"2013-12-09","24.93"
"2013-12-06","24.82"
"2013-12-05","24.26"
"2013-12-04","23.74"
"2013-12-03","23.55"
"2013-12-02","23.70"
"2013-11-29","23.84"
"2013-11-27","23.90"
"2013-11-26","23.65"
"2013-11-25","23.75"
"2013-11-22","23.87"
"2013-11-21","25.23"
"2013-11-20","24.56"
"2013-11-19","24.70"
"2013-11-18","24.60"
"2013-11-15","24.52"
"2013-11-14","24.39"
"2013-11-13","24.60"
"2013-11-12","24.43"
"2013-11-11","24.17"
"2013-11-08","24.09"
"2013-11-07","24.06"
"2013-11-06","24.25"
"2013-11-05","24.03"
"2013-11-04","24.26"
"2013-11-01","24.33"
"2013-10-31","24.47"
"2013-10-30","24.50"
"2013-10-29","24.52"
"2013-10-28","24.36"
"2013-10-25","24.24"
"2013-10-24","23.78"
"2013-10-23","23.74"
"2013-10-22","24.07"
"2013-10-21","24.14"
"2013-10-18","23.88"
"2013-10-17","23.92"
"2013-10-16","23.70"
"2013-10-15","23.39"
"2013-10-14","23.45"
"2013-10-11","23.26"
"2013-10-10","23.10"
"2013-10-09","22.59"
"2013-10-08","22.48"
"2013-10-07","22.83"
"2013-10-04","22.81"
"2013-10-03","22.60"
"2013-10-02","22.89"
"2013-10-01","22.83"
"2013-09-30","22.92"
"2013-09-27","22.98"
"2013-09-26","23.41"
"2013-09-25","23.70"
"2013-09-24","23.70"
"2013-09-23","23.62"
"2013-09-20","23.77"
"2013-09-19","23.91"
"2013-09-18","23.90"
"2013-09-17","23.74"
"2013-09-16","23.39"
"2013-09-13","23.44"
"2013-09-12","22.63"
"2013-09-11","22.81"
"2013-09-10","22.98"
"2013-09-09","22.91"
"2013-09-06","22.67"
"2013-09-05","22.60"
"2013-09-04","22.64"
"2013-09-03","22.07"
"2013-08-30","21.98"
"2013-08-29","22.06"
"2013-08-28","22.29"
"2013-08-27","22.19"
"2013-08-26","22.27"
"2013-08-23","22.44"
"2013-08-22","22.26"
"2013-08-21","22.17"
"2013-08-20","22.52"
"2013-08-19","22.28"
"2013-08-16","21.91"
"2013-08-15","22.03"
"2013-08-14","22.57"
"2013-08-13","22.52"
"2013-08-12","22.64"
"2013-08-09","22.51"
"2013-08-08","22.45"
"2013-08-07","22.70"
"2013-08-06","22.80"
"2013-08-05","22.92"
"2013-08-02","23.22"
"2013-08-01","23.20"
"2013-07-31","23.34"
"2013-07-30","23.38"
"2013-07-29","23.24"
"2013-07-26","23.26"
"2013-07-25","23.06"
"2013-07-24","22.93"
"2013-07-23","22.75"
"2013-07-22","22.77"
"2013-07-19","23.04"
"2013-07-18","23.24"
"2013-07-17","24.15"
"2013-07-16","24.25"
"2013-07-15","23.94"
"2013-07-12","23.90"
"2013-07-11","23.99"
"2013-07-10","23.25"
"2013-07-09","23.14"
"2013-07-08","23.19"
"2013-07-05","24.06"
"2013-07-03","23.76"
"2013-07-02","23.72"
"2013-07-01","23.89"
"2013-06-28","24.23"
"2013-06-27","24.05"
"2013-06-26","24.01"
"2013-06-25","23.88"
"2013-06-24","23.58"
"2013-06-21","24.20"
"2013-06-20","24.19"
"2013-06-19","25.00"
"2013-06-18","25.47"
"2013-06-17","25.10"
"2013-06-14","24.92"
"2013-06-13","24.99"
"2013-06-12","24.46"
"2013-06-11","24.71"
"2013-06-10","25.01"
"2013-06-07","24.59"
"2013-06-06","24.65"
"2013-06-05","24.70"
"2013-06-04","25.36"
"2013-06-03","25.24"
"2013-05-31","24.28"
"2013-05-30","24.21"
"2013-05-29","24.27"
"2013-05-28","24.08"
"2013-05-24","23.92"
"2013-05-23","24.05"
"2013-05-22","24.07"
"2013-05-21","24.15"
"2013-05-20","24.08"
"2013-05-17","24.04"
"2013-05-16","23.94"
"2013-05-15","24.20"
"2013-05-14","23.84"
"2013-05-13","24.08"
"2013-05-10","24.50"
"2013-05-09","24.36"
"2013-05-08","24.25"
"2013-05-07","24.15"
"2013-05-06","23.91"
"2013-05-03","23.96"
"2013-05-02","24.11"
"2013-05-01","23.99"
"2013-04-30","23.95"
"2013-04-29","23.76"
"2013-04-26","23.40"
"2013-04-25","23.38"
"2013-04-24","23.66"
"2013-04-23","23.38"
"2013-04-22","22.88"
"2013-04-19","22.44"
"2013-04-18","22.24"
"2013-04-17","21.93"
"2013-04-16","21.92"
"2013-04-15","21.38"
"2013-04-12","21.68"
"2013-04-11","21.83"
"2013-04-10","22.26"
"2013-04-09","21.75"
"2013-04-08","21.09"
"2013-04-05","20.94"
"2013-04-04","21.14"
"2013-04-03","21.05"
"2013-04-02","21.46"
"2013-04-01","21.43"
"2013-03-28","21.84"
"2013-03-27","21.83"
"2013-03-26","21.77"
"2013-03-25","21.15"
"2013-03-22","21.33"
"2013-03-21","21.04"
"2013-03-20","21.18"
"2013-03-19","21.14"
"2013-03-18","21.26"
"2013-03-15","21.38"
"2013-03-14","21.65"
"2013-03-13","21.66"
"2013-03-12","21.64"
"2013-03-11","21.69"
"2013-03-08","21.58"
"2013-03-07","21.89"
"2013-03-06","21.75"
"2013-03-05","21.51"
"2013-03-04","21.27"
"2013-03-01","21.03"
"2013-02-28","20.88"
"2013-02-27","20.93"
"2013-02-26","20.58"
"2013-02-25","20.23"
"2013-02-22","20.42"
"2013-02-21","20.25"
"2013-02-20","20.73"
"2013-02-19","21.09"
"2013-02-15","21.12"
"2013-02-14","21.23"
"2013-02-13","21.25"
"2013-02-12","21.19"
"2013-02-11","21.03"
"2013-02-08","21.00"
"2013-02-07","20.81"
"2013-02-06","20.99"
"2013-02-05","21.18"
"2013-02-04","21.16"
"2013-02-01","21.36"
"2013-01-31","21.04"
"2013-01-30","21.37"
"2013-01-29","21.28"
"2013-01-28","21.05"
"2013-01-25","20.96"
"2013-01-24","20.95"
"2013-01-23","21.11"
"2013-01-22","21.17"
"2013-01-18","21.25"
"2013-01-17","22.68"
"2013-01-16","22.11"
"2013-01-15","21.88"
"2013-01-14","22.00"
"2013-01-11","22.00"
"2013-01-10","21.80"
"2013-01-09","21.45"
"2013-01-08","21.09"
"2013-01-07","21.25"
"2013-01-04","21.16"
"2013-01-03","21.32"
"2013-01-02","21.38"
"2012-12-31","20.62"
"2012-12-28","20.23"
"2012-12-27","20.51"
"2012-12-26","20.65"
"2012-12-24","20.64"
"2012-12-21","20.77"
"2012-12-20","21.03"
"2012-12-19","21.10"
"2012-12-18","20.96"
"2012-12-17","20.57"
"2012-12-14","20.53"
"2012-12-13","20.49"
"2012-12-12","20.67"
"2012-12-11","20.65"
"2012-12-10","20.08"
"2012-12-07","20.16"
"2012-12-06","20.16"
"2012-12-05","19.85"
"2012-12-04","19.97"
"2012-12-03","19.54"
"2012-11-30","19.57"
"2012-11-29","19.53"
"2012-11-28","20.09"
"2012-11-27","19.93"
"2012-11-26","19.89"
"2012-11-23","19.72"
"2012-11-21","19.36"
"2012-11-20","19.51"
"2012-11-19","20.25"
"2012-11-16","20.19"
"2012-11-15","20.03"
"2012-11-14","19.96"
"2012-11-13","20.28"
"2012-11-12","20.77"
"2012-11-09","20.80"
"2012-11-08","20.83"
"2012-11-07","20.91"
"2012-11-06","21.73"
"2012-11-05","21.84"
"2012-11-02","22.06"
"2012-11-01","22.26"
"2012-10-31","21.63"
"2012-10-26","21.95"
"2012-10-25","21.69"
"2012-10-24","21.46"
"2012-10-23","21.59"
"2012-10-22","21.46"
"2012-10-19","21.27"
"2012-10-18","21.67"
"2012-10-17","21.79"
"2012-10-16","22.35"
"2012-10-15","21.73"
"2012-10-12","21.48"
"2012-10-11","21.68"
"2012-10-10","21.76"
"2012-10-09","21.90"
"2012-10-08","22.51"
"2012-10-05","22.68"
"2012-10-04","22.47"
"2012-10-03","22.55"
"2012-10-02","22.84"
"2012-10-01","22.76"
"2012-09-28","22.66"
"2012-09-27","23.09"
"2012-09-26","22.65"
"2012-09-25","22.54"
"2012-09-24","22.80"
"2012-09-21","23.13"
"2012-09-20","23.18"
"2012-09-19","23.15"
"2012-09-18","23.37"
"2012-09-17","23.31"
"2012-09-14","23.37"
"2012-09-13","23.36"
"2012-09-12","23.19"
"2012-09-11","23.34"
"2012-09-10","23.26"
"2012-09-07","24.19"
"2012-09-06","25.10"
"2012-09-05","24.39"
"2012-09-04","24.42"
"2012-08-31","24.83"
"2012-08-30","24.27"
"2012-08-29","24.67"
"2012-08-28","25.00"
"2012-08-27","24.84"
"2012-08-24","24.91"
"2012-08-23","25.04"
"2012-08-22","25.73"
"2012-08-21","26.11"
"2012-08-20","26.23"
"2012-08-17","26.33"
"2012-08-16","26.59"
"2012-08-15","26.27"
"2012-08-14","26.48"
"2012-08-13","26.69"
"2012-08-10","26.88"
"2012-08-09","26.70"
"2012-08-08","26.60"
"2012-08-07","26.50"
"2012-08-06","26.31"
"2012-08-03","26.23"
"2012-08-02","25.91"
"2012-08-01","25.93"
"2012-07-31","25.70"
