"Date","Close"
"2013-12-31","49.03"
"2013-12-30","49.00"
"2013-12-27","49.04"
"2013-12-26","49.24"
"2013-12-24","49.12"
"2013-12-23","48.88"
"2013-12-20","48.35"
"2013-12-19","48.85"
"2013-12-18","49.49"
"2013-12-17","48.36"
"2013-12-16","48.38"
"2013-12-13","47.83"
"2013-12-12","46.18"
"2013-12-11","46.23"
"2013-12-10","46.87"
"2013-12-09","46.82"
"2013-12-06","46.44"
"2013-12-05","46.07"
"2013-12-04","46.01"
"2013-12-03","46.27"
"2013-12-02","46.79"
"2013-11-29","46.65"
"2013-11-27","46.73"
"2013-11-26","46.92"
"2013-11-25","46.90"
"2013-11-22","46.89"
"2013-11-21","46.71"
"2013-11-20","45.22"
"2013-11-19","45.20"
"2013-11-18","45.28"
"2013-11-15","45.53"
"2013-11-14","45.10"
"2013-11-13","44.55"
"2013-11-12","44.43"
"2013-11-11","44.51"
"2013-11-08","43.96"
"2013-11-07","43.10"
"2013-11-06","43.43"
"2013-11-05","43.57"
"2013-11-04","45.34"
"2013-11-01","44.96"
"2013-10-31","44.61"
"2013-10-30","44.46"
"2013-10-29","44.50"
"2013-10-28","45.06"
"2013-10-25","45.57"
"2013-10-24","44.98"
"2013-10-23","44.39"
"2013-10-22","44.54"
"2013-10-21","44.46"
"2013-10-18","45.47"
"2013-10-17","45.28"
"2013-10-16","44.97"
"2013-10-15","44.58"
"2013-10-14","45.34"
"2013-10-11","44.89"
"2013-10-10","44.28"
"2013-10-09","43.17"
"2013-10-08","43.16"
"2013-10-07","43.69"
"2013-10-04","43.70"
"2013-10-03","43.86"
"2013-10-02","44.60"
"2013-10-01","45.28"
"2013-09-30","44.80"
"2013-09-27","45.44"
"2013-09-26","47.29"
"2013-09-25","46.70"
"2013-09-24","47.04"
"2013-09-23","47.09"
"2013-09-20","47.79"
"2013-09-19","47.82"
"2013-09-18","48.10"
"2013-09-17","48.11"
"2013-09-16","49.41"
"2013-09-13","48.67"
"2013-09-12","48.13"
"2013-09-11","49.36"
"2013-09-10","49.27"
"2013-09-09","49.15"
"2013-09-06","47.86"
"2013-09-05","47.65"
"2013-09-04","47.80"
"2013-09-03","47.47"
"2013-08-30","47.21"
"2013-08-29","47.70"
"2013-08-28","47.00"
"2013-08-27","46.50"
"2013-08-26","47.20"
"2013-08-23","46.86"
"2013-08-22","46.49"
"2013-08-21","46.54"
"2013-08-20","47.20"
"2013-08-19","46.99"
"2013-08-16","47.97"
"2013-08-15","47.34"
"2013-08-14","48.90"
"2013-08-13","48.12"
"2013-08-12","48.22"
"2013-08-09","48.02"
"2013-08-08","47.98"
"2013-08-07","47.97"
"2013-08-06","48.25"
"2013-08-05","48.64"
"2013-08-02","49.40"
"2013-08-01","49.49"
"2013-07-31","48.31"
"2013-07-30","48.77"
"2013-07-29","48.79"
"2013-07-26","49.11"
"2013-07-25","50.19"
"2013-07-24","47.21"
"2013-07-23","46.88"
"2013-07-22","47.40"
"2013-07-19","47.72"
"2013-07-18","47.87"
"2013-07-17","47.76"
"2013-07-16","48.39"
"2013-07-15","48.11"
"2013-07-12","48.13"
"2013-07-11","47.56"
"2013-07-10","46.44"
"2013-07-09","46.89"
"2013-07-08","46.57"
"2013-07-05","46.32"
"2013-07-03","45.77"
"2013-07-02","45.75"
"2013-07-01","45.13"
"2013-06-28","44.31"
"2013-06-27","43.90"
"2013-06-26","44.13"
"2013-06-25","43.31"
"2013-06-24","42.89"
"2013-06-21","43.60"
"2013-06-20","44.26"
"2013-06-19","45.77"
"2013-06-18","45.97"
"2013-06-17","46.26"
"2013-06-14","45.35"
"2013-06-13","45.61"
"2013-06-12","44.03"
"2013-06-11","45.31"
"2013-06-10","45.56"
"2013-06-07","45.62"
"2013-06-06","45.02"
"2013-06-05","44.32"
"2013-06-04","45.51"
"2013-06-03","45.93"
"2013-05-31","46.15"
"2013-05-30","46.83"
"2013-05-29","46.86"
"2013-05-28","47.84"
"2013-05-24","47.05"
"2013-05-23","47.18"
"2013-05-22","46.50"
"2013-05-21","47.75"
"2013-05-20","47.51"
"2013-05-17","48.18"
"2013-05-16","47.42"
"2013-05-15","48.68"
"2013-05-14","48.27"
"2013-05-13","47.53"
"2013-05-10","46.50"
"2013-05-09","46.92"
"2013-05-08","46.91"
"2013-05-07","46.52"
"2013-05-06","45.89"
"2013-05-03","45.62"
"2013-05-02","44.27"
"2013-05-01","45.89"
"2013-04-30","46.98"
"2013-04-29","47.20"
"2013-04-26","46.41"
"2013-04-25","47.58"
"2013-04-24","48.50"
"2013-04-23","47.69"
"2013-04-22","47.15"
"2013-04-19","45.67"
"2013-04-18","44.95"
"2013-04-17","46.01"
"2013-04-16","47.47"
"2013-04-15","45.34"
"2013-04-12","48.20"
"2013-04-11","48.23"
"2013-04-10","47.73"
"2013-04-09","47.32"
"2013-04-08","47.15"
"2013-04-05","46.15"
"2013-04-04","46.71"
"2013-04-03","46.30"
"2013-04-02","48.06"
"2013-04-01","46.31"
"2013-03-28","46.58"
"2013-03-27","45.57"
"2013-03-26","45.77"
"2013-03-25","45.09"
"2013-03-22","45.10"
"2013-03-21","44.86"
"2013-03-20","45.59"
"2013-03-19","44.95"
"2013-03-18","45.39"
"2013-03-15","45.66"
"2013-03-14","45.90"
"2013-03-13","45.74"
"2013-03-12","46.23"
"2013-03-11","47.00"
"2013-03-08","46.78"
"2013-03-07","46.24"
"2013-03-06","46.05"
"2013-03-05","45.26"
"2013-03-04","44.54"
"2013-03-01","44.28"
"2013-02-28","44.01"
"2013-02-27","44.05"
"2013-02-26","42.75"
"2013-02-25","41.79"
"2013-02-22","43.00"
"2013-02-21","41.31"
"2013-02-20","40.07"
"2013-02-19","41.91"
"2013-02-15","42.17"
"2013-02-14","41.80"
"2013-02-13","41.75"
"2013-02-12","42.01"
"2013-02-11","42.17"
"2013-02-08","42.60"
"2013-02-07","42.15"
"2013-02-06","42.45"
"2013-02-05","42.79"
"2013-02-04","42.12"
"2013-02-01","42.35"
"2013-01-31","41.42"
"2013-01-30","41.77"
"2013-01-29","41.90"
"2013-01-28","42.12"
"2013-01-25","42.51"
"2013-01-24","42.39"
"2013-01-23","42.25"
"2013-01-22","42.06"
"2013-01-18","41.91"
"2013-01-17","41.64"
"2013-01-16","40.59"
"2013-01-15","40.80"
"2013-01-14","40.83"
"2013-01-11","40.11"
"2013-01-10","40.01"
"2013-01-09","40.33"
"2013-01-08","40.41"
"2013-01-07","40.79"
"2013-01-04","40.85"
"2013-01-03","40.37"
"2013-01-02","40.49"
"2012-12-31","39.84"
"2012-12-28","38.91"
"2012-12-27","39.62"
"2012-12-26","39.69"
"2012-12-24","39.47"
"2012-12-21","39.31"
"2012-12-20","39.59"
"2012-12-19","38.90"
"2012-12-18","38.94"
"2012-12-17","38.16"
"2012-12-14","38.06"
"2012-12-13","37.64"
"2012-12-12","37.38"
"2012-12-11","37.13"
"2012-12-10","36.33"
"2012-12-07","36.04"
"2012-12-06","35.97"
"2012-12-05","36.03"
"2012-12-04","36.25"
"2012-12-03","36.81"
"2012-11-30","37.14"
"2012-11-29","37.31"
"2012-11-28","36.93"
"2012-11-27","36.25"
"2012-11-26","36.10"
"2012-11-23","36.26"
"2012-11-21","35.46"
"2012-11-20","35.36"
"2012-11-19","35.59"
"2012-11-16","34.31"
"2012-11-15","33.65"
"2012-11-14","33.62"
"2012-11-13","34.36"
"2012-11-12","34.66"
"2012-11-09","34.85"
"2012-11-08","34.48"
"2012-11-07","34.97"
"2012-11-06","35.62"
"2012-11-05","35.37"
"2012-11-02","35.93"
"2012-11-01","36.93"
"2012-10-31","35.83"
"2012-10-26","35.66"
"2012-10-25","35.26"
"2012-10-24","36.38"
"2012-10-23","36.78"
"2012-10-22","37.63"
"2012-10-19","37.42"
"2012-10-18","38.15"
"2012-10-17","37.51"
"2012-10-16","38.20"
"2012-10-15","37.59"
"2012-10-12","36.80"
"2012-10-11","37.24"
"2012-10-10","36.61"
"2012-10-09","36.57"
"2012-10-08","36.85"
"2012-10-05","36.81"
"2012-10-04","36.49"
"2012-10-03","36.19"
"2012-10-02","35.99"
"2012-10-01","36.16"
"2012-09-28","36.32"
"2012-09-27","36.55"
"2012-09-26","36.03"
"2012-09-25","35.97"
"2012-09-24","36.78"
"2012-09-21","35.51"
"2012-09-20","34.70"
"2012-09-19","34.13"
"2012-09-18","34.07"
"2012-09-17","34.18"
"2012-09-14","35.52"
"2012-09-13","35.76"
"2012-09-12","35.06"
"2012-09-11","34.48"
"2012-09-10","34.79"
"2012-09-07","36.30"
"2012-09-06","35.55"
"2012-09-05","34.18"
"2012-09-04","34.18"
"2012-08-31","34.56"
"2012-08-30","34.36"
"2012-08-29","34.85"
"2012-08-28","34.34"
