"Date","Close"
"2013-12-31","17.70"
"2013-12-30","17.57"
"2013-12-27","17.42"
"2013-12-26","17.33"
"2013-12-24","17.19"
"2013-12-23","17.00"
"2013-12-20","16.90"
"2013-12-19","16.78"
"2013-12-18","16.82"
"2013-12-17","16.37"
"2013-12-16","16.43"
"2013-12-13","16.50"
"2013-12-12","16.68"
"2013-12-11","16.76"
"2013-12-10","17.06"
"2013-12-09","17.11"
"2013-12-06","16.88"
"2013-12-05","16.77"
"2013-12-04","16.99"
"2013-12-03","16.96"
"2013-12-02","17.23"
"2013-11-29","17.40"
"2013-11-27","17.38"
"2013-11-26","17.28"
"2013-11-25","17.08"
"2013-11-22","17.34"
"2013-11-21","17.30"
"2013-11-20","16.96"
"2013-11-19","17.03"
"2013-11-18","17.05"
"2013-11-15","16.95"
"2013-11-14","17.28"
"2013-11-13","17.04"
"2013-11-12","16.85"
"2013-11-11","16.94"
"2013-11-08","16.94"
"2013-11-07","16.70"
"2013-11-06","17.00"
"2013-11-05","16.74"
"2013-11-04","16.89"
"2013-11-01","16.91"
"2013-10-31","16.80"
"2013-10-30","16.62"
"2013-10-29","16.62"
"2013-10-28","16.34"
"2013-10-25","16.15"
"2013-10-24","15.91"
"2013-10-23","15.40"
"2013-10-22","15.67"
"2013-10-21","15.82"
"2013-10-18","16.04"
"2013-10-17","16.89"
"2013-10-16","17.01"
"2013-10-15","16.86"
"2013-10-14","16.93"
"2013-10-11","16.93"
"2013-10-10","16.68"
"2013-10-09","16.40"
"2013-10-08","16.57"
"2013-10-07","16.74"
"2013-10-04","16.99"
"2013-10-03","16.83"
"2013-10-02","17.11"
"2013-10-01","17.15"
"2013-09-30","17.18"
"2013-09-27","17.15"
"2013-09-26","17.28"
"2013-09-25","17.10"
"2013-09-24","17.08"
"2013-09-23","17.07"
"2013-09-20","17.28"
"2013-09-19","17.51"
"2013-09-18","17.02"
"2013-09-17","16.92"
"2013-09-16","16.90"
"2013-09-13","16.86"
"2013-09-12","16.73"
"2013-09-11","16.86"
"2013-09-10","16.55"
"2013-09-09","16.30"
"2013-09-06","16.16"
"2013-09-05","16.14"
"2013-09-04","16.17"
"2013-09-03","16.04"
"2013-08-30","15.72"
"2013-08-29","15.89"
"2013-08-28","15.65"
"2013-08-27","15.66"
"2013-08-26","16.01"
"2013-08-23","16.01"
"2013-08-22","16.00"
