"Date","Close"
"2013-12-31","61.60"
"2013-12-30","61.77"
"2013-12-27","61.17"
"2013-12-26","61.16"
"2013-12-24","60.86"
"2013-12-23","60.96"
"2013-12-20","60.12"
"2013-12-19","59.15"
"2013-12-18","58.96"
"2013-12-17","57.44"
"2013-12-16","57.79"
"2013-12-13","56.82"
"2013-12-12","56.92"
"2013-12-11","56.01"
"2013-12-10","56.67"
"2013-12-09","56.81"
"2013-12-06","56.69"
"2013-12-05","55.76"
"2013-12-04","55.90"
"2013-12-03","56.03"
"2013-12-02","55.56"
"2013-11-29","71.42"
"2013-11-27","71.10"
"2013-11-26","70.33"
"2013-11-25","69.99"
"2013-11-22","68.84"
"2013-11-21","67.97"
"2013-11-20","67.73"
"2013-11-19","67.62"
"2013-11-18","67.58"
"2013-11-15","68.53"
"2013-11-14","68.00"
"2013-11-13","67.54"
"2013-11-12","67.77"
"2013-11-11","67.47"
"2013-11-08","67.70"
"2013-11-07","66.59"
"2013-11-06","67.72"
"2013-11-05","67.52"
"2013-11-04","67.70"
"2013-11-01","67.74"
"2013-10-31","67.53"
"2013-10-30","67.09"
"2013-10-29","68.03"
"2013-10-28","67.31"
"2013-10-25","67.85"
"2013-10-24","67.65"
"2013-10-23","67.48"
"2013-10-22","68.29"
"2013-10-21","67.78"
"2013-10-18","66.85"
"2013-10-17","63.52"
"2013-10-16","63.35"
"2013-10-15","64.62"
"2013-10-14","65.68"
"2013-10-11","65.74"
"2013-10-10","64.63"
"2013-10-09","62.76"
"2013-10-08","62.82"
"2013-10-07","64.26"
"2013-10-04","66.09"
"2013-10-03","64.95"
"2013-10-02","65.18"
"2013-10-01","65.17"
"2013-09-30","64.94"
"2013-09-27","65.42"
"2013-09-26","65.62"
"2013-09-25","65.90"
"2013-09-24","65.81"
"2013-09-23","64.79"
"2013-09-20","65.50"
"2013-09-19","65.41"
"2013-09-18","65.12"
"2013-09-17","64.73"
"2013-09-16","64.53"
"2013-09-13","63.56"
"2013-09-12","63.22"
"2013-09-11","63.87"
"2013-09-10","64.81"
"2013-09-09","62.36"
"2013-09-06","61.77"
"2013-09-05","61.64"
"2013-09-04","61.56"
"2013-09-03","60.53"
"2013-08-30","59.14"
"2013-08-29","59.59"
"2013-08-28","59.22"
"2013-08-27","59.30"
"2013-08-26","61.29"
"2013-08-23","61.48"
"2013-08-22","61.32"
"2013-08-21","60.24"
"2013-08-20","60.16"
"2013-08-19","60.24"
"2013-08-16","60.93"
"2013-08-15","60.24"
"2013-08-14","61.97"
"2013-08-13","62.02"
"2013-08-12","61.37"
"2013-08-09","61.01"
"2013-08-08","61.58"
"2013-08-07","61.31"
"2013-08-06","60.88"
"2013-08-05","62.21"
"2013-08-02","62.51"
"2013-08-01","62.11"
"2013-07-31","61.05"
"2013-07-30","61.10"
"2013-07-29","60.99"
"2013-07-26","61.15"
"2013-07-25","61.16"
"2013-07-24","60.55"
"2013-07-23","61.02"
"2013-07-22","61.69"
"2013-07-19","62.95"
"2013-07-18","59.92"
"2013-07-17","58.76"
"2013-07-16","58.17"
"2013-07-15","59.33"
"2013-07-12","59.09"
"2013-07-11","59.02"
"2013-07-10","57.99"
"2013-07-09","58.03"
"2013-07-08","57.23"
"2013-07-05","57.75"
"2013-07-03","55.97"
"2013-07-02","55.69"
"2013-07-01","56.23"
"2013-06-28","55.52"
"2013-06-27","55.49"
"2013-06-26","54.63"
"2013-06-25","54.11"
"2013-06-24","53.46"
"2013-06-21","55.04"
"2013-06-20","55.07"
"2013-06-19","56.57"
"2013-06-18","57.61"
"2013-06-17","56.60"
"2013-06-14","56.43"
"2013-06-13","56.25"
"2013-06-12","55.90"
"2013-06-11","56.65"
"2013-06-10","57.68"
"2013-06-07","58.04"
"2013-06-06","56.64"
"2013-06-05","55.83"
"2013-06-04","57.06"
"2013-06-03","58.52"
"2013-05-31","57.53"
"2013-05-30","57.82"
"2013-05-29","57.23"
"2013-05-28","57.71"
"2013-05-24","57.15"
"2013-05-23","57.17"
"2013-05-22","57.16"
"2013-05-21","58.14"
"2013-05-20","57.99"
"2013-05-17","58.04"
"2013-05-16","56.85"
"2013-05-15","56.90"
"2013-05-14","57.23"
"2013-05-13","56.03"
"2013-05-10","56.39"
"2013-05-09","55.87"
"2013-05-08","55.52"
"2013-05-07","55.35"
"2013-05-06","54.55"
"2013-05-03","54.11"
"2013-05-02","52.47"
"2013-05-01","52.23"
"2013-04-30","53.80"
"2013-04-29","54.24"
"2013-04-26","53.98"
"2013-04-25","54.79"
"2013-04-24","54.18"
"2013-04-23","53.45"
"2013-04-22","54.00"
"2013-04-19","53.90"
"2013-04-18","53.54"
"2013-04-17","53.89"
"2013-04-16","54.96"
"2013-04-15","53.76"
"2013-04-12","56.16"
"2013-04-11","56.68"
"2013-04-10","56.15"
"2013-04-09","55.61"
"2013-04-08","54.90"
"2013-04-05","54.01"
"2013-04-04","54.49"
"2013-04-03","53.92"
"2013-04-02","54.25"
"2013-04-01","54.40"
"2013-03-28","55.01"
"2013-03-27","54.36"
"2013-03-26","55.38"
"2013-03-25","55.08"
"2013-03-22","55.51"
"2013-03-21","55.60"
"2013-03-20","56.47"
"2013-03-19","55.12"
"2013-03-18","55.04"
"2013-03-15","55.39"
"2013-03-14","55.79"
"2013-03-13","55.15"
"2013-03-12","55.03"
"2013-03-11","54.83"
"2013-03-08","54.31"
"2013-03-07","53.72"
"2013-03-06","53.44"
"2013-03-05","53.24"
"2013-03-04","52.09"
"2013-03-01","51.93"
"2013-02-28","52.65"
"2013-02-27","52.36"
"2013-02-26","51.30"
"2013-02-25","50.93"
"2013-02-22","52.61"
"2013-02-21","52.25"
"2013-02-20","52.88"
"2013-02-19","53.64"
"2013-02-15","53.03"
"2013-02-14","53.03"
"2013-02-13","53.19"
"2013-02-12","53.05"
"2013-02-11","52.95"
"2013-02-08","53.43"
"2013-02-07","52.01"
"2013-02-06","52.77"
"2013-02-05","53.15"
"2013-02-04","51.80"
"2013-02-01","52.36"
"2013-01-31","51.39"
"2013-01-30","51.62"
"2013-01-29","51.47"
"2013-01-28","51.15"
"2013-01-25","51.47"
"2013-01-24","51.09"
"2013-01-23","50.84"
"2013-01-22","50.69"
"2013-01-18","50.63"
"2013-01-17","50.95"
"2013-01-16","49.47"
