"Date","Close"
"2013-12-31","84.08"
"2013-12-30","83.44"
"2013-12-27","83.59"
"2013-12-26","83.71"
"2013-12-24","83.34"
"2013-12-23","82.70"
"2013-12-20","81.87"
"2013-12-19","81.82"
"2013-12-18","81.19"
"2013-12-17","79.96"
"2013-12-16","79.99"
"2013-12-13","78.95"
"2013-12-12","78.43"
"2013-12-11","78.70"
"2013-12-10","79.86"
"2013-12-09","79.84"
"2013-12-06","80.49"
"2013-12-05","78.91"
"2013-12-04","78.12"
"2013-12-03","78.21"
"2013-12-02","79.08"
"2013-11-29","79.58"
"2013-11-27","79.50"
"2013-11-26","79.28"
"2013-11-25","79.24"
"2013-11-22","79.50"
"2013-11-21","79.17"
"2013-11-20","78.64"
"2013-11-19","79.17"
"2013-11-18","79.45"
"2013-11-15","79.65"
"2013-11-14","79.55"
"2013-11-13","79.25"
"2013-11-12","78.83"
"2013-11-11","79.09"
"2013-11-08","79.08"
"2013-11-07","78.36"
"2013-11-06","79.25"
"2013-11-05","79.15"
"2013-11-04","79.22"
"2013-11-01","78.98"
"2013-10-31","78.79"
"2013-10-30","78.46"
"2013-10-29","79.24"
"2013-10-28","78.45"
"2013-10-25","78.55"
"2013-10-24","78.51"
"2013-10-23","78.47"
"2013-10-22","78.04"
"2013-10-21","77.56"
"2013-10-18","77.42"
"2013-10-17","76.86"
"2013-10-16","75.90"
"2013-10-15","75.76"
"2013-10-14","77.25"
"2013-10-11","76.93"
"2013-10-10","76.52"
"2013-10-09","74.23"
"2013-10-08","74.06"
"2013-10-07","74.89"
"2013-10-04","75.34"
"2013-10-03","74.91"
"2013-10-02","75.54"
"2013-10-01","76.41"
"2013-09-30","76.27"
"2013-09-27","76.73"
"2013-09-26","77.28"
"2013-09-25","77.24"
"2013-09-24","78.00"
"2013-09-23","76.23"
"2013-09-20","76.49"
"2013-09-19","76.33"
"2013-09-18","76.15"
"2013-09-17","75.49"
"2013-09-16","75.10"
"2013-09-13","74.37"
"2013-09-12","73.94"
"2013-09-11","74.32"
"2013-09-10","74.43"
"2013-09-09","73.56"
"2013-09-06","72.88"
"2013-09-05","72.57"
"2013-09-04","72.82"
"2013-09-03","71.49"
"2013-08-30","71.47"
"2013-08-29","71.76"
"2013-08-28","71.60"
"2013-08-27","71.51"
"2013-08-26","72.99"
"2013-08-23","73.28"
"2013-08-22","72.88"
"2013-08-21","72.00"
"2013-08-20","72.35"
"2013-08-19","72.16"
"2013-08-16","72.43"
"2013-08-15","72.60"
"2013-08-14","73.57"
"2013-08-13","73.97"
"2013-08-12","73.52"
"2013-08-09","73.30"
"2013-08-08","73.54"
"2013-08-07","73.54"
"2013-08-06","73.47"
"2013-08-05","73.74"
"2013-08-02","74.25"
"2013-08-01","73.69"
"2013-07-31","72.04"
"2013-07-30","71.95"
"2013-07-29","71.63"
"2013-07-26","71.97"
"2013-07-25","72.26"
"2013-07-24","71.41"
"2013-07-23","71.60"
"2013-07-22","73.67"
"2013-07-19","73.29"
"2013-07-18","72.70"
"2013-07-17","71.59"
"2013-07-16","71.46"
"2013-07-15","72.05"
"2013-07-12","71.87"
"2013-07-11","72.21"
"2013-07-10","71.19"
"2013-07-09","71.14"
"2013-07-08","70.74"
"2013-07-05","69.97"
"2013-07-03","68.77"
"2013-07-02","69.17"
"2013-07-01","69.55"
"2013-06-28","69.17"
"2013-06-27","69.79"
"2013-06-26","68.35"
"2013-06-25","67.82"
"2013-06-24","67.15"
"2013-06-21","68.43"
"2013-06-20","69.06"
"2013-06-19","70.42"
"2013-06-18","71.33"
"2013-06-17","70.67"
"2013-06-14","70.24"
"2013-06-13","70.49"
"2013-06-12","69.40"
"2013-06-11","70.10"
