"Date","Close"
"2013-12-31","62.99"
"2013-12-30","61.68"
"2013-12-27","61.73"
"2013-12-26","61.83"
"2013-12-24","61.47"
"2013-12-23","61.12"
"2013-12-20","61.20"
"2013-12-19","60.57"
"2013-12-18","60.21"
"2013-12-17","58.22"
"2013-12-16","57.33"
"2013-12-13","56.76"
"2013-12-12","56.49"
"2013-12-11","57.64"
"2013-12-10","58.59"
"2013-12-09","58.38"
"2013-12-06","58.48"
"2013-12-05","57.54"
"2013-12-04","58.06"
"2013-12-03","58.59"
"2013-12-02","59.47"
"2013-11-29","59.77"
"2013-11-27","59.84"
"2013-11-26","60.13"
"2013-11-25","59.31"
"2013-11-22","60.09"
"2013-11-21","60.07"
"2013-11-20","60.15"
"2013-11-19","60.03"
"2013-11-18","63.75"
"2013-11-15","63.76"
"2013-11-14","63.45"
"2013-11-13","63.29"
"2013-11-12","62.10"
"2013-11-11","62.05"
"2013-11-08","61.99"
"2013-11-07","61.20"
"2013-11-06","62.00"
"2013-11-05","61.58"
"2013-11-04","61.55"
"2013-11-01","60.93"
"2013-10-31","60.82"
"2013-10-30","60.63"
"2013-10-29","61.15"
"2013-10-28","60.98"
"2013-10-25","60.56"
"2013-10-24","60.70"
"2013-10-23","60.24"
"2013-10-22","60.58"
"2013-10-21","59.97"
"2013-10-18","59.62"
"2013-10-17","59.97"
"2013-10-16","58.83"
"2013-10-15","57.63"
"2013-10-14","58.35"
"2013-10-11","58.15"
"2013-10-10","57.36"
"2013-10-09","56.12"
"2013-10-08","56.28"
"2013-10-07","57.26"
"2013-10-04","57.54"
"2013-10-03","57.32"
"2013-10-02","58.62"
"2013-10-01","58.61"
"2013-09-30","58.18"
"2013-09-27","57.79"
"2013-09-26","58.26"
"2013-09-25","58.28"
"2013-09-24","58.22"
"2013-09-23","58.27"
"2013-09-20","59.06"
"2013-09-19","59.73"
"2013-09-18","59.68"
"2013-09-17","58.86"
"2013-09-16","58.57"
"2013-09-13","57.90"
"2013-09-12","58.06"
"2013-09-11","57.61"
"2013-09-10","58.51"
"2013-09-09","58.43"
"2013-09-06","58.08"
"2013-09-05","59.02"
"2013-09-04","59.24"
"2013-09-03","58.57"
"2013-08-30","58.28"
"2013-08-29","58.08"
"2013-08-28","58.61"
"2013-08-27","58.25"
"2013-08-26","59.85"
"2013-08-23","59.87"
"2013-08-22","60.35"
"2013-08-21","59.82"
"2013-08-20","60.14"
"2013-08-19","59.97"
"2013-08-16","61.42"
"2013-08-15","61.08"
"2013-08-14","61.26"
"2013-08-13","60.98"
"2013-08-12","60.95"
"2013-08-09","60.88"
"2013-08-08","60.65"
"2013-08-07","59.41"
"2013-08-06","59.49"
"2013-08-05","61.23"
"2013-08-02","62.33"
"2013-08-01","61.49"
"2013-07-31","59.20"
"2013-07-30","57.89"
"2013-07-29","58.19"
"2013-07-26","58.99"
"2013-07-25","60.08"
"2013-07-24","59.39"
"2013-07-23","59.48"
"2013-07-22","59.50"
"2013-07-19","59.52"
"2013-07-18","59.19"
"2013-07-17","57.96"
"2013-07-16","57.50"
"2013-07-15","57.85"
"2013-07-12","57.76"
"2013-07-11","57.02"
"2013-07-10","56.05"
"2013-07-09","55.98"
"2013-07-08","54.92"
"2013-07-05","55.36"
"2013-07-03","54.56"
"2013-07-02","54.62"
"2013-07-01","55.42"
"2013-06-28","55.13"
"2013-06-27","55.70"
"2013-06-26","54.88"
"2013-06-25","55.40"
"2013-06-24","54.76"
