"Date","Close"
"2013-12-31","91.59"
"2013-12-30","92.30"
"2013-12-27","92.35"
"2013-12-26","92.54"
"2013-12-24","92.06"
"2013-12-23","92.03"
"2013-12-20","92.09"
"2013-12-19","91.98"
"2013-12-18","92.64"
"2013-12-17","90.66"
"2013-12-16","91.37"
"2013-12-13","91.35"
"2013-12-12","91.16"
"2013-12-11","93.11"
"2013-12-10","94.14"
"2013-12-09","94.44"
"2013-12-06","94.44"
"2013-12-05","92.97"
"2013-12-04","93.63"
"2013-12-03","93.97"
"2013-12-02","94.28"
"2013-11-29","94.66"
"2013-11-27","94.98"
"2013-11-26","95.06"
"2013-11-25","95.63"
"2013-11-22","95.25"
"2013-11-21","95.20"
"2013-11-20","95.15"
"2013-11-19","94.86"
"2013-11-18","94.30"
"2013-11-15","94.39"
"2013-11-14","93.92"
"2013-11-13","93.34"
"2013-11-12","93.56"
"2013-11-11","94.29"
"2013-11-08","94.05"
"2013-11-07","92.69"
"2013-11-06","93.04"
"2013-11-05","92.81"
"2013-11-04","93.03"
"2013-11-01","93.37"
"2013-10-31","92.61"
"2013-10-30","92.79"
"2013-10-29","93.14"
"2013-10-28","92.39"
"2013-10-25","92.09"
"2013-10-24","92.35"
"2013-10-23","92.10"
"2013-10-22","92.36"
"2013-10-21","91.20"
"2013-10-18","91.63"
"2013-10-17","91.97"
"2013-10-16","91.11"
"2013-10-15","89.93"
"2013-10-14","89.80"
"2013-10-11","89.45"
"2013-10-10","87.78"
"2013-10-09","85.96"
"2013-10-08","85.61"
"2013-10-07","86.59"
"2013-10-04","87.31"
"2013-10-03","86.58"
"2013-10-02","87.29"
"2013-10-01","87.47"
"2013-09-30","86.69"
"2013-09-27","86.73"
"2013-09-26","87.07"
"2013-09-25","87.08"
"2013-09-24","88.22"
"2013-09-23","89.09"
"2013-09-20","89.68"
"2013-09-19","90.07"
"2013-09-18","89.91"
"2013-09-17","89.06"
"2013-09-16","89.03"
"2013-09-13","88.57"
"2013-09-12","89.01"
"2013-09-11","89.23"
"2013-09-10","88.53"
"2013-09-09","87.56"
"2013-09-06","87.16"
