"Date","Close"
"2013-12-31","22.57"
"2013-12-30","22.53"
"2013-12-27","22.22"
"2013-12-26","21.91"
"2013-12-24","21.81"
"2013-12-23","21.68"
"2013-12-20","21.77"
"2013-12-19","21.20"
"2013-12-18","21.29"
"2013-12-17","20.96"
"2013-12-16","21.04"
"2013-12-13","20.67"
"2013-12-12","20.64"
"2013-12-11","21.32"
"2013-12-10","21.59"
"2013-12-09","21.68"
"2013-12-06","21.67"
"2013-12-05","21.35"
"2013-12-04","20.84"
"2013-12-03","20.37"
"2013-12-02","20.31"
"2013-11-29","20.27"
"2013-11-27","20.34"
"2013-11-26","20.19"
"2013-11-25","20.49"
"2013-11-22","20.56"
"2013-11-21","20.13"
"2013-11-20","19.90"
"2013-11-19","19.40"
"2013-11-18","19.59"
"2013-11-15","19.84"
"2013-11-14","19.40"
"2013-11-13","19.29"
"2013-11-12","19.60"
"2013-11-11","19.07"
"2013-11-08","19.27"
"2013-11-07","18.68"
"2013-11-06","18.71"
"2013-11-05","18.56"
"2013-11-04","18.47"
"2013-11-01","18.48"
"2013-10-31","18.64"
"2013-10-30","18.68"
"2013-10-29","19.00"
"2013-10-28","18.85"
"2013-10-25","18.70"
"2013-10-24","18.59"
"2013-10-23","19.05"
"2013-10-22","20.36"
"2013-10-21","20.85"
"2013-10-18","20.82"
"2013-10-17","20.68"
"2013-10-16","21.03"
"2013-10-15","20.07"
"2013-10-14","20.61"
"2013-10-11","20.18"
"2013-10-10","20.01"
"2013-10-09","20.01"
"2013-10-08","20.38"
"2013-10-07","20.56"
"2013-10-04","20.85"
"2013-10-03","20.13"
"2013-10-02","20.18"
"2013-10-01","20.15"
"2013-09-30","19.86"
"2013-09-27","19.95"
"2013-09-26","20.15"
"2013-09-25","20.10"
"2013-09-24","20.20"
"2013-09-23","20.51"
"2013-09-20","20.99"
"2013-09-19","21.42"
"2013-09-18","21.66"
"2013-09-17","21.42"
"2013-09-16","21.06"
"2013-09-13","21.02"
"2013-09-12","21.16"
"2013-09-11","21.41"
"2013-09-10","21.15"
"2013-09-09","20.87"
"2013-09-06","20.83"
"2013-09-05","20.50"
"2013-09-04","20.72"
"2013-09-03","19.45"
"2013-08-30","18.90"
"2013-08-29","18.87"
"2013-08-28","19.01"
"2013-08-27","18.95"
"2013-08-26","19.52"
"2013-08-23","19.74"
"2013-08-22","19.91"
"2013-08-21","19.90"
"2013-08-20","20.31"
"2013-08-19","20.06"
"2013-08-16","20.44"
"2013-08-15","20.30"
"2013-08-14","21.10"
"2013-08-13","21.16"
"2013-08-12","20.59"
"2013-08-09","20.92"
"2013-08-08","22.16"
"2013-08-07","22.00"
"2013-08-06","21.99"
"2013-08-05","22.02"
"2013-08-02","21.80"
"2013-08-01","21.97"
"2013-07-31","21.67"
"2013-07-30","21.90"
"2013-07-29","21.50"
"2013-07-26","21.52"
"2013-07-25","22.07"
"2013-07-24","21.66"
"2013-07-23","21.34"
"2013-07-22","20.75"
"2013-07-19","21.04"
"2013-07-18","21.03"
"2013-07-17","20.74"
"2013-07-16","20.55"
"2013-07-15","20.45"
"2013-07-12","20.35"
"2013-07-11","20.16"
"2013-07-10","19.68"
"2013-07-09","19.67"
"2013-07-08","19.28"
"2013-07-05","19.61"
"2013-07-03","19.30"
"2013-07-02","19.13"
"2013-07-01","19.48"
"2013-06-28","19.31"
"2013-06-27","19.05"
"2013-06-26","18.46"
"2013-06-25","18.41"
"2013-06-24","18.49"
"2013-06-21","18.79"
"2013-06-20","19.19"
"2013-06-19","19.13"
"2013-06-18","19.13"
"2013-06-17","19.06"
"2013-06-14","19.05"
"2013-06-13","19.27"
"2013-06-12","18.39"
"2013-06-11","18.30"
"2013-06-10","19.03"
"2013-06-07","19.06"
"2013-06-06","18.47"
"2013-06-05","18.54"
"2013-06-04","17.39"
"2013-06-03","17.50"
"2013-05-31","17.73"
"2013-05-30","18.01"
"2013-05-29","17.99"
"2013-05-28","17.47"
"2013-05-24","17.35"
"2013-05-23","17.28"
"2013-05-22","17.42"
"2013-05-21","17.64"
"2013-05-20","17.58"
"2013-05-17","17.61"
"2013-05-16","17.78"
"2013-05-15","17.07"
"2013-05-14","17.10"
"2013-05-13","17.27"
"2013-05-10","17.36"
"2013-05-09","17.34"
"2013-05-08","17.29"
"2013-05-07","16.80"
"2013-05-06","16.93"
"2013-05-03","16.48"
"2013-05-02","16.30"
"2013-05-01","16.31"
"2013-04-30","16.55"
"2013-04-29","16.06"
"2013-04-26","15.79"
"2013-04-25","15.91"
"2013-04-24","15.69"
"2013-04-23","17.36"
"2013-04-22","17.12"
"2013-04-19","17.10"
"2013-04-18","17.32"
"2013-04-17","17.70"
"2013-04-16","18.14"
"2013-04-15","18.10"
"2013-04-12","18.72"
"2013-04-11","18.56"
"2013-04-10","18.84"
"2013-04-09","18.00"
"2013-04-08","17.83"
"2013-04-05","17.55"
"2013-04-04","18.12"
"2013-04-03","18.27"
"2013-04-02","18.27"
"2013-04-01","18.54"
"2013-03-28","18.54"
"2013-03-27","18.67"
"2013-03-26","18.65"
"2013-03-25","18.96"
"2013-03-22","18.72"
"2013-03-21","18.89"
"2013-03-20","19.31"
"2013-03-19","19.14"
"2013-03-18","20.21"
"2013-03-15","20.17"
"2013-03-14","20.51"
"2013-03-13","20.54"
