"Date","Close"
"2013-12-31","58.49"
"2013-12-30","57.99"
"2013-12-27","57.86"
"2013-12-26","56.74"
"2013-12-24","56.36"
"2013-12-23","55.58"
"2013-12-20","54.45"
"2013-12-19","54.08"
"2013-12-18","54.01"
"2013-12-17","53.52"
"2013-12-16","54.08"
"2013-12-13","53.53"
"2013-12-12","53.52"
"2013-12-11","53.15"
"2013-12-10","56.24"
"2013-12-09","55.93"
"2013-12-06","55.98"
"2013-12-05","55.53"
"2013-12-04","56.08"
"2013-12-03","55.55"
"2013-12-02","55.41"
"2013-11-29","56.56"
"2013-11-27","55.71"
"2013-11-26","55.27"
"2013-11-25","55.48"
"2013-11-22","55.12"
"2013-11-21","54.80"
"2013-11-20","55.28"
"2013-11-19","55.29"
"2013-11-18","56.35"
"2013-11-15","56.79"
"2013-11-14","56.72"
"2013-11-13","56.92"
"2013-11-12","56.33"
"2013-11-11","56.28"
"2013-11-08","57.60"
"2013-11-07","58.00"
"2013-11-06","57.50"
"2013-11-05","57.44"
"2013-11-04","57.77"
"2013-11-01","56.65"
"2013-10-31","56.75"
"2013-10-30","57.20"
"2013-10-29","57.78"
"2013-10-28","58.70"
"2013-10-25","58.09"
"2013-10-24","57.12"
"2013-10-23","54.60"
"2013-10-22","54.49"
"2013-10-21","53.88"
"2013-10-18","54.20"
"2013-10-17","52.69"
"2013-10-16","51.86"
"2013-10-15","51.50"
"2013-10-14","52.03"
"2013-10-11","51.29"
"2013-10-10","51.41"
"2013-10-09","51.03"
"2013-10-08","50.24"
"2013-10-07","51.22"
"2013-10-04","51.93"
"2013-10-03","51.24"
"2013-10-02","51.94"
"2013-10-01","51.61"
"2013-09-30","51.04"
"2013-09-27","51.21"
"2013-09-26","51.75"
"2013-09-25","52.24"
"2013-09-24","53.48"
"2013-09-23","52.89"
"2013-09-20","52.91"
"2013-09-19","53.90"
"2013-09-18","53.55"
"2013-09-17","52.96"
"2013-09-16","53.78"
"2013-09-13","53.80"
"2013-09-12","53.49"
"2013-09-11","54.29"
"2013-09-10","54.35"
"2013-09-09","53.20"
"2013-09-06","51.00"
"2013-09-05","50.86"
"2013-09-04","49.90"
"2013-09-03","49.56"
"2013-08-30","49.12"
"2013-08-29","49.18"
"2013-08-28","48.89"
"2013-08-27","51.31"
"2013-08-26","52.87"
"2013-08-23","52.45"
"2013-08-22","52.48"
"2013-08-21","50.61"
"2013-08-20","51.96"
"2013-08-19","51.15"
"2013-08-16","52.26"
"2013-08-15","52.68"
"2013-08-14","52.59"
"2013-08-13","52.54"
"2013-08-12","51.84"
"2013-08-09","51.10"
"2013-08-08","49.51"
"2013-08-07","48.32"
"2013-08-06","48.79"
"2013-08-05","49.84"
"2013-08-02","50.48"
"2013-08-01","50.01"
"2013-07-31","49.50"
"2013-07-30","49.42"
"2013-07-29","48.68"
"2013-07-26","48.83"
"2013-07-25","48.49"
"2013-07-24","48.37"
"2013-07-23","50.09"
"2013-07-22","50.39"
"2013-07-19","50.26"
"2013-07-18","50.34"
"2013-07-17","50.90"
"2013-07-16","52.18"
"2013-07-15","51.58"
"2013-07-12","51.56"
"2013-07-11","51.38"
"2013-07-10","49.32"
"2013-07-09","49.48"
"2013-07-08","49.12"
"2013-07-05","48.82"
"2013-07-03","48.34"
"2013-07-02","48.35"
"2013-07-01","48.82"
"2013-06-28","48.53"
"2013-06-27","49.44"
"2013-06-26","48.99"
"2013-06-25","50.10"
"2013-06-24","49.70"
"2013-06-21","50.30"
"2013-06-20","51.12"
"2013-06-19","52.96"
"2013-06-18","53.04"
"2013-06-17","52.41"
"2013-06-14","52.86"
"2013-06-13","53.84"
"2013-06-12","51.97"
"2013-06-11","52.28"
"2013-06-10","52.77"
"2013-06-07","53.67"
"2013-06-06","53.04"
"2013-06-05","52.87"
"2013-06-04","54.05"
"2013-06-03","53.76"
"2013-05-31","54.08"
"2013-05-30","55.61"
"2013-05-29","55.08"
"2013-05-28","54.79"
"2013-05-24","55.42"
"2013-05-23","56.11"
"2013-05-22","56.82"
"2013-05-21","58.95"
"2013-05-20","58.81"
"2013-05-17","56.74"
"2013-05-16","56.58"
"2013-05-15","56.11"
"2013-05-14","56.74"
"2013-05-13","57.57"
"2013-05-10","59.71"
"2013-05-09","60.62"
"2013-05-08","61.48"
"2013-05-07","60.20"
"2013-05-06","58.71"
"2013-05-03","57.63"
"2013-05-02","55.25"
"2013-05-01","54.61"
"2013-04-30","56.52"
"2013-04-29","57.19"
"2013-04-26","56.60"
"2013-04-25","57.31"
"2013-04-24","56.16"
"2013-04-23","55.16"
"2013-04-22","54.48"
"2013-04-19","54.21"
"2013-04-18","53.62"
"2013-04-17","53.43"
"2013-04-16","54.30"
"2013-04-15","52.71"
"2013-04-12","54.47"
"2013-04-11","54.84"
"2013-04-10","57.24"
"2013-04-09","58.15"
"2013-04-08","56.83"
"2013-04-05","56.73"
"2013-04-04","56.74"
"2013-04-03","56.01"
"2013-04-02","57.28"
"2013-04-01","57.75"
"2013-03-28","59.52"
"2013-03-27","60.00"
"2013-03-26","58.86"
"2013-03-25","57.81"
"2013-03-22","58.41"
"2013-03-21","58.29"
"2013-03-20","58.72"
"2013-03-19","59.03"
"2013-03-18","61.81"
"2013-03-15","62.13"
"2013-03-14","61.69"
"2013-03-13","61.54"
"2013-03-12","61.28"
"2013-03-11","61.74"
"2013-03-08","63.13"
"2013-03-07","61.80"
"2013-03-06","62.05"
"2013-03-05","61.62"
"2013-03-04","60.18"
"2013-03-01","62.06"
"2013-02-28","63.34"
"2013-02-27","63.45"
"2013-02-26","59.96"
"2013-02-25","59.70"
"2013-02-22","63.02"
"2013-02-21","62.77"
"2013-02-20","65.25"
"2013-02-19","63.54"
"2013-02-15","62.86"
"2013-02-14","62.73"
"2013-02-13","62.82"
"2013-02-12","62.13"
"2013-02-11","61.94"
"2013-02-08","61.45"
"2013-02-07","61.19"
"2013-02-06","62.33"
"2013-02-05","63.15"
"2013-02-04","62.72"
"2013-02-01","64.15"
"2013-01-31","63.17"
"2013-01-30","62.35"
"2013-01-29","62.90"
"2013-01-28","62.66"
"2013-01-25","63.26"
"2013-01-24","65.94"
"2013-01-23","66.56"
"2013-01-22","68.74"
"2013-01-18","69.01"
"2013-01-17","68.23"
"2013-01-16","67.70"
"2013-01-15","68.40"
"2013-01-14","68.22"
"2013-01-11","68.13"
"2013-01-10","68.70"
"2013-01-09","67.97"
"2013-01-08","67.06"
"2013-01-07","66.97"
"2013-01-04","65.84"
"2013-01-03","65.18"
"2013-01-02","66.00"
"2012-12-31","63.78"
"2012-12-28","61.48"
"2012-12-27","62.20"
"2012-12-26","62.23"
"2012-12-24","62.42"
"2012-12-21","62.52"
"2012-12-20","63.11"
"2012-12-19","62.57"
"2012-12-18","62.37"
"2012-12-17","61.02"
"2012-12-14","61.64"
"2012-12-13","60.40"
"2012-12-12","60.17"
"2012-12-11","57.87"
"2012-12-10","57.92"
"2012-12-07","57.43"
"2012-12-06","56.45"
"2012-12-05","56.63"
"2012-12-04","55.57"
"2012-12-03","56.18"
"2012-11-30","56.99"
"2012-11-29","57.28"
"2012-11-28","56.31"
"2012-11-27","55.68"
"2012-11-26","57.01"
"2012-11-23","57.13"
"2012-11-21","55.66"
"2012-11-20","55.95"
