"Date","Close"
"2013-12-31","61.80"
"2013-12-30","61.85"
"2013-12-27","61.42"
"2013-12-26","61.61"
"2013-12-24","61.60"
"2013-12-23","61.54"
"2013-12-20","61.19"
"2013-12-19","60.24"
"2013-12-18","60.34"
"2013-12-17","59.83"
"2013-12-16","60.55"
"2013-12-13","60.09"
"2013-12-12","60.37"
"2013-12-11","60.79"
"2013-12-10","61.27"
"2013-12-09","60.70"
"2013-12-06","60.36"
"2013-12-05","61.05"
"2013-12-04","61.35"
"2013-12-03","61.87"
"2013-12-02","61.79"
"2013-11-29","62.21"
"2013-11-27","62.71"
"2013-11-26","62.90"
"2013-11-25","62.55"
"2013-11-22","62.10"
"2013-11-21","62.14"
"2013-11-20","61.76"
"2013-11-19","61.87"
"2013-11-18","62.48"
"2013-11-15","62.80"
"2013-11-14","63.43"
"2013-11-13","63.38"
"2013-11-12","61.82"
"2013-11-11","61.84"
"2013-11-08","61.02"
"2013-11-07","60.32"
"2013-11-06","60.51"
"2013-11-05","60.34"
"2013-11-04","60.46"
"2013-11-01","59.97"
"2013-10-31","60.47"
"2013-10-30","60.38"
"2013-10-29","60.46"
"2013-10-28","60.15"
"2013-10-25","59.27"
"2013-10-24","59.08"
"2013-10-23","58.87"
"2013-10-22","59.03"
"2013-10-21","58.84"
"2013-10-18","58.74"
"2013-10-17","58.65"
"2013-10-16","58.21"
"2013-10-15","56.94"
"2013-10-14","56.93"
"2013-10-11","56.84"
"2013-10-10","56.73"
"2013-10-09","55.77"
"2013-10-08","55.62"
"2013-10-07","56.64"
"2013-10-04","57.13"
"2013-10-03","56.84"
"2013-10-02","56.80"
"2013-10-01","55.95"
"2013-09-30","56.20"
"2013-09-27","56.45"
"2013-09-26","56.58"
"2013-09-25","55.81"
"2013-09-24","56.41"
"2013-09-23","56.63"
"2013-09-20","57.00"
"2013-09-19","57.55"
"2013-09-18","58.03"
"2013-09-17","58.18"
"2013-09-16","57.98"
"2013-09-13","57.28"
"2013-09-12","57.03"
"2013-09-11","57.22"
"2013-09-10","57.10"
"2013-09-09","56.58"
"2013-09-06","55.92"
"2013-09-05","56.19"
"2013-09-04","56.12"
"2013-09-03","55.49"
"2013-08-30","55.73"
"2013-08-29","55.98"
"2013-08-28","56.53"
"2013-08-27","56.62"
"2013-08-26","57.30"
"2013-08-23","57.28"
"2013-08-22","57.17"
"2013-08-21","56.75"
"2013-08-20","57.10"
"2013-08-19","56.26"
"2013-08-16","56.43"
"2013-08-15","59.33"
"2013-08-14","59.54"
"2013-08-13","60.18"
"2013-08-12","60.79"
"2013-08-09","58.79"
"2013-08-08","59.60"
"2013-08-07","58.90"
"2013-08-06","59.81"
"2013-08-05","62.07"
"2013-08-02","61.99"
"2013-08-01","62.17"
"2013-07-31","61.24"
"2013-07-30","61.27"
"2013-07-29","61.63"
"2013-07-26","61.52"
"2013-07-25","61.44"
"2013-07-24","61.46"
"2013-07-23","61.51"
"2013-07-22","62.07"
"2013-07-19","61.56"
"2013-07-18","61.61"
"2013-07-17","61.62"
"2013-07-16","62.02"
"2013-07-15","62.09"
"2013-07-12","62.26"
"2013-07-11","62.65"
"2013-07-10","62.59"
"2013-07-09","62.67"
"2013-07-08","62.61"
"2013-07-05","62.04"
"2013-07-03","61.03"
"2013-07-02","60.72"
"2013-07-01","61.21"
"2013-06-28","59.94"
"2013-06-27","59.56"
"2013-06-26","59.40"
"2013-06-25","58.67"
"2013-06-24","57.45"
"2013-06-21","58.20"
"2013-06-20","57.76"
"2013-06-19","58.90"
"2013-06-18","59.64"
"2013-06-17","59.09"
"2013-06-14","58.94"
"2013-06-13","59.46"
"2013-06-12","58.24"
"2013-06-11","58.96"
"2013-06-10","59.42"
"2013-06-07","59.52"
"2013-06-06","58.44"
"2013-06-05","58.02"
"2013-06-04","59.39"
"2013-06-03","59.33"
"2013-05-31","58.82"
"2013-05-30","59.14"
"2013-05-29","59.26"
"2013-05-28","59.96"
"2013-05-24","59.87"
"2013-05-23","60.16"
"2013-05-22","60.16"
"2013-05-21","60.71"
"2013-05-20","60.48"
"2013-05-17","60.68"
"2013-05-16","61.13"
"2013-05-15","61.44"
"2013-05-14","61.24"
"2013-05-13","60.49"
"2013-05-10","59.17"
"2013-05-09","58.49"
"2013-05-08","59.00"
"2013-05-07","58.59"
"2013-05-06","58.09"
"2013-05-03","58.21"
"2013-05-02","57.03"
"2013-05-01","56.15"
"2013-04-30","56.59"
"2013-04-29","56.54"
"2013-04-26","56.71"
"2013-04-25","56.45"
"2013-04-24","55.26"
"2013-04-23","55.19"
"2013-04-22","55.14"
"2013-04-19","54.90"
"2013-04-18","54.82"
"2013-04-17","55.39"
"2013-04-16","56.17"
"2013-04-15","55.13"
"2013-04-12","56.82"
"2013-04-11","57.04"
"2013-04-10","55.81"
"2013-04-09","54.84"
"2013-04-08","55.30"
"2013-04-05","55.46"
"2013-04-04","55.47"
"2013-04-03","54.70"
"2013-04-02","54.99"
"2013-04-01","54.45"
"2013-03-28","55.23"
"2013-03-27","54.50"
"2013-03-26","54.28"
"2013-03-25","53.80"
"2013-03-22","53.32"
"2013-03-21","52.90"
"2013-03-20","53.15"
"2013-03-19","52.45"
"2013-03-18","53.49"
"2013-03-15","53.99"
"2013-03-14","54.29"
"2013-03-13","54.29"
"2013-03-12","53.95"
"2013-03-11","54.27"
"2013-03-08","54.72"
"2013-03-07","53.99"
"2013-03-06","54.38"
"2013-03-05","54.37"
"2013-03-04","53.82"
"2013-03-01","54.07"
"2013-02-28","54.22"
"2013-02-27","53.90"
"2013-02-26","52.53"
"2013-02-25","52.70"
"2013-02-22","53.99"
"2013-02-21","54.52"
"2013-02-20","55.15"
"2013-02-19","56.47"
"2013-02-15","55.40"
"2013-02-14","55.25"
"2013-02-13","55.22"
"2013-02-12","54.98"
"2013-02-11","55.37"
"2013-02-08","55.82"
"2013-02-07","54.91"
"2013-02-06","55.27"
"2013-02-05","55.11"
"2013-02-04","54.50"
"2013-02-01","55.12"
"2013-01-31","55.23"
"2013-01-30","55.59"
"2013-01-29","55.68"
"2013-01-28","55.53"
"2013-01-25","56.05"
"2013-01-24","55.67"
"2013-01-23","55.33"
"2013-01-22","55.38"
"2013-01-18","55.52"
"2013-01-17","55.65"
"2013-01-16","55.95"
"2013-01-15","55.41"
"2013-01-14","53.83"
"2013-01-11","53.84"
"2013-01-10","54.88"
"2013-01-09","54.04"
"2013-01-08","53.91"
"2013-01-07","54.43"
"2013-01-04","54.73"
"2013-01-03","55.27"
"2013-01-02","53.63"
"2012-12-31","53.50"
"2012-12-28","52.16"
"2012-12-27","51.78"
"2012-12-26","51.40"
"2012-12-24","52.42"
"2012-12-21","52.45"
"2012-12-20","52.11"
"2012-12-19","52.79"
"2012-12-18","52.43"
"2012-12-17","52.28"
"2012-12-14","52.20"
"2012-12-13","52.15"
"2012-12-12","52.11"
"2012-12-11","51.88"
"2012-12-10","52.26"
"2012-12-07","52.80"
"2012-12-06","52.97"
"2012-12-05","52.70"
"2012-12-04","53.23"
"2012-12-03","53.72"
"2012-11-30","54.09"
"2012-11-29","54.37"
"2012-11-28","55.20"
"2012-11-27","54.16"
"2012-11-26","54.24"
"2012-11-23","56.55"
"2012-11-21","55.60"
"2012-11-20","55.75"
"2012-11-19","56.47"
"2012-11-16","54.87"
"2012-11-15","54.18"
"2012-11-14","54.11"
"2012-11-13","54.89"
"2012-11-12","54.69"
"2012-11-09","54.79"
"2012-11-08","55.40"
"2012-11-07","57.25"
"2012-11-06","58.20"
"2012-11-05","57.62"
"2012-11-02","56.48"
"2012-11-01","57.19"
"2012-10-31","56.77"
"2012-10-26","55.77"
"2012-10-25","55.10"
"2012-10-24","54.96"
"2012-10-23","55.47"
"2012-10-22","55.97"
"2012-10-19","56.43"
"2012-10-18","57.16"
"2012-10-17","57.66"
"2012-10-16","56.63"
"2012-10-15","55.70"
"2012-10-12","54.93"
"2012-10-11","55.33"
"2012-10-10","55.27"
"2012-10-09","56.11"
"2012-10-08","56.46"
"2012-10-05","56.18"
"2012-10-04","56.05"
"2012-10-03","55.88"
"2012-10-02","55.63"
"2012-10-01","55.74"
"2012-09-28","55.18"
"2012-09-27","55.06"
"2012-09-26","54.90"
"2012-09-25","54.90"
"2012-09-24","55.17"
"2012-09-21","56.05"
"2012-09-20","56.56"
"2012-09-19","56.86"
"2012-09-18","56.33"
"2012-09-17","57.46"
"2012-09-14","57.56"
"2012-09-13","57.66"
"2012-09-12","57.95"
"2012-09-11","57.77"
"2012-09-10","57.86"
"2012-09-07","57.51"
"2012-09-06","57.96"
"2012-09-05","57.07"
"2012-09-04","57.67"
"2012-08-31","57.83"
"2012-08-30","57.53"
"2012-08-29","58.03"
"2012-08-28","57.44"
"2012-08-27","57.68"
"2012-08-24","57.95"
"2012-08-23","57.07"
"2012-08-22","57.72"
"2012-08-21","56.62"
