"Date","Close"
"2013-12-31","104.46"
"2013-12-30","105.93"
"2013-12-27","105.10"
"2013-12-26","104.99"
"2013-12-24","104.79"
"2013-12-23","104.54"
"2013-12-20","105.18"
"2013-12-19","104.38"
"2013-12-18","105.14"
"2013-12-17","102.75"
"2013-12-16","104.03"
"2013-12-13","103.92"
"2013-12-12","103.83"
"2013-12-11","105.38"
"2013-12-10","104.91"
"2013-12-09","105.83"
"2013-12-06","105.58"
"2013-12-05","103.90"
"2013-12-04","104.20"
"2013-12-03","106.48"
"2013-12-02","107.15"
"2013-11-29","109.16"
"2013-11-27","108.22"
"2013-11-26","108.13"
"2013-11-25","108.36"
"2013-11-22","109.00"
"2013-11-21","107.92"
"2013-11-20","107.82"
"2013-11-19","107.88"
"2013-11-18","108.00"
"2013-11-15","109.26"
"2013-11-14","109.71"
"2013-11-13","108.84"
"2013-11-12","108.21"
"2013-11-11","107.96"
"2013-11-08","108.03"
"2013-11-07","107.88"
"2013-11-06","109.63"
"2013-11-05","108.81"
"2013-11-04","108.85"
"2013-11-01","108.01"
"2013-10-31","108.00"
"2013-10-30","107.90"
"2013-10-29","108.17"
"2013-10-28","107.31"
"2013-10-25","105.51"
"2013-10-24","104.21"
"2013-10-23","104.96"
"2013-10-22","102.97"
"2013-10-21","98.83"
"2013-10-18","99.18"
"2013-10-17","99.04"
"2013-10-16","98.00"
"2013-10-15","96.55"
"2013-10-14","96.96"
"2013-10-11","96.95"
"2013-10-10","95.93"
"2013-10-09","94.28"
"2013-10-08","93.19"
"2013-10-07","93.86"
"2013-10-04","94.26"
"2013-10-03","94.44"
"2013-10-02","94.26"
"2013-10-01","94.38"
"2013-09-30","94.22"
"2013-09-27","94.79"
"2013-09-26","95.46"
"2013-09-25","94.69"
"2013-09-24","95.37"
"2013-09-23","95.79"
"2013-09-20","96.20"
"2013-09-19","97.20"
"2013-09-18","97.71"
"2013-09-17","96.36"
"2013-09-16","96.43"
"2013-09-13","95.69"
"2013-09-12","94.85"
"2013-09-11","94.56"
"2013-09-10","93.90"
"2013-09-09","93.61"
"2013-09-06","93.06"
"2013-09-05","92.27"
"2013-09-04","92.49"
"2013-09-03","92.64"
"2013-08-30","93.48"
"2013-08-29","92.95"
"2013-08-28","92.53"
"2013-08-27","93.53"
"2013-08-26","94.53"
"2013-08-23","95.89"
"2013-08-22","95.61"
"2013-08-21","94.08"
"2013-08-20","94.99"
"2013-08-19","94.60"
"2013-08-16","94.94"
"2013-08-15","95.80"
"2013-08-14","96.78"
