"Date","Close"
"2013-12-31","47.02"
"2013-12-30","47.10"
"2013-12-27","46.93"
"2013-12-26","47.47"
"2013-12-24","47.60"
"2013-12-23","47.44"
"2013-12-20","48.08"
"2013-12-19","53.05"
"2013-12-18","52.52"
"2013-12-17","51.75"
"2013-12-16","51.83"
"2013-12-13","50.95"
"2013-12-12","51.09"
"2013-12-11","51.26"
"2013-12-10","52.09"
"2013-12-09","51.95"
"2013-12-06","51.20"
"2013-12-05","50.80"
"2013-12-04","50.69"
"2013-12-03","51.17"
"2013-12-02","51.51"
"2013-11-29","50.35"
"2013-11-27","50.45"
"2013-11-26","50.11"
"2013-11-25","50.09"
"2013-11-22","49.69"
"2013-11-21","49.28"
"2013-11-20","48.63"
"2013-11-19","48.83"
"2013-11-18","49.10"
"2013-11-15","49.94"
"2013-11-14","49.57"
"2013-11-13","49.71"
"2013-11-12","49.03"
"2013-11-11","48.76"
"2013-11-08","47.56"
"2013-11-07","47.52"
"2013-11-06","48.83"
"2013-11-05","48.74"
"2013-11-04","48.60"
"2013-11-01","47.82"
"2013-10-31","46.99"
"2013-10-30","47.20"
"2013-10-29","47.49"
"2013-10-28","47.53"
"2013-10-25","47.76"
"2013-10-24","47.79"
"2013-10-23","47.51"
"2013-10-22","48.39"
"2013-10-21","48.75"
"2013-10-18","48.74"
"2013-10-17","48.87"
"2013-10-16","48.32"
"2013-10-15","47.50"
"2013-10-14","48.41"
"2013-10-11","47.93"
"2013-10-10","47.29"
"2013-10-09","46.27"
"2013-10-08","46.42"
"2013-10-07","48.28"
"2013-10-04","48.31"
"2013-10-03","48.04"
"2013-10-02","48.85"
"2013-10-01","48.80"
"2013-09-30","48.47"
"2013-09-27","49.22"
"2013-09-26","49.49"
"2013-09-25","49.80"
"2013-09-24","51.79"
"2013-09-23","50.01"
"2013-09-20","51.19"
"2013-09-19","51.25"
"2013-09-18","51.13"
"2013-09-17","50.98"
"2013-09-16","50.92"
"2013-09-13","51.08"
"2013-09-12","51.12"
"2013-09-11","51.76"
"2013-09-10","52.05"
"2013-09-09","51.35"
"2013-09-06","51.21"
"2013-09-05","49.99"
"2013-09-04","49.05"
"2013-09-03","48.02"
"2013-08-30","47.56"
"2013-08-29","48.05"
"2013-08-28","47.72"
"2013-08-27","47.34"
"2013-08-26","48.84"
"2013-08-23","48.86"
"2013-08-22","48.55"
"2013-08-21","47.86"
"2013-08-20","48.28"
"2013-08-19","47.19"
"2013-08-16","47.48"
"2013-08-15","48.08"
"2013-08-14","49.61"
"2013-08-13","49.74"
"2013-08-12","49.51"
"2013-08-09","49.38"
"2013-08-08","49.27"
"2013-08-07","48.34"
"2013-08-06","49.24"
"2013-08-05","49.40"
"2013-08-02","49.57"
"2013-08-01","49.73"
"2013-07-31","49.04"
"2013-07-30","48.26"
"2013-07-29","47.66"
"2013-07-26","47.78"
"2013-07-25","46.75"
"2013-07-24","47.17"
"2013-07-23","48.05"
"2013-07-22","48.39"
"2013-07-19","47.84"
"2013-07-18","47.99"
"2013-07-17","47.86"
"2013-07-16","47.63"
"2013-07-15","47.73"
"2013-07-12","48.00"
"2013-07-11","48.43"
"2013-07-10","48.53"
"2013-07-09","48.67"
"2013-07-08","48.08"
"2013-07-05","47.33"
"2013-07-03","46.80"
"2013-07-02","46.52"
"2013-07-01","46.69"
"2013-06-28","46.16"
"2013-06-27","46.70"
"2013-06-26","45.89"
"2013-06-25","44.36"
"2013-06-24","43.99"
"2013-06-21","44.59"
"2013-06-20","44.57"
"2013-06-19","47.47"
"2013-06-18","48.21"
"2013-06-17","47.12"
"2013-06-14","46.41"
"2013-06-13","46.99"
"2013-06-12","45.88"
"2013-06-11","46.60"
"2013-06-10","47.09"
"2013-06-07","47.20"
"2013-06-06","46.53"
"2013-06-05","45.53"
"2013-06-04","46.12"
"2013-06-03","46.89"
"2013-05-31","46.77"
"2013-05-30","46.91"
"2013-05-29","46.67"
"2013-05-28","46.94"
"2013-05-24","46.71"
"2013-05-23","47.05"
"2013-05-22","47.42"
"2013-05-21","48.28"
"2013-05-20","47.84"
"2013-05-17","48.67"
"2013-05-16","47.72"
"2013-05-15","48.42"
"2013-05-14","48.07"
"2013-05-13","47.07"
"2013-05-10","46.98"
"2013-05-09","47.11"
"2013-05-08","47.09"
"2013-05-07","46.82"
"2013-05-06","46.25"
"2013-05-03","46.23"
"2013-05-02","46.00"
"2013-05-01","45.20"
"2013-04-30","46.04"
"2013-04-29","45.12"
"2013-04-26","44.82"
"2013-04-25","45.00"
"2013-04-24","44.49"
"2013-04-23","44.10"
"2013-04-22","43.39"
"2013-04-19","42.76"
"2013-04-18","41.17"
"2013-04-17","41.53"
"2013-04-16","42.45"
"2013-04-15","42.09"
"2013-04-12","43.99"
"2013-04-11","45.20"
"2013-04-10","43.31"
"2013-04-09","41.68"
"2013-04-08","42.38"
"2013-04-05","41.35"
"2013-04-04","41.11"
"2013-04-03","40.70"
"2013-04-02","41.49"
"2013-04-01","41.18"
"2013-03-28","41.70"
"2013-03-27","41.12"
"2013-03-26","40.84"
"2013-03-25","40.31"
"2013-03-22","40.35"
"2013-03-21","40.18"
"2013-03-20","41.07"
"2013-03-19","41.04"
"2013-03-18","41.56"
"2013-03-15","41.66"
"2013-03-14","41.47"
"2013-03-13","41.33"
"2013-03-12","41.22"
"2013-03-11","41.37"
