"Date","Close"
"2013-12-31","39.53"
"2013-12-30","39.65"
"2013-12-27","39.54"
"2013-12-26","39.85"
"2013-12-24","39.89"
"2013-12-23","39.89"
"2013-12-20","39.70"
"2013-12-19","39.67"
"2013-12-18","40.08"
"2013-12-17","39.83"
"2013-12-16","40.06"
"2013-12-13","39.92"
"2013-12-12","39.99"
"2013-12-11","40.36"
"2013-12-10","40.35"
"2013-12-09","40.42"
"2013-12-06","40.44"
"2013-12-05","40.06"
"2013-12-04","41.52"
"2013-12-03","42.10"
"2013-12-02","41.79"
"2013-11-29","41.75"
"2013-11-27","41.88"
"2013-11-26","41.95"
"2013-11-25","42.56"
"2013-11-22","42.39"
"2013-11-21","42.00"
"2013-11-20","41.65"
"2013-11-19","41.85"
"2013-11-18","41.37"
"2013-11-15","42.60"
"2013-11-14","42.68"
"2013-11-13","42.13"
"2013-11-12","41.91"
"2013-11-11","41.53"
"2013-11-08","41.96"
"2013-11-07","41.65"
"2013-11-06","42.76"
"2013-11-05","42.65"
"2013-11-04","42.51"
"2013-11-01","42.70"
"2013-10-31","42.84"
"2013-10-30","42.89"
"2013-10-29","43.30"
"2013-10-28","43.16"
"2013-10-25","43.42"
"2013-10-24","43.01"
"2013-10-23","42.92"
"2013-10-22","42.71"
"2013-10-21","42.25"
"2013-10-18","42.38"
"2013-10-17","42.21"
"2013-10-16","41.87"
"2013-10-15","41.01"
"2013-10-14","41.62"
"2013-10-11","41.71"
"2013-10-10","40.69"
"2013-10-09","40.15"
"2013-10-08","39.75"
"2013-10-07","39.90"
"2013-10-04","40.56"
"2013-10-03","40.09"
"2013-10-02","40.58"
"2013-10-01","40.65"
"2013-09-30","40.34"
"2013-09-27","40.69"
"2013-09-26","40.96"
"2013-09-25","40.67"
"2013-09-24","40.85"
"2013-09-23","40.48"
"2013-09-20","40.76"
"2013-09-19","40.99"
"2013-09-18","40.56"
"2013-09-17","40.55"
"2013-09-16","39.68"
"2013-09-13","39.03"
"2013-09-12","38.62"
"2013-09-11","37.67"
"2013-09-10","37.54"
"2013-09-09","37.69"
"2013-09-06","37.40"
"2013-09-05","37.35"
"2013-09-04","37.34"
"2013-09-03","36.82"
"2013-08-30","36.60"
"2013-08-29","36.78"
"2013-08-28","36.40"
"2013-08-27","36.40"
"2013-08-26","36.86"
"2013-08-23","37.53"
"2013-08-22","37.22"
"2013-08-21","37.47"
"2013-08-20","37.78"
"2013-08-19","37.94"
"2013-08-16","38.25"
"2013-08-15","38.01"
"2013-08-14","38.82"
"2013-08-13","39.14"
"2013-08-12","38.96"
"2013-08-09","38.88"
"2013-08-08","39.60"
"2013-08-07","38.99"
"2013-08-06","39.29"
"2013-08-05","39.16"
"2013-08-02","39.18"
"2013-08-01","39.65"
"2013-07-31","39.27"
"2013-07-30","39.60"
"2013-07-29","39.85"
"2013-07-26","39.65"
"2013-07-25","39.68"
"2013-07-24","39.13"
"2013-07-23","38.93"
"2013-07-22","39.05"
"2013-07-19","38.81"
"2013-07-18","38.49"
"2013-07-17","38.44"
"2013-07-16","38.13"
"2013-07-15","37.76"
"2013-07-12","37.63"
"2013-07-11","37.79"
"2013-07-10","37.34"
"2013-07-09","37.15"
"2013-07-08","36.19"
"2013-07-05","36.07"
"2013-07-03","35.60"
"2013-07-02","35.92"
"2013-07-01","34.67"
"2013-06-28","34.54"
"2013-06-27","34.71"
"2013-06-26","34.48"
"2013-06-25","34.51"
"2013-06-24","33.99"
"2013-06-21","33.77"
"2013-06-20","32.98"
"2013-06-19","35.13"
"2013-06-18","35.52"
"2013-06-17","35.18"
"2013-06-14","34.79"
"2013-06-13","35.06"
"2013-06-12","34.30"
"2013-06-11","34.58"
"2013-06-10","34.73"
"2013-06-07","34.56"
"2013-06-06","33.12"
"2013-06-05","33.03"
"2013-06-04","33.95"
"2013-06-03","33.84"
"2013-05-31","33.67"
"2013-05-30","34.39"
"2013-05-29","34.42"
"2013-05-28","34.54"
"2013-05-24","34.23"
"2013-05-23","34.19"
"2013-05-22","34.12"
"2013-05-21","34.83"
"2013-05-20","34.72"
"2013-05-17","35.42"
"2013-05-16","35.07"
"2013-05-15","35.22"
"2013-05-14","34.80"
"2013-05-13","33.95"
"2013-05-10","34.49"
"2013-05-09","34.45"
"2013-05-08","34.73"
