"Date","Close"
"2013-12-31","56.75"
"2013-12-30","56.44"
"2013-12-27","55.94"
"2013-12-26","55.69"
"2013-12-24","55.82"
"2013-12-23","55.55"
"2013-12-20","54.95"
"2013-12-19","54.62"
"2013-12-18","54.76"
"2013-12-17","54.60"
"2013-12-16","54.34"
"2013-12-13","54.08"
"2013-12-12","54.97"
"2013-12-11","55.40"
"2013-12-10","54.97"
"2013-12-09","54.99"
"2013-12-06","54.70"
"2013-12-05","55.04"
"2013-12-04","54.38"
"2013-12-03","55.25"
"2013-12-02","55.20"
"2013-11-29","55.28"
"2013-11-27","55.92"
"2013-11-26","55.89"
"2013-11-25","55.85"
"2013-11-22","55.15"
"2013-11-21","54.80"
"2013-11-20","54.71"
"2013-11-19","53.84"
"2013-11-18","53.69"
"2013-11-15","53.95"
"2013-11-14","53.55"
"2013-11-13","58.26"
"2013-11-12","57.60"
"2013-11-11","57.67"
"2013-11-08","57.03"
"2013-11-07","56.54"
"2013-11-06","58.06"
"2013-11-05","57.73"
"2013-11-04","58.47"
"2013-11-01","56.85"
"2013-10-31","56.80"
"2013-10-30","56.96"
"2013-10-29","57.04"
"2013-10-28","55.76"
"2013-10-25","54.74"
"2013-10-24","54.92"
"2013-10-23","54.86"
"2013-10-22","54.05"
"2013-10-21","53.64"
"2013-10-18","53.93"
"2013-10-17","53.96"
"2013-10-16","53.24"
"2013-10-15","51.44"
"2013-10-14","51.49"
"2013-10-11","51.45"
"2013-10-10","51.84"
"2013-10-09","51.31"
"2013-10-08","50.77"
"2013-10-07","51.92"
"2013-10-04","52.51"
"2013-10-03","52.34"
"2013-10-02","52.54"
"2013-10-01","52.32"
"2013-09-30","51.75"
"2013-09-27","52.03"
"2013-09-26","52.13"
"2013-09-25","51.56"
"2013-09-24","52.06"
"2013-09-23","52.05"
"2013-09-20","52.60"
"2013-09-19","52.83"
"2013-09-18","52.37"
"2013-09-17","51.88"
"2013-09-16","51.50"
"2013-09-13","51.24"
"2013-09-12","51.46"
"2013-09-11","51.71"
"2013-09-10","52.34"
"2013-09-09","52.45"
"2013-09-06","52.39"
"2013-09-05","52.76"
"2013-09-04","51.45"
"2013-09-03","51.40"
"2013-08-30","51.31"
"2013-08-29","50.88"
"2013-08-28","50.24"
"2013-08-27","49.84"
"2013-08-26","50.38"
"2013-08-23","51.00"
"2013-08-22","51.56"
"2013-08-21","51.78"
"2013-08-20","52.22"
"2013-08-19","51.56"
"2013-08-16","52.27"
"2013-08-15","53.51"
"2013-08-14","50.84"
"2013-08-13","50.83"
"2013-08-12","51.22"
"2013-08-09","50.69"
"2013-08-08","51.02"
"2013-08-07","50.96"
"2013-08-06","51.69"
"2013-08-05","53.19"
"2013-08-02","53.56"
"2013-08-01","54.16"
"2013-07-31","52.98"
"2013-07-30","53.00"
"2013-07-29","53.31"
"2013-07-26","53.39"
"2013-07-25","53.28"
"2013-07-24","53.59"
"2013-07-23","53.54"
"2013-07-22","53.60"
"2013-07-19","52.86"
"2013-07-18","52.56"
"2013-07-17","53.04"
"2013-07-16","52.94"
"2013-07-15","53.50"
"2013-07-12","53.49"
"2013-07-11","53.91"
"2013-07-10","53.55"
"2013-07-09","53.69"
"2013-07-08","53.47"
"2013-07-05","52.75"
"2013-07-03","52.11"
"2013-07-02","52.47"
"2013-07-01","51.57"
"2013-06-28","50.51"
"2013-06-27","50.68"
"2013-06-26","51.13"
"2013-06-25","50.60"
"2013-06-24","49.83"
"2013-06-21","50.59"
"2013-06-20","50.56"
"2013-06-19","51.79"
"2013-06-18","52.44"
"2013-06-17","52.75"
"2013-06-14","52.15"
"2013-06-13","51.91"
"2013-06-12","51.20"
"2013-06-11","51.27"
"2013-06-10","51.71"
"2013-06-07","51.96"
"2013-06-06","51.34"
"2013-06-05","50.97"
"2013-06-04","51.85"
"2013-06-03","51.43"
"2013-05-31","51.41"
"2013-05-30","51.12"
"2013-05-29","51.54"
"2013-05-28","51.63"
"2013-05-24","51.91"
"2013-05-23","52.14"
"2013-05-22","52.08"
"2013-05-21","52.35"
"2013-05-20","51.20"
"2013-05-17","51.58"
"2013-05-16","52.03"
"2013-05-15","49.68"
"2013-05-14","49.19"
"2013-05-13","48.17"
"2013-05-10","48.90"
"2013-05-09","48.21"
"2013-05-08","47.00"
"2013-05-07","47.66"
"2013-05-06","48.24"
"2013-05-03","48.31"
"2013-05-02","47.00"
"2013-05-01","46.60"
"2013-04-30","47.06"
"2013-04-29","47.32"
"2013-04-26","48.28"
"2013-04-25","48.01"
"2013-04-24","47.50"
"2013-04-23","47.71"
"2013-04-22","47.34"
"2013-04-19","47.44"
"2013-04-18","46.96"
"2013-04-17","46.97"
"2013-04-16","47.08"
"2013-04-15","47.44"
"2013-04-12","48.42"
"2013-04-11","48.92"
"2013-04-10","47.86"
"2013-04-09","47.42"
"2013-04-08","48.02"
"2013-04-05","48.16"
"2013-04-04","48.11"
"2013-04-03","47.05"
"2013-04-02","45.71"
"2013-04-01","45.54"
"2013-03-28","46.13"
"2013-03-27","46.60"
"2013-03-26","46.73"
"2013-03-25","46.39"
"2013-03-22","46.32"
"2013-03-21","46.43"
"2013-03-20","46.76"
"2013-03-19","46.56"
"2013-03-18","48.54"
"2013-03-15","49.32"
"2013-03-14","49.08"
"2013-03-13","48.82"
"2013-03-12","47.33"
"2013-03-11","47.05"
"2013-03-08","46.66"
"2013-03-07","46.19"
"2013-03-06","46.27"
"2013-03-05","46.67"
"2013-03-04","46.39"
"2013-03-01","46.17"
"2013-02-28","46.10"
"2013-02-27","46.61"
"2013-02-26","45.64"
"2013-02-25","45.51"
"2013-02-22","46.19"
"2013-02-21","46.51"
"2013-02-20","46.57"
"2013-02-19","46.48"
"2013-02-15","46.34"
"2013-02-14","46.98"
"2013-02-13","46.60"
"2013-02-12","46.06"
