"Date","Close"
"2013-12-31","30.94"
"2013-12-30","31.08"
"2013-12-27","31.06"
"2013-12-26","31.00"
"2013-12-24","30.97"
"2013-12-23","30.99"
"2013-12-20","30.55"
"2013-12-19","30.26"
"2013-12-18","30.36"
"2013-12-17","29.37"
"2013-12-16","29.48"
"2013-12-13","29.15"
"2013-12-12","29.10"
"2013-12-11","28.94"
"2013-12-10","29.64"
"2013-12-09","29.86"
"2013-12-06","29.66"
"2013-12-05","29.21"
"2013-12-04","29.35"
"2013-12-03","29.62"
"2013-12-02","29.64"
"2013-11-29","30.21"
"2013-11-27","30.08"
"2013-11-26","30.40"
"2013-11-25","30.05"
"2013-11-22","30.07"
"2013-11-21","29.93"
"2013-11-20","29.62"
"2013-11-19","29.78"
"2013-11-18","29.82"
"2013-11-15","29.82"
"2013-11-14","29.49"
"2013-11-13","29.49"
"2013-11-12","29.40"
"2013-11-11","29.39"
"2013-11-08","29.38"
"2013-11-07","29.11"
"2013-11-06","29.60"
"2013-11-05","29.59"
"2013-11-04","29.75"
"2013-11-01","29.50"
"2013-10-31","29.74"
"2013-10-30","30.03"
"2013-10-29","30.35"
"2013-10-28","29.87"
"2013-10-25","30.35"
"2013-10-24","29.84"
"2013-10-23","29.67"
"2013-10-22","29.67"
"2013-10-21","29.37"
"2013-10-18","29.30"
"2013-10-17","29.35"
"2013-10-16","29.30"
"2013-10-15","29.18"
"2013-10-14","29.67"
"2013-10-11","29.70"
"2013-10-10","29.55"
"2013-10-09","29.03"
"2013-10-08","28.64"
"2013-10-07","29.09"
"2013-10-04","29.60"
"2013-10-03","29.58"
"2013-10-02","30.21"
"2013-10-01","30.45"
"2013-09-30","30.15"
"2013-09-27","30.36"
"2013-09-26","30.69"
"2013-09-25","30.61"
"2013-09-24","30.57"
"2013-09-23","30.31"
"2013-09-20","30.55"
"2013-09-19","30.83"
"2013-09-18","31.24"
"2013-09-17","30.80"
"2013-09-16","30.84"
"2013-09-13","30.65"
"2013-09-12","30.63"
"2013-09-11","30.57"
"2013-09-10","30.26"
"2013-09-09","30.23"
"2013-09-06","29.39"
