"Date","Close"
"2013-12-31","39.56"
"2013-12-30","39.75"
"2013-12-27","39.55"
"2013-12-26","39.26"
"2013-12-24","38.97"
"2013-12-23","38.75"
"2013-12-20","37.38"
"2013-12-19","37.04"
"2013-12-18","37.43"
"2013-12-17","35.20"
"2013-12-16","35.00"
"2013-12-13","35.00"
"2013-12-12","34.89"
"2013-12-11","35.03"
"2013-12-10","35.75"
"2013-12-09","35.24"
"2013-12-06","34.54"
"2013-12-05","34.22"
"2013-12-04","34.52"
"2013-12-03","35.31"
"2013-12-02","35.18"
"2013-11-29","35.76"
"2013-11-27","35.95"
"2013-11-26","36.05"
"2013-11-25","34.31"
"2013-11-22","34.55"
"2013-11-21","34.92"
"2013-11-20","34.55"
"2013-11-19","34.21"
"2013-11-18","34.52"
"2013-11-15","34.17"
"2013-11-14","34.22"
"2013-11-13","33.33"
"2013-11-12","32.91"
"2013-11-11","32.58"
"2013-11-08","32.79"
"2013-11-07","34.24"
"2013-11-06","34.52"
"2013-11-05","34.31"
"2013-11-04","35.13"
"2013-11-01","34.98"
"2013-10-31","35.55"
"2013-10-30","36.64"
"2013-10-29","37.38"
"2013-10-28","36.83"
"2013-10-25","36.99"
"2013-10-24","37.21"
"2013-10-23","36.55"
"2013-10-22","36.17"
"2013-10-21","34.71"
"2013-10-18","35.04"
"2013-10-17","35.36"
"2013-10-16","33.86"
"2013-10-15","33.34"
"2013-10-14","34.31"
"2013-10-11","34.82"
"2013-10-10","33.80"
"2013-10-09","33.38"
"2013-10-08","33.73"
"2013-10-07","34.70"
"2013-10-04","34.69"
"2013-10-03","35.72"
"2013-10-02","36.10"
"2013-10-01","35.72"
"2013-09-30","35.40"
"2013-09-27","35.86"
"2013-09-26","36.49"
"2013-09-25","36.39"
"2013-09-24","36.01"
"2013-09-23","34.54"
"2013-09-20","35.15"
"2013-09-19","36.27"
"2013-09-18","37.33"
"2013-09-17","35.04"
"2013-09-16","34.77"
"2013-09-13","34.48"
"2013-09-12","34.90"
"2013-09-11","34.61"
"2013-09-10","33.48"
"2013-09-09","33.99"
"2013-09-06","32.25"
"2013-09-05","31.53"
"2013-09-04","31.82"
"2013-09-03","31.59"
"2013-08-30","31.81"
"2013-08-29","32.62"
"2013-08-28","31.62"
"2013-08-27","32.27"
"2013-08-26","32.80"
"2013-08-23","32.60"
"2013-08-22","33.56"
"2013-08-21","33.01"
"2013-08-20","33.41"
"2013-08-19","32.39"
"2013-08-16","33.88"
"2013-08-15","33.28"
"2013-08-14","31.66"
"2013-08-13","32.16"
"2013-08-12","33.03"
"2013-08-09","32.93"
"2013-08-08","32.34"
"2013-08-07","32.25"
"2013-08-06","33.30"
"2013-08-05","34.00"
"2013-08-02","34.71"
"2013-08-01","34.00"
"2013-07-31","33.87"
"2013-07-30","33.12"
"2013-07-29","33.32"
"2013-07-26","33.56"
"2013-07-25","33.37"
"2013-07-24","33.92"
"2013-07-23","35.27"
"2013-07-22","34.80"
"2013-07-19","35.53"
"2013-07-18","35.17"
"2013-07-17","35.65"
"2013-07-16","35.48"
"2013-07-15","35.55"
"2013-07-12","37.05"
"2013-07-11","37.44"
"2013-07-10","34.56"
"2013-07-09","35.01"
"2013-07-08","33.05"
"2013-07-05","33.93"
"2013-07-03","35.35"
"2013-07-02","34.99"
"2013-07-01","35.47"
"2013-06-28","36.04"
"2013-06-27","37.38"
"2013-06-26","36.01"
"2013-06-25","35.23"
"2013-06-24","34.99"
"2013-06-21","35.25"
"2013-06-20","34.94"
"2013-06-19","37.85"
"2013-06-18","39.32"
"2013-06-17","39.32"
"2013-06-14","39.03"
"2013-06-13","38.73"
"2013-06-12","36.72"
"2013-06-11","36.62"
"2013-06-10","37.31"
"2013-06-07","38.60"
"2013-06-06","38.55"
"2013-06-05","37.45"
"2013-06-04","38.04"
"2013-06-03","39.23"
"2013-05-31","39.32"
"2013-05-30","40.14"
"2013-05-29","40.36"
"2013-05-28","42.21"
"2013-05-24","42.79"
"2013-05-23","43.40"
"2013-05-22","42.29"
"2013-05-21","42.47"
"2013-05-20","43.22"
"2013-05-17","43.82"
"2013-05-16","42.94"
"2013-05-15","43.70"
"2013-05-14","43.88"
"2013-05-13","43.24"
"2013-05-10","42.68"
"2013-05-09","42.40"
"2013-05-08","42.25"
"2013-05-07","42.20"
"2013-05-06","42.12"
"2013-05-03","42.11"
"2013-05-02","41.92"
"2013-05-01","40.37"
"2013-04-30","41.22"
"2013-04-29","41.42"
"2013-04-26","42.30"
"2013-04-25","41.93"
"2013-04-24","41.41"
"2013-04-23","41.45"
"2013-04-22","38.79"
"2013-04-19","38.17"
"2013-04-18","37.23"
"2013-04-17","38.29"
"2013-04-16","38.70"
"2013-04-15","37.78"
"2013-04-12","40.48"
"2013-04-11","39.06"
"2013-04-10","39.51"
"2013-04-09","39.74"
"2013-04-08","40.44"
"2013-04-05","39.34"
"2013-04-04","38.79"
"2013-04-03","38.93"
"2013-04-02","40.03"
"2013-04-01","40.61"
"2013-03-28","41.48"
"2013-03-27","41.79"
"2013-03-26","41.72"
"2013-03-25","41.56"
"2013-03-22","42.12"
"2013-03-21","42.39"
"2013-03-20","43.40"
"2013-03-19","41.42"
"2013-03-18","41.58"
"2013-03-15","41.77"
"2013-03-14","41.94"
"2013-03-13","41.18"
"2013-03-12","40.99"
"2013-03-11","41.81"
"2013-03-08","41.72"
"2013-03-07","41.42"
"2013-03-06","41.25"
"2013-03-05","40.69"
"2013-03-04","39.86"
"2013-03-01","38.84"
"2013-02-28","38.59"
