"Date","Close"
"2013-12-31","91.37"
"2013-12-30","91.12"
"2013-12-27","90.97"
"2013-12-26","90.70"
"2013-12-24","91.03"
"2013-12-23","90.84"
"2013-12-20","90.00"
"2013-12-19","89.61"
"2013-12-18","90.11"
"2013-12-17","89.55"
"2013-12-16","89.84"
"2013-12-13","89.13"
"2013-12-12","87.75"
"2013-12-11","88.25"
"2013-12-10","99.15"
"2013-12-09","100.30"
"2013-12-06","100.00"
"2013-12-05","99.24"
"2013-12-04","99.18"
"2013-12-03","100.00"
"2013-12-02","100.10"
"2013-11-29","101.85"
"2013-11-27","102.28"
"2013-11-26","105.05"
"2013-11-25","105.84"
"2013-11-22","105.16"
"2013-11-21","104.83"
"2013-11-20","104.15"
"2013-11-19","103.96"
"2013-11-18","104.72"
"2013-11-15","106.33"
"2013-11-14","107.39"
"2013-11-13","105.43"
"2013-11-12","105.42"
"2013-11-11","105.66"
"2013-11-08","104.97"
"2013-11-07","104.33"
"2013-11-06","103.16"
"2013-11-05","102.41"
"2013-11-04","102.72"
"2013-11-01","101.14"
"2013-10-31","100.90"
"2013-10-30","101.19"
"2013-10-29","101.53"
"2013-10-28","100.25"
"2013-10-25","100.22"
"2013-10-24","100.25"
"2013-10-23","101.44"
"2013-10-22","100.88"
"2013-10-21","99.32"
"2013-10-18","100.20"
"2013-10-17","102.55"
"2013-10-16","101.13"
"2013-10-15","99.46"
"2013-10-14","100.63"
"2013-10-11","100.48"
"2013-10-10","99.03"
"2013-10-09","100.14"
"2013-10-08","100.07"
"2013-10-07","100.05"
"2013-10-04","100.47"
"2013-10-03","99.80"
"2013-10-02","99.83"
"2013-10-01","98.95"
"2013-09-30","99.14"
"2013-09-27","98.63"
"2013-09-26","98.87"
"2013-09-25","98.75"
"2013-09-24","99.17"
"2013-09-23","99.44"
"2013-09-20","99.57"
"2013-09-19","99.76"
"2013-09-18","100.51"
"2013-09-17","101.39"
"2013-09-16","101.09"
"2013-09-13","100.70"
"2013-09-12","100.05"
