"Date","Close"
"2013-12-31","106.86"
"2013-12-30","106.78"
"2013-12-27","107.12"
"2013-12-26","107.13"
"2013-12-24","106.73"
"2013-12-23","106.03"
"2013-12-20","105.49"
"2013-12-19","104.57"
"2013-12-18","104.78"
"2013-12-17","102.39"
"2013-12-16","103.02"
"2013-12-13","102.23"
"2013-12-12","101.30"
"2013-12-11","100.88"
"2013-12-10","102.38"
"2013-12-09","101.95"
"2013-12-06","101.80"
"2013-12-05","100.81"
"2013-12-04","101.58"
"2013-12-03","102.68"
"2013-12-02","103.19"
"2013-11-29","103.46"
"2013-11-27","103.48"
"2013-11-26","103.01"
"2013-11-25","102.37"
"2013-11-22","102.34"
"2013-11-21","101.86"
"2013-11-20","101.36"
"2013-11-19","101.78"
"2013-11-18","102.86"
"2013-11-15","101.95"
"2013-11-14","101.96"
"2013-11-13","101.87"
"2013-11-12","101.24"
"2013-11-11","101.35"
"2013-11-08","101.50"
"2013-11-07","100.86"
"2013-11-06","102.28"
"2013-11-05","101.05"
"2013-11-04","100.84"
"2013-11-01","100.76"
"2013-10-31","100.45"
"2013-10-30","99.45"
"2013-10-29","97.98"
"2013-10-28","97.10"
"2013-10-25","97.53"
"2013-10-24","96.29"
"2013-10-23","95.98"
"2013-10-22","95.00"
"2013-10-21","94.40"
"2013-10-18","94.77"
"2013-10-17","94.38"
"2013-10-16","94.06"
"2013-10-15","93.71"
"2013-10-14","94.98"
"2013-10-11","93.94"
"2013-10-10","93.56"
"2013-10-09","91.94"
"2013-10-08","91.99"
"2013-10-07","92.65"
"2013-10-04","92.88"
"2013-10-03","92.67"
"2013-10-02","93.93"
"2013-10-01","95.33"
"2013-09-30","94.50"
"2013-09-27","95.43"
"2013-09-26","95.91"
"2013-09-25","95.93"
"2013-09-24","95.52"
"2013-09-23","94.51"
"2013-09-20","95.22"
"2013-09-19","96.07"
"2013-09-18","96.09"
"2013-09-17","95.99"
"2013-09-16","95.76"
"2013-09-13","94.25"
"2013-09-12","93.96"
"2013-09-11","94.17"
"2013-09-10","92.88"
"2013-09-09","92.12"
"2013-09-06","91.19"
"2013-09-05","91.47"
"2013-09-04","91.25"
"2013-09-03","90.56"
"2013-08-30","90.33"
"2013-08-29","90.98"
"2013-08-28","91.09"
"2013-08-27","90.72"
"2013-08-26","92.27"
"2013-08-23","92.65"
"2013-08-22","92.30"
"2013-08-21","91.37"
"2013-08-20","92.10"
"2013-08-19","91.50"
"2013-08-16","91.20"
"2013-08-15","91.43"
"2013-08-14","92.60"
"2013-08-13","93.31"
"2013-08-12","92.95"
"2013-08-09","92.89"
"2013-08-08","93.52"
"2013-08-07","93.19"
"2013-08-06","93.03"
"2013-08-05","93.55"
"2013-08-02","94.32"
"2013-08-01","93.53"
"2013-07-31","93.15"
"2013-07-30","92.54"
"2013-07-29","91.95"
"2013-07-26","92.15"
"2013-07-25","92.04"
"2013-07-24","92.59"
"2013-07-23","93.00"
"2013-07-22","92.39"
"2013-07-19","92.37"
"2013-07-18","91.84"
