"Date","Close"
"2013-12-31","43.48"
"2013-12-30","43.47"
"2013-12-27","43.68"
"2013-12-26","43.78"
"2013-12-24","43.88"
"2013-12-23","43.89"
"2013-12-20","43.47"
"2013-12-19","43.37"
"2013-12-18","43.42"
"2013-12-17","42.51"
"2013-12-16","42.04"
"2013-12-13","41.38"
"2013-12-12","40.63"
"2013-12-11","40.60"
"2013-12-10","40.80"
"2013-12-09","40.20"
"2013-12-06","39.90"
"2013-12-05","38.49"
"2013-12-04","38.89"
"2013-12-03","39.08"
"2013-12-02","39.86"
"2013-11-29","39.11"
"2013-11-27","39.32"
"2013-11-26","38.96"
"2013-11-25","39.17"
"2013-11-22","39.15"
"2013-11-21","39.29"
"2013-11-20","38.73"
"2013-11-19","39.00"
"2013-11-18","39.30"
"2013-11-15","39.52"
"2013-11-14","39.70"
"2013-11-13","39.60"
"2013-11-12","39.44"
"2013-11-11","40.06"
"2013-11-08","39.55"
"2013-11-07","38.58"
"2013-11-06","39.32"
"2013-11-05","39.05"
"2013-11-04","38.94"
"2013-11-01","38.61"
"2013-10-31","38.47"
"2013-10-30","38.71"
"2013-10-29","38.99"
"2013-10-28","38.28"
"2013-10-25","37.91"
"2013-10-24","36.87"
"2013-10-23","36.44"
"2013-10-22","36.87"
"2013-10-21","36.56"
"2013-10-18","36.75"
"2013-10-17","36.24"
"2013-10-16","35.55"
"2013-10-15","35.11"
"2013-10-14","35.04"
"2013-10-11","34.69"
"2013-10-10","34.42"
"2013-10-09","32.99"
"2013-10-08","32.60"
"2013-10-07","33.68"
"2013-10-04","34.06"
"2013-10-03","33.57"
"2013-10-02","33.96"
"2013-10-01","33.80"
"2013-09-30","33.44"
"2013-09-27","33.89"
"2013-09-26","34.16"
"2013-09-25","34.08"
"2013-09-24","34.08"
"2013-09-23","34.14"
"2013-09-20","34.55"
"2013-09-19","34.92"
"2013-09-18","34.84"
"2013-09-17","34.52"
"2013-09-16","34.27"
"2013-09-13","33.99"
"2013-09-12","34.00"
"2013-09-11","34.39"
"2013-09-10","34.86"
"2013-09-09","34.06"
"2013-09-06","33.49"
"2013-09-05","33.24"
"2013-09-04","33.35"
"2013-09-03","32.80"
"2013-08-30","32.52"
"2013-08-29","33.04"
"2013-08-28","32.55"
"2013-08-27","32.59"
"2013-08-26","33.31"
"2013-08-23","33.39"
"2013-08-22","33.30"
"2013-08-21","32.66"
"2013-08-20","32.69"
"2013-08-19","32.26"
"2013-08-16","32.76"
"2013-08-15","33.03"
"2013-08-14","34.00"
"2013-08-13","33.74"
"2013-08-12","33.53"
"2013-08-09","33.59"
"2013-08-08","33.46"
"2013-08-07","33.54"
"2013-08-06","34.10"
"2013-08-05","34.67"
"2013-08-02","34.75"
"2013-08-01","34.95"
"2013-07-31","34.39"
"2013-07-30","34.47"
"2013-07-29","34.71"
"2013-07-26","35.04"
"2013-07-25","34.90"
"2013-07-24","34.03"
"2013-07-23","34.88"
"2013-07-22","34.62"
"2013-07-19","34.18"
"2013-07-18","33.81"
"2013-07-17","33.38"
"2013-07-16","32.74"
"2013-07-15","32.88"
"2013-07-12","32.64"
"2013-07-11","32.75"
"2013-07-10","31.57"
"2013-07-09","31.68"
"2013-07-08","30.63"
"2013-07-05","31.00"
"2013-07-03","30.97"
"2013-07-02","31.30"
"2013-07-01","31.31"
"2013-06-28","31.01"
"2013-06-27","31.40"
"2013-06-26","30.85"
"2013-06-25","30.72"
"2013-06-24","29.96"
"2013-06-21","30.53"
"2013-06-20","30.69"
"2013-06-19","32.26"
"2013-06-18","33.58"
"2013-06-17","33.18"
"2013-06-14","32.62"
"2013-06-13","33.36"
"2013-06-12","32.44"
"2013-06-11","33.34"
"2013-06-10","34.18"
"2013-06-07","34.06"
"2013-06-06","34.01"
"2013-06-05","33.47"
"2013-06-04","34.38"
"2013-06-03","35.00"
"2013-05-31","35.04"
"2013-05-30","35.95"
"2013-05-29","35.23"
"2013-05-28","35.91"
"2013-05-24","35.01"
"2013-05-23","34.92"
"2013-05-22","35.29"
"2013-05-21","36.13"
"2013-05-20","36.09"
"2013-05-17","36.13"
"2013-05-16","35.28"
"2013-05-15","34.86"
"2013-05-14","34.69"
"2013-05-13","34.29"
"2013-05-10","34.16"
"2013-05-09","33.64"
"2013-05-08","33.39"
"2013-05-07","32.94"
"2013-05-06","32.80"
"2013-05-03","32.15"
"2013-05-02","31.74"
"2013-05-01","31.25"
"2013-04-30","31.86"
"2013-04-29","31.38"
"2013-04-26","31.08"
"2013-04-25","31.19"
"2013-04-24","31.01"
"2013-04-23","30.69"
"2013-04-22","30.30"
"2013-04-19","30.19"
"2013-04-18","29.76"
"2013-04-17","30.08"
"2013-04-16","31.20"
"2013-04-15","30.83"
"2013-04-12","32.10"
"2013-04-11","32.09"
"2013-04-10","32.23"
"2013-04-09","31.23"
"2013-04-08","31.43"
"2013-04-05","30.74"
"2013-04-04","30.79"
"2013-04-03","30.49"
"2013-04-02","31.65"
"2013-04-01","31.56"
"2013-03-28","32.15"
"2013-03-27","31.92"
"2013-03-26","31.93"
"2013-03-25","31.59"
"2013-03-22","31.70"
"2013-03-21","31.67"
"2013-03-20","31.88"
"2013-03-19","31.46"
"2013-03-18","31.67"
"2013-03-15","31.95"
"2013-03-14","32.13"
"2013-03-13","31.40"
"2013-03-12","30.62"
"2013-03-11","30.49"
"2013-03-08","30.16"
"2013-03-07","29.96"
"2013-03-06","29.56"
"2013-03-05","29.18"
"2013-03-04","28.37"
"2013-03-01","28.27"
"2013-02-28","28.50"
"2013-02-27","28.43"
"2013-02-26","27.72"
"2013-02-25","27.66"
"2013-02-22","28.13"
"2013-02-21","27.61"
"2013-02-20","28.07"
"2013-02-19","28.63"
"2013-02-15","27.52"
"2013-02-14","27.84"
"2013-02-13","27.28"
"2013-02-12","27.91"
"2013-02-11","27.49"
"2013-02-08","27.23"
"2013-02-07","27.16"
"2013-02-06","27.33"
"2013-02-05","26.64"
"2013-02-04","26.53"
"2013-02-01","26.79"
"2013-01-31","27.65"
"2013-01-30","27.74"
"2013-01-29","27.96"
"2013-01-28","27.99"
"2013-01-25","27.62"
"2013-01-24","27.40"
"2013-01-23","27.54"
"2013-01-22","28.08"
"2013-01-18","27.49"
"2013-01-17","26.73"
"2013-01-16","26.69"
"2013-01-15","26.90"
"2013-01-14","26.70"
"2013-01-11","26.52"
"2013-01-10","26.84"
"2013-01-09","26.00"
"2013-01-08","25.85"
"2013-01-07","26.18"
"2013-01-04","26.32"
"2013-01-03","26.09"
"2013-01-02","26.42"
"2012-12-31","25.72"
"2012-12-28","25.52"
"2012-12-27","25.72"
"2012-12-26","26.04"
"2012-12-24","26.39"
"2012-12-21","26.18"
"2012-12-20","26.60"
"2012-12-19","26.34"
"2012-12-18","26.39"
"2012-12-17","25.77"
"2012-12-14","25.08"
"2012-12-13","25.08"
"2012-12-12","25.45"
"2012-12-11","25.76"
"2012-12-10","25.62"
"2012-12-07","25.90"
"2012-12-06","25.87"
"2012-12-05","25.60"
"2012-12-04","25.34"
"2012-12-03","25.48"
"2012-11-30","25.53"
"2012-11-29","25.69"
"2012-11-28","25.66"
"2012-11-27","25.58"
"2012-11-26","25.92"
"2012-11-23","26.03"
"2012-11-21","25.56"
"2012-11-20","25.54"
"2012-11-19","25.38"
"2012-11-16","25.08"
"2012-11-15","25.16"
"2012-11-14","24.94"
"2012-11-13","25.00"
"2012-11-12","25.15"
"2012-11-09","25.00"
"2012-11-08","24.73"
"2012-11-07","24.81"
"2012-11-06","25.79"
"2012-11-05","25.14"
"2012-11-02","24.99"
"2012-11-01","25.62"
"2012-10-31","25.48"
"2012-10-26","24.93"
"2012-10-25","24.70"
"2012-10-24","24.55"
"2012-10-23","24.86"
"2012-10-22","25.06"
"2012-10-19","25.28"
"2012-10-18","25.47"
"2012-10-17","25.84"
"2012-10-16","25.09"
"2012-10-15","24.81"
"2012-10-12","24.39"
"2012-10-11","24.73"
"2012-10-10","24.65"
"2012-10-09","24.11"
"2012-10-08","24.28"
"2012-10-05","24.35"
"2012-10-04","24.57"
"2012-10-03","24.16"
"2012-10-02","24.32"
"2012-10-01","24.30"
"2012-09-28","24.68"
"2012-09-27","24.84"
"2012-09-26","24.67"
"2012-09-25","24.84"
"2012-09-24","25.59"
"2012-09-21","25.42"
"2012-09-20","25.65"
"2012-09-19","25.92"
"2012-09-18","26.22"
"2012-09-17","26.25"
"2012-09-14","26.95"
"2012-09-13","26.59"
"2012-09-12","26.62"
"2012-09-11","26.85"
"2012-09-10","25.47"
"2012-09-07","25.89"
"2012-09-06","25.53"
"2012-09-05","24.75"
"2012-09-04","24.75"
"2012-08-31","24.58"
"2012-08-30","24.71"
"2012-08-29","25.03"
"2012-08-28","25.21"
"2012-08-27","25.06"
"2012-08-24","25.53"
"2012-08-23","25.24"
"2012-08-22","25.59"
"2012-08-21","25.73"
"2012-08-20","25.65"
"2012-08-17","25.71"
"2012-08-16","25.69"
"2012-08-15","25.46"
"2012-08-14","25.50"
"2012-08-13","25.73"
"2012-08-10","25.75"
"2012-08-09","26.00"
"2012-08-08","25.97"
"2012-08-07","26.01"
"2012-08-06","26.12"
"2012-08-03","25.70"
"2012-08-02","24.56"
"2012-08-01","24.65"
"2012-07-31","24.52"
"2012-07-30","24.77"
"2012-07-27","24.86"
"2012-07-26","25.13"
"2012-07-25","24.77"
"2012-07-24","25.14"
"2012-07-23","25.28"
"2012-07-20","25.61"
"2012-07-19","26.10"
"2012-07-18","26.58"
"2012-07-17","26.47"
