"Date","Close"
"2013-12-31","148.66"
"2013-12-30","146.98"
"2013-12-27","148.13"
"2013-12-26","148.84"
"2013-12-24","146.14"
"2013-12-23","145.06"
"2013-12-20","144.21"
"2013-12-19","142.99"
"2013-12-18","143.73"
"2013-12-17","140.85"
"2013-12-16","140.05"
"2013-12-13","139.03"
"2013-12-12","137.98"
"2013-12-11","137.46"
"2013-12-10","139.31"
"2013-12-09","138.93"
"2013-12-06","138.19"
"2013-12-05","136.66"
"2013-12-04","136.23"
"2013-12-03","138.77"
"2013-12-02","139.70"
"2013-11-29","141.67"
"2013-11-27","143.94"
"2013-11-26","143.06"
"2013-11-25","141.76"
"2013-11-22","140.88"
"2013-11-21","138.67"
"2013-11-20","137.19"
"2013-11-19","138.97"
"2013-11-18","137.85"
"2013-11-15","137.45"
"2013-11-14","138.29"
"2013-11-13","137.26"
"2013-11-12","137.23"
"2013-11-11","137.15"
"2013-11-08","138.11"
"2013-11-07","136.20"
"2013-11-06","136.87"
"2013-11-05","135.47"
"2013-11-04","135.74"
"2013-11-01","134.55"
"2013-10-31","133.34"
"2013-10-30","133.72"
"2013-10-29","133.66"
"2013-10-28","133.23"
"2013-10-25","134.00"
"2013-10-24","132.62"
"2013-10-23","131.98"
"2013-10-22","130.05"
"2013-10-21","125.30"
"2013-10-18","128.90"
"2013-10-17","129.36"
"2013-10-16","127.86"
"2013-10-15","125.90"
"2013-10-14","127.50"
"2013-10-11","126.17"
"2013-10-10","126.68"
"2013-10-09","122.03"
"2013-10-08","122.46"
"2013-10-07","123.56"
"2013-10-04","122.50"
"2013-10-03","122.83"
"2013-10-02","125.08"
"2013-10-01","127.50"
"2013-09-30","127.55"
"2013-09-27","129.24"
"2013-09-26","129.85"
"2013-09-25","127.86"
"2013-09-24","128.14"
"2013-09-23","127.62"
"2013-09-20","128.00"
"2013-09-19","130.39"
"2013-09-18","130.84"
"2013-09-17","129.64"
"2013-09-16","128.46"
"2013-09-13","127.25"
"2013-09-12","126.54"
"2013-09-11","126.57"
"2013-09-10","125.07"
"2013-09-09","124.07"
"2013-09-06","123.73"
"2013-09-05","124.14"
"2013-09-04","124.27"
"2013-09-03","123.63"
"2013-08-30","122.42"
"2013-08-29","122.34"
"2013-08-28","123.30"
"2013-08-27","123.14"
"2013-08-26","125.19"
"2013-08-23","126.00"
"2013-08-22","123.71"
"2013-08-21","122.93"
"2013-08-20","122.41"
"2013-08-19","121.91"
"2013-08-16","122.20"
"2013-08-15","122.13"
"2013-08-14","123.62"
"2013-08-13","124.06"
"2013-08-12","123.00"
"2013-08-09","124.02"
"2013-08-08","124.64"
"2013-08-07","124.54"
"2013-08-06","124.26"
"2013-08-05","124.15"
"2013-08-02","123.77"
"2013-08-01","122.17"
"2013-07-31","120.12"
"2013-07-30","120.09"
"2013-07-29","119.99"
"2013-07-26","120.00"
