"Date","Close"
"2013-12-31","51.62"
"2013-12-30","51.32"
"2013-12-27","51.65"
"2013-12-26","51.95"
"2013-12-24","51.83"
"2013-12-23","51.55"
"2013-12-20","51.36"
"2013-12-19","51.31"
"2013-12-18","51.31"
"2013-12-17","50.08"
"2013-12-16","51.01"
"2013-12-13","50.94"
"2013-12-12","50.58"
"2013-12-11","50.41"
"2013-12-10","51.09"
"2013-12-09","51.70"
"2013-12-06","51.43"
"2013-12-05","50.65"
"2013-12-04","51.10"
"2013-12-03","50.69"
"2013-12-02","51.72"
"2013-11-29","51.33"
"2013-11-27","51.54"
"2013-11-26","50.94"
"2013-11-25","50.69"
"2013-11-22","50.48"
"2013-11-21","50.35"
"2013-11-20","49.54"
"2013-11-19","49.75"
"2013-11-18","50.21"
"2013-11-15","50.00"
"2013-11-14","49.99"
"2013-11-13","49.19"
"2013-11-12","48.74"
"2013-11-11","48.64"
"2013-11-08","48.76"
"2013-11-07","46.14"
"2013-11-06","47.00"
"2013-11-05","46.66"
"2013-11-04","46.16"
"2013-11-01","45.60"
"2013-10-31","45.41"
"2013-10-30","45.26"
"2013-10-29","45.47"
"2013-10-28","44.32"
"2013-10-25","44.66"
"2013-10-24","44.44"
"2013-10-23","43.79"
"2013-10-22","44.91"
"2013-10-21","45.12"
"2013-10-18","45.46"
"2013-10-17","44.61"
"2013-10-16","44.60"
"2013-10-15","43.77"
"2013-10-14","43.94"
"2013-10-11","43.80"
"2013-10-10","43.32"
"2013-10-09","41.58"
"2013-10-08","41.71"
"2013-10-07","42.40"
"2013-10-04","43.10"
"2013-10-03","41.96"
"2013-10-02","42.31"
"2013-10-01","42.65"
"2013-09-30","41.99"
"2013-09-27","42.15"
"2013-09-26","42.60"
"2013-09-25","42.38"
"2013-09-24","42.02"
"2013-09-23","41.88"
"2013-09-20","42.25"
"2013-09-19","42.21"
"2013-09-18","43.82"
"2013-09-17","44.93"
"2013-09-16","44.65"
"2013-09-13","44.43"
"2013-09-12","44.28"
"2013-09-11","45.14"
"2013-09-10","44.98"
"2013-09-09","44.23"
"2013-09-06","43.73"
"2013-09-05","43.85"
"2013-09-04","43.82"
"2013-09-03","42.62"
"2013-08-30","42.04"
"2013-08-29","42.48"
"2013-08-28","42.17"
"2013-08-27","42.33"
"2013-08-26","44.09"
"2013-08-23","44.19"
"2013-08-22","44.45"
"2013-08-21","43.22"
"2013-08-20","43.14"
"2013-08-19","42.75"
"2013-08-16","43.55"
"2013-08-15","42.63"
"2013-08-14","42.95"
"2013-08-13","43.15"
"2013-08-12","42.81"
"2013-08-09","43.31"
"2013-08-08","43.39"
"2013-08-07","43.27"
"2013-08-06","43.40"
"2013-08-05","43.87"
"2013-08-02","44.24"
"2013-08-01","44.44"
"2013-07-31","41.67"
"2013-07-30","41.18"
"2013-07-29","41.42"
"2013-07-26","41.55"
"2013-07-25","41.36"
"2013-07-24","41.32"
"2013-07-23","41.55"
"2013-07-22","41.43"
"2013-07-19","40.89"
"2013-07-18","41.47"
"2013-07-17","39.86"
"2013-07-16","40.12"
"2013-07-15","39.95"
"2013-07-12","39.56"
"2013-07-11","39.65"
"2013-07-10","39.99"
"2013-07-09","39.44"
"2013-07-08","38.68"
"2013-07-05","38.98"
"2013-07-03","36.98"
"2013-07-02","37.40"
"2013-07-01","37.36"
"2013-06-28","36.47"
"2013-06-27","36.44"
"2013-06-26","35.95"
"2013-06-25","35.54"
"2013-06-24","34.60"
"2013-06-21","35.42"
"2013-06-20","35.48"
"2013-06-19","35.54"
"2013-06-18","35.87"
"2013-06-17","35.22"
"2013-06-14","34.53"
"2013-06-13","35.42"
"2013-06-12","34.76"
"2013-06-11","35.37"
"2013-06-10","36.24"
"2013-06-07","35.89"
"2013-06-06","34.65"
"2013-06-05","33.88"
"2013-06-04","34.80"
"2013-06-03","35.30"
"2013-05-31","35.66"
"2013-05-30","36.36"
"2013-05-29","35.53"
"2013-05-28","35.24"
"2013-05-24","34.48"
"2013-05-23","34.80"
"2013-05-22","34.90"
"2013-05-21","35.24"
"2013-05-20","35.32"
"2013-05-17","35.25"
"2013-05-16","34.71"
"2013-05-15","35.64"
"2013-05-14","35.72"
"2013-05-13","35.03"
"2013-05-10","34.86"
"2013-05-09","34.30"
"2013-05-08","34.65"
"2013-05-07","34.24"
"2013-05-06","33.89"
"2013-05-03","32.96"
"2013-05-02","31.98"
"2013-05-01","33.32"
"2013-04-30","34.01"
"2013-04-29","33.64"
"2013-04-26","33.27"
"2013-04-25","33.66"
"2013-04-24","33.31"
"2013-04-23","32.37"
"2013-04-22","31.49"
"2013-04-19","31.22"
"2013-04-18","30.86"
"2013-04-17","31.41"
"2013-04-16","32.62"
"2013-04-15","31.61"
"2013-04-12","32.88"
"2013-04-11","33.31"
"2013-04-10","33.10"
"2013-04-09","31.90"
"2013-04-08","31.21"
"2013-04-05","30.87"
"2013-04-04","31.53"
"2013-04-03","31.85"
"2013-04-02","32.60"
"2013-04-01","32.24"
"2013-03-28","32.61"
"2013-03-27","32.45"
"2013-03-26","32.60"
"2013-03-25","32.27"
"2013-03-22","32.67"
"2013-03-21","32.37"
"2013-03-20","32.85"
"2013-03-19","32.35"
"2013-03-18","32.83"
"2013-03-15","33.44"
"2013-03-14","33.47"
"2013-03-13","33.24"
"2013-03-12","33.00"
"2013-03-11","33.14"
"2013-03-08","33.00"
"2013-03-07","31.63"
"2013-03-06","31.30"
"2013-03-05","30.88"
"2013-03-04","30.21"
"2013-03-01","29.80"
"2013-02-28","29.54"
"2013-02-27","29.29"
"2013-02-26","28.49"
"2013-02-25","28.33"
"2013-02-22","29.73"
"2013-02-21","29.22"
"2013-02-20","29.62"
"2013-02-19","30.75"
"2013-02-15","30.33"
"2013-02-14","30.45"
"2013-02-13","30.16"
"2013-02-12","29.89"
