"Date","Close"
"2013-12-31","49.55"
"2013-12-30","49.25"
"2013-12-27","48.83"
"2013-12-26","49.03"
"2013-12-24","48.70"
"2013-12-23","48.40"
"2013-12-20","47.97"
"2013-12-19","48.39"
"2013-12-18","48.32"
"2013-12-17","46.65"
"2013-12-16","47.13"
"2013-12-13","47.11"
"2013-12-12","46.89"
"2013-12-11","47.31"
"2013-12-10","47.36"
"2013-12-09","47.76"
"2013-12-06","47.98"
"2013-12-05","46.61"
"2013-12-04","46.86"
"2013-12-03","46.50"
"2013-12-02","46.83"
"2013-11-29","47.48"
"2013-11-27","47.89"
"2013-11-26","48.01"
"2013-11-25","47.75"
"2013-11-22","47.90"
"2013-11-21","48.20"
"2013-11-20","47.33"
"2013-11-19","50.44"
"2013-11-18","50.89"
"2013-11-15","51.77"
"2013-11-14","51.95"
"2013-11-13","51.28"
"2013-11-12","50.12"
"2013-11-11","49.10"
"2013-11-08","48.72"
"2013-11-07","49.07"
"2013-11-06","49.97"
"2013-11-05","50.18"
"2013-11-04","49.77"
"2013-11-01","49.18"
"2013-10-31","49.78"
"2013-10-30","50.15"
"2013-10-29","50.61"
"2013-10-28","50.11"
"2013-10-25","50.59"
"2013-10-24","50.44"
"2013-10-23","49.25"
"2013-10-22","48.19"
"2013-10-21","48.02"
"2013-10-18","47.66"
"2013-10-17","49.02"
"2013-10-16","48.47"
"2013-10-15","48.45"
"2013-10-14","48.88"
"2013-10-11","48.80"
"2013-10-10","47.82"
"2013-10-09","46.60"
"2013-10-08","46.53"
"2013-10-07","47.26"
"2013-10-04","48.14"
"2013-10-03","47.93"
"2013-10-02","48.41"
"2013-10-01","48.19"
"2013-09-30","47.61"
"2013-09-27","47.77"
"2013-09-26","47.89"
"2013-09-25","47.54"
"2013-09-24","48.04"
"2013-09-23","47.27"
"2013-09-20","47.84"
"2013-09-19","48.98"
"2013-09-18","47.75"
"2013-09-17","46.85"
"2013-09-16","46.84"
"2013-09-13","46.86"
"2013-09-12","46.99"
"2013-09-11","47.37"
"2013-09-10","47.15"
"2013-09-09","46.63"
"2013-09-06","45.60"
"2013-09-05","45.86"
"2013-09-04","45.97"
"2013-09-03","45.61"
"2013-08-30","45.82"
"2013-08-29","46.42"
"2013-08-28","46.38"
"2013-08-27","46.00"
"2013-08-26","46.99"
"2013-08-23","46.98"
"2013-08-22","47.39"
"2013-08-21","45.81"
"2013-08-20","44.08"
"2013-08-19","43.67"
"2013-08-16","43.96"
"2013-08-15","43.85"
"2013-08-14","45.00"
"2013-08-13","46.13"
"2013-08-12","45.80"
"2013-08-09","45.68"
"2013-08-08","46.16"
"2013-08-07","44.30"
"2013-08-06","44.87"
"2013-08-05","45.47"
"2013-08-02","44.99"
"2013-08-01","45.04"
"2013-07-31","44.58"
"2013-07-30","44.04"
"2013-07-29","43.44"
"2013-07-26","43.97"
"2013-07-25","44.13"
"2013-07-24","44.75"
"2013-07-23","45.10"
"2013-07-22","44.68"
