"Date","Close"
"2013-12-31","54.45"
"2013-12-30","54.44"
"2013-12-27","54.18"
"2013-12-26","54.32"
"2013-12-24","54.40"
"2013-12-23","54.40"
"2013-12-20","53.90"
"2013-12-19","53.02"
"2013-12-18","53.10"
"2013-12-17","52.18"
"2013-12-16","51.24"
"2013-12-13","51.07"
"2013-12-12","50.81"
"2013-12-11","51.25"
"2013-12-10","51.59"
"2013-12-09","51.66"
"2013-12-06","51.16"
"2013-12-05","50.85"
"2013-12-04","51.25"
"2013-12-03","52.78"
"2013-12-02","51.49"
"2013-11-29","52.11"
"2013-11-27","52.21"
"2013-11-26","52.52"
"2013-11-25","51.89"
"2013-11-22","51.58"
"2013-11-21","50.85"
"2013-11-20","49.75"
"2013-11-19","50.22"
"2013-11-18","51.52"
"2013-11-15","52.61"
"2013-11-14","52.31"
"2013-11-13","52.35"
"2013-11-12","52.37"
"2013-11-11","52.72"
"2013-11-08","52.85"
"2013-11-07","52.09"
"2013-11-06","54.08"
"2013-11-05","54.15"
"2013-11-04","53.76"
"2013-11-01","53.62"
"2013-10-31","54.27"
"2013-10-30","54.34"
"2013-10-29","54.94"
"2013-10-28","54.08"
"2013-10-25","54.77"
"2013-10-24","53.00"
"2013-10-23","52.21"
"2013-10-22","54.07"
"2013-10-21","53.87"
"2013-10-18","53.85"
"2013-10-17","53.52"
"2013-10-16","53.54"
"2013-10-15","52.62"
"2013-10-14","53.30"
"2013-10-11","52.83"
"2013-10-10","52.72"
"2013-10-09","50.57"
"2013-10-08","50.74"
"2013-10-07","51.75"
"2013-10-04","52.00"
"2013-10-03","51.20"
"2013-10-02","51.37"
"2013-10-01","51.60"
"2013-09-30","51.20"
"2013-09-27","51.14"
"2013-09-26","51.62"
"2013-09-25","51.99"
"2013-09-24","51.00"
"2013-09-23","49.42"
"2013-09-20","49.30"
"2013-09-19","49.83"
"2013-09-18","50.22"
"2013-09-17","49.93"
"2013-09-16","50.21"
"2013-09-13","49.85"
"2013-09-12","50.40"
"2013-09-11","50.21"
"2013-09-10","50.21"
"2013-09-09","49.29"
"2013-09-06","49.16"
"2013-09-05","49.55"
"2013-09-04","49.47"
"2013-09-03","46.85"
"2013-08-30","46.67"
"2013-08-29","47.22"
"2013-08-28","46.40"
"2013-08-27","46.39"
"2013-08-26","47.89"
"2013-08-23","48.26"
"2013-08-22","48.16"
"2013-08-21","47.67"
"2013-08-20","48.25"
"2013-08-19","47.85"
"2013-08-16","47.84"
"2013-08-15","47.20"
"2013-08-14","48.23"
"2013-08-13","48.49"
"2013-08-12","47.98"
"2013-08-09","47.70"
"2013-08-08","48.49"
"2013-08-07","48.51"
"2013-08-06","48.85"
"2013-08-05","49.55"
"2013-08-02","50.13"
"2013-08-01","50.89"
"2013-07-31","49.22"
"2013-07-30","49.69"
"2013-07-29","48.75"
"2013-07-26","49.47"
"2013-07-25","49.16"
"2013-07-24","49.04"
"2013-07-23","50.05"
"2013-07-22","49.94"
"2013-07-19","50.59"
"2013-07-18","49.90"
"2013-07-17","49.96"
"2013-07-16","49.51"
"2013-07-15","49.61"
"2013-07-12","50.43"
"2013-07-11","49.98"
"2013-07-10","49.52"
"2013-07-09","47.50"
"2013-07-08","45.65"
"2013-07-05","45.98"
"2013-07-03","45.25"
"2013-07-02","44.72"
"2013-07-01","44.21"
"2013-06-28","44.34"
"2013-06-27","44.84"
"2013-06-26","44.64"
"2013-06-25","45.17"
"2013-06-24","43.51"
"2013-06-21","45.00"
"2013-06-20","44.81"
"2013-06-19","47.11"
"2013-06-18","47.68"
"2013-06-17","47.27"
"2013-06-14","47.08"
"2013-06-13","47.46"
"2013-06-12","46.38"
"2013-06-11","46.86"
"2013-06-10","48.53"
"2013-06-07","48.40"
"2013-06-06","47.37"
"2013-06-05","47.28"
"2013-06-04","47.98"
"2013-06-03","48.25"
"2013-05-31","46.78"
"2013-05-30","47.70"
"2013-05-29","46.75"
"2013-05-28","47.52"
"2013-05-24","46.61"
"2013-05-23","46.81"
"2013-05-22","46.95"
"2013-05-21","47.92"
"2013-05-20","47.94"
"2013-05-17","48.04"
"2013-05-16","47.54"
"2013-05-15","48.18"
"2013-05-14","47.52"
"2013-05-13","46.93"
"2013-05-10","46.92"
"2013-05-09","47.23"
"2013-05-08","46.81"
"2013-05-07","46.05"
"2013-05-06","46.28"
"2013-05-03","46.01"
"2013-05-02","45.65"
"2013-05-01","45.60"
"2013-04-30","46.22"
"2013-04-29","45.58"
"2013-04-26","45.67"
"2013-04-25","45.62"
"2013-04-24","43.03"
"2013-04-23","42.52"
"2013-04-22","41.85"
"2013-04-19","41.63"
"2013-04-18","41.28"
"2013-04-17","41.50"
"2013-04-16","41.48"
"2013-04-15","40.42"
"2013-04-12","41.81"
"2013-04-11","42.80"
"2013-04-10","42.07"
"2013-04-09","41.16"
"2013-04-08","41.25"
"2013-04-05","40.77"
"2013-04-04","41.23"
"2013-04-03","40.47"
"2013-04-02","40.69"
"2013-04-01","40.80"
"2013-03-28","41.46"
"2013-03-27","40.89"
"2013-03-26","41.16"
"2013-03-25","40.93"
"2013-03-22","40.56"
"2013-03-21","40.63"
"2013-03-20","41.16"
"2013-03-19","40.92"
"2013-03-18","41.11"
"2013-03-15","41.66"
"2013-03-14","42.42"
"2013-03-13","42.16"
"2013-03-12","42.32"
"2013-03-11","42.41"
"2013-03-08","42.88"
"2013-03-07","42.80"
"2013-03-06","43.11"
"2013-03-05","43.12"
"2013-03-04","42.59"
"2013-03-01","42.68"
"2013-02-28","42.30"
"2013-02-27","42.50"
"2013-02-26","41.65"
"2013-02-25","40.86"
"2013-02-22","42.03"
"2013-02-21","40.91"
"2013-02-20","41.96"
"2013-02-19","42.74"
"2013-02-15","42.50"
"2013-02-14","42.90"
"2013-02-13","42.93"
"2013-02-12","42.84"
"2013-02-11","42.71"
"2013-02-08","42.61"
"2013-02-07","42.39"
"2013-02-06","42.57"
"2013-02-05","42.59"
"2013-02-04","41.96"
"2013-02-01","41.72"
"2013-01-31","41.14"
"2013-01-30","41.64"
"2013-01-29","41.73"
"2013-01-28","41.74"
"2013-01-25","41.84"
"2013-01-24","39.52"
"2013-01-23","40.10"
"2013-01-22","40.08"
"2013-01-18","40.12"
"2013-01-17","40.07"
"2013-01-16","38.32"
"2013-01-15","38.08"
"2013-01-14","38.22"
"2013-01-11","38.44"
"2013-01-10","37.85"
"2013-01-09","37.29"
"2013-01-08","36.98"
"2013-01-07","37.57"
"2013-01-04","38.07"
"2013-01-03","37.98"
"2013-01-02","38.73"
"2012-12-31","36.13"
"2012-12-28","35.67"
"2012-12-27","35.98"
"2012-12-26","36.45"
"2012-12-24","36.95"
"2012-12-21","36.24"
"2012-12-20","36.59"
"2012-12-19","36.50"
"2012-12-18","36.86"
"2012-12-17","36.28"
"2012-12-14","36.37"
"2012-12-13","36.24"
"2012-12-12","36.05"
"2012-12-11","36.35"
"2012-12-10","36.05"
"2012-12-07","35.46"
"2012-12-06","35.10"
"2012-12-05","35.26"
"2012-12-04","35.51"
"2012-12-03","34.86"
"2012-11-30","35.12"
"2012-11-29","35.16"
"2012-11-28","35.42"
"2012-11-27","34.91"
"2012-11-26","35.25"
"2012-11-23","35.34"
"2012-11-21","34.50"
"2012-11-20","34.55"
"2012-11-19","34.68"
"2012-11-16","34.52"
"2012-11-15","34.62"
"2012-11-14","35.41"
"2012-11-13","36.31"
"2012-11-12","36.68"
"2012-11-09","36.43"
"2012-11-08","35.94"
"2012-11-07","36.17"
"2012-11-06","37.69"
"2012-11-05","36.84"
"2012-11-02","36.06"
"2012-11-01","36.92"
"2012-10-31","35.40"
"2012-10-26","35.36"
"2012-10-25","35.68"
"2012-10-24","35.45"
"2012-10-23","35.53"
"2012-10-22","35.85"
"2012-10-19","35.37"
"2012-10-18","36.01"
"2012-10-17","33.58"
"2012-10-16","33.44"
"2012-10-15","32.67"
"2012-10-12","32.46"
"2012-10-11","32.71"
"2012-10-10","31.89"
"2012-10-09","32.13"
"2012-10-08","32.12"
"2012-10-05","32.26"
"2012-10-04","31.78"
"2012-10-03","31.75"
"2012-10-02","32.10"
"2012-10-01","31.57"
"2012-09-28","31.78"
"2012-09-27","31.78"
"2012-09-26","31.30"
"2012-09-25","31.84"
"2012-09-24","32.50"
"2012-09-21","32.91"
"2012-09-20","32.64"
"2012-09-19","32.85"
"2012-09-18","33.70"
"2012-09-17","34.06"
"2012-09-14","34.35"
"2012-09-13","33.91"
"2012-09-12","33.78"
"2012-09-11","34.07"
"2012-09-10","34.33"
