"Date","Close"
"2013-12-31","28.34"
"2013-12-30","28.29"
"2013-12-27","28.18"
"2013-12-26","28.39"
"2013-12-24","28.24"
"2013-12-23","28.14"
"2013-12-20","27.95"
"2013-12-19","27.41"
"2013-12-18","27.91"
"2013-12-17","27.55"
"2013-12-16","27.44"
"2013-12-13","27.20"
"2013-12-12","27.45"
"2013-12-11","27.10"
"2013-12-10","27.80"
"2013-12-09","28.04"
"2013-12-06","28.11"
"2013-12-05","27.77"
"2013-12-04","27.94"
"2013-12-03","27.80"
"2013-12-02","28.41"
"2013-11-29","28.66"
"2013-11-27","28.54"
"2013-11-26","28.69"
"2013-11-25","28.92"
"2013-11-22","28.89"
"2013-11-21","28.29"
"2013-11-20","27.84"
"2013-11-19","28.35"
"2013-11-18","28.23"
"2013-11-15","28.27"
"2013-11-14","28.06"
"2013-11-13","28.11"
"2013-11-12","28.17"
"2013-11-11","28.75"
"2013-11-08","28.88"
"2013-11-07","28.46"
"2013-11-06","29.08"
"2013-11-05","29.11"
"2013-11-04","29.13"
"2013-11-01","28.71"
"2013-10-31","28.34"
"2013-10-30","28.85"
"2013-10-29","28.82"
"2013-10-28","29.14"
"2013-10-25","29.15"
"2013-10-24","29.35"
"2013-10-23","29.32"
"2013-10-22","29.48"
"2013-10-21","28.78"
"2013-10-18","28.70"
"2013-10-17","28.43"
"2013-10-16","28.44"
"2013-10-15","28.02"
"2013-10-14","28.56"
"2013-10-11","28.78"
"2013-10-10","28.07"
"2013-10-09","27.39"
"2013-10-08","27.15"
"2013-10-07","27.35"
"2013-10-04","27.68"
"2013-10-03","27.31"
"2013-10-02","27.73"
"2013-10-01","27.39"
"2013-09-30","27.24"
"2013-09-27","27.30"
"2013-09-26","27.37"
"2013-09-25","27.28"
"2013-09-24","27.08"
"2013-09-23","27.04"
"2013-09-20","27.27"
"2013-09-19","27.61"
"2013-09-18","27.69"
"2013-09-17","28.05"
"2013-09-16","28.30"
"2013-09-13","27.85"
"2013-09-12","27.54"
"2013-09-11","27.84"
"2013-09-10","27.95"
"2013-09-09","27.26"
"2013-09-06","26.57"
"2013-09-05","26.34"
"2013-09-04","26.19"
"2013-09-03","25.52"
"2013-08-30","24.93"
"2013-08-29","25.08"
"2013-08-28","24.90"
"2013-08-27","25.13"
"2013-08-26","25.74"
"2013-08-23","26.01"
"2013-08-22","25.63"
"2013-08-21","25.57"
"2013-08-20","25.86"
"2013-08-19","25.69"
"2013-08-16","26.59"
"2013-08-15","26.48"
"2013-08-14","26.72"
"2013-08-13","26.90"
"2013-08-12","26.84"
"2013-08-09","27.18"
"2013-08-08","26.94"
"2013-08-07","26.76"
"2013-08-06","26.76"
"2013-08-05","27.05"
"2013-08-02","27.09"
"2013-08-01","27.40"
"2013-07-31","26.83"
"2013-07-30","26.71"
"2013-07-29","26.44"
"2013-07-26","27.01"
"2013-07-25","27.22"
"2013-07-24","27.20"
"2013-07-23","27.75"
"2013-07-22","27.67"
"2013-07-19","27.68"
"2013-07-18","27.97"
"2013-07-17","27.35"
"2013-07-16","26.96"
"2013-07-15","26.76"
"2013-07-12","26.77"
"2013-07-11","26.79"
"2013-07-10","26.04"
"2013-07-09","26.10"
"2013-07-08","25.65"
"2013-07-05","26.13"
"2013-07-03","25.75"
"2013-07-02","26.11"
"2013-07-01","26.45"
"2013-06-28","26.22"
"2013-06-27","25.82"
"2013-06-26","25.01"
"2013-06-25","24.98"
"2013-06-24","24.93"
"2013-06-21","25.71"
"2013-06-20","25.41"
"2013-06-19","26.43"
"2013-06-18","27.36"
"2013-06-17","27.74"
"2013-06-14","27.76"
"2013-06-13","28.15"
"2013-06-12","27.75"
"2013-06-11","28.37"
"2013-06-10","29.25"
"2013-06-07","29.52"
"2013-06-06","29.36"
"2013-06-05","29.22"
"2013-06-04","29.91"
"2013-06-03","30.71"
"2013-05-31","31.38"
"2013-05-30","31.52"
"2013-05-29","30.96"
"2013-05-28","31.15"
"2013-05-24","30.65"
"2013-05-23","30.58"
"2013-05-22","31.28"
"2013-05-21","31.57"
"2013-05-20","31.87"
"2013-05-17","32.02"
"2013-05-16","31.70"
"2013-05-15","31.79"
"2013-05-14","31.85"
"2013-05-13","31.69"
"2013-05-10","31.70"
"2013-05-09","31.85"
"2013-05-08","32.20"
"2013-05-07","32.00"
"2013-05-06","31.88"
"2013-05-03","31.29"
"2013-05-02","31.10"
"2013-05-01","30.60"
"2013-04-30","30.89"
"2013-04-29","30.16"
"2013-04-26","29.99"
"2013-04-25","30.25"
"2013-04-24","30.30"
"2013-04-23","29.92"
"2013-04-22","29.24"
"2013-04-19","29.05"
"2013-04-18","28.60"
"2013-04-17","28.85"
"2013-04-16","29.58"
"2013-04-15","28.47"
"2013-04-12","29.03"
"2013-04-11","29.22"
"2013-04-10","29.14"
"2013-04-09","28.46"
"2013-04-08","27.93"
"2013-04-05","27.49"
"2013-04-04","28.00"
"2013-04-03","27.44"
"2013-04-02","27.36"
"2013-04-01","27.44"
"2013-03-28","27.43"
"2013-03-27","27.19"
"2013-03-26","27.38"
"2013-03-25","27.02"
"2013-03-22","26.83"
"2013-03-21","26.59"
"2013-03-20","26.72"
"2013-03-19","26.50"
"2013-03-18","26.65"
"2013-03-15","27.25"
"2013-03-14","27.18"
"2013-03-13","26.62"
"2013-03-12","26.89"
"2013-03-11","26.67"
"2013-03-08","26.67"
"2013-03-07","26.37"
"2013-03-06","26.40"
"2013-03-05","26.19"
"2013-03-04","25.87"
"2013-03-01","26.40"
"2013-02-28","26.90"
"2013-02-27","26.73"
"2013-02-26","26.52"
"2013-02-25","26.76"
"2013-02-22","28.16"
"2013-02-21","27.31"
"2013-02-20","27.36"
"2013-02-19","27.18"
"2013-02-15","27.06"
"2013-02-14","27.57"
"2013-02-13","27.05"
"2013-02-12","26.87"
"2013-02-11","26.58"
"2013-02-08","26.73"
"2013-02-07","26.70"
"2013-02-06","26.28"
"2013-02-05","25.77"
"2013-02-04","25.44"
"2013-02-01","25.30"
"2013-01-31","25.45"
"2013-01-30","25.30"
"2013-01-29","25.33"
"2013-01-28","25.05"
"2013-01-25","25.10"
"2013-01-24","24.80"
"2013-01-23","24.40"
"2013-01-22","24.43"
"2013-01-18","24.10"
"2013-01-17","23.97"
"2013-01-16","23.87"
"2013-01-15","24.09"
"2013-01-14","24.01"
"2013-01-11","24.19"
"2013-01-10","24.16"
"2013-01-09","23.85"
"2013-01-08","23.92"
"2013-01-07","23.81"
"2013-01-04","24.01"
"2013-01-03","24.09"
"2013-01-02","24.22"
"2012-12-31","23.79"
"2012-12-28","23.47"
"2012-12-27","23.73"
"2012-12-26","23.86"
"2012-12-24","23.95"
"2012-12-21","23.84"
"2012-12-20","24.20"
"2012-12-19","23.97"
"2012-12-18","24.26"
"2012-12-17","23.68"
"2012-12-14","23.27"
"2012-12-13","23.22"
"2012-12-12","23.81"
"2012-12-11","23.38"
"2012-12-10","23.25"
"2012-12-07","23.20"
"2012-12-06","23.11"
"2012-12-05","23.19"
"2012-12-04","23.00"
"2012-12-03","22.44"
"2012-11-30","22.15"
"2012-11-29","21.64"
"2012-11-28","21.27"
"2012-11-27","20.91"
"2012-11-26","20.88"
"2012-11-23","21.10"
"2012-11-21","21.02"
"2012-11-20","20.97"
"2012-11-19","20.87"
"2012-11-16","20.48"
"2012-11-15","20.50"
"2012-11-14","20.70"
"2012-11-13","20.75"
"2012-11-12","21.14"
"2012-11-09","21.80"
"2012-11-08","21.44"
"2012-11-07","21.75"
"2012-11-06","23.10"
"2012-11-05","22.77"
"2012-11-02","22.61"
"2012-11-01","22.97"
"2012-10-31","22.70"
